와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,등급,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,스타일,양조,숙성
"샴페인 랄리에, 블랑 드 블랑 브뤼","Champagne Lallier, Blanc de Blancs Brut",https://www.wine21.com/13_search/wine_view.html?Idx=164518&lq=LIST,랄리에  Lallier,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 100%,Champagne AOC(AOP),,6~8 ℃,"푸아그라, 캐비어, 해산물 음식, 가자미 요리, 스시, 흰살 고기 요리,  카라멜라이즈드 흰 과일, 시트러스 계열 과일 디저트, 염소 치즈 등과 잘 어울린다.","*Wine Enthusiast 90점*블렌딩: Av, Avize, Cramant and Oger 포도, 12% Reserve Wine 사용*도사쥬: 9g/L",국순당,1/5,5/5,2/5,1/5,시트러스,"푸아그라, 스시, 해산물, 과일, 치즈, 디저트",French Champagne,,
"샴페인 랄리에, 엑스트라 도사쥬 섹","Champagne Lallier, Extra Dosage Sec",https://www.wine21.com/13_search/wine_view.html?Idx=164519&lq=LIST,랄리에  Lallier,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 38% / 피노 누아 (Pinot Noir) 62%,Champagne AOC(AOP),,6~8 ℃,"스윗&사우어 아시안 음식, 과일 퓨레 디저트 등과 잘 어울린다.","*블렌딩: Av, Verzenay, Bouzy, Ambonnay, Avize, Cramant, Oger 포도, 19% Reserve Wine*도사쥬: 18g/L",국순당,1/5,4/5,3/5,1/5,"살구, 버터","과일, 디저트",French Champagne,,
"샴페인 랄리에, 밀레짐 그랑 크뤼 브뤼","Champagne Lallier, Millesime Grand Cru Brut",https://www.wine21.com/13_search/wine_view.html?Idx=164520&lq=LIST,랄리에  Lallier,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 45% / 피노 누아 (Pinot Noir) 55%,,,6~8 ℃,"생선&관자 요리, 크리미하거나 스파이시한 닭고기 요리, 모든 종류의 치즈, 과일 디저트 등과 잘 어울린다.","*블렌딩: Cotes des Blancs, Av, Verzenay 포도 사용, 100% 2010년 포도 사용*도사쥬: 7g/L",국순당,1/5,5/5,2/5,1/5,"시트러스, 미네랄, 꿀","닭고기, 과일, 치즈, 디저트",French Champagne,,
"샴페인 랄리에, 우브라쥬 그랑 크뤼 엑스트라 브뤼","Champagne Lallier, Ouvrage Grand Cru Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=164521&lq=LIST,랄리에  Lallier,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 30% / 피노 누아 (Pinot Noir) 70%,Champagne AOC(AOP),,6~8 ℃,"아페르티프, 생선 및 조개, 갑각류 요리 등과 잘 어울린다.","*Wine Enthusiast 93점*블렌딩: Grands Crus from Avize, Cramant, Verzenay, Av 포도 사용, 2/3 with wines of the years and 1/3 of reserve wines*도사쥬: 6 g/L",국순당,1/5,5/5,3/5,1/5,"살구, 버터",,French Champagne,,
"프렐리, 시비 피노","Frelih, Sivi Pinot",https://www.wine21.com/13_search/wine_view.html?Idx=164522&lq=LIST,프렐리  Frelih,슬로베니아(Slovenia),피노 그리 (Pinot Gris) 100%,,,14~16 ℃,"흰살생선, 샐러드, 건육, 하몽, 프로슈토, 동남아요리, 파스타 등과 잘 어울린다.",*8개월 프렌치 오크 숙성 및 수르 리,,1/5,3/5,3/5,1/5,,"흰살생선, 파스타, 동남아요리, 샐러드",,,
"프렐리, 에코 벨로","Frelih, Echo Belo",https://www.wine21.com/13_search/wine_view.html?Idx=164523&lq=LIST,프렐리  Frelih,슬로베니아(Slovenia),실바너 (Silvaner) / 피넬라 (Pinella) / 벨쉬리슬링 (Welschriesling),,,14~16 ℃,"돼지고기, 닭고기, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 피자, 파스타 등과 잘 어울린다.",*8개월 프렌치 오크 숙성 및 수르 리,,1/5,3/5,3/5,1/5,,"닭고기, 치즈",,,숙성	8개월 프렌치 오크 숙성 및 수르 리	숙성	8개월 프렌치 오크 숙성 및 수르 리
"프렐리, 모드라 프란킨자","Frelih, Modra Frankinja",https://www.wine21.com/13_search/wine_view.html?Idx=164524&lq=LIST,프렐리  Frelih,슬로베니아(Slovenia),블라우프랜키쉬 (Blaufrankisch) 100%,,,16~18 ℃,"소고기, 양념갈비, 돼지고기, 삼겹살, 오겹살, 그릴요리, 바비큐, 오리로스, 아시아요리, 한국요리 등과 잘 어울린다.",,,1/5,4/5,5/5,4/5,"오크, 효모","오리로스, 양념갈비, 아시아요리",,,숙성	1년 6개월 오크 숙성 및 수르 리
"마이너 게리스 빈야드, 피노누아","Miner Gary's Vineyard, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=164525&lq=LIST,마이너 패밀리 빈야즈  Miner Famaily Vineyards,미국(U.S.A) / 캘리포니아(California) / 몬터레이 카운티(Monterey County) / 산타 루치아 하이랜즈(Santa Lucia Highlands),피노 누아 (Pinot Noir) 100%,Santa Lucia Highlands AVA,14.9 %,13~15 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",*2014 빈티지: Wine Enthusiast 91점,와인투유코리아,1/5,3/5,3/5,3/5,"체리, 리치, 바닐라, 허브, 오크","파스타, 버섯, 치즈",Californian Pinot Noir,,
아니무스 도우로 레드 와인,Animus Douro Red Wine,https://www.wine21.com/13_search/wine_view.html?Idx=164527&lq=LIST,빈센테 파리아 비뉴스  Vincente Faria VInhos,포르투갈(Portugal) / 도우루(Douro),투리가 프란카 (Touriga Franca) / 틴타 로리즈 (Tinta Roriz) / 투리가 나시오날 (Touriga Nacional),Douro DOC(DOP),13 %,15~17 ℃,"피자, 치킨, 파스타 등과 잘 어울린다.","*Decanter 90점, Decanter World Wine Award 2017, 2018 - 동상, 2016 - 은상*International Wine Challenge 2016, 2015 - Bronze, 2017 - 추천와인상*Wine Enthusiast - Best Buy 2018, 2019*영국 타임즈 선정 2020 연말 베스트50",,1/5,2/5,4/5,2/5,,치킨,Portuguese Douro Red,,
"스캇 폴, 라 폴리 피노 누아","Scott Paul, La Paulee Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=164528&lq=LIST,스캇 폴 와이너리  Scott Paul Winery,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley),피노 누아 (Pinot Noir) 100%,Willamette Valley AVA,13.5 %,13~15 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.","*2012 빈티지: Intl. Wine Cellar 92점, Wine Enthusiast 91점",,1/5,5/5,3/5,3/5,"체리, 장미, 후추","파스타, 버섯, 치즈",Oregon Pinot Noir,,
"오텔라, 몰체오 루가나 리세르바","Ottella, Molceo Lugana Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=164529&lq=LIST,오텔라  Ottella,이탈리아(Italy) / 베네토(Veneto) / 베로나(Verona) / 루가나(Lugana),투르비아노 (Turbiano) 100%,,13~14 %,10~12 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",*2007 ~ 2019 빈티지 : Gambero Rosso Tre Bicchieri (3 glasses),콜리코,1/5,3/5,4/5,1/5,"꽃, 미네랄",,,,16개월 (Stainless steel tank & Barriques)
"아리에타, 온 더 화이트 키즈 '아티스트' 리저브","Arietta, On The White Keys 'Artists' Reserve",https://www.wine21.com/13_search/wine_view.html?Idx=164530&lq=LIST,아리에타  Arietta,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),소비뇽 블랑 (Sauvignon Blanc) 50% / 세미용 (Semillon) 50%,Napa Valley AVA,,10~12 ℃,"굴 튀김, 푸팟퐁 커리, 팟타이, 오렌지 소스를 곁들인 오리 가슴살 등과 잘 어울린다.",,씨에스알와인,1/5,4/5,4/5,1/5,오크,튀김,Californian White Blend,,
"아리에타, 메를로 허드슨 빈야드","Arietta, Merlot Hudson Vineyards",https://www.wine21.com/13_search/wine_view.html?Idx=164531&lq=LIST,아리에타  Arietta,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),메를로 (Merlot) 93% / 카베르네 프랑 (Cabernet Franc) 7%,Napa Valley AVA,,15~17 ℃,"소갈비찜, 블루 치즈 버거, 립아이 스테이크 등과 잘 어울린다.",*2015 빈티지: Robert Parker 91점,씨에스알와인,1/5,4/5,5/5,4/5,오크,"스테이크, 갈비찜, 치즈",Napa Valley Bordeaux Blend,,
"아리에타, 카베르네 소비뇽","Arietta, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=164532&lq=LIST,아리에타  Arietta,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 97% / 쁘띠 베르도 (Petit Verdot) 3%,Napa Valley AVA,,15~17 ℃,"그릴에 구운 버섯, 드라이 에이징 스테이크, 그뤼에르 치즈 등과 잘 어울린다.","*2016 빈티지: Rober Parker 96+, James Suckling 94점",씨에스알와인,1/5,4/5,5/5,5/5,오크,"스테이크, 버섯",Californian Cabernet Sauvignon,,
"아리에타, 카베르네 소비뇽 '88 키즈'","Arietta, Cabernet Sauvignon '88 Keys'",https://www.wine21.com/13_search/wine_view.html?Idx=164533&lq=LIST,아리에타  Arietta,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 93% / 카베르네 프랑 (Cabernet Franc) 4% / 메를로 (Merlot) 3%,Napa Valley AVA,,15~17 ℃,"블루 치즈, 그릴에 구운 등심 스테이크, 돼지 등갈비 구이, 양갈비 스테이크 등과 잘 어울린다.",,씨에스알와인,1/5,3/5,5/5,5/5,,"돼지, 양갈비, 치즈",Californian Cabernet Sauvignon,,
"허쉬 빈야드, '라쉔 릿지' 피노 누아","Hirsch Vineyards, 'Raschen Ridge' Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=164534&lq=LIST,허쉬 빈야드  Hirsch Vineyards,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 소노마 코스트(Sonoma Coast),피노 누아 (Pinot Noir) 100%,Sonoma Coast AVA,,13~15 ℃,"생연어, 돼지 등갈비 구이, 버섯 리조또, 랍스터 구이 등과 잘 어울린다.",,씨에스알와인,1/5,3/5,3/5,3/5,,"돼지, 연어, 랍스터, 리조또, 버섯",Californian Pinot Noir,,
"다리우스 II, 카베르네 소비뇽","Darius II, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=164535&lq=LIST,다리우쉬  Darioush,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 92% / 카베르네 프랑 (Cabernet Franc) 8%,Napa Valley AVA,14.8 %,15~17 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",*2016 빈티지: Robert Parker 99점*2014 빈티지: Robert Parker 94점,와인투유코리아,1/5,3/5,5/5,4/5,"블루베리, 월계수, 커피","양갈비, 치즈",Californian Cabernet Sauvignon,,
"쓰리 딥스, 까베르네 소비뇽","Three Thieves, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=164536&lq=LIST,쓰리 딥스  Three Thieves,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) 100%,California AVA,13.85 %,15~17 ℃,"돼지고기, 소고기 등과 잘 어울린다.",*2017 Wine Enthusiast top 100 & Best Buy 89점,,1/5,4/5,4/5,4/5,"체리, 바닐라, 토스트",소고기,Californian Cabernet Sauvignon,,
"쓰리 딥스, 레드 블렌드","Three Thieves, Red Blend",https://www.wine21.com/13_search/wine_view.html?Idx=164537&lq=LIST,쓰리 딥스  Three Thieves,미국(U.S.A) / 캘리포니아(California),진판델 (Zinfandel) 37% / 메를로 (Merlot) 32% / 카베르네 소비뇽 (Cabernet Sauvignon) 20% / 시라/쉬라즈 (Syrah/Shiraz) 11%,California AVA,13.9 %,15~17 ℃,"양고기, 치즈 등과 잘 어울린다.","*2017 Indy International Wine Competition - Gold Medal, Wine Enthusiast Best Buy 86점",,1/5,3/5,4/5,3/5,"체리, 바닐라, 오크","양고기, 치즈",Californian Red Blend,,
"쓰리 딥스, 피노 누아","Three Theives, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=164538&lq=LIST,쓰리 딥스  Three Thieves,미국(U.S.A) / 캘리포니아(California),피노 누아 (Pinot Noir) 76% / 시라/쉬라즈 (Syrah/Shiraz) 18% / 쁘띠 시라  (Petite Sirah) 6%,California AVA,13.6 %,15~17 ℃,"버섯 요리, 치즈, 돼지고기 등과 잘 어울린다.",*2016 Wine Enthusiast Best Buy 89점,,1/5,4/5,3/5,3/5,"잼, 오크","버섯, 치즈",,,
"쓰리 딥스, 샤도네이","Three Thieves, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=164539&lq=LIST,쓰리 딥스  Three Thieves,미국(U.S.A) / 캘리포니아(California),샤르도네 (Chardonnay) 100%,California AVA,13.5 %,10~12 ℃,"시저 샐러드, 크림 파스타 등과 잘 어울린다.",*2018 Wine Enthusiast Best Buy 90점,,1/5,3/5,2/5,1/5,오크,"파스타, 샐러드",Californian Chardonnay,,
"쓰리 딥스, 더쇼 까베르네 소비뇽","Theree Thieves, The Show Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=164540&lq=LIST,쓰리 딥스  Three Thieves,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) 90% / 쁘띠 시라  (Petite Sirah) 10%,California AVA,13.25 %,15~17 ℃,"붉은육류, 바비큐, 숙성된 치즈 등과 잘 어울린다.",*2015 빈티지: Wine Enthusiast Best Buy 90점,,1/5,3/5,4/5,4/5,토스트,"붉은육류, 바비큐, 치즈",Californian Cabernet Sauvignon,,
"구스타브 로렌츠, 리슬링 방당주 타르디브","Gustave Lorentz, Riesling Vendanges Tardives",https://www.wine21.com/13_search/wine_view.html?Idx=164541&lq=LIST,구스타브 로렌츠  Gustave Lorentz,프랑스(France) / 알자스(Alsace),리슬링 (Riesling) 100%,,,8~10 ℃,"아페리티프, 푸아그라, 향이 강한 치즈, 레몬 페스트리, 타르트 등과 잘 어울린다.",*2009 빈티지: Robert Parker 87점,나라셀라,4/5,3/5,4/5,1/5,"미네랄, 꿀","푸아그라, 아페리티프, 치즈, 페스트리",Alsace Riesling,,
"구스타브 로렌츠, 리슬링 그랑 크뤼 알텐베르그 드 베르그하임","Gustave Lorentz, Riesling Grand Cru Altenberg de Bergheim BIO",https://www.wine21.com/13_search/wine_view.html?Idx=164542&lq=LIST,구스타브 로렌츠  Gustave Lorentz,프랑스(France) / 알자스(Alsace),리슬링 (Riesling) 100%,,,8~10 ℃,"아페리티프, 푸아그라, 향이 강한 치즈, 레몬 페스트리, 타르트 등과 잘 어울린다.","*2012 빈티지: Robert Parker 91점, James Suckling 91점*2015 에어프랑스 항공 퍼스트 클래스, 2016 아랍 에미레이츠 항공 비즈니스 클래스",나라셀라,1/5,4/5,3/5,1/5,"복숭아, 레몬, 부싯돌","푸아그라, 아페리티프, 복숭아, 치즈",Alsace Riesling,,
"구스타브 로렌츠, 리슬링 뀌베 파티큘리에","Gustave Lorentz, Riesling Cuvee Particuliere",https://www.wine21.com/13_search/wine_view.html?Idx=164543&lq=LIST,구스타브 로렌츠  Gustave Lorentz,프랑스(France) / 알자스(Alsace),리슬링 (Riesling) 100%,,,8~10 ℃,"참치, 연어, 방어 등 기름진 생선류, 닭가슴살, 담백하게 조리한 돼지고기, 매콤한 요리 등과 잘 어울린다.",*2023 대한민국 주류대상 '구대륙 화이트 와인 Best of 2023' 수상*2023 대한민국 주류대상 '화이트와인 구대륙 부문 대상',나라셀라,1/5,4/5,3/5,1/5,,,Alsace Riesling,,
"구스타브 로렌츠, 리슬링 리저브","Gustave Lorentz, Riesling Reserve",https://www.wine21.com/13_search/wine_view.html?Idx=164544&lq=LIST,구스타브 로렌츠  Gustave Lorentz,프랑스(France) / 알자스(Alsace),리슬링 (Riesling) 100%,,,8~10 ℃,"해산물 찜, 그릴, 스팀한 생선, 회, 닭가슴살, 담백하게 조리한 돼지고기, 송아지 갈비, 염소 치즈 등과 잘 어울린다.","*2023 대한민국 주류대상 '화이트와인 구대륙 부문 대상'*2019, 2020 대한민국 주류대상 - 구대륙 레드 와인 부문 대상 (2년 연속 수상)*2015 빈티지: Wine Enthusiast 90점",나라셀라,1/5,4/5,2/5,1/5,"꽃, 미네랄","송아지, 해산물, 치즈",Alsace Riesling,,
"구스타브 로렌츠, 피노 누아 리저브","Gustave Lorentz, Pinot Noir Reserve",https://www.wine21.com/13_search/wine_view.html?Idx=164545&lq=LIST,구스타브 로렌츠  Gustave Lorentz,프랑스(France) / 알자스(Alsace),피노 누아 (Pinot Noir) 100%,Alsace AOC(AOP),,12~14 ℃,"그릴 바베큐한 돼지고기, 소고기, 오리고기, 향이 강하지 않은 치즈 등과 잘 어울린다.",,나라셀라,1/5,3/5,2/5,2/5,"블랙커런트, 레드커런트, 체리, 꽃, 미네랄","그릴요리, 소고기, 바비큐, 오리고기, 치즈",Alsace Pinot Noir,,
"구스타브 로렌츠, 게뷔르츠트라미너 리저브","Gustave Lorentz, Gewurztraminer Reserve",https://www.wine21.com/13_search/wine_view.html?Idx=164546&lq=LIST,구스타브 로렌츠  Gustave Lorentz,프랑스(France) / 알자스(Alsace),게뷔르츠트라미너 (Gewurztraminer) 100%,Alsace AOC(AOP),,8~10 ℃,"생강 펜넨 들 허브와 스파이스를 곁들인 매콤한 생선요리, 훈제 연어, 중식, 태국 요리, 뮌스터 치즈, 블루 치즈 등과  잘 어울린다.","*2017 빈티지: 2019 대한민국 주류대상 - 구대륙 화이트 부문 Best of 2019*2015 빈티지: Wine Spectator 86점, Wine Enthusiast 90점*2016 카타르 항공 비즈니스 클래스",나라셀라,1/5,3/5,4/5,1/5,"살구, 잼, 크림","연어, 치즈",Alsace Gewürztraminer,,
"보데가스 까레, 레드 블렌드","Bodegas Care, Red Blend",https://www.wine21.com/13_search/wine_view.html?Idx=164547&lq=LIST,보데가스 카레  Bodegas Care,스페인(Spain) / 까리네냐(Carinena),가르나차 (Garnatxa) 50% / 시라/쉬라즈 (Syrah/Shiraz) 40% / 카베르네 소비뇽 (Cabernet Sauvignon) 10%,,13.5 %,15~17 ℃,"블고기, 양념갈비, 로스트비프, 바비큐, 그릴요리, 족발, 한국음식 과 잘 어울린다.","*2013 Decanter Bronze Medal*2013 빈티지: Guia Penin 88점, Wine & Spirits 89점*2015 빈티지: Guia Penin 87점",레뱅,1/5,3/5,3/5,3/5,,바비큐,Spanish Red,,
"세뇨리오 드 이니에스타, 로사도 보발","Senorio de Iniesta, Rosado Bobal",https://www.wine21.com/13_search/wine_view.html?Idx=164548&lq=LIST,보데가 유니온 캄페시나 이니에스텐스 [유씨아이]  Bodega Union Campesina Iniestense [UCI],스페인(Spain) / 만추엘라(Manchuela),보발 (Bobal) 100%,,,10~12 ℃,"새우 구이, 살사 소스 멕시칸 푸드, 칠리 새우, 치즈 플레터, 소시지, 빠에야, 볼로네제 파스타, 각종 스낵류, 오븐 구이 치킨 등과 잘 어울린다.",,더블유에스통상,1/5,3/5,3/5,1/5,"체리, 딸기, 오렌지, 멜론, 장미, 바질, 루꼴라","소시지, 치킨, 새우, 파스타, 치즈, 스낵",,"유기농 인증, 비건 인증",
"토레스, 비냐 에스메랄다 스프링 에디션","Torres, Vina Esmeralda Spring Edition",https://www.wine21.com/13_search/wine_view.html?Idx=164549&lq=LIST,미구엘 토레스  Miguel Torres,스페인(Spain) / 까탈루냐(Cataluna),모스카텔 (Moscatel) 97% / 게뷔르츠트라미너 (Gewurztraminer) 3%,,11.5 %,6~8 ℃,"조개류의 요리, 생선요리, 달콤하고 신 맛의 소스를 곁들인 닭고기, 돼지고기 등과 잘 어울린다.",*2011 빈티지: Decanter World Wine Awards 2012 Silver Medal*2015 빈티지: Decanter 90점,신동와인,3/5,3/5,2/5,1/5,바나나,닭고기,,,
"도멘 미쉘 그로,  오뜨 꼬뜨 드 뉘 퐁텐 생 마르땅 모노폴","Domaine Michel Gros, Hautes Cotes de Nuits Fontaine Saint Martin Monopole",https://www.wine21.com/13_search/wine_view.html?Idx=164550&lq=LIST,도멘 미쉘 그로  Domaine Michel Gros,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 부르고뉴 오뜨 꼬뜨 드 뉘(Bourgogne Hautes Côtes de Nuits),피노 누아 (Pinot Noir) 100%,Bourgogne Hautes Côtes de Nuits AOC(AOP),12~13 %,14~16 ℃,"칠면조, 가금류, 치즈 등과 잘 어울린다.","*2014 빈티지: Gilbert & Gaillard 90점, Time Atkin 89점",,1/5,3/5,3/5,3/5,"체리, 미네랄, 오크",치즈,Burgundy Red,,Old French Oak에서 16개월 숙성
"도멘 드 라 호예르, 시라 보클루즈","Domaine de la Royere, Syrah Vaucluse",https://www.wine21.com/13_search/wine_view.html?Idx=164551&lq=LIST,도멘 드 라 호예르  Domain de la Royere,프랑스(France) / 론(Rhone),시라/쉬라즈 (Syrah/Shiraz) 85% / 까리냥 (Carignan/Carignane) 15%,,14~15 %,15~17 ℃,"연성치즈, 오리 가슴살, 붉은 생상의 육류, 그릴 요리 등과 잘 어울린다.",,,1/5,3/5,4/5,4/5,"블랙커런트, 건포도, 아몬드",치즈,,,
"도멘 드 라 호예르, 루베롱 블랑","Domaine de la Royere, Luberon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=164552&lq=LIST,도멘 드 라 호예르  Domain de la Royere,프랑스(France) / 론(Rhone),그르나슈 블랑 (Grenache Blanc) 55% / 클레렛  (Clairette) 15% / 롤 (Rolle) 15% / 비오니에 (Viognier) 15%,Luberon AOC(AOP),13~14 %,10~12 ℃,"생선, 해산물류, 그릴드 야채, 치즈, 가금류 백숙 등과 잘 어울린다.",,,1/5,3/5,3/5,1/5,아몬드,"가금류, 해산물, 야채, 치즈",,,
"도멘 드 라 호예르, 루베롱 오피둠","Domaine de la Royere, Luberon Oppidum Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=164553&lq=LIST,도멘 드 라 호예르  Domain de la Royere,프랑스(France) / 론(Rhone),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 누아  (Grenache Noir) / 까리냥 (Carignan/Carignane),Luberon AOC(AOP),14.5 %,15~17 ℃,"살라미 등의 햄류, 치즈, 가금류, 스테이크 등과 잘 어울린다.",*2017 Concours General Agricole in Paris: Gold Medal*2018 Concours General Agricole in Paris: Gold Medal,,1/5,3/5,4/5,4/5,"건포도, 허브, 토스트","스테이크, 햄, 살라미, 가금류, 치즈",,,
"도멘 드 라 호예르, 꼬뜨 뒤 론 루즈","Domaine de la Royere, Cote du Rhone Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=164554&lq=LIST,도멘 드 라 호예르  Domain de la Royere,프랑스(France) / 론(Rhone) / 꼬뜨 뒤 론(Côtes du Rhone),그르나슈 (Grenache) / 쌩쏘 (Cinsault),Côtes du Rhône AOC(AOP),14~15 %,15~17 ℃,"모르따델라, 삼겹살, 치킨, 그릴드 야채, 지중해 요리 등과 잘 어울린다.",,,1/5,3/5,4/5,4/5,"건포도, 생강","치킨, 야채",Southern Rhône Red,,
"도멘 드 라 호예르, 샤또네프 뒤 파프","Domaine de la Royere, Chateauneuf du Pape",https://www.wine21.com/13_search/wine_view.html?Idx=164555&lq=LIST,도멘 드 라 호예르  Domain de la Royere,프랑스(France) / 론(Rhone) / 샤또네프 뒤 빠쁘(Chateauneuf du Pape),그르나슈 (Grenache) / 시라/쉬라즈 (Syrah/Shiraz),Châteauneuf-du-Pape AOC(AOP),13~14 %,15~17 ℃,"초콜릿, 족발, 스테이크, 꼬꼬뱅, 치즈 등과 잘 어울린다.",*2014 Concours des vins ORANGE - Medaille de bronze*Gilbert & Gaillard 89점,,1/5,4/5,4/5,5/5,"장미, 감초, 초콜릿","스테이크, 족발, 치즈, 초콜릿",Southern Rhône Red,,
"뒥 드 메지에르, 모엘루","Duc de Meziere, Moelleux",https://www.wine21.com/13_search/wine_view.html?Idx=164556&lq=LIST,뒥 드 메지에르  Duc de Meziere,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 베르쥬악(Bergerac),세미용 (Semillon) / 소비뇽 블랑 (Sauvignon Blanc) / 뮈스까델 (Muscadelle),Bergerac AOC(AOP),,10~12 ℃,"샐러드, 푸아그라, 사과나 레몬 파이 등의 디저트류 등과 잘 어울린다.",*2016 Concours des grands vins de Macon: Medaille D'OR,,1/5,3/5,3/5,1/5,"레몬, 꽃, 타르, 꿀","푸아그라, 샐러드, 디저트",,,
"프리츠 빈디쉬, 알스하이머 보크슈타인 오르테가 베른아우스레제","Fritz Windisch, Elsheimer Bockstein Ortega Beerenauslese",https://www.wine21.com/13_search/wine_view.html?Idx=164558&lq=LIST,프리츠 빈디쉬 와이너리  Fritz Windisch Winery,독일(Germany) / 라인헤센(Rheinhessen),오르테가 (Ortega) 100%,,9~10 %,6~8 ℃,"케이크, 쿠키, 디저트류, 과일 등과 잘 어울린다.",*International Wine Challenge 금메달,,5/5,2/5,4/5,1/5,"살구, 배, 말린무화과, 말린살구, 꿀","과일, 견과류, 치즈, 에뿌아쓰, 블루치즈, 콩테, 그뤼에르, 타르트, 브루스케타",,,
"프리츠 빈디쉬, 니어스타이너 슈피겔베르그 리슬링 카비넷","Fritz Windisch, Niersteiner Spiegelberg Riesling Kabinett",https://www.wine21.com/13_search/wine_view.html?Idx=164559&lq=LIST,프리츠 빈디쉬 와이너리  Fritz Windisch Winery,독일(Germany) / 라인헤센(Rheinhessen),리슬링 (Riesling) 100%,,8~9 %,10~12 ℃,"샐러드, 부드러운 채소, 고기류, 과일 등과 잘 어울린다.",,,3/5,4/5,2/5,1/5,"살구, 복숭아, 사과, 미네랄, 꿀","꼬치구이, 바비큐, 양꼬치, 훈제오리, 떡볶이, 중국요리, 동남아요리, 아시아요리, 매운음식, 채소, 샐러드, 과일, 타르트, 초콜릿, 티라미수",German Riesling,,
"프리츠 빈디쉬, 알스하이머 뢰머베르그 리슬링 아우스레제","Fritz Windisch, Alsheimer Romerberg Riesling Auslese",https://www.wine21.com/13_search/wine_view.html?Idx=164560&lq=LIST,프리츠 빈디쉬 와이너리  Fritz Windisch Winery,독일(Germany) / 라인헤센(Rheinhessen),리슬링 (Riesling) 100%,,10~11 %,8~10 ℃,"샐러드, 부드러운 채소, 쿠키, 과일 등과 잘 어울린다.",,,4/5,3/5,3/5,1/5,꿀,과일,German Riesling,,
