와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,등급,양조,숙성,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,스타일,알코올,기타정보
"캘러마이스터, 랄프스 앙상블 리저브 레드","Kellermeister, Ralph's Ensemble Reserve Red",https://www.wine21.com/13_search/wine_view.html?Idx=171974&lq=LIST,캘러마이스터  Kellermeister,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 50% / 말벡 (Malbec) 25% / 시라/쉬라즈 (Syrah/Shiraz) 20% / 메를로 (Merlot) 5%,,,30개월 프렌치 오크 숙성,16~18 ℃,"구운 양고기, 베이컨, 라즈베리 소스를 곁들인 돼지고기 안심살, 미트로프, 타진 등과 잘 어울린다.",바쿠스,1/5,3/5,4/5,4/5,"배, 라벤더, 후추",양고기,,14~15 %,*London Wine Competition – Gold*Vienna International Wine Competition – Gold
"캘러마이스터, 램블링 루인스 피노 그리","Kellermeister, Rambling Ruins Pinot Gris",https://www.wine21.com/13_search/wine_view.html?Idx=171975&lq=LIST,캘러마이스터  Kellermeister,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),피노 그리 (Pinot Gris) 100%,,,,8~10 ℃,"가벼운 생선 요리, 게, 크림 치즈와 같이 부드러운 우유 치즈 등과 잘 어울린다.",바쿠스,1/5,4/5,2/5,1/5,"라임, 미네랄",치즈,Australian Pinot Gris,12~13 %,
"캘러마이스터, 바로사 빈야드 리저브 레드","Kellermeister, Barossa Vineyard Reserve Red",https://www.wine21.com/13_search/wine_view.html?Idx=171976&lq=LIST,캘러마이스터  Kellermeister,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) / 기타 품종 (Other Grapes),,,24개월 프렌치 오크 숙성,16~18 ℃,,바쿠스,1/5,3/5,4/5,3/5,"자두, 바닐라, 민트, 코코넛, 흙",,Australian Shiraz,14~15 %,* Halliday Wine Companion – 94 pts
"캘러마이스터, 웜밧 제너럴 리즐링","Kellermeister, Wombat General Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=171977&lq=LIST,캘러마이스터  Kellermeister,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),리슬링 (Riesling) 100%,,,,8~10 ℃,"탄두리 치킨, 스파이시한 오리 고기, 하와이안 피자, 훈제 소시지 등과 잘 어울린다.",바쿠스,1/5,4/5,2/5,1/5,"시트러스, 꽃, 부싯돌, 꿀","바비큐, 소시지, 닭강정, 오리고기, 치킨, 생선구이, 편육, 나물, 피자, 탕수육, 치즈, 리코타, 모짜렐라",Australian Riesling,12~13 %,
"캘러마이스터, 파이어스 파이어니어 쉬라즈","Kellermeister, Pious Pioneer Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=171978&lq=LIST,캘러마이스터  Kellermeister,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,,,30개월 프렌치 오크 숙성 (20% 새 오크),16~18 ℃,,바쿠스,1/5,3/5,4/5,3/5,"배, 라벤더, 후추",,Australian Shiraz,14~15 %,*Halliday Wine Companion – 95 pts*Vienna International Wine Competition – Gold*Syrah du Monde – Silver
"캘러마이스터, 퍼스트본 쉬라즈","Kellermeister, Firstborn Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=171979&lq=LIST,캘러마이스터  Kellermeister,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,,,30개월 프렌치 오크 숙성,16~18 ℃,,바쿠스,1/5,3/5,3/5,3/5,"체리, 자두, 초콜릿",,Australian Shiraz,14~15 %,*Vienna International Wine Competition – Gold*Syrah du Monde – Silver*Wine Showcase – 92 pts
"클럼프, 그라우부르군더","Klumpp, Grauburgunder",https://www.wine21.com/13_search/wine_view.html?Idx=171980&lq=LIST,바인굿 클럼프  Weingut Klumpp,독일(Germany) / 바덴(Baden),그라우부르군더 (Grauburgunder) 100%,,,"25% 프렌치 오크, 75% 스테인리스 스틸 숙성",8~10 ℃,,바쿠스,2/5,3/5,3/5,1/5,"사과, 시트러스, 허브",,German Grauburgunder,13~14 %,
"클럼프, 리즐링","Klumpp, Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=171981&lq=LIST,바인굿 클럼프  Weingut Klumpp,독일(Germany) / 바덴(Baden),리슬링 (Riesling) 100%,,15도의 온도에서 3주간 발효,스테인리스 스틸 숙성,8~10 ℃,,바쿠스,2/5,3/5,3/5,1/5,"사과, 열대과일",,German Riesling,12~13 %,*The Global Riesling Masters – Silver
"클럼프, 바이스부르군더","Klumpp, Weissburgunder",https://www.wine21.com/13_search/wine_view.html?Idx=171982&lq=LIST,바인굿 클럼프  Weingut Klumpp,독일(Germany) / 바덴(Baden),바이스부르군더 (Weissburgunder) 100%,,16도의 온도에서 20일 동안 발효,스테인리스 스틸 숙성,8~10 ℃,,바쿠스,2/5,3/5,3/5,1/5,"사과, 멜론, 크림",,,12~13 %,
"피오 체사레, 일 네비오","Pio Cesare, Il Nebbio",https://www.wine21.com/13_search/wine_view.html?Idx=171983&lq=LIST,피오 체사레  Pio Cesare,이탈리아(Italy) / 피에몬테(Piemonte),네비올로 (Nebbiolo) / 피노 누아 (Pinot Noir),,,,14~16 ℃,"슈니첼, 토마토파스타, 페페로니피자 등과 잘 어울린다.",씨에스알와인,1/5,3/5,3/5,3/5,"레드커런트, 자두",,Italian Nebbiolo,,
"클럼프, 블랑","Klumpp, Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=171984&lq=LIST,바인굿 클럼프  Weingut Klumpp,독일(Germany) / 바덴(Baden),리슬링 (Riesling) 60% / 소비뇽 블랑 (Sauvignon Blanc) 30% / 쇼이레베 (Scheurebe) 10%,,15도의 온도에서 3주간 발효,스테인리스 스틸 숙성,8~10 ℃,,바쿠스,2/5,3/5,3/5,1/5,"블랙커런트, 멜론",,,12~13 %,
"핸드 인 핸드, 슈페트부르군더","Hand in Hand, Spatburgunder",https://www.wine21.com/13_search/wine_view.html?Idx=171986&lq=LIST,핸드 인 핸드  Hand in Hand,,슈페트부르군더 (Spatburgunder) 100%,,"손 수확, 2주간 발효",12개월 오크 숙성,14~16 ℃,,바쿠스,2/5,2/5,3/5,2/5,,,German Spätburgunder,13~14 %,
어댑테이션 까베르네 소비뇽,Adaptation Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=171987&lq=LIST,플럼잭 와이너리  PlumpJack Winery,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 80% / 메를로 (Merlot) 18% / 쁘띠 쉬라 (Petit Syrah) 2%,Napa Valley AVA,스테인리스 스틸에서 발효,18개월 오크 숙성 (50% 새 오크),16~18 ℃,,바쿠스,1/5,2/5,5/5,4/5,자두,자두,,14~15 %,
케이드 소비뇽 블랑,Cade Sauvignon Blanc,https://www.wine21.com/13_search/wine_view.html?Idx=171988&lq=LIST,플럼잭 와이너리  PlumpJack Winery,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),소비뇽 블랑 (Sauvignon Blanc) 98% / 비오니에 (Viognier) 1% / 세미용 (Semillon) 1%,Napa Valley AVA,스테인리스 스틸 및 프렌치 오크에서 20일 동안 발효,5개월 스테인리스 스틸 숙성,8~10 ℃,,바쿠스,2/5,4/5,2/5,1/5,,,,14~15 %,
케이드 하우웰 마운틴 카베르네 소비뇽,Cade Howell Mountain Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=171989&lq=LIST,플럼잭 와이너리  PlumpJack Winery,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 하월 마운틴(Howell Mountain),카베르네 소비뇽 (Cabernet Sauvignon) 87% / 말벡 (Malbec) 6% / 메를로 (Merlot) 4% / 쁘띠 베르도 (Petit Verdot) 3%,Howell Mountain AVA,4~6일 동안 고온 발효,19개월 프렌치 오크 숙성 (67% New),16~18 ℃,,바쿠스,1/5,2/5,5/5,4/5,코코넛,,Napa Valley Cabernet Sauvignon,15~16 %,
"플럼잭, 리저브 샤도네이","Plumpjack, Reserve Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=171990&lq=LIST,플럼잭 와이너리  PlumpJack Winery,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),샤르도네 (Chardonnay) 100%,Napa Valley AVA,프렌치오크에서 발효,스테인리스 스틸 숙성,8~10 ℃,,바쿠스,2/5,3/5,4/5,1/5,리치,,Napa Valley Chardonnay,14~15 %,
"플럼잭, 메를로","Plumpjack, Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=171991&lq=LIST,플럼잭 와이너리  PlumpJack Winery,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),메를로 (Merlot) 94% / 카베르네 소비뇽 (Cabernet Sauvignon) 4% / 말벡 (Malbec) 2%,Napa Valley AVA,3~5일 저온 침지 후 발효,18개월 프렌치 오크 숙성 90% 및 아메리칸  오크 10% 숙성,16~18 ℃,,바쿠스,1/5,3/5,4/5,4/5,"자두, 바닐라, 코코아",,,15~16 %,
"플럼잭 에스테이트, 까베르네 소비뇽","Plumpjack Estate, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=171992&lq=LIST,플럼잭 와이너리  PlumpJack Winery,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 오크빌(Oakville),카베르네 소비뇽 (Cabernet Sauvignon) 88% / 말벡 (Malbec) 7% / 쁘띠 베르도 (Petit Verdot) 5%,Oakville AVA,3~4일 저온 침지 후 발효,20개월 프렌치 오크 숙성 (78% New),16~18 ℃,,바쿠스,1/5,3/5,5/5,4/5,바닐라,,,15~16 %,
"도멘 마뜨노 말라흐, 부르고뉴 꼬뜨 도르 블랑","Domaine Martenot Mallard, Bourgogne Cote d'Or Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=171993&lq=LIST,도멘 마뜨노 말라흐  Domaine Martenot Mallard,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) 100%,,"천연 효모만으로 발효, 줄기를 제거하지 않고 송이째 압착",50%의 포도는 스테인리스  스틸에서 양조되고 나머지 50%는 오크통 (25% New Oak) 에서 10개월 동안 양조 & 숙성,8~10 ℃,,,1/5,3/5,2/5,1/5,"아카시아, 미네랄, 토스트",,Burgundy White,,
"도멘 마뜨노 말라흐, 부르고뉴 오뜨 꼬뜨 드 본 블랑","Domaine Martenot Mallard, Bourgogne Hautes-Cotes de Beaune Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=171994&lq=LIST,도멘 마뜨노 말라흐  Domaine Martenot Mallard,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 부르고뉴 오뜨 꼬뜨 드 본(Bourgogne Hautes Côtes de Beaune),샤르도네 (Chardonnay) 100%,,"50%의 포도는 스테인리스 스틸에서 양조, 나머지 50%는 오크통 (25% 뉴오크) 에서 10개월 동안 양조",10개월 숙성,8~10 ℃,,,1/5,3/5,2/5,1/5,"레몬, 파인애플, 꽃, 미네랄",,Burgundy Côte de Beaune White,,
"도멘 마뜨노 말라흐, 생 로망 라 페리에르 레 비에이유 비뉴","Domaine Martenot Mallard, Saint-Romain La Perrière Les Vieilles Vignes",https://www.wine21.com/13_search/wine_view.html?Idx=171995&lq=LIST,도멘 마뜨노 말라흐  Domaine Martenot Mallard,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 생-로망(Saint-Romain),샤르도네 (Chardonnay) 100%,,포도는 줄기를 제거하지 않고 송이째 압착한다. 오크통에서 천연효모로 알코올 발효,14개월 숙성(30% New Oak)  후 병입,8~10 ℃,"가금류, 새우나 게 요리, 리조또와 잘 어울린다.",,1/5,3/5,3/5,1/5,"사과, 버터","가금류, 새우, 리조또",Burgundy White,,
"도멘 마뜨노 말라흐, 샤샤뉴 몽라쉐 퐁텐","Domaine Martenot Mallard, Chassagne-Montrachet Fontaine",https://www.wine21.com/13_search/wine_view.html?Idx=171996&lq=LIST,도멘 마뜨노 말라흐  Domaine Martenot Mallard,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 샤샤뉴-몽라셰(Chassagne-Montrachet),샤르도네 (Chardonnay) 100%,,포도 나무 수령은 평균 10년 이상으로 재배된 포도는 줄기를 제거하지 않고 송이째 압착,오크통에서 천연효모를 사용하여 발효과정을 거치고 13개월 동안 숙성 (30% New Oak),8~10 ℃,,,1/5,3/5,2/5,1/5,"자몽, 미네랄, 바닐라, 토스트, 꿀",,Burgundy Côte de Beaune White,,
"도멘 마뜨노 말라흐, 풀리니 몽라쉐","Domaine Martenot Mallard, Puligny Montrachet",https://www.wine21.com/13_search/wine_view.html?Idx=171997&lq=LIST,도멘 마뜨노 말라흐  Domaine Martenot Mallard,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay) 100%,,천연 효모만으로 발효를 진행,오크통에서 발효과정 후 약 14개월 동안 (40% New Oak) 숙성,8~10 ℃,,,1/5,3/5,3/5,1/5,"레몬, 꽃, 미네랄, 꿀",,Burgundy Côte de Beaune White,,
"샤토 라 불뜨 가스빠레, 퀴베 리저브","Chateau La Voulte Gasparets, Cuvee Reservee",https://www.wine21.com/13_search/wine_view.html?Idx=171998&lq=LIST,샤토 라 불뜨 가스빠레  Chateau La Voulte Gasparets,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 꼬르비에르(Corbieres),까리냥 (Carignan/Carignane) / 그르나슈 (Grenache) / 무르베드르 (Mourvedre) / 시라/쉬라즈 (Syrah/Shiraz),Corbières AOC(AOP),"38hl/ha로 생산량 조절, 손 수확",6개월간 바리끄(Barrique)에서 숙성,16~18 ℃,,,1/5,3/5,4/5,4/5,미네랄,,Languedoc-Roussillon Red,,
"도멘 폴 마스, 비녜 드 니콜 루즈","Domaines Paul Mas, Vignes de Nicole Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=171999&lq=LIST,도멘 폴 마스  Domaines Paul Mas,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),카베르네 소비뇽 (Cabernet Sauvignon) / 시라/쉬라즈 (Syrah/Shiraz),Pays d'Oc IGP,,8개월 동안 오크배럴 숙성,16~18 ℃,"육류, 파스타, 치즈와 잘 어울린다.",에노테카코리아,1/5,3/5,4/5,3/5,블랙커런트,"파스타, 치즈",Languedoc-Roussillon Red,14~15 %,
"도멘 폴 마스, 비녜 드 니콜 블랑","Domaines Paul Mas, Vignes de Nicole Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=172000&lq=LIST,도멘 폴 마스  Domaines Paul Mas,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),샤르도네 (Chardonnay) / 비오니에 (Viognier),,,"샤르도네, 3개월동안 50% 씩 프렌치 오크배럴과 아메리칸 오크배럴에서 숙성 / 비오니에, 스테인레스 스틸 탱크 숙성",8~10 ℃,"조개구이, 생선, 고기, 인도 음식, 카나페와 잘 어울린다.",에노테카코리아,1/5,3/5,2/5,1/5,"열대과일, 미네랄, 바닐라",조개구이,Languedoc-Roussillon White,13~14 %,
샤토 폴 마스 클로 사비냑,Chateau Paul Mas Clos Savignac,https://www.wine21.com/13_search/wine_view.html?Idx=172001&lq=LIST,도멘 폴 마스  Domaines Paul Mas,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),무르베드르 (Mourvedre) / 시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache),,,10개월 동안 오크 배럴에서 숙성,16~18 ℃,"구운 갈비살과 티본 스테이크, 양고기와 잘 어울린다.",에노테카코리아,1/5,3/5,4/5,4/5,코코넛,"스테이크, 양고기",Languedoc-Roussillon Red,14~15 %,
"도멘 폴 마스, 1892 루즈","Domaines Paul Mas, 1892 Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=172002&lq=LIST,도멘 폴 마스  Domaines Paul Mas,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),까리냥 (Carignan/Carignane) / 무르베드르 (Mourvedre) / 그르나슈 (Grenache) / 카베르네 소비뇽 (Cabernet Sauvignon),Pays d'Oc IGP,,5개월동안 아메리칸 오크통에서 와인의 30% 숙성,16~18 ℃,"오리고기, 볼로냐, 라자냐와 잘 어울린다.",에노테카코리아,1/5,3/5,4/5,3/5,"딸기, 자두","오리고기, 라자냐",Languedoc-Roussillon Red,13~14 %,
"도멘 폴 마스, 1892 블랑","Domaines Paul Mas, 1892 Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=172003&lq=LIST,도멘 폴 마스  Domaines Paul Mas,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),샤르도네 (Chardonnay) / 그르나슈 블랑 (Grenache Blanc),Pays d'Oc IGP,,3개월 동안 배럴에서 앙금 숙성,8~10 ℃,"구운 장어, 돼지고기, 코코넛 밀크를 곁들인 가리비와 잘 어울린다.",에노테카코리아,1/5,3/5,2/5,1/5,모과,장어,Languedoc-Roussillon White,12~13 %,
"도멘 폴 마스, 리저브 랑그독 루즈 GSM","Domaines Paul Mas, Reserve Languedoc Rouge GSM",https://www.wine21.com/13_search/wine_view.html?Idx=172004&lq=LIST,도멘 폴 마스  Domaines Paul Mas,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),그르나슈 (Grenache) / 시라/쉬라즈 (Syrah/Shiraz) / 무르베드르 (Mourvedre),,,4개월 동안 아메리칸 배럴과 오크배럴에서 40% 숙성 나머지 60% 스테인레스 숙성,16~18 ℃,"구워진 고기, 치즈, 갈비찜, 양념갈비와 잘 어울린다.",에노테카코리아,1/5,3/5,4/5,4/5,"체리, 크랜베리, 라스베리, 자두, 리치, 후추, 바닐라, 오크","그릴요리, 스테이크, 바비큐, 양갈비, 양념갈비, 갈비찜, 라자냐, 자두, 치즈, 브리, 고르곤졸라, 블루치즈, 스모크",Languedoc-Roussillon Red,13~14 %,
"도멘 폴 마스, 세크레 아상블라쥬","Domaines Paul Mas, Secret d'Assemblage",https://www.wine21.com/13_search/wine_view.html?Idx=172005&lq=LIST,도멘 폴 마스  Domaines Paul Mas,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),샤르도네 (Chardonnay) / 비오니에 (Viognier) / 뮈스까 (Muscat),Pays d'Oc IGP,,4개월 동안 스테인레스에서 앙금 숙성,8~10 ℃,"해산물과 생선요리, 커리, 블루치즈, 타르트와 잘 어울린다.",에노테카코리아,1/5,3/5,2/5,1/5,살구,"해산물, 타르트",Languedoc-Roussillon White,12~13 %,
"도멘 폴 마스, 카베르네 소비뇽","Domaines Paul Mas, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=172006&lq=LIST,도멘 폴 마스  Domaines Paul Mas,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),카베르네 소비뇽 (Cabernet Sauvignon),Pays d'Oc IGP,,"4개월동안 오크배럴에서 20% 숙성, 나머지 80% 스테인레스 숙성",16~18 ℃,"구운 갈비, 고기스튜, 찐 가금류와 잘 어울린다.",에노테카코리아,1/5,3/5,4/5,4/5,"피망, 바닐라, 허브","스튜, 가금류",Languedoc-Roussillon Red,13~14 %,
"무똥 까데, 뱅 비오","Mouton Cadet, Vin Bio",https://www.wine21.com/13_search/wine_view.html?Idx=172007&lq=LIST,무똥 까데  Mouton Cadet,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc),Bordeaux AOC(AOP),,,10~12 ℃,"소고기 비빔밥, 소고기 타르타르, 야채 볼로냐 스파게티, 고구마 브라우니와 잘 어울린다.",,1/5,2/5,3/5,3/5,"라스베리, 체리, 블랙베리, 감초","소고기, 비빔밥, 야채",Bordeaux Red,14~15 %,"* 2019 빈티지: 콩쿠르 몽디알 드 브뤼셀 은메달* 2019 빈티지: 엘르 아 따블르 은메달* 2019 빈티지: 콩쿠르 르 드 뱅 은메달* 무똥까데의 스타일과 노하우는 유지하면서 유기농 인증을 받은 와인으로, 붉은 과일류의 풍성한 미감과 긴 여운이 특징이다. 농약 사용은 최소한으로 제한하고, 양조하는 과정에서 이산화황의 사용량을 획기적으로 줄였으며, 라벨은 재생지를 사용하고 병은 재활용이 가능한 유리를 사용하는 등 지구와 환경에 미치는 영향을 효과적으로 줄여 생산한 100% 유기농 와인이다."
"무똥 까데, 비오 로제","Mouton Cadet, Bio Rose",https://www.wine21.com/13_search/wine_view.html?Idx=172008&lq=LIST,무똥 까데  Mouton Cadet,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc) / 말벡 (Malbec) / 카베르네 소비뇽 (Cabernet Sauvignon),Bordeaux AOC(AOP),,,8~10 ℃,"해산물 모둠요리, 요거트에 채소를 넣어 만든 소스가 곁들여진 차지끼 스프레드, 야채 튀김만두 또는 비트 무스와 잘 어울린다.",,2/5,3/5,3/5,1/5,"레드커런트, 자몽, 미네랄","해산물, 만두, 튀김",,12~13 %,"* 무똥까데가 선보이는 야심작. 대서양 연안의 라이프스타일을 담아 즐겁고 활기찬 느낌의 여름 식전주로 제안하는 완벽한 로제 와인. 유기농과 비건 인증을 받았으며, 프랑스의 유명 와인 저널리스트 티에리 드소브가 블렌딩에 참여하여 최상의 여름 로제 와인으로 탄생하였다. 숙련된 기술로 뽑아낸 첫 압착의 연한 핑크 컬러에 신선한 과일 풍미와 기분 좋은 산미가 더해져 프레시하고 현대적인 감각이 돋보인다. 각기 다른 3개의 산뜻하고 이국적인 라벨 디자인으로 출시되어 컬렉션의 기쁨도 맛볼 수 있다."
"무똥 까데, 리저브 오메독","Mouton Cadet, Reserve Haut Medoc",https://www.wine21.com/13_search/wine_view.html?Idx=172010&lq=LIST,무똥 까데  Mouton Cadet,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc),,,,16~18 ℃,"매운 소고기가 곁들여진 베트남 쌀국수, 버섯 소스를 곁들인 스테이크 또는 숙성 미몰레트 치즈와 잘 어울린다.",,1/5,2/5,4/5,4/5,체리,버섯,Bordeaux Red,13~14 %,* 복합적이고 향기로운 아로마와 구조가 잘 잡힌 파워풀한 스타일이 특징인 오메독 와인의 전형을 보여주는 대표 주자이다.
"무똥 까데, 리저브 페삭 레오냥","Mouton Cadet, Reserve Pessac Leognan",https://www.wine21.com/13_search/wine_view.html?Idx=172011&lq=LIST,무똥 까데  Mouton Cadet,프랑스(France) / 보르도(Bordeaux) / 뻬싹-레오냥(Pessac-Leognan),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),,,,16~18 ℃,"달게 졸인 돼지고기 덮밥, 바스크식 치킨스튜, 트러플 리조토와 잘 어울린다.",,1/5,2/5,5/5,5/5,"체리, 블랙베리, 아몬드","스튜, 치킨, 리조토, 트러플",Bordeaux Pessac-Léognan,14~15 %,"*2018 빈티지 : 팔슈타프 91점*2018 빈티지 : 비날리 인터내셔널 금메달* 페삭-레오냥 와인의 전형적인 특징이 풍성하게 드러나며, 농밀한 과일 풍미에 뛰어난 밸런스를 갖춘 와인. 보르도의 남쪽 교외에 위치한 페삭- 레오냥은 1987년에 탄생한 가장 최근의 보르도 아뺄라시옹이다."
"피치니, 코지 키안티","Piccini, Cosi Chianti",https://www.wine21.com/13_search/wine_view.html?Idx=172012&lq=LIST,피치니  Piccini,이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese) / 메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),,,,16~18 ℃,"토마토소스 피자나 파스타, 육류요리, 치즈, 치킨과 잘 어울린다.",신세계엘앤비,1/5,3/5,4/5,3/5,"배, 꽃","육류요리, 치킨, 치즈",Italian Chianti,13~14 %,
"프랑소와 크로쉐, 상세르 블랑","Francois Crochet, Sancerre Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=172013&lq=LIST,프랑소와 크로쉐  Francois Crochet,프랑스(France) / 루아르(Loire) / 센트럴 루아르(Central Loire) / 상세르(Sancerre),소비뇽 블랑 (Sauvignon Blanc) 100%,,"압착, 침전 후 천연효모를 사용한 알코올 발효",9개월간의 스테인레스 숙성 (No oak ageing ),8~10 ℃,"상쾌한 산미와 미네랄로 인한 조개류, 해산물 요리와 잘 어울린다.",레드와인앤제이와이,1/5,4/5,1/5,1/5,감귤,해산물,Upper Loire White,13~14 %,
"프랑소와 크로쉐, 상세르 블랑 레 자무레즈","Francois Crochet, Sancerre Blanc Les Amoureuses",https://www.wine21.com/13_search/wine_view.html?Idx=172014&lq=LIST,프랑소와 크로쉐  Francois Crochet,프랑스(France) / 루아르(Loire) / 센트럴 루아르(Central Loire) / 상세르(Sancerre),소비뇽 블랑 (Sauvignon Blanc),,상세르 블랑 레자무르즈,18개월간의 프랜치오크 숙성,8~10 ℃,"상쾌한 산미와 미네랄로 인한 조개류, 해산물 요리와 잘 어울린다.",레드와인앤제이와이,1/5,4/5,2/5,1/5,"사과, 레몬, 꽃",해산물,Upper Loire White,14~15 %,*La Revue du Vin de France 16.0 / 20 (2019 vin)*Vinum Wine Magazine 17.5 / 20 (2014 vin)
"프랑소와 크로쉐, 상세르 블랑 에그질","Francois Crochet, Sancerre Blanc Exils",https://www.wine21.com/13_search/wine_view.html?Idx=172015&lq=LIST,프랑소와 크로쉐  Francois Crochet,프랑스(France) / 루아르(Loire) / 센트럴 루아르(Central Loire) / 상세르(Sancerre),소비뇽 블랑 (Sauvignon Blanc) 100%,,천연효모를 사용한 알코올 발효,18개월간의 프랜치오크 숙성,8~10 ℃,"훈제요리, 구운해산물, 푸른생선류와 잘 어울린다.",레드와인앤제이와이,1/5,4/5,2/5,1/5,"배, 감귤, 미네랄",해산물,Upper Loire White,13~14 %,*La Revue du Vin de France 15.5 / 20 (2019 vin)*Vinum Wine Magazine 17.0 / 20 (2014 vin)
"샤또 팔레 카디날, 람포르 카베르네 소비뇽","Chataeu Palais Cardinal, L'Amphore Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=172016&lq=LIST,샤또 팔레 카디날  Chataeu Palais Cardinal,프랑스(France) / 보르도(Bordeaux) / 생-떼밀리옹(Saint-Emilion),카베르네 소비뇽 (Cabernet Sauvignon),,"자갈토 포도밭의 평균 수령 40년, 최대 70년의 포도나무에서 생산, 이산화황 미첨가",과실의 풍미를 내기 위해 구운 토기 (테라코타)에서 숙성,16~18 ℃,,,1/5,3/5,4/5,4/5,미네랄,,Bordeaux Saint-Émilion,,
