와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,알코올,음용온도,기타정보,당도,산도,바디,타닌,아로마,음식매칭,양조,숙성,수입사,등급,추천음식
"헤어스 체이스, 더 아이언스크래퍼","Hare's Chase, The Ironscraper",https://www.wine21.com/13_search/wine_view.html?Idx=176209&lq=LIST,헤어스 체이스  Hare's Chase,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz),Australian Shiraz,14~15 %,16~18 ℃,"* Andrew Caillard MW, Vintage Journal 2023 - 94 POINTS* Wine Enthusiast Importer Connection, March 2023 - 92 POINTS* Halliday Wine Companion 2024 - 91 POINTS* Korea Wine Challenge 2023, MundusVini Summer Tasting 2022 - 2 Gold Medals* Decanter World Wine Awards 2023, UK International Wine & Spirits Competition 2023 - 2 Bronze Medals* Marananga Wine Show 2023 - 1 Sliver* Barossa Wine Show 2023 - 1 Bronze",1/5,3/5,4/5,3/5,"체리, 딸기, 라스베리, 자두, 후추, 시나몬, 초콜릿","미트, 안심, 소고기, 스테이크, 항정살, 오겹살, 돼지고기, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 갈비탕, 서양요리, 자두, 에뿌아쓰, 로크포르, 블루치즈",Vegan friendly. Sustainability. The wine was processed in small open top fermenters with twice daily pump-over.,"At the completion of fermentation, the wine was pressed with free-run and pressings combined and filled to neutral oak hogsheads to soften and stabilize prior to blending and packaging.",,,
"크래기 레인지, 와일드 락 피노 누아","Craggy Range, Wild Rock Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=176210&lq=LIST,크래기 레인지  Craggy Range,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),피노 누아 (Pinot Noir),New Zealand Pinot Noir,13~14 %,14~16 ℃,,1/5,4/5,2/5,2/5,"체리, 딸기, 자두, 꽃, 세이지, 오크","바비큐, 돼지고기, 양고기, 건육, 오리고기, 자두, 치즈, 고다, 브리, 콩테",25% 손 수확.,프렌치 오크 바리크 9개월 숙성.,,,
"헤어스 체이스, 비질런스","Hare's Chase, Vigilance",https://www.wine21.com/13_search/wine_view.html?Idx=176211&lq=LIST,헤어스 체이스  Hare's Chase,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz),Australian Shiraz,14~15 %,16~18 ℃,* Silver Marananga Wine Show 2023 - 1 Silver* Barossa Wine Show 2023 - 1 Bronze,1/5,3/5,4/5,3/5,"블랙커런트, 블랙베리, 자두, 바닐라, 타바코, 오크","미트, 안심, 소고기, 스테이크, 항정살, 오겹살, 삼겹살, 양갈비, 불고기, 양념갈비, 갈비찜, 서양요리, 자두, 에뿌아쓰, 로크포르, 블루치즈, 스모크","Vegan friendly. Sustainability. hand-picked, destemmed and fermented in various 2.5 tonne and 5 tonne open top fermenters with twice daily pump-overs.",Transferred to oak and matured in a combination of new and seasoned French and American oak 300L hogsheads barrels for 18 months.,,,
"헤어스 체이스, 레퍼스","Hare's Chase, Lepus",https://www.wine21.com/13_search/wine_view.html?Idx=176213&lq=LIST,헤어스 체이스  Hare's Chase,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz),Australian Shiraz,14~15 %,16~18 ℃,"* Andrew Caillard MW, Vintage Journal 2023 - 96 POINTS* Erin Larkin, The Wine Advocate 15th September 2022 - 95 POINTS* David Brookes, “Halliday Wine Companion”, 10th May 2023 - 94 POINTS* MundusVini Summer Tasting 2022 - 1 Gold Medal* Decanter World Wine Awards 2023 - 1 Silver Medal* Barossa Wine Show 2023 - 1 Bronze",1/5,3/5,4/5,3/5,"블랙커런트, 블랙체리, 블랙베리, 자두, 후추","미트, 등심, 살치살, 스테이크, 항정살, 오겹살, 삼겹살, 돼지고기, 양갈비, 불고기, 양념갈비, 갈비찜, 서양요리, 자두, 에뿌아쓰, 로크포르, 블루치즈, 스모크","Vegan friendly, Sustainability. Twice daily pump-overs.","At the completion of fermentation, the wine was pressed with free-run and pressings combined and matured for 24 months in 30% new French and American oak hogsheads.",,,
"프리미 솔리, 산지오베제","Primi Soli, Sangiovese",https://www.wine21.com/13_search/wine_view.html?Idx=176214&lq=LIST,프리미 솔리  Primi Soli,이탈리아(Italy) / 뿔리아(Puglia),산지오베제 (Sangiovese),Southern Italy Red,12~13 %,16~18 ℃,,1/5,4/5,3/5,3/5,"블랙체리, 체리, 자두, 꽃, 정향, 감초, 오크","소고기, 육류요리, 붉은육류, 돼지고기, 건육, 불고기, 족발, 한식, 편육, 파스타, 서양요리, 자두, 견과류, 파르미지아노, 그라노파다노",,,,,
"메종 바불로, 시라","Maison Barboulot, Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=176215&lq=LIST,메종 바불로  Maison Barboulot,프랑스(France),시라/쉬라즈 (Syrah/Shiraz),Languedoc-Roussillon Red,13~14 %,16~18 ℃,*2019vin: Berliner Wine Trophy 2020 - Gold Medal,1/5,3/5,4/5,4/5,"체리, 후추","소고기, 돼지고기, 양념갈비, 수육, 견과류, 치즈",,,,Pays d'Oc IGP,"양념한 고기 요리, 돼지고기 수육과 잘 어울린다."
"캐빗, 로스카토 로쏘 스위트","Cavit, Roscato Rosso Sweet",https://www.wine21.com/13_search/wine_view.html?Idx=176216&lq=LIST,캐빗  Cavit,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),블렌드 (Blend ),,7~8 %,16~18 ℃,,3/5,3/5,3/5,2/5,"블랙체리, 블랙베리, 블루베리, 꽃","돼지고기, 양꼬치, 건육, 훈제오리, 오리로스, 불고기, 수육, 피자, 중국요리, 매운요리, 매운음식, 디저트, 케이크",,,,,
"킹 레빗, 메를로","King Rabbit, Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=176217&lq=LIST,킹 레빗  King Rabbit,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),메를로 (Merlot),,13~14 %,16~18 ℃,*2019vin: 2020 UK Sommelier Wine Awards Competition - Silver Medal,1/5,3/5,3/5,3/5,"블랙커런트, 라스베리, 후추, 오크","소고기, 아스파라거스, 버섯, 치즈",,,,Pays d'Oc IGP,"그릴된 야채와 소고기, 숙성된 치즈와 잘 어울린다."
"캐빗, 로스카토 로제 스위트","Cavit, Roscato Rose Sweet",https://www.wine21.com/13_search/wine_view.html?Idx=176218&lq=LIST,캐빗  Cavit,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),블렌드 (Blend ),,8~9 %,10~12 ℃,,3/5,3/5,2/5,2/5,"크랜베리, 살구, 복숭아","닭강정, 닭고기, 치킨, 해산물, 복숭아",,,,,
"캐빗, 로스카토 비앙코 스위트","Cavit, Roscato Bianco Sweet",https://www.wine21.com/13_search/wine_view.html?Idx=176219&lq=LIST,캐빗  Cavit,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),블렌드 (Blend ),,8~9 %,8~10 ℃,,3/5,3/5,2/5,1/5,"배, 시트러스, 열대과일, 리치, 망고","베이컨, 건육, 양념치킨, 닭강정, 디저트, 케이크, 스낵",,,,,
"킹 레빗, 카베르네 소비뇽","King Rabbit, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=176220&lq=LIST,킹 레빗  King Rabbit,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),카베르네 소비뇽 (Cabernet Sauvignon),Languedoc-Roussillon Red,13~14 %,16~18 ℃,*2019vin: 2020  Berliner Wine Trophy - Gold Medal,1/5,3/5,4/5,4/5,"블랙베리, 블랙체리, 피망","바비큐, 토마토파스타, 라자냐, 치즈",,,,Pays d'Oc IGP,"바비큐 요리, 라자냐, 토마토 파스타와 잘 어울린다."
"칸티네 만프레디, 카스텔로 델라 펠리시타","Cantine Manfredi, Castello della Felicita",https://www.wine21.com/13_search/wine_view.html?Idx=176221&lq=LIST,칸티네 만프레디  Cantine Manfredi,이탈리아(Italy) / 피에몬테(Piemonte),산지오베제 (Sangiovese) / 바르베라 (Barbera) / 돌체토 (Dolcetto),,11~12 %,16~18 ℃,,1/5,3/5,3/5,3/5,"체리, 딸기, 크랜베리, 장미","항정살, 오겹살, 양념치킨, 닭강정, 후라이드, 조개구이, 킹크랩, 불고기, 갈비찜, 동그랑땡, 잡채, 라자냐, 오일파스타, 피자, 짜장면, 에뿌아쓰, 로크포르, 블루치즈, 스모크",,,,,"감바스, 올리브, 오일 파스타 등과 잘 어울린다."
"킹 레빗, 소비뇽 블랑","King Rabbit, Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=176222&lq=LIST,킹 레빗  King Rabbit,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 꼬뜨 드 가스꼬뉴(Côtes de Gascogne),소비뇽 블랑 (Sauvignon Blanc),,,6~8 ℃,*2019vin: 2020  Berliner Wine Trophy - Gold Medal,1/5,4/5,2/5,1/5,"시트러스, 유칼립투스, 허브","초밥, 생선회, 해산물, 식전주, 샐러드",6시간 동안 침용 후 압착 & 발효,,,,"식전주, 초밥, 회, 샐러드와 잘 어울린다."
"드 보톨리, 라 보엠 피노 그리","De Bortoli, La Boheme Pinot Gris",https://www.wine21.com/13_search/wine_view.html?Idx=176223&lq=LIST,드 보톨리  De Bortoli,호주(Australia) / 빅토리아(Victoria) / 야라 밸리(Yarra Valley),피노 그리 (Pinot Gris) / 피노 블랑 (Pinot Blanc) / 리슬링 (Riesling) / 게뷔르츠트라미너 (Gewurztraminer),Australian Pinot Gris,13~14 %,8~10 ℃,* 2017 빈티지 – 2018 Sydney Royal Wine Show – Silver Medal,1/5,4/5,2/5,1/5,"배, 사과, 감귤, 레몬, 열대과일, 꽃","건육, 생선구이, 초밥, 생선회, 해산물, 샐러드",,,,,
원더랜드 투 킹 피노 누아,"Wonderland, Two King Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=176224&lq=LIST,더 원더랜드 프로젝트  The Wonderland Project,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County),피노 누아 (Pinot Noir),Californian Pinot Noir,13~14 %,12~14 ℃,"* Vivino: 4.2* 전직 소믈리에의 도전으로 탄생한 와인 – The Wonderland ProjectWonderland Project는 2010년 와인 중개상이자 소믈리에인 Matt Ahern이 소노마의 최고의 포도밭 주인들의 도움을 받아 시작되었습니다. 원더랜드 프로젝트는 현대 캘리포니아 와인들이 양조 과정에서 화학 성분 사용, 지나친 오크 숙성으로 인해 본연의 색깔을 잃고 있는 현실을 안타까워 하며, 테루아와 포도 품종의 특성을 살린 와인 생산을 하기로 결심합니다. 포도 자체의 천연 효모를 사용하고 양조에 있어서도 인간의 지나친 개입을 제한합니다. 예민한 미각을 지닌 고객들을 만족시킨 그의 와인은 고급 레스토랑에만 공급되었으나 현재는 집에서도 즐길 수 있게 되었습니다.초기 캘리포니아 와인에 대한 찬양과 사랑으로 시작된 원더랜드 프로젝트는 창립자인 Matt Ahern이 '이상한 나라의 앨리스'에게 보내는 노래이고 Matt가 사는 캘리포니아의 거리 이름이기도 합니다. Matt는 '이상한 나라의 앨리스'의 속편으로 1872년에 출간된 '거울 나라의 엘리스' 초판본을 소장하고 있습니다. 그는 이 책의 아트웍과 일러스트를 매우 사랑했고 이것을 그대로 자신의 와인 라벨에 담았습니다.",1/5,3/5,3/5,2/5,"블랙베리, 체리, 꽃, 바닐라, 오크","그릴요리, 스테이크, 바비큐, 돼지고기, 오리고기, 훈제오리, 갈비탕, 잡채, 서양요리, 치즈","소노마 카운티의 최고의 포도밭 3곳에서 손수확,  스테인레스 스틸 탱크에서 포도자체의 효모로 발효, 포도밭 구획에 따라 수확량의 0-30% 포도송이 전체 발효.",6개월 숙성. 필터링 하지 않은 원액에 이산화황 미첨가 병입.,콤마 와인,,"갈비찜, 오리고기, 잡채, 치즈"
"파포아, 그르나슈 누아","Parfoir, Grenache Noir",https://www.wine21.com/13_search/wine_view.html?Idx=176225&lq=LIST,파포아  Parfoir,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),그르나슈 (Grenache),,13~14 %,16~18 ℃,,1/5,3/5,3/5,3/5,"체리, 자두, 후추","파스타, 피자, 야채, 자두",,,,Pays d'Oc IGP,"치즈 피자, 구운 채소류, 라구 파스타와 잘 어울린다."
"토르고, 토르고 앤 탈","Torgo, Torgo & Tal",https://www.wine21.com/13_search/wine_view.html?Idx=176226&lq=LIST,토르고  Torgo,스페인(Spain) / 갈리시아(Galicia),알바리뇨 (Albarino(Alvarinho)) / 로우레이라 (Loureira) / 트레익사두라 (Treixadura),,14~15 %,6~8 ℃,,1/5,3/5,2/5,1/5,"청사과, 서양배, 미네랄, 로즈마리","광어, 농어, 해산물, 게살, 문어숙회, 조개구이, 어묵, 오일파스타, 버섯",,,,,"조개  베이스로 만든 스프, 버섯이 들어간 국물 등과 잘 어울린다."
"꾸스 라 헤인, 뮈스카 드 셍장 드 미네르부아","Cours la Reine, Muscat de Saint-Jean de Minervois",https://www.wine21.com/13_search/wine_view.html?Idx=176227&lq=LIST,꾸스 라 헤인  Cours la Reine,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 미네르브와(Minervois),뮈스까 블랑 쁘띠 그랑 (Muscat Blanc Petits Grains),,15~16 %,10~12 ℃,,5/5,4/5,4/5,2/5,"레몬, 장미, 꿀","푸아그라, 과일, 초콜릿, 타르트",,,,,"푸아그라, 달콤한 레몬 타르트, 초콜렛과 잘 어울린다."
"비뇨블 벨라, 메두사 비오니에","Vignobles Vellas, Medusa Viognier",https://www.wine21.com/13_search/wine_view.html?Idx=176228&lq=LIST,비뇨블 벨라  Vignobles Vellas,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),비오니에 (Viognier),Languedoc-Roussillon Viognier,13~14 %,8~10 ℃,,1/5,3/5,2/5,1/5,"살구, 백도, 흰꽃","베이컨, 꼬치구이, 소시지, 삼계탕, 광어, 스시, 생선회, 농어, 흰살생선, 해산물, 전복, 문어숙회, 전복, 조개구이, 부각, 나물, 어묵, 볶음밥, 아시아요리, 샐러드, 리코타, 크림치즈, 모짜렐라",,,,,"샐러드 또는 생선요리, 돼지 고기 또는 닭고기 등과 잘 어울린다."
"바바르다쥐, 메를로","Bavardages, Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=176229&lq=LIST,바바르다쥐   Bavardages,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),메를로 (Merlot),Languedoc-Roussillon Red,13~14 %,16~18 ℃,,1/5,3/5,4/5,3/5,"블랙커런트, 라스베리, 후추, 오크","소고기, 육회, 야채, 치즈",,,,Pays d'Oc IGP,"그릴 된 야채, 소고기, 숙성된 치즈와 잘 어울린다."
"비뇨블 벨라, 블랙 울프","Vignobles Vellas, Black Wolf",https://www.wine21.com/13_search/wine_view.html?Idx=176230&lq=LIST,비뇨블 벨라  Vignobles Vellas,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache) / 무르베드르 (Mourvedre),,14~15 %,16~18 ℃,,1/5,3/5,3/5,3/5,"블랙커런트, 체리, 딸기, 허브","그릴요리, 등심, 안심, 스테이크, 항정살, 오겹살, 삼겹살, 돼지고기, 양꼬치, 양갈비, 불고기, 양념갈비, 갈비찜, 서양요리, 치즈, 에뿌아쓰, 로크포르, 블루치즈, 스모크",,,,,"그릴에 구운 티본 스테이크, 토마토 소스에 익힌 안심 요리, 모듬 치즈류 등과 잘 어울린다."
"도멘 엘레뱅, 샤블리","Domaine Ellevin, Chablis",https://www.wine21.com/13_search/wine_view.html?Idx=176231&lq=LIST,도멘 엘르뱅  Domaine Ellevin,프랑스(France) / 부르고뉴(Bourgogne) / 샤블리(Chablis),샤르도네 (Chardonnay),Burgundy Chablis,12~13 %,6~8 ℃,,1/5,4/5,2/5,1/5,"청사과, 백도, 시트러스, 라임, 레몬껍질, 레몬, 흰꽃","광어, 생선회, 참돔, 소라, 전복, 전복, 생굴, 새우, 잡채, 만두, 나물, 어묵, 중국요리, 아시아요리, 튀김, 샐러드, 리코타, 크림치즈, 모짜렐라",,,,Chablis AOC(AOP),"신선한 굴, 갑각류 또는 해산물 요리 등과 잘 어울린다."
"비냐 모란데, 레전드 5 그란 리제르바 카베르네 소비뇽","Vina Morande, Legend 5 Gran Reserve Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=176232&lq=LIST,비냐 모란데  Viña Morande,칠레(Chile) / 마이포 밸리(Maipo Valley),카베르네 소비뇽 (Cabernet Sauvignon),Chilean Cabernet Sauvignon,13~14 %,16~18 ℃,,1/5,4/5,3/5,3/5,"블랙커런트, 레드커런트, 블랙체리, 말린자두, 삼나무","그릴요리, 안심, 살치살, 스테이크, 바비큐, 항정살, 오겹살, 돼지고기, 양꼬치, 양갈비, 양념갈비, 갈비찜, 족발, 편육, 서양요리, 에뿌아쓰, 로크포르, 블루치즈, 스모크",,프렌치 오크배럴 12개월 숙성,,,"그릴에 구운 육류 또는 스테이크, 가금류 스튜, 모듬 치즈류 등과 잘 어울린다."
"레 에스페론, 피노 누아","Les Esperons, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=176233&lq=LIST,레 에스페론  Les Esperons,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),피노 누아 (Pinot Noir),Languedoc-Roussillon Red,13~14 %,14~16 ℃,,1/5,4/5,3/5,2/5,"블랙베리, 체리, 바닐라","육회, 소고기, 오리고기, 치즈",,,,Pays d'Oc IGP,"소고기, 치즈와 잘 어울린다."
"레 에스페론, 샤르도네","Les Esperons, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=176234&lq=LIST,레 에스페론  Les Esperons,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),샤르도네 (Chardonnay),Languedoc-Roussillon White,13~14 %,8~10 ℃,,1/5,3/5,3/5,1/5,"서양배, 바닐라, 토스트, 꿀","수육, 아시아요리, 동남아요리",,,,Pays d'Oc IGP,"카레, 똠양꿍 같은 동양 음식과 잘 어울린다."
"드 보톨리, 라 보엠 쉬라 가메","De Bortoli, La Boheme Syrah Gamay",https://www.wine21.com/13_search/wine_view.html?Idx=176235&lq=LIST,드 보톨리  De Bortoli,호주(Australia) / 빅토리아(Victoria) / 야라 밸리(Yarra Valley),시라/쉬라즈 (Syrah/Shiraz) / 가메이 (Gamay),Australian Shiraz,14~15 %,16~18 ℃,* 2017 빈티지 – 2018 Sydney Royal Wine Show  Best Value Red 선정* 비건 와인,1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 블루베리, 후추","스테이크, 붉은육류, 양고기, 불고기, 양념갈비, 갈비찜, 피자, 샐러드, 랑그르, 고다, 브리",,,,,
"드 보톨리, 라 보엠 리슬링","De Bortoli, La Boheme Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=176236&lq=LIST,드 보톨리  De Bortoli,호주(Australia) / 빅토리아(Victoria) / 야라 밸리(Yarra Valley),리슬링 (Riesling),Australian Riesling,11~12 %,10~12 ℃,* 2016 빈티지 – 2017 China Wine & Spirit Award Gold Medal,1/5,4/5,2/5,1/5,"사과, 시트러스, 라임, 레몬","베이컨, 꼬치구이, 돼지고기, 건육, 양념치킨, 닭강정, 후라이드, 동그랑땡, 한식, 샐러드",,,,,
"보데가스 마라뇨네스, 라브로스","Bodegas Maranones, Labros",https://www.wine21.com/13_search/wine_view.html?Idx=176237&lq=LIST,보데가스 마라뇨네스   Bodegas Maranones,스페인(Spain) / 비노스 데 마드리드(Vinos de Madrid),가르나차  (Garnacha),Spanish Grenache,14~15 %,16~18 ℃,,1/5,4/5,3/5,3/5,"체리, 미네랄","양고기, 하몽, 초콜릿",,,,Vinos de Madrid DO(DOP),"양념하지 않은 양고기, 초콜릿, 하몽과 잘 어울린다."
"드 보톨리, 라 보엠 까베르네 소비뇽 & 산지오베제","De Bortoli, La Boheme Cabernet Sauvignon And Sangiovese",https://www.wine21.com/13_search/wine_view.html?Idx=176238&lq=LIST,드 보톨리  De Bortoli,호주(Australia) / 빅토리아(Victoria) / 야라 밸리(Yarra Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 산지오베제 (Sangiovese),Australian Cabernet Sauvignon,13~14 %,16~18 ℃,* 2016 빈티지 – 2019 International Wine Challenge Bronze Medal* 2015 빈티지 – 2017 China Wine & Spirit Awards Gold Medal,1/5,3/5,3/5,3/5,"레드커런트, 체리, 라스베리, 자두","스테이크, 붉은육류, 돼지고기, 양갈비, 불고기, 족발, 토마토파스타, 햄버거, 서양요리, 피자, 자두, 치즈, 파르미지아노, 고다, 브리",,,,,
"드 보톨리, 라 보엠 피노누아 로제","De Bortoli, La Boheme Pinot Noir Rose",https://www.wine21.com/13_search/wine_view.html?Idx=176239&lq=LIST,드 보톨리  De Bortoli,호주(Australia) / 빅토리아(Victoria) / 야라 밸리(Yarra Valley),피노 누아 (Pinot Noir),,13~14 %,12~14 ℃,"* 2017 빈티지 – 2018 The Global Rose Masters, UK Gold Medal",1/5,3/5,2/5,2/5,"체리, 딸기, 라스베리, 꽃","로스트비프, 돼지고기, 건육, 훈제오리, 오리로스, 생선구이, 장어구이, 해산물, 편육, 떡볶이, 수육, 파스타, 중국요리, 샐러드, 치즈, 리코타, 모짜렐라",,,,,
"보데가스 마라뇨네스, 마라뇨네스","Bodegas Maranones, Maranones",https://www.wine21.com/13_search/wine_view.html?Idx=176240&lq=LIST,보데가스 마라뇨네스   Bodegas Maranones,스페인(Spain) / 비노스 데 마드리드(Vinos de Madrid),가르나차  (Garnacha),Spanish Grenache,14~15 %,16~18 ℃,,1/5,4/5,3/5,3/5,"오렌지, 꽃, 민트","바비큐, 돼지고기, 하몽, 수육",,,,Vinos de Madrid DO(DOP),"하몽, 삶은 돼지고기 요리, 바비큐 요리와 잘 어울린다."
"드 뮬러, 까베르네 소비뇽","De Muller, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=176241&lq=LIST,드 뮬러   De Muller,스페인(Spain) / 타라고나(Tarragona),카베르네 소비뇽 (Cabernet Sauvignon),Spanish Cabernet Sauvignon,14~15 %,16~18 ℃,,1/5,3/5,3/5,3/5,"블랙커런트, 레드커런트, 블랙베리, 딸기, 바닐라, 정향, 오크","소고기, 붉은육류, 양갈비, 건육, 불고기, 양념갈비, 족발, 라자냐, 파스타, 리조토, 서양요리, 치즈, 파르미지아노, 그라노파다노, 콩테",손 수확.,12개월의 오크숙성.,,,
"드 뮬러, 샤도네이","De Muller, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=176242&lq=LIST,드 뮬러   De Muller,스페인(Spain) / 타라고나(Tarragona),샤르도네 (Chardonnay),Spanish Chardonnay,12~13 %,10~12 ℃,,1/5,3/5,3/5,1/5,"복숭아, 사과, 시트러스, 허브, 페이스트리, 토스트","돼지고기, 건육, 훈제오리, 오리로스, 생선구이, 생선찜, 장어구이, 해산물, 중국요리, 복숭아, 치즈, 리코타, 모짜렐라","프랑스, 미국, 헝가리, 불가리아, 독일, 슬로베니아의 오크통에서 발효.",,,,
"보데가스 마라뇨네스, 30,000 마라베디에스","Bodegas Maranones, 30,000 Maravedies",https://www.wine21.com/13_search/wine_view.html?Idx=176243&lq=LIST,보데가스 마라뇨네스   Bodegas Maranones,스페인(Spain) / 비노스 데 마드리드(Vinos de Madrid),가르나차  (Garnacha) 90% / 기타 품종 (Other Grapes) 10%,Spanish Grenache,14~15 %,16~18 ℃,*2017vin: 2019 James Suckling Top 100 Spain Wine 66위 & 95points*2016vin: 2018 James Suckling Top 100 Spain Wine 53위 & 94points,1/5,4/5,3/5,3/5,"체리, 라스베리, 오렌지, 장미, 후추","바비큐, 돼지고기, 하몽, 수육",,,,Vinos de Madrid DO(DOP),"하몽, 삶은 돼지고기 요리, 바비큐 요리와 잘 어울린다."
"와인즈 바이 비비아나, 알마 드 카틀레야 소노마 카운티 샤도네이","Wines by Bibiana, Alma de Cattleya Sonoma County Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=176244&lq=LIST,와인즈 바이 비비아나  Wines by Bibiana,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County),샤르도네 (Chardonnay),Californian Chardonnay,,10~12 ℃,,1/5,3/5,3/5,1/5,"청사과, 배, 사과, 시트러스, 미네랄, 토스트, 오크","돼지고기, 건육, 후라이드, 훈제오리, 오리로스, 생선구이, 장어구이, 해산물, 조개구이, 만두, 수육, 오일파스타, 중국요리, 탕수육, 샐러드, 치즈, 리코타, 모짜렐라",천천히 압착.,프렌치 오크에서 15개월 동안 발효와 숙성을 진행.,보틀샤크,,
"보데가스 이시드로 밀라그로, 꼰드 데 몬테로소 템프라니오","Bodegas Isidro Milagro, Conde de Monterroso Tempranillo",https://www.wine21.com/13_search/wine_view.html?Idx=176245&lq=LIST,보데가스 이시드로 밀라그로  Bodegas Isidro Milagro,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo),Spanish Tempranillo,,16~18 ℃,* 2016 빈티지 - Espana Seleccion 2017 Bronze / Concurso D.O.P. La Mancha 2017 Gold,1/5,2/5,4/5,3/5,"레드커런트, 체리, 딸기, 잼, 제비꽃, 붉은꽃, 꽃, 감초, 허브","그릴요리, 소고기, 스테이크, 육류요리, 바비큐, 양갈비, 양고기, 건육, 불고기, 양념갈비, 순대, 중국요리, 파르미지아노, 고다, 그라노파다노, 테트드무안, 콩테",,,레드와인앤제이와이,,
"아더 메츠, 브뤼 밀레짐","Arthur Metz, Brut Millesime",https://www.wine21.com/13_search/wine_view.html?Idx=176246&lq=LIST,아서 메츠  Arthur Metz,프랑스(France) / 알자스(Alsace),실바너 (Silvaner),French Crémant,12~13 %,8~10 ℃,,1/5,4/5,2/5,1/5,"배, 시트러스, 라임, 레몬, 미네랄, 허브","건육, 초밥, 생선회, 해산물, 조개구이, 튀김, 식전주, 샐러드",,,롯데칠성음료,Alsace AOC(AOP),
"파토리아 라 비알라,  퀴베 N1","Fattoria La Vialla, Cuvee N1",https://www.wine21.com/13_search/wine_view.html?Idx=176247&lq=LIST,파토리아 라 비알라  Fattoria La Vialla,이탈리아(Italy) / 토스카나(Toscana),피노 네로 (Pinot Nero),Italian Prosecco,12~13 %,8~10 ℃,,1/5,4/5,2/5,1/5,"말린무화과, 아카시아, 꽃, 바닐라, 페이스트리, 브리오슈","오리로스, 생선구이, 연어, 참치, 문어숙회, 조개구이, 파스타, 오일파스타, 토마토파스타, 크림파스타, 중국요리, 식전주, 샐러드, 페스트리, 크로아상",저온 발효. 1/4 머스트는 500리터 오크 배럴에 숙성한 뒤 블렌딩. 앙금과 함께 2차 숙성.,,지에프비노,,
"도미니오, 리제르바 이스페셜","Dominio de La Vega, Dominio Reserva Especial Cava Bruit",https://www.wine21.com/13_search/wine_view.html?Idx=176249&lq=LIST,도미니오 데 라 베가  Dominio de La Vega,스페인(Spain) / 발렌시아(Valencia),마카베오 (Macabeo) / 샤르도네 (Chardonnay),,12~13 %,8~10 ℃,* James Suckling – 90 pts* Decanter 2022- GOLD,1/5,3/5,2/5,1/5,"배, 사과, 시트러스, 바닐라, 토스트","닭고기, 초밥, 생선회, 해산물, 식전주, 샐러드, 과일",,최소 24개월 오크 숙성.,비케이 트레이딩,,
