와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,양조,숙성,알코올,음용온도,기타정보,당도,산도,바디,타닌,아로마,음식매칭,추천음식,수입사,스타일,등급
"타씨, 로쏘 디 몬탈치노","Tassi, Rosso di Montalcino",https://www.wine21.com/13_search/wine_view.html?Idx=178235&lq=LIST,타씨  Tassi,이탈리아(Italy) / 토스카나(Toscana) / 몬탈치노(Montalcino),산지오베제 (Sangiovese),콘크리트 탱크에서 야생 효모로 8-10일동안 마쎄라씨옹.,12개월동안 41hl-50hl 오크통에서 숙성.,,16~18 ℃,,1/5,3/5,3/5,3/5,"블랙체리, 라스베리, 후추, 정향, 타바코","소고기, 붉은육류, 바비큐, 양고기, 불고기, 양념갈비, 갈비찜, 족발, 라자냐, 파스타, 토마토파스타, 서양요리, 치즈, 파르미지아노, 그라노파다노, 테트드무안, 꽁떼",,에노테카코리아,Italian Brunello,
"타씨, 브루넬로 디 몬탈치노 프란치 리제르바","Tassi, Brunello di Montalcino Franci Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=178236&lq=LIST,타씨  Tassi,이탈리아(Italy) / 토스카나(Toscana) / 몬탈치노(Montalcino),산지오베제 (Sangiovese),콘크리트 탱크에서 야생 효모로 25-30일동안 발효.,36개월동안 15hl-20hl 오크통에서 숙성.,,16~18 ℃,,1/5,4/5,4/5,4/5,"블랙베리, 크랜베리, 자두, 정향, 감초, 월계수, 허브","소고기, 붉은육류, 바비큐, 소시지, 양고기, 불고기, 양념갈비, 갈비찜, 라자냐, 파스타, 서양요리, 치즈, 파르미지아노, 그라노파다노, 꽁떼",,에노테카코리아,Italian Brunello,
"타씨, 브루넬로 디 몬탈치노","Tassi, Brunello di Montalcino",https://www.wine21.com/13_search/wine_view.html?Idx=178237&lq=LIST,타씨  Tassi,이탈리아(Italy),산지오베제 (Sangiovese),콘크리트 탱크에서 야생 효모로 15-20일동안 마쎄라씨옹.,36개월동안 30hl-40hl 오크통에서 숙성.,,16~18 ℃,,1/5,4/5,3/5,4/5,"블랙커런트, 체리, 말린과일, 꽃, 정향, 가죽","소고기, 붉은육류, 바비큐, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 족발, 라자냐, 파스타, 토마토파스타, 치즈, 파르미지아노, 그라노파다노, 테트드무안, 꽁떼",,에노테카코리아,Italian Brunello,
"프로페츠 락, 인퓨전 피노 누아","Prophet's Rock, Infusion Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=178238&lq=LIST,프로페츠 락  Prophet's Rock,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 센트럴 오타고(Central Otago),피노 누아 (Pinot Noir),"야생 효모, 100% 줄기 제거, 리 컨택.",11개월간 헌 오크통에서 리 숙성.,,10~12 ℃,,1/5,4/5,3/5,2/5,"체리, 딸기, 흙, 젖은흙, 젖은낙엽","로스트비프, 바비큐, 양꼬치, 건육, 오리고기, 훈제오리, 불고기, 족발, 파스타, 오일파스타, 서양요리, 아시아요리, 아페리티프, 식전주, 샐러드, 견과류, 치즈, 파르미지아노, 크림치즈",,에노테카코리아,New Zealand Pinot Noir,
"프로페츠 락, 드라이 리슬링","Prophet's Rock, Dry Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=178239&lq=LIST,프로페츠 락  Prophet's Rock,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 센트럴 오타고(Central Otago),리슬링 (Riesling),"야생 효모, 100% 홀 번치, 디암 코르크.",11개월간 헌 오크통에서 리 숙성.,,8~10 ℃,,1/5,4/5,3/5,1/5,"시트러스, 열대과일, 멜론, 흰꽃, 꽃, 미네랄, 페이스트리","초밥, 생선회, 해산물, 아시아요리, 튀김, 식전주, 샐러드, 치즈",,에노테카코리아,New Zealand Riesling,
"프로페츠 락, 리트로스펙트 피노 누아","Prophet's Rock, Retrospect Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=178240&lq=LIST,프로페츠 락  Prophet's Rock,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 센트럴 오타고(Central Otago),피노 누아 (Pinot Noir),"야생 효모, 자연 MLF, 디암 코르크.",17개월 동안 프렌치 오크(35% New) 숙성.,,14~16 ℃,,1/5,4/5,4/5,3/5,"딸기, 라스베리, 붉은꽃, 꽃, 아몬드, 삼나무, 초콜릿","소고기, 스테이크, 붉은육류, 바비큐, 양갈비, 훈제오리, 불고기, 양념갈비, 갈비찜, 한식, 라자냐, 토마토파스타, 견과류, 치즈, 파르미지아노, 그라노파다노",,에노테카코리아,New Zealand Pinot Noir,
"프로페츠 락, 오 안티포즈 샤르도네","Prophet's Rock, Aux Antipodes Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=178241&lq=LIST,프로페츠 락  Prophet's Rock,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 센트럴 오타고(Central Otago),샤르도네 (Chardonnay),"필터링x, 야생 효모, 자연 MLF, 디암 코르크.",17개월 동안 프렌치 오크(16% New) 숙성.,,8~10 ℃,,1/5,4/5,3/5,1/5,"복숭아, 시트러스, 오렌지, 감귤, 미네랄, 브리오슈, 오크","닭강정, 후라이드, 가금류, 치킨, 초밥, 사시미, 해산물, 아시아요리, 튀김, 치즈",,에노테카코리아,New Zealand Chardonnay,
"프로페츠 락, 오 안티포즈 피노 누아","Prophet's Rock, Aux Antipodes Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=178242&lq=LIST,프로페츠 락  Prophet's Rock,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 센트럴 오타고(Central Otago),피노 누아 (Pinot Noir),"줄기제거, 야생 효모, 자연 MLF, 디암 코르크.",17개월 동안 프렌치 오크(35% New) 숙성.,,14~16 ℃,,1/5,4/5,3/5,3/5,"체리, 라스베리, 허브, 삼나무, 오크","그릴요리, 소고기, 스테이크, 바비큐, 양꼬치, 훈제오리, 불고기, 족발, 라자냐, 토마토파스타, 치즈",,에노테카코리아,New Zealand Pinot Noir,
"프로페츠 락, 피노 그리","Prophet's Rock, Pinot Gris",https://www.wine21.com/13_search/wine_view.html?Idx=178243&lq=LIST,프로페츠 락  Prophet's Rock,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 센트럴 오타고(Central Otago),피노 그리 (Pinot Gris),"야생 효모, 100% 홀 번치, 디암 코르크.",10개월간 헌 오크통에서 리 숙성.,,8~10 ℃,,1/5,3/5,4/5,1/5,"복숭아, 배, 시트러스, 꽃, 미네랄, 부싯돌, 요거트","초밥, 생선회, 해산물, 오일파스타, 식전주, 샐러드, 복숭아, 과일, 치즈",,에노테카코리아,,
"프로페츠 락, 홈 빈야드 피노 누아","Prophet's Rock, Home Vineyards Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=178244&lq=LIST,프로페츠 락  Prophet's Rock,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 센트럴 오타고(Central Otago),피노 누아 (Pinot Noir),"줄기제거, 야생 효모, 자연 MLF, 필터x,  디암 코르크.",17개월 동안 프렌치 오크(35% New) 숙성.,,14~16 ℃,,1/5,4/5,3/5,3/5,"블랙체리, 체리, 꽃, 감초, 아니스, 시나몬","그릴요리, 소고기, 스테이크, 붉은육류, 바비큐, 건육, 훈제오리, 불고기, 양념갈비, 파스타, 토마토파스타, 중국요리, 치즈",,에노테카코리아,New Zealand Pinot Noir,
"피에트로소, 로쏘 디 몬탈치노","Pietroso, Rosso di Montalcino",https://www.wine21.com/13_search/wine_view.html?Idx=178245&lq=LIST,피에트로소  Pietroso,이탈리아(Italy) / 토스카나(Toscana) / 몬탈치노(Montalcino),산지오베제 (Sangiovese),스테일리스 스틸 탱크에서 20일 동안 침용 및 발효.,12개월 동안 슬라보니안 오크통과 프렌치 오크통 (토노 Tonneaux) 에서 숙성.,,16~18 ℃,,1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 붉은꽃, 꽃, 정향, 허브","소고기, 바비큐, 양고기, 훈제오리, 불고기, 족발, 한식, 라자냐, 파스타, 서양요리, 피자, 치즈, 파르미지아노, 그라노파다노",,에노테카코리아,Italian Brunello,
"피에트로소, 브루넬로 디 몬탈치노","Pietroso, Brunello di Montalcino",https://www.wine21.com/13_search/wine_view.html?Idx=178246&lq=LIST,피에트로소  Pietroso,이탈리아(Italy) / 토스카나(Toscana) / 몬탈치노(Montalcino),산지오베제 (Sangiovese),스테일리스 스틸 탱크와 오크통에서 20일 동안 침용 및 발효.,"프렌치 오크통 (토노 Tonneaux)에서 6개월, 슬라보니안 오크통에서 24개월, 병에서 12개월 숙성.",,16~18 ℃,,1/5,4/5,4/5,4/5,"체리, 라스베리, 자두, 잼, 꽃, 바닐라, 정향","그릴요리, 소고기, 스테이크, 육류요리, 붉은육류, 양고기, 불고기, 양념갈비, 갈비찜, 라자냐, 토마토파스타, 서양요리, 버섯, 치즈, 파르미지아노, 그라노파다노, 테트드무안, 꽁떼",,에노테카코리아,Italian Brunello,
"안스가 클뤼서라스, 트리텐하이머 리슬링 카비넷","Ansgar Clüsserath, Trittenheimer Riesling Kabinett",https://www.wine21.com/13_search/wine_view.html?Idx=178247&lq=LIST,안스가 클뤼서라스  Ansgar Clüsserath,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling),,"넓은 오크통 (fuder 1,000L)에서 약 9개월 동안 효모와 함께 숙성.",,8~10 ℃,,3/5,4/5,3/5,1/5,"시트러스, 감귤, 레몬, 파인애플, 미네랄","건육, 프로슈토, 양념치킨, 닭강정, 가금류, 파스타, 중국요리, 튀김, 샐러드",,문도비노,German Riesling,
"안스가 클뤼서라스, 봄 쉬퍼 리슬링 파인하브","Ansgar Clüsserath, Vom Schiefer Riesling Feinherb",https://www.wine21.com/13_search/wine_view.html?Idx=178248&lq=LIST,안스가 클뤼서라스  Ansgar Clüsserath,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling),,"넓은 오크통 (fuder 1,000L)에서 약 9개월 동안 효모와 함께 숙성.",,8~10 ℃,,3/5,4/5,3/5,1/5,"백도, 사과, 시트러스, 자몽, 오렌지, 미네랄","양념치킨, 닭강정, 닭고기, 생선구이, 생선찜, 중국요리, 탕수육, 난자완스, 동남아요리, 아시아요리, 동남아음식, 튀김, 샐러드",,문도비노,German Riesling,
"안스가 클뤼서라스, 아포테케 리슬링 슈페트레제","Ansgar Clüsserath, Apotheke Riesling Spatlese",https://www.wine21.com/13_search/wine_view.html?Idx=178249&lq=LIST,안스가 클뤼서라스  Ansgar Clüsserath,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling),,"넓은 오크통 (fuder 1,000L)에서 약 9개월 동안 효모와 함께 숙성.",,8~10 ℃,,3/5,4/5,4/5,1/5,"시트러스, 레몬, 파인애플, 미네랄, 허브","바비큐, 돼지고기, 닭강정, 생선구이, 생선조림, 생선찜, 중국요리, 동남아요리, 아시아요리, 튀김",,문도비노,German Riesling,
"안스가 클뤼서라스, 아포테케 리슬링 아우스레제","Ansgar Clüsserath, Apotheke Riesling Auslese",https://www.wine21.com/13_search/wine_view.html?Idx=178250&lq=LIST,안스가 클뤼서라스  Ansgar Clüsserath,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling),,"넓은 오크통 (fuder 1,000L)에서 약 9개월 동안 효모와 함께 숙성.",,8~10 ℃,,4/5,4/5,4/5,1/5,"블랙베리, 시트러스, 감귤, 생강, 허브, 꿀","닭강정, 삼계탕, 닭고기, 생선구이, 생선찜, 파스타, 중국요리, 동남아요리, 아시아요리, 튀김, 샐러드",,문도비노,German Riesling,
"비트만, 100 휴겔 그라우어 부르군더","Wittmann, 100 Hugel Grauer Burgunder Trocken",https://www.wine21.com/13_search/wine_view.html?Idx=178251&lq=LIST,비트만  Wittmann,독일(Germany) / 라인헤센(Rheinhessen),피노 그리 (Pinot Gris),,"큰 오크통 (fuder 1,000L)에서 약 6개월 동안 효모와 함께 숙성.",,8~10 ℃,* 2021 빈티지 - Internationaler Bioweinpreis Silver Medal,1/5,3/5,3/5,1/5,"복숭아, 시트러스, 라임, 레몬, 흰꽃, 꽃, 미네랄, 허브","베이컨, 소시지, 닭강정, 해산물, 새우, 만두, 어묵, 토마토파스타, 중국요리, 아시아요리, 튀김, 버섯",,문도비노,German Pinot Blanc,
"비트만, 100 힐스 리슬링","Wittmann, 100 Hills Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=178252&lq=LIST,비트만  Wittmann,독일(Germany) / 라인헤센(Rheinhessen),리슬링 (Riesling),,"큰 오크통 (fuder 1,000L)에서 약 6개월 동안 효모와 함께 숙성",,8~10 ℃,,1/5,4/5,3/5,1/5,"복숭아, 시트러스, 자몽, 레몬, 열대과일, 멜론, 파인애플, 미네랄","양념치킨, 닭강정, 오리고기, 훈제오리, 초밥, 생선회, 중국요리, 탕수육, 아시아요리, 튀김, 샐러드",,문도비노,German Riesling,
"비트만, 리슬링 트로켄","Wittmann, Riesling Trocken",https://www.wine21.com/13_search/wine_view.html?Idx=178253&lq=LIST,비트만  Wittmann,독일(Germany) / 라인헤센(Rheinhessen),리슬링 (Riesling),,"큰 오크통 (fuder 1,000L)에서 약 6개월 동안 효모와 함께 숙성.",,8~10 ℃,,1/5,4/5,3/5,1/5,"복숭아, 서양배, 사과, 시트러스, 라임, 꽃, 미네랄","바비큐, 돼지고기, 양념치킨, 닭강정, 찜닭, 해산물, 불고기, 양념갈비, 중국요리, 탕수육, 동남아요리, 아시아요리, 튀김, 샐러드, 복숭아",,문도비노,German Riesling,
"비트만, 몰슈타인 리슬링 트로켄 GG","Wittmann, Morstein Riesling Trocken GG",https://www.wine21.com/13_search/wine_view.html?Idx=178254&lq=LIST,비트만  Wittmann,독일(Germany) / 라인헤센(Rheinhessen),리슬링 (Riesling),,"큰 오크통 (fuder 1,000L)에서 약 9개월 동안 효모와 함께 숙성.",,8~10 ℃,,1/5,4/5,4/5,1/5,"복숭아, 시트러스, 감귤, 미네랄, 연기, 꿀","닭강정, 후라이드, 생선구이, 생선찜, 생선회, 연어, 해산물, 조개구이, 오일파스타, 서양요리, 중국요리, 튀김",,문도비노,German Riesling,
"비트만, 베스트호프너 리슬링 트로켄","Wittmann, Westhofener Riesling Trocken",https://www.wine21.com/13_search/wine_view.html?Idx=178255&lq=LIST,비트만  Wittmann,독일(Germany) / 라인헤센(Rheinhessen),리슬링 (Riesling),,"큰 오크통 (fuder 1,000L)에서 약 9개월 동안 효모와 함께 숙성.",,8~10 ℃,* 2021 세계 100대 와인 25위,1/5,4/5,3/5,1/5,"시트러스, 자몽, 라임, 열대과일, 파파야, 미네랄, 부싯돌, 효모","양념치킨, 닭강정, 닭고기, 생선회, 연어, 생선 까르파치오, 해산물, 오일파스타, 중국요리, 탕수육, 아시아요리, 동남아음식, 튀김, 샐러드",,문도비노,German Riesling,
"비트만, 브륀넨 호이스헨 리슬링 트로켄 GG","Wittmann, Brunnenhäuschen Riesling Trocken GG",https://www.wine21.com/13_search/wine_view.html?Idx=178256&lq=LIST,비트만  Wittmann,독일(Germany) / 라인헤센(Rheinhessen),리슬링 (Riesling),,저먼 대형 오크통에서 약 9개월 숙성.,,8~10 ℃,* 2021 빈티지 - Falstaff 96 점,1/5,4/5,3/5,1/5,"시트러스, 라임, 레몬, 열대과일, 미네랄, 효모","베이컨, 소시지, 건육, 양념치킨, 닭강정, 불고기, 양념갈비, 족발, 토마토파스타, 중국요리, 튀김, 샐러드",,문도비노,German Riesling,
"비트만, 슈패트부르군더","Wittmann, Spätburgunder",https://www.wine21.com/13_search/wine_view.html?Idx=178257&lq=LIST,비트만  Wittmann,독일(Germany) / 라인헤센(Rheinhessen),슈페트부르군더 (Spatburgunder),,프렌치 오크통에서 16개월.,,14~16 ℃,,1/5,4/5,4/5,1/5,"딸기, 라스베리, 자두, 바닐라, 토스트, 연기","훈제오리, 찜닭, 닭고기, 족발, 순대, 토마토파스타, 중국요리, 탕수육, 아시아요리, 치즈",,문도비노,German Spätburgunder,
"바라온다, 오가닉 수뭄","Barahonda, Organic Summum",https://www.wine21.com/13_search/wine_view.html?Idx=178258&lq=LIST,바라온다  Barahonda,스페인(Spain) / 예클라(Yecla),모나스트렐 (Monastrell),,아메리칸 오크 (90%) & 프렌치 오크 (10%) 16개월 숙성,,16~18 ℃,* 2016 빈티지 - GUÍA PEÑÍN 90 Points,3/5,2/5,4/5,3/5,"잼, 말린자두, 말린과일, 바닐라, 정향, 토스트, 삼나무, 오크","소고기, 스테이크, 붉은육류, 양갈비, 양고기, 양념갈비, 갈비찜, 라자냐, 치즈",,문도비노,Spanish Monastrell,
"바라온다, 엘 비쵸 라로","Barahonda, El Bicho Raro",https://www.wine21.com/13_search/wine_view.html?Idx=178259&lq=LIST,바라온다  Barahonda,스페인(Spain) / 예클라(Yecla),가르나차 틴토레라  (Garnacha Tintorera) / 시라/쉬라즈 (Syrah/Shiraz) / 모나스트렐 (Monastrell),,아메리칸 & 프렌치 오크 12개월 동안 숙성.,,16~18 ℃,* 2020 코리아와인챌린지 은메달,2/5,2/5,4/5,3/5,"레드커런트, 체리, 라스베리, 바닐라, 정향, 초콜릿","소고기, 스테이크, 양고기, 불고기, 양념갈비, 갈비찜, 라자냐, 피자, 중국요리, 치즈",,문도비노,,
"바라온다, 오가닉 MM","Barahonda, Organic MM",https://www.wine21.com/13_search/wine_view.html?Idx=178260&lq=LIST,바라온다  Barahonda,스페인(Spain) / 예클라(Yecla),모나스트렐 (Monastrell) / 메를로 (Merlot),,,,16~18 ℃,* Berlin Wine Trophy Gold* Challenge Millésime Bio Gold,1/5,2/5,3/5,3/5,"블랙체리, 잼, 말린과일, 오크","소고기, 붉은육류, 바비큐, 돼지고기, 건육, 훈제오리, 불고기, 족발, 순대, 파스타, 햄버거, 치즈",,문도비노,Spanish Monastrell,
"바라온다, 오가닉 바리카","Barahonda, Organic Barrica",https://www.wine21.com/13_search/wine_view.html?Idx=178261&lq=LIST,바라온다  Barahonda,스페인(Spain) / 예클라(Yecla),모나스트렐 (Monastrell) / 시라/쉬라즈 (Syrah/Shiraz),,프렌치 오크에서 6개월 동안 숙성.,,16~18 ℃,* Challenge Millésime Bio Gold,1/5,3/5,4/5,3/5,"레드커런트, 블랙체리, 딸기, 후추, 바닐라, 삼나무","소고기, 양고기, 건육, 훈제오리, 보쌈, 양념갈비, 갈비찜, 라자냐, 파스타, 피자, 치즈",,문도비노,,
"바라온다, 오가닉 블랑코","Barahonda, Organic Blanco",https://www.wine21.com/13_search/wine_view.html?Idx=178262&lq=LIST,바라온다  Barahonda,스페인(Spain) / 예클라(Yecla),베르데호 (Verdejo) / 소비뇽 블랑 (Sauvignon Blanc),,,,10~12 ℃,,1/5,3/5,2/5,1/5,"시트러스, 구아바, 열대과일, 리치, 흰꽃, 꽃","초밥, 생선회, 연어, 해산물, 오일파스타, 서양요리, 튀김, 식전주, 샐러드",,문도비노,Spanish Verdejo,
"베로니아, 3 에이 씨","Beronia, III a.C.",https://www.wine21.com/13_search/wine_view.html?Idx=178263&lq=LIST,보데가스 베로니아  Bodegas Beronia,스페인(Spain) / 리오하(Rioja),템프라니요 (Tempranillo),,새 프렌치 오크 12개월 숙성.,,14~16 ℃,* Tim Atkin - 95 Points* Mundus Vini - Gold,1/5,4/5,4/5,1/5,"레드커런트, 딸기, 바닐라, 감초, 카카오","스테이크, 붉은육류, 바비큐, 양갈비, 양고기, 건육, 훈제오리, 양념갈비, 라자냐, 파스타, 치즈",,문도비노,Spanish Tempranillo,
"베로니아, 50 애니버서리 레세르바","Beronia, 50 Anniversary Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=178264&lq=LIST,보데가스 베로니아  Bodegas Beronia,스페인(Spain) / 리오하(Rioja),템프라니요 (Tempranillo) / 그라시아노 (Graciano),,프랑스 & 미국 오크 배럴에서 18개월 숙성.,,16~18 ℃,,1/5,0/5,4/5,3/5,"레드커런트, 딸기, 라스베리, 자두, 허브, 초콜릿","비프, 스테이크, 붉은육류, 바비큐, 삼겹살, 돼지고기, 양갈비, 불고기, 족발, 순대, 라자냐, 파스타, 서양요리, 버섯, 치즈",,문도비노,Spanish Tempranillo,
"로템 & 모우니르, 마지스 블랑","Rotem & Mounir, Magis Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=178265&lq=LIST,로템 & 모우니르  Rotem & Mounir,프랑스(France) / 론(Rhone) / 샤또네프 뒤 빠쁘(Chateauneuf du Pape),그르나슈 블랑 (Grenache Blanc) / 루산느 (Roussanne) / 마르산느 (Marsanne),,,,,,1/5,4/5,3/5,1/5,"배, 사과, 시트러스, 열대과일, 꽃, 미네랄","닭고기, 해산물, 아시아요리",,,,
"도멘 타카히코, 나나츠모리","Domaine Takahiko, Nana Tsu Mori",https://www.wine21.com/13_search/wine_view.html?Idx=178266&lq=LIST,도멘 타카히코  Domaine Takahiko,일본(Japan) / 홋카이도(Hokkaido),피노 누아 (Pinot Noir),,,,14~16 ℃,,1/5,3/5,3/5,2/5,"체리, 딸기, 라스베리, 꽃, 미네랄, 허브","안심, 닭고기, 서양요리, 아시아요리",,,,
"탈라몬티, 마뇰리아 몬테풀치아노 다부르쪼","Talamonti, Magnolia Montepulciano d'Abruzzo",https://www.wine21.com/13_search/wine_view.html?Idx=178267&lq=LIST,탈라몬티  Talamonti,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano),,6개월 대형 오크 배럴 숙성,13~14 %,16~18 ℃,,1/5,3/5,3/5,3/5,"라스베리, 빌베리, 꽃, 허브","로스트비프, 햄, 양고기, 오리고기",,빈티지코리아,Italian Montepulciano d'Abruzzo,Montepulciano d'Abruzzo DOC(DOP)
"탈라몬티, 트레비","Talamonti, Trebi Trebbiano d'Abruzzo Bianco",https://www.wine21.com/13_search/wine_view.html?Idx=178268&lq=LIST,탈라몬티  Talamonti,이탈리아(Italy) / 아브루쪼(Abruzzo),트레비아노 (Trebbiano),,스테인레스 스틸 숙성,12~13 %,8~10 ℃,*2011: Gambero Rosso 2 Glasses,1/5,3/5,2/5,1/5,"서양배, 사과, 시트러스, 꽃, 미네랄","생선회, 해산물, 서양요리, 아시아요리, 튀김",,빈티지코리아,,Trebbiano d'Abruzzo DOC(DOP)
도르고 빈야드 레이트 하베스트,"Disznoko Vineyards, Dorgo Late Harvest",https://www.wine21.com/13_search/wine_view.html?Idx=178269&lq=LIST,디즈노코 빈야즈  Disznoko Vineyards,헝가리(Hungary),푸르민트 (Furmint) 90% / 제타 (Zeta) 10%,,,13~14 %,6~8 ℃,,5/5,4/5,5/5,1/5,"시트러스, 오렌지, 라임, 말린살구","건육, 프로슈토, 견과류, 블루치즈, 케이크, 초콜릿, 티라미수",,하이트진로,,
"탈라몬티, 모다","Talamonti, Moda Montepulciano d'Abruzzo",https://www.wine21.com/13_search/wine_view.html?Idx=178270&lq=LIST,탈라몬티  Talamonti,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano),,6개월 프렌치 오크 숙성,13~14 %,16~18 ℃,*2015: 2017 대한민국 주류대상 레드와인 구대륙 부문 “대상” 수상,1/5,3/5,4/5,3/5,"블랙베리, 라스베리, 빌베리, 꽃, 미네랄, 허브, 코코아, 오크","스테이크, 삼겹살, 양갈비, 칠면조",,빈티지코리아,Italian Montepulciano d'Abruzzo,Montepulciano d'Abruzzo DOC(DOP)
"탈라몬티, 아테르눔","Talamonti, Aternum Trebbiano d'Abruzzo",https://www.wine21.com/13_search/wine_view.html?Idx=178271&lq=LIST,탈라몬티  Talamonti,이탈리아(Italy) / 아브루쪼(Abruzzo),트레비아노 (Trebbiano),,"7개월 프렌치 오크 배럴(30%),  스테인리스 스틸 탱크(70%)",13~14 %,8~10 ℃,*2019 Berlin Wine Trophy : Gold*2018 6th Asia Wine Trophy : Gold,1/5,3/5,2/5,1/5,"배, 사과, 시트러스, 꽃, 미네랄","오겹살, 씨푸드, 한식, 아시아요리, 튀김",,빈티지코리아,,Trebbiano d'Abruzzo DOC(DOP)
"탈라몬티, 트레 사지","Talamonti, Tre Saggi Montepulciano d'Abruzzo",https://www.wine21.com/13_search/wine_view.html?Idx=178272&lq=LIST,탈라몬티  Talamonti,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano),,12개월 프렌치 오크통 숙성,13~14 %,16~18 ℃,,1/5,3/5,3/5,3/5,"블랙체리, 블랙베리, 블루베리, 꽃, 허브","로스트비프, 소시지, 삼겹살, 훈제오리, 닭고기",,빈티지코리아,Italian Montepulciano d'Abruzzo,Montepulciano d'Abruzzo DOC(DOP)
"탈라몬티, 쿠도스","Talamonti, Kudos Colline Pescaresi",https://www.wine21.com/13_search/wine_view.html?Idx=178273&lq=LIST,탈라몬티  Talamonti,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano) / 메를로 (Merlot),,12개월 프렌치 배럴 숙성,14~15 %,16~18 ℃,*Mundus Vini :  Gold medal*Decanter World Wine Awards : Bronze Medal*2011vintage - 2015 International Wine & Spirit Competition : Silver,1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 미네랄, 허브, 코코아, 오크","로스트비프, 비프, 붉은육류, 돼지고기, 건육, 훈제오리",,빈티지코리아,Italian Montepulciano d'Abruzzo,
"곤잘레스 비야스, 넥타르","Gonzalez Byass, Nectar",https://www.wine21.com/13_search/wine_view.html?Idx=178274&lq=LIST,곤잘레스 비야스  Gonzalez Byass,스페인(Spain) / 헤레즈-헤레스-셰리(Jerez-Xeres-Sherry),페드로 히메네스 (Pedro Ximenez),,American Oak Barrel에서 약 9년 Solera(솔레라) 시스템 숙성.,,8~10 ℃,* IWC 95 Points,4/5,4/5,5/5,0/5,"건포도, 말린무화과, 말린과일, 카라멜, 오크","치즈, 고르곤졸라, 에뿌아스, 로크포르, 디저트, 아이스크림, 초콜릿",,문도비노,Spanish Sherry,
곤잘레스 비야스   레판토 PX 솔레라 그란 레제르바,"Gonzalez Byass, Lepanto PX Solera Gran Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=178275&lq=LIST,곤잘레스 비야스   Gonzales Byass,스페인(Spain) / 헤레즈-헤레스-셰리(Jerez-Xeres-Sherry),팔로미노 (Palomino),,American Oak Barrel에서 약 15년 간 Solera(솔레라) 시스템 숙성.,,8~10 ℃,,4/5,3/5,3/5,2/5,"무화과, 건포도, 말린과일, 바닐라, 감초, 카라멜, 초콜릿, 오크","붉은육류, 치즈, 스낵",,문도비노,,
"곤잘레스 비야스, 베르무트 라 코파","Gonzalez Byass, Vermouth La copa",https://www.wine21.com/13_search/wine_view.html?Idx=178276&lq=LIST,곤잘레스 비야스  Gonzalez Byass,스페인(Spain) / 헤레즈-헤레스-셰리(Jerez-Xeres-Sherry),페드로 히메네스 (Pedro Ximenez) / 팔로미노 (Palomino),,,,8~10 ℃,,2/5,2/5,4/5,2/5,"정향, 시나몬, 감초, 코코아","타르트, 디저트, 티라미수",,문도비노,,
"곤잘레스 비야스, 비냐 아베","Gonzalez Byass, Vina AB",https://www.wine21.com/13_search/wine_view.html?Idx=178277&lq=LIST,곤잘레스 비야스  Gonzalez Byass,스페인(Spain) / 헤레즈-헤레스-셰리(Jerez-Xeres-Sherry),팔로미노 (Palomino),,American Oak Barrel에서 4년의 Flor(플로르) 방식을 포함하여 약 12년간 Solera(솔레라) 시스템 숙성.,,8~10 ℃,,1/5,4/5,3/5,1/5,"헤이즐넛, 아몬드, 오크, 효모","닭강정, 후라이드, 닭고기, 치킨, 생선구이, 생선찜, 장어구이, 아스파라거스, 치즈",,문도비노,Spanish Sherry,
