와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,양조,숙성,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,알코올
"쁘띠 룹, 샤르도네","Petit Loup, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=167706&lq=LIST,쁘띠 룹  Petit Loup,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),샤르도네 (Chardonnay),,,,,10~12 ℃,"샐러드, 해산물 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,"파인애플, 아카시아, 미네랄, 민트","해산물, 샐러드",,
"쁘띠 룹, 까리냥","Petit Loup, Carignan",https://www.wine21.com/13_search/wine_view.html?Idx=167707&lq=LIST,쁘띠 룹  Petit Loup,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),까리냥 (Carignan/Carignane),,,,,16~18 ℃,"스테이크, 치즈 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,,"스테이크, 치즈",,
"쁘띠 룹, 메를로 까베르네","Petit Loup, Merlot Cabernet",https://www.wine21.com/13_search/wine_view.html?Idx=167708&lq=LIST,쁘띠 룹  Petit Loup,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),,,,,16~18 ℃,"스테이크, 치즈 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,감초,"스테이크, 치즈",,
"메종 방뜨낙, 마리","Maison Ventenac, Marie",https://www.wine21.com/13_search/wine_view.html?Idx=167709&lq=LIST,메종 방뜨낙  Maison Ventenac,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),콜롱바르 (Colombard) / 슈냉 블랑 (Chenin Blanc),,,,,16~18 ℃,"샐러드, 해산물 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"해산물, 샐러드",*2018 / 2019 빈티지: Guide Hachette 1 Star*2018 빈티지: Guide Bettane & Desseauve 15/ 20점,
"메종 방뜨낙, 캐롤","Maison Ventenac, Carole",https://www.wine21.com/13_search/wine_view.html?Idx=167710&lq=LIST,메종 방뜨낙  Maison Ventenac,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),샤르도네 (Chardonnay) / 그로 만생 (Gros Manseng),,,,,10~12 ℃,"해산물, 샐러드 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,"미네랄, 토스트, 꿀","해산물, 샐러드",,
"메종 방뜨낙, 르 파리아","Maison Ventenac, Le Paria",https://www.wine21.com/13_search/wine_view.html?Idx=167711&lq=LIST,메종 방뜨낙  Maison Ventenac,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),그르나슈 (Grenache),,,,,16~18 ℃,"오리고기, 치즈, 소고기 등과 잘 어울린다.",,1/5,4/5,3/5,3/5,"바닐라, 오크","소고기, 오리고기, 치즈",*2018 빈티지: Jancis Robinson 15.5/20점,
"메종 방뜨낙, 리디오","Maison Ventenac, L'Idiot",https://www.wine21.com/13_search/wine_view.html?Idx=167712&lq=LIST,메종 방뜨낙  Maison Ventenac,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),메를로 (Merlot),,,,,16~18 ℃,"오리고기, 치즈 등과 잘 어울린다.",,1/5,4/5,3/5,3/5,"딸기, 꽃, 바닐라, 버섯","오리고기, 치즈",*2018 빈티지: Jancis Robinson 16 / 20점,
"씨에르 다르끄, 방당주 드 뉘 메를로","Sieur d'Arques, Vendanges de Nuit Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=167713&lq=LIST,쉬르 다르크 [씨에르 다르퀴]  Sieur d'Arques,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),메를로 (Merlot),,,,,16~18 ℃,"스테이크, 치즈 등과 잘 어울린다.",,1/5,4/5,3/5,3/5,체리,"스테이크, 치즈",,
"씨에르 다르끄, 방당주 드 뉘 샤르도네","Sieur d'Arques, Vendanges de Nuit Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=167714&lq=LIST,쉬르 다르크 [씨에르 다르퀴]  Sieur d'Arques,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),샤르도네 (Chardonnay),,,,,10~12 ℃,"해산물, 치즈 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,"망고, 꽃","해산물, 치즈",,
"오차가비아, 실베스트레 메를로","Ochagavia, Silvestre Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=167715&lq=LIST,오차가비아  Ochagavia,칠레(Chile) / 센트럴 밸리(Central Valley),메를로 (Merlot) 100%,,,,,16~18 ℃,"바비큐폭립, 인도요리, 치즈 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,오크,"바비큐, 치즈",,13~14 %
"로쉐 마제, 소비뇽","Roche Mazet, Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=167716&lq=LIST,카스텔  CASTEL [Groupe CASTEL],프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),소비뇽 블랑 (Sauvignon Blanc),,,,,8~10 ℃,"식전주로 좋으며 구운 생선, 해산물, 소프트한 브리 치즈 등과 잘 어울린다.",레뱅,1/5,4/5,2/5,1/5,"복숭아, 레몬, 꽃, 미네랄, 허브","해산물, 식전주, 복숭아",,12~13 %
"로쉐 마제, 로제","Roche Mazet, Rose",https://www.wine21.com/13_search/wine_view.html?Idx=167717&lq=LIST,카스텔  CASTEL [Groupe CASTEL],프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),쌩쏘 (Cinsault) / 그르나슈 (Grenache),,,,,10~12 ℃,"칵테일 새우, 카나페 등 가벼운 핑거푸드, 파티 음식과도 잘 어울리며 닭고기, 오리고기 등과 잘 어울린다.",레뱅,1/5,3/5,2/5,1/5,석류,새우,*2023 대한민국 주류대상 '로제 와인부문 대상' 수상,12~13 %
버블 넘버원 반빈 에디션,Bubble No.1 Vanbinh Edition,https://www.wine21.com/13_search/wine_view.html?Idx=167718&lq=LIST,쉬르 다르크 [씨에르 다르퀴]  Sieur d'Arques,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 리무(Limoux),샤르도네 (Chardonnay) / 슈냉 블랑 (Chenin Blanc) / 모작 (Mauzac),,Crémant de Limoux AOC(AOP),,,6~8 ℃,"보쌈, 냉채 족발 등과 잘 어울린다.",레뱅,1/5,4/5,3/5,1/5,,,*Vinalies International 2008 Gold Medal,12~13 %
"몬테스 알파, 카버네 소비뇽 한글 레이블","Montes Alpha, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=167719&lq=LIST,몬테스  Montes [Viña Montes],칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),카베르네 소비뇽 (Cabernet Sauvignon),,,,,16~18 ℃,"모든 붉은육류, 양고기, 볼로네제 파스타 등과 잘 어울린다.",나라셀라,1/5,3/5,4/5,4/5,"블랙커런트, 바닐라, 민트, 오크","붉은육류, 양고기, 파스타",*2023 대한민국 주류대상 '레드와인 신대륙 부문 대상'*2017 대한민국 주류대상 '신대륙 레드 와인부문 대상' 수상*2015 세계물포럼 만찬 와인*2002 월드컵 조추첨 와인,14~15 %
"제이씨스 오운, 오리지날레","JC's own, Originale",https://www.wine21.com/13_search/wine_view.html?Idx=167720&lq=LIST,제이씨스 오운  JC's Own,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),그르나슈 (Grenache),,,,,16~18 ℃,"양갈비, 스테이크, 치즈 등과 잘 어울린다.",모멘텀와인컴퍼니,1/5,4/5,4/5,4/5,"체리, 배, 오크","스테이크, 양갈비, 치즈","*잔당: 0.42 g/L*총산: 6.65 g/L*PH: 3.57*평균포도나무수령: 160년+*총생산량: 1,476병 (2016 빈티지 기준)*2015 빈티지: TOP 100 WINES - TONY LOVE, TOP 100 WINES 2017*비비노 평점: 3.9",14~15 %
"와이너리 온, 데뮤에르떼 원","Winery On, Demuerte One",https://www.wine21.com/13_search/wine_view.html?Idx=167721&lq=LIST,와이너리 온  Winery On,스페인(Spain) / 예클라(Yecla),모나스트렐 (Monastrell) / 카베르네 소비뇽 (Cabernet Sauvignon),,Yecla DO(DOP),,,16~18 ℃,"붉은색의 육류 및 파스타, 핑거 푸드 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,오크,파스타,,14~15 %
"와이너리 온, 데뮤에르떼 블랑코","Winery On, Demuerte Blanco",https://www.wine21.com/13_search/wine_view.html?Idx=167722&lq=LIST,와이너리 온  Winery On,스페인(Spain) / 예클라(Yecla),소비뇽 블랑 (Sauvignon Blanc) / 베르데호 (Verdejo),,Yecla DO(DOP),,,10~12 ℃,"해산물, 파스타, 핑거푸드 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,"시트러스, 열대과일, 꽃","해산물, 파스타",,12~13 %
"와이너리 온, 데뮤에르떼 디럭스","Winery On, Demuerte Deluxe",https://www.wine21.com/13_search/wine_view.html?Idx=167723&lq=LIST,와이너리 온  Winery On,스페인(Spain) / 예클라(Yecla),모나스트렐 (Monastrell) / 시라/쉬라즈 (Syrah/Shiraz) / 쁘띠 베르도 (Petit Verdot),,Yecla DO(DOP),,,16~18 ℃,"붉은색의 육류 및 파스타, 핑거 푸드 등과 잘 어울린다.",,1/5,3/5,4/5,3/5,"체리, 오크",파스타,,14~15 %
드보 스테노페,Devaux Stenope,https://www.wine21.com/13_search/wine_view.html?Idx=167724&lq=LIST,샹파뉴 드보  Champagne Devaux,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir),,Champagne AOC(AOP),,,6~8 ℃,"굴 요리, 복어, 빵 등과 잘 어울린다.",,1/5,5/5,3/5,1/5,"살구, 레몬, 바닐라, 초콜릿",,,12~13 %
드보 디 로제,Devaux D Rose,https://www.wine21.com/13_search/wine_view.html?Idx=167725&lq=LIST,샹파뉴 드보  Champagne Devaux,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),,Champagne AOC(AOP),,,6~8 ℃,"스파이시한 랍스터 요리, 치즈 등과 잘 어울린다.",,1/5,5/5,3/5,1/5,"살구, 꽃","랍스터, 치즈",*2018 Mundis Vini DE Gold Medal*2018 Champagne Sparkling Wine World Championships UK Gold Medal*2018 Sélection mondiale des Vins CA Gold Medal*2017 Sommelier Wine Awards GB Gold Medal*2017 Guide Gilbert & Gaillard FR 92점*2018 Wine Enthusiast US 90점,12~13 %
"사이클즈 글래디에이터, 쁘띠 시라","Cycles Gladiator, Petite Sirah",https://www.wine21.com/13_search/wine_view.html?Idx=167726&lq=LIST,사이클즈 글래디에이터  Cycles Gladiator,미국(U.S.A) / 캘리포니아(California),쁘띠 시라  (Petite Sirah) / 시라/쉬라즈 (Syrah/Shiraz),,California AVA,,,16~18 ℃,"블루치즈를 곁들인 다양한 요리, 타코 매운 버팔로 윙 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,"블루베리, 자두",,,14~15 %
"사이클즈 글래디에이터, 진판델","Cycles Gladiator, Zinfandel",https://www.wine21.com/13_search/wine_view.html?Idx=167727&lq=LIST,사이클즈 글래디에이터  Cycles Gladiator,미국(U.S.A) / 캘리포니아(California),진판델 (Zinfandel),,California AVA,,,16~18 ℃,"다양한 육류요리, 특히 양고기 요리, 풍성한 느낌의 파스타 등과 잘 어울린다.",,1/5,3/5,4/5,3/5,오크,"육류요리, 양고기, 파스타",,14~15 %
"세코야 그로브, 나파밸리 카베르네 소비뇽","Sequoia Grove, Napa Valley Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=167728&lq=LIST,세코야 그로브  Sequoia Grove,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 메를로 (Merlot) / 말벡 (Malbec) / 쁘띠 베르도 (Petit Verdot),,Napa Valley AVA,,,16~18 ℃,"블루치즈, 타코, 매운 버팔로 윙, 소고기 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,"체리, 무화과",소고기,,14~15 %
"세코야 그로브, 루더포드 나파 밸리 리저브 카베르네 소비뇽","Sequoia Grove, Rutherford Napa Valley Reserve Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=167729&lq=LIST,세코야 그로브  Sequoia Grove,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 러더포드(Rutherford),카베르네 소비뇽 (Cabernet Sauvignon),,Rutherford AVA,,,16~18 ℃,"육류요리, 각종 스테이크, 숙성된 치즈 등과 잘 어울린다.",,1/5,3/5,5/5,5/5,체리,치즈,,14~15 %
"세코야 그로브, 나파 밸리 샤도네이","Sequoia Grove, Napa Valley Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=167730&lq=LIST,세코야 그로브  Sequoia Grove,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),샤르도네 (Chardonnay),,Napa Valley AVA,,,10~12 ℃,"신선한 허브 샐러드, 숙성된 섬세한 브리치즈 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,"시트러스, 꽃, 미네랄, 오크",샐러드,,14~15 %
"세코야 그로브, 나파밸리 캠비움","Sequoia Grove, Napa Valley Cambium",https://www.wine21.com/13_search/wine_view.html?Idx=167731&lq=LIST,세코야 그로브  Sequoia Grove,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),보르도 블렌드 레드  (Bordeaux Blend Red),,Napa Valley AVA,,,16~18 ℃,"송아지 요리와 양고기 스테이크, 로스트 치킨, 칠면조 등과 잘 어울린다.",,1/5,3/5,5/5,5/5,,양고기,,14~15 %
샤또 그랑 바르베,Chateau Grand Barbey,https://www.wine21.com/13_search/wine_view.html?Idx=167732&lq=LIST,그랑드 빈 드 지롱드  Grands Vins de Gironde,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc),,,,,16~18 ℃,"스테이크, 바비큐, 샤퀴트리 (햄, 하몽, 살라미 등), 숙성된 치즈 등과 잘 어울린다.",신동와인,1/5,3/5,3/5,3/5,체리,"스테이크, 치즈",,
투보틀 샤르도네,Two Bottle Chardonnay,https://www.wine21.com/13_search/wine_view.html?Idx=167733&lq=LIST,보데가스 이 비녜도스 데  아기레  Bodegas y Vinedos de Aguirre,칠레(Chile),샤르도네 (Chardonnay),,,,,10~12 ℃,"신선한 치즈나, 해산물, 그린 샐러드 등과 잘 어울린다.",신세계엘앤비,1/5,4/5,2/5,1/5,"복숭아, 파인애플","해산물, 샐러드, 복숭아, 치즈",,13~14 %
"프레드릭 마니앙, 에세조","Frederic Magnien, Echezeaux",https://www.wine21.com/13_search/wine_view.html?Idx=167735&lq=LIST,프레드릭 마니앙  Frederic Magnien,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 본-로마네(Vosne-Romanee),피노 누아 (Pinot Noir) 100%,,Échezeaux Grand Cru AOC(AOP),,,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",,1/5,3/5,4/5,3/5,,,,
"프레드릭 마니앙, 쥬브레 샹베르땅 비에이 비뉴","Frederic Magnien, Gevrey-Chambertin Vieilles Vignes",https://www.wine21.com/13_search/wine_view.html?Idx=167736&lq=LIST,프레드릭 마니앙  Frederic Magnien,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir) 100%,,Gevrey-Chambertin AOC(AOP),,,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",비티스,1/5,3/5,4/5,3/5,,,,
샤또 바라드,Chateau Barade,https://www.wine21.com/13_search/wine_view.html?Idx=167737&lq=LIST,샤또 바라드  Chateau Barade,프랑스(France) / 보르도(Bordeaux) / 엉트르-두-메르(Entre-Deux-Mers),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),,,,,16~18 ℃,"치즈, 찜, 스테이크 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,후추,"스테이크, 치즈",*Concrous de Lyon Silver Medal,14~15 %
아얄라 뀌베 넘버 7,Ayala Cuvee No.7,https://www.wine21.com/13_search/wine_view.html?Idx=167738&lq=LIST,샴페인 아얄라  Champagne Ayala,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir),,Champagne AOC(AOP),,,6~8 ℃,"초밥, 생선회, 그릴에 구운 랍스터, 숙성 치즈 (꽁떼) 등과 잘 어울린다.",,1/5,5/5,3/5,1/5,"아카시아, 미네랄, 유칼립투스, 꿀",랍스터,*2007 빈티지: Robert Parker 94점,
더 해츨링 쉬라즈,The Hatchling Shiraz,https://www.wine21.com/13_search/wine_view.html?Idx=167739&lq=LIST,슈베르트 이스테이트  Schubert Estate,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz),,,,,16~18 ℃,"스테이크, 치즈 등과 잘 어울린다.",에프엘코리아,1/5,3/5,4/5,4/5,,"스테이크, 치즈",* James Halliday 5 stars Winery,
더 고슬링 쉬라즈,The Gosling Shiraz,https://www.wine21.com/13_search/wine_view.html?Idx=167740&lq=LIST,슈베르트 이스테이트  Schubert Estate,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz),,,,,16~18 ℃,"스테이크, 치즈 등과 잘 어울린다.",에프엘코리아,1/5,3/5,5/5,4/5,블랙베리,"스테이크, 치즈",*James Halliday 5 stars Winery*James Halliday 95점*Gold Medal at the International MUNDUS VINI*Double Gold Medal at the China Wine & Spirit Awards*Gold Medal at Melbourne International Wine Competition,
구스 야드 블록 쉬라즈,Goose Yard Block Shiraz,https://www.wine21.com/13_search/wine_view.html?Idx=167741&lq=LIST,슈베르트 이스테이트  Schubert Estate,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz),,,,,16~18 ℃,"스테이크, 치즈 등과 잘 어울린다.",에프엘코리아,1/5,3/5,5/5,5/5,"크랜베리, 가죽","스테이크, 치즈",*James Halliday 5 stars Winery*James Halliday 96점*Trophy ‘Best New World Shiraz’ at HK International Wine & Spirit Competition*Gold Medal at HK International Wine & Spirit Competition*Double Gold Medal at the China Wine & Spirit Awards*Blue-Gold Medal at Sydney International Wine Competition 2016,
더 간더 리저브 쉬라즈,The Gander Reserve Shiraz,https://www.wine21.com/13_search/wine_view.html?Idx=167742&lq=LIST,슈베르트 이스테이트  Schubert Estate,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz),,,,,16~18 ℃,"스테이크, 치즈 등과 잘 어울린다.",에프엘코리아,1/5,3/5,5/5,5/5,,"스테이크, 치즈",*James Halliday 5 stars Winery*James Halliday 97점*Robert Parker 95점*Gold Medal at The Real Review,
"스미스 데브르, 까베르네 쇼비뇽","Smith Devereux, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=167743&lq=LIST,스미스 데브르  Smith Devereux,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 세인트 헬레나(St. Helena),카베르네 소비뇽 (Cabernet Sauvignon),,St. Helena AVA,,,16~18 ℃,"스테이크, 치즈 등과 잘 어울린다.",에프엘코리아,1/5,3/5,5/5,4/5,바닐라,"스테이크, 치즈",*2020 Sunset International Wine Gold Medal 92점*2020 East Meets West Wine Challenge Gold Medal 94점,
"스미스 데브르, No 3","Smith Devereux, No 3",https://www.wine21.com/13_search/wine_view.html?Idx=167744&lq=LIST,스미스 데브르  Smith Devereux,미국(U.S.A) / 캘리포니아(California),시라/쉬라즈 (Syrah/Shiraz) / 진판델 (Zinfandel),,California AVA,,,16~18 ℃,"스테이크, 치즈 등과 잘 어울린다.",에프엘코리아,1/5,3/5,4/5,4/5,바닐라,"스테이크, 치즈","*2019 Sunset Magazine Wine Competition, Gold Medal 92점*2020 Sunset International Wine Gold Medal, 92점*2020 East Meets Wine Competition Award Gold Medal, 93점",
"베르타니, 아마로네 델라 발폴리첼라 발판테나","Bertani, Amarone della Valpolicella Valpantena",https://www.wine21.com/13_search/wine_view.html?Idx=167745&lq=LIST,베르타니  Bertani,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) 80% / 론디넬라 (Rondinella) 20%,,Amarone della Valpolicella DOCG(DOP),전통 방식대로 천천히 건조해 당도를 높여 양조.,"배럴에서 24개월, 병입 후 최소 6개월 숙성해 출시.",16~18 ℃,"치즈, 건과일, 스테이크 등과 잘 어울린다.",비티스 / 에프엘코리아,1/5,3/5,5/5,4/5,"블랙베리, 체리, 후추, 시나몬","스테이크, 육류요리, 붉은육류, 양고기, 양념갈비, 갈비찜, 족발, 한식, 라자냐, 리조토, 서양요리, 과일, 치즈, 그라노파다노",*2017: Mundus Vini Gold,15~16 %
"베르타니, 발폴리첼라 리파소","Bertani, Valpolicella Ripasso",https://www.wine21.com/13_search/wine_view.html?Idx=167746&lq=LIST,베르타니  Bertani,이탈리아(Italy) / 베네토(Veneto),코르비나 (Corvina) 85% / 메를로 (Merlot) 10% / 론디넬라 (Rondinella) 5%,,Valpolicella Ripasso DOC(DOP),,9개월 숙성,16~18 ℃,"스테이크, 치즈 등과 잘 어울린다.",에프엘코리아,1/5,3/5,4/5,3/5,"체리, 초콜릿","스테이크, 치즈",,
산 지오르지오 아마로네 델라 발폴리첼라,San Giorgio Amarone della Valpolicella,https://www.wine21.com/13_search/wine_view.html?Idx=167747&lq=LIST,베나티  Bennati,이탈리아(Italy) / 베네토(Veneto),코르비나 (Corvina) / 론디넬라 (Rondinella) / 몰리나라 (Molinara),Italian Valpolicella Red,Amarone della Valpolicella DOCG(DOP),,,16~18 ℃,"치즈, 스테이크 등과 잘 어울린다.",에프엘코리아,1/5,3/5,4/5,4/5,"체리, 오크","스테이크, 치즈",,
"베르타니, 세코 베르타니","Bertani, Secco Bertani",https://www.wine21.com/13_search/wine_view.html?Idx=167748&lq=LIST,베르타니  Bertani,이탈리아(Italy) / 베네토(Veneto),코르비나 (Corvina) / 산지오베제 (Sangiovese) / 시라/쉬라즈 (Syrah/Shiraz) / 카베르네 소비뇽 (Cabernet Sauvignon),,Veneto IGT(IGP),,18개월 숙성,16~18 ℃,"스테이크, 치즈 등과 잘 어울린다.",에프엘코리아,1/5,3/5,4/5,3/5,오크,"스테이크, 치즈",,
토로 셀렉시옹 슈냉 또론테스,Toro Seleccion Chenin Torrontes,https://www.wine21.com/13_search/wine_view.html?Idx=167749&lq=LIST,페코비타  FeCoVita,아르헨티나(Argentina) / 멘도사(Mendoza),슈냉 블랑 (Chenin Blanc) / 토론테스 (Torrontes),,,,,10~12 ℃,"회, 생선 초밥, 굴, 오징어 볶음, 낚지 볶음, 해파리 냉채 등과 잘 어울린다.",레뱅,1/5,3/5,2/5,1/5,"배, 장미",초밥,,13~14 %
토로 셀렉시옹 말벡,Toro Seleccion Malbec,https://www.wine21.com/13_search/wine_view.html?Idx=167750&lq=LIST,페코비타  FeCoVita,아르헨티나(Argentina) / 멘도사(Mendoza),말벡 (Malbec),Argentinian Malbec,,,,16~18 ℃,"제육볶음, 삼겹살, 돼지갈비찜, 소갈비찜, 불고기류, 순대 등과 잘 어울린다.",레뱅,1/5,3/5,3/5,3/5,자두,자두,*2020 Gilbert & Gaillard 금메달,12~13 %
토로 셀렉시옹 시라 말벡,Toro Seleccion Syrah Malbec,https://www.wine21.com/13_search/wine_view.html?Idx=167751&lq=LIST,페코비타  FeCoVita,아르헨티나(Argentina) / 멘도사(Mendoza),시라/쉬라즈 (Syrah/Shiraz),,,,,16~18 ℃,"제육볶음, 삼겹살, 돼지갈비찜, 소갈비찜, 불고기류, 순대 등과 잘 어울린다.",레뱅,1/5,3/5,3/5,3/5,블랙베리,돼지,,13~14 %
"포르투 발도우로, 토니 포트","Porto Valdouro, Tawny Port",https://www.wine21.com/13_search/wine_view.html?Idx=167752&lq=LIST,포르투 발도우로  Porto Valdouro,포르투갈(Portugal) / 도우루(Douro),투리가 프란체사  (Touriga Francesa) / 틴타 까오 (Tinta Cao) / 투리가 나시오날 (Touriga Nacional) / 틴타 로리즈 (Tinta Roriz),,,,,14~16 ℃,"치즈, 육류 뿐만 아니라 초콜릿과 같은 달콤한 디저트 등과도 잘 어울린다.",레뱅,5/5,3/5,5/5,3/5,오크,치즈,,19~20 %
"포르투 발도우로, 화이트 포트","Porto Valdouro, White Port",https://www.wine21.com/13_search/wine_view.html?Idx=167753&lq=LIST,포르투 발도우로  Porto Valdouro,포르투갈(Portugal) / 도우루(Douro),비오시뉴 (Viosinho) / 라비가토 (Rabigato) / 말바시아 (Malvasia) / 아린토 (Arinto),,,,,14~16 ℃,"샐러드, 과일, 디저트 등과 잘 어울린다.",레뱅,5/5,3/5,5/5,1/5,오크,"샐러드, 과일, 디저트",,19~20 %
"도멘 라파주, 따론자","Domaine Lafage, Taronja",https://www.wine21.com/13_search/wine_view.html?Idx=167754&lq=LIST,도멘 라파주  Domaine Lafage,프랑스(France) / 서던 프랑스(Southern France),그르나슈 그리 (Grenache Gris) / 뮈스까 (Muscat) / 비오니에 (Viognier),,,,,10~12 ℃,"아시아요리, 샐러드 등과 잘 어울린다.",,1/5,5/5,3/5,2/5,"체리, 복숭아","아시아요리, 샐러드",*2018 빈티지: Robert Parker 93점*2017 빈티지: Robert Parker 91-93점,
"도멘 라파주, 나라사","Domaine Lafage, Narassa",https://www.wine21.com/13_search/wine_view.html?Idx=167755&lq=LIST,도멘 라파주  Domaine Lafage,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),그르나슈 (Grenache) / 시라/쉬라즈 (Syrah/Shiraz),,,,,16~18 ℃,"스테이크, 치즈 등과 잘 어울린다.",,1/5,4/5,4/5,3/5,"블랙체리, 블랙베리, 블루베리, 붉은꽃, 미네랄, 후추, 허브, 초콜릿","스테이크, 바비큐, 양갈비, 건육, 양념갈비, 갈비찜, 치즈, 파르미지아노, 그라노파다노, 스모크",*2020년 대한민국 주류대상 대상*2017 빈티지: Jeb Dunnuck 94점,
쉑 레드,Shack Red,https://www.wine21.com/13_search/wine_view.html?Idx=167756&lq=LIST,쉑 와인  Shack Wine,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache),,,,,16~18 ℃,"햄버거, 치즈 등과 잘 어울린다.",,1/5,3/5,2/5,2/5,후추,"햄, 햄버거, 치즈",,
