와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,양조,숙성,알코올,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,스타일,등급
"조지안 썬, 9 번치스","Georgian Sun, 9 Bunches",https://www.wine21.com/13_search/wine_view.html?Idx=175368&lq=LIST,조지안 썬  Georgian Sun,조지아(Georgia),키시 (Kisi) / 고룰리 므츠바네 (Goruli Mtsvane) / 히흐비 (Khikhvi) / 르카치텔리 (Rkatsiteli),,,13~14 %,8~10 ℃,,,1/5,3/5,2/5,1/5,"청사과, 배, 사과, 시트러스","해산물, 한식, 튀김, 샐러드",,,
"모티프 와인즈, 레드 힐스 레이크 카운티 카베르네 소비뇽","Motif Wines, Red Hills Lake County Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=175369&lq=LIST,모티프 와인  Motif Wines,미국(U.S.A),카베르네 소비뇽 (Cabernet Sauvignon) / 말벡 (Malbec) / 쁘띠 베르도 (Petit Verdot),,,14~15 %,16~18 ℃,,,1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 블루베리, 자두, 후추, 바닐라, 감초, 시나몬, 타바코, 오크","소고기, 스테이크, 육류요리, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 한식, 오일파스타, 크림파스타, 서양요리, 치즈, 체다, 고다, 페타, 스모크",* Wine Enthusist - 90 점* James Suckling - 90 점,,
"조지안 썬, 사페라비","Georgian Sun, Saperavi",https://www.wine21.com/13_search/wine_view.html?Idx=175370&lq=LIST,조지안 썬  Georgian Sun,조지아(Georgia),사페라비 (Saperavi),,,14~15 %,16~18 ℃,,,1/5,3/5,4/5,5/5,"블랙커런트, 블랙체리, 꽃, 오크","소고기, 돼지고기, 불고기, 양념갈비",,,
"킨즈마라울리 마라니, 크바렐리","Kindzmarauli Marani, Kvareli",https://www.wine21.com/13_search/wine_view.html?Idx=175371&lq=LIST,킨즈마라울리 마라니  Kindzmarauli Marani,조지아(Georgia) / 카헤티(Kakheti),사페라비 (Saperavi),,,13~14 %,16~18 ℃,,,1/5,3/5,4/5,4/5,"블랙체리, 블랙커런트, 아니스","소고기, 돼지고기, 불고기, 양념갈비",,,
"킨즈마라울리 마라니, 킨즈마라울리","Kindzmarauli Marani, Kindzmarauli",https://www.wine21.com/13_search/wine_view.html?Idx=175372&lq=LIST,킨즈마라울리 마라니  Kindzmarauli Marani,조지아(Georgia) / 카헤티(Kakheti),사페라비 (Saperavi),,,11~12 %,14~16 ℃,,,2/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 꽃","소고기, 돼지고기, 서양요리, 아시아음식",,,
"킨즈마라울리 마라니, 오츠카누리 사페레","Kindzmarauli Marani, Otskhanuri Sapere",https://www.wine21.com/13_search/wine_view.html?Idx=175373&lq=LIST,킨즈마라울리 마라니  Kindzmarauli Marani,조지아(Georgia) / 이머레티(Imereti),,크베브리 방식,,12~13 %,16~18 ℃,,,1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 꽃","육류요리, 서양요리, 아시아음식, 치즈",,,
"프랑수와 파랑, 물랭 아 방","Francois Parent, Moulin A Vent",https://www.wine21.com/13_search/wine_view.html?Idx=175374&lq=LIST,프랑수와 파랑  Francois Parent,프랑스(France) / 부르고뉴(Bourgogne) / 보졸레(Beaujolais) / 물랭-아-방(Moulin-a-Vent),가메이 (Gamay) 100%,,,14~15 %,12~14 ℃,"스테이크, 가금류, 오리구이, 치즈와 잘 어울린다.",,1/5,4/5,3/5,1/5,"체리, 딸기, 라스베리, 버섯, 젖은흙","스테이크, 오리고기, 가금류, 치즈","* Francois Parent (프랑스와 파랑)은 200년 역사를 가진 GROS가문의 Anne-Francoise Gros(안느 프랑스와 그로)와 Pommard 출신의 13대 명문 가문의 프랑스와 파랑이 결혼을 통해 AF. GROS와 프랑스와 파랑의 모든 와인을 생산해왔습니다. 이제는 세계적인 인기를 얻고 있는  그가 생산하는 A.F. GROS와 프랑스와 파랑은 새로운 빈티지가 출시되자 마자 완판되고 있습니다. 현재는 그의 아들인 마티아스 파랑이 함께 양조를 함께 하고 있으며 높아져 가는 인기로 보졸레 지방의 물랑 아방을 지역을 매입하여 가메 품종의 와인을 생산하고 있습니다.프랑스와 파랑 물랑 아 방은 피노누아를 잘 만드는 프랑스와 파랑이 생산하는 가메 품종의 와인으로 라이트하고 산도가 있는 장미빛 색의 와인으로 가볍게 즐기시는 와인으로 인기를 얻고 있습니다. """,,Moulin-à-Vent AOC(AOP)
"엘 에스테코, 올드바인 카베르네 소비뇽","El Esteco, Old Vines Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=175375&lq=LIST,엘 에스테코  El Esteco,아르헨티나(Argentina) / 살타(Salta) / 까파야떼(Cafayate) / 칼차키 밸리(Calchaqui Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,,14~15 %,16~18 ℃,,신동와인,1/5,3/5,4/5,4/5,"블랙커런트, 자두, 가죽","송아지, 소고기, 육류요리, 돼지고기, 양갈비, 양고기, 양념갈비, 갈비찜, 파스타, 랑그르, 치즈, 파르미지아노, 브리, 그라노파다노",,,
"영 어덜트, 진판델","Young Adult, Zinfandel",https://www.wine21.com/13_search/wine_view.html?Idx=175376&lq=LIST,영 어덜트  Young Adult,미국(U.S.A) / 캘리포니아(California) / 아마도르 카운티(Amador County),진판델 (Zinfandel) 100%,,,,16~18 ℃,,보틀샤크,1/5,4/5,4/5,4/5,"딸기, 건포도, 아니스, 허브, 캐슈넛","돼지고기, 양고기",,,
"프랑수와 파랑, 부르고뉴 오뜨 꼬뜨 드 뉘","Francois Parent, Bourgogne Hautes-Cotes De Nuits",https://www.wine21.com/13_search/wine_view.html?Idx=175377&lq=LIST,프랑수와 파랑  Francois Parent,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 부르고뉴 오뜨 꼬뜨 드 뉘(Bourgogne Hautes Côtes de Nuits),피노 누아 (Pinot Noir) 100%,,,13~14 %,12~14 ℃,"스테이크, 가금류, 오리구이, 치즈와 잘 어울린다.",,1/5,4/5,3/5,2/5,"체리, 딸기, 라스베리, 버섯, 젖은흙","스테이크, 오리고기, 가금류, 치즈",,Burgundy Red,Bourgogne Hautes Côtes de Nuits AOC(AOP)
"레 끌로 모리스, 볼티지 데 끌로","Les Clos Maurice, Voltige Des Clos",https://www.wine21.com/13_search/wine_view.html?Idx=175378&lq=LIST,레 끌로 모리스  Les Clos Maurice,프랑스(France) / 루아르(Loire) / 앙쥬-소뮈르(Anjou-Saumur) / 소뮈르-샹삐니(Saumur-Champigny),카베르네 프랑 (Cabernet Franc) 100%,,,13~14 %,16~18 ℃,"로스트비프, 불고기, 오리로스, 훈제오리, 치킨, 찜닭, 수육, 토마토파스타, 피자, 탕수육 등과 잘 어울린다.",,1/5,4/5,3/5,2/5,"블랙체리, 딸기, 라스베리, 자두, 감초, 허브","로스트비프, 훈제오리, 찜닭, 오리로스, 치킨, 수육, 토마토파스타, 피자, 탕수육",,Upper Loire Red,
"프랑수와 파랑, 샹볼 뮈지니","Francois Parent, Chambolle Musigny",https://www.wine21.com/13_search/wine_view.html?Idx=175379&lq=LIST,프랑수와 파랑  Francois Parent,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 샹볼 뮈지니(Chambolle Musigny),피노 누아 (Pinot Noir) 100%,,,14~15 %,12~14 ℃,"스테이크, 가금류, 오리고기, 치즈와 잘 어울린다.",,1/5,4/5,3/5,2/5,"체리, 딸기, 라스베리, 버섯, 젖은흙","스테이크, 오리고기, 가금류, 치즈",,Burgundy Côte de Nuits Red,Chambolle-Musigny AOC(AOP)
"윈즈 쿠나와라 에스테이트, 블랙 라벨 올드 바인 쉬라즈","Wynns Coonawarra Estate, Black Label Old Vine Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=175380&lq=LIST,윈즈 쿠나와라 에스테이트  Wynns Coonawarra Estate,호주(Australia) / 사우스 오스트레일리아(South Australia) / 쿠나와라(Coonawarra),시라/쉬라즈 (Syrah/Shiraz) 100%,,,,16~18 ℃,,에노테카코리아,1/5,3/5,4/5,4/5,"레드커런트, 크랜베리, 블랙커런트, 시나몬, 후추","양갈비, 양고기",,,
"랑메일, 와틀 브레 리슬링","Langmeil, Wattle Brae Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=175381&lq=LIST,랑메일 와이너리  Langmeil Winery,호주(Australia) / 사우스 오스트레일리아(South Australia) / 에덴 밸리(Eden Valley),리슬링 (Riesling) 100%,1970년대에 식재된 수령 35년 이상의 포도나무에서 수확한 포도로 양조,스테인리스스틸 탱크 숙성,11~12 %,8~10 ℃,"흰살생선요리, 굴 등의 해산물 요리와 잘 어울린다.",레뱅,1/5,4/5,2/5,1/5,"청사과, 시트러스, 라임, 꽃","생선찜, 흰살생선, 해산물, 생굴",*2019 Halliday Wine Companion 95,Australian Riesling,
"드미에르, 리산드르","Demiere, Lysandre",https://www.wine21.com/13_search/wine_view.html?Idx=175382&lq=LIST,드미에르  Demiere,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 피노 뮈니에 (Pinot Meunier),,,13~14 %,8~10 ℃,"식전주, 회, 해산물, 굴, 랍스터, 킹크랩, 숙성치즈, 페타, 브리, 콩테, 건육 등과 잘 어울린다.",,1/5,4/5,3/5,1/5,"복숭아, 감귤, 레몬, 브리오슈, 아몬드","건육, 생선회, 해산물, 랍스터, 생굴, 식전주, 복숭아, 치즈, 브리, 꽁떼",,French Champagne,
"카헤티 컴퍼니, 크바렐리","Kakheti Company, Kvareli",https://www.wine21.com/13_search/wine_view.html?Idx=175383&lq=LIST,카헤티 컴퍼니  Kakheti Company,조지아(Georgia) / 카헤티(Kakheti),사페라비 (Saperavi),,,13~14 %,16~18 ℃,,,1/5,3/5,4/5,5/5,"블랙커런트, 블랙체리, 꽃, 후추","돼지고기, 서양요리, 아시아요리",,,
"카헤티 컴퍼니, 머스캣","Kakheti Company, Muscat",https://www.wine21.com/13_search/wine_view.html?Idx=175384&lq=LIST,카헤티 컴퍼니  Kakheti Company,조지아(Georgia) / 카헤티(Kakheti),머스캣 오토넬리 (Muscat Otoneli),,,11~12 %,10~12 ℃,,,2/5,3/5,2/5,2/5,"구즈베리, 딸기, 크랜베리, 라스베리, 시트러스, 꽃","한식, 서양요리, 아시아요리",,,
"카헤티 컴퍼니, 사페라비 리저브","Kakheti Company, Saperavi Reserve",https://www.wine21.com/13_search/wine_view.html?Idx=175385&lq=LIST,카헤티 컴퍼니  Kakheti Company,조지아(Georgia) / 카헤티(Kakheti),사페라비 (Saperavi),,,13~14 %,16~18 ℃,,,1/5,3/5,4/5,5/5,"블랙커런트, 블랙체리, 꽃, 아니스","스테이크, 양고기, 갈비찜, 치즈",,,
"JSC 코퍼레이션 킨즈마라울리, 키흐비","JSC Corporation Kindzmarauli, Khikhvi",https://www.wine21.com/13_search/wine_view.html?Idx=175386&lq=LIST,JSC 코퍼레이션 킨즈마라울리  JSC Corporation Kindzmarauli,조지아(Georgia) / 카헤티(Kakheti),히흐비 (Khikhvi),,,14~15 %,8~10 ℃,,,1/5,3/5,1/5,1/5,"청사과, 배, 서양배, 시트러스","해산물, 한식, 튀김, 샐러드",*Mundus vini -Silver*IWC -Gold,,
"JSC 코퍼레이션 킨즈마라울리, 킨즈마라울리","JSC Corporation Kindzmarauli, Kindzmarauli",https://www.wine21.com/13_search/wine_view.html?Idx=175387&lq=LIST,JSC 코퍼레이션 킨즈마라울리  JSC Corporation Kindzmarauli,조지아(Georgia) / 카헤티(Kakheti),사페라비 (Saperavi),,,11~12 %,16~18 ℃,,,1/5,3/5,4/5,5/5,"블랙커런트, 블랙체리, 꽃, 아니스","로스트비프, 항정살, 닭고기, 불고기",,,
"JSC 코퍼레이션 킨즈마라울리, 키시 크베브리","JSC Corporation Kindzmarauli, Kisi Qvevri",https://www.wine21.com/13_search/wine_view.html?Idx=175388&lq=LIST,JSC 코퍼레이션 킨즈마라울리  JSC Corporation Kindzmarauli,조지아(Georgia) / 카헤티(Kakheti),키시 (Kisi),,,13~14 %,10~12 ℃,,,1/5,3/5,2/5,1/5,"청사과, 배, 서양배, 열대과일","해산물, 서양요리, 아시아요리, 치즈",,,
"JSC 코퍼레이션 킨즈마라울리, 크바렐리","JSC Corporation Kindzmarauli, Kvareli",https://www.wine21.com/13_search/wine_view.html?Idx=175389&lq=LIST,JSC 코퍼레이션 킨즈마라울리  JSC Corporation Kindzmarauli,조지아(Georgia) / 카헤티(Kakheti),사페라비 (Saperavi),,,13~14 %,16~18 ℃,,,1/5,3/5,4/5,5/5,"블랙커런트, 블랙체리, 꽃, 후추","스테이크, 돼지고기, 갈비탕, 치즈",*Decanter – silver*Mundus vini - Gold,,
"JSC 코퍼레이션 킨즈마라울리, 므츠바네","JSC Corporation Kindzmarauli, Mtsvane",https://www.wine21.com/13_search/wine_view.html?Idx=175390&lq=LIST,JSC 코퍼레이션 킨즈마라울리  JSC Corporation Kindzmarauli,조지아(Georgia) / 카헤티(Kakheti),고룰리 므츠바네 (Goruli Mtsvane),,,11~12 %,8~10 ℃,,,1/5,3/5,2/5,1/5,"청사과, 배, 서양배, 시트러스","해산물, 서양요리, 아시아요리, 튀김",,,
"JSC 코퍼레이션 킨즈마라울리, 르카치텔리 올드 바인","JSC Corporation Kindzmarauli, Rkatsiteli from old vine",https://www.wine21.com/13_search/wine_view.html?Idx=175391&lq=LIST,JSC 코퍼레이션 킨즈마라울리  JSC Corporation Kindzmarauli,조지아(Georgia) / 카헤티(Kakheti),르카치텔리 (Rkatsiteli),,,13~14 %,10~12 ℃,,,1/5,3/5,2/5,1/5,"배, 청사과, 서양배, 시트러스","해산물, 튀김, 샐러드",*Mundus vini- Gold*Best of show Georgia white,,
"JSC 코퍼레이션 킨즈마라울리, 사페라비 올드 바인","JSC Corporation Kindzmarauli, Saperavi from old vine",https://www.wine21.com/13_search/wine_view.html?Idx=175392&lq=LIST,JSC 코퍼레이션 킨즈마라울리  JSC Corporation Kindzmarauli,조지아(Georgia) / 카헤티(Kakheti),사페라비 (Saperavi),,,14~15 %,16~18 ℃,,,1/5,3/5,4/5,5/5,"블랙커런트, 블랙체리, 꽃, 아니스","로스트비프, 양고기, 아시아요리, 치즈",,,
"JSC 코퍼레이션 킨즈마라울리, 사페라비 크베브리","JSC Corporation Kindzmarauli, Saperavi Qvevri",https://www.wine21.com/13_search/wine_view.html?Idx=175393&lq=LIST,JSC 코퍼레이션 킨즈마라울리  JSC Corporation Kindzmarauli,조지아(Georgia) / 카헤티(Kakheti),사페라비 (Saperavi),,,13~14 %,16~18 ℃,,,1/5,3/5,4/5,5/5,"블랙커런트, 블랙체리, 꽃","스테이크, 양고기, 갈비찜, 불고기",*Mundus vini - Gold,,
"JSC 코퍼레이션 킨즈마라울리, 치난달리","JSC Corporation Kindzmarauli, Tsinandali",https://www.wine21.com/13_search/wine_view.html?Idx=175394&lq=LIST,JSC 코퍼레이션 킨즈마라울리  JSC Corporation Kindzmarauli,조지아(Georgia) / 카헤티(Kakheti),르카치텔리 (Rkatsiteli) / 고룰리 므츠바네 (Goruli Mtsvane),,,13~14 %,8~10 ℃,,,1/5,3/5,2/5,1/5,"청사과, 배, 서양배, 미네랄","해산물, 서양요리, 아시아요리, 샐러드",,,
"콘초 & 컴퍼니, 콘초 앰버","Koncho & Company, Koncho Amber",https://www.wine21.com/13_search/wine_view.html?Idx=175395&lq=LIST,콘초 & 컴퍼니  Koncho & Company,조지아(Georgia) / 카헤티(Kakheti),키시 (Kisi) / 르카치텔리 (Rkatsiteli) / 므츠바네 카후리 (Mtsvane Kakhuri) / 므츠비바니 카후리 (Mtsvivani Kakhuri),,,14~15 %,10~12 ℃,,,1/5,3/5,2/5,1/5,"배, 청사과, 서양배, 시트러스","서양요리, 아시아요리, 샐러드",*IWSC- Gold,,
"콘초 & 컴퍼니, 콘초 블랙","Koncho & Company, Koncho Blakc",https://www.wine21.com/13_search/wine_view.html?Idx=175396&lq=LIST,콘초 & 컴퍼니  Koncho & Company,조지아(Georgia) / 카헤티(Kakheti),사페라비 (Saperavi),,,13~14 %,16~18 ℃,,,1/5,3/5,4/5,5/5,"블랙커런트, 블랙체리, 꽃, 후추, 오크","스테이크, 오겹살, 불고기",*DWWA- Silver*Mundus vini – Gold,,
"콘초 & 컴퍼니, 콘초 레드","Koncho & Company, Koncho Red",https://www.wine21.com/13_search/wine_view.html?Idx=175397&lq=LIST,콘초 & 컴퍼니  Koncho & Company,조지아(Georgia) / 카헤티(Kakheti),사페라비 (Saperavi) / 알렉산드로울리 (Aleksandrouli) / 메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon) / 피노 누아 (Pinot Noir),,,13~14 %,16~18 ℃,,,1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 꽃, 아니스, 오크","로스트비프, 베이컨, 양고기, 갈비찜",*Mundus vini- silver,,
"콘초 & 컴퍼니, 콘초 화이트","Koncho & Company, Koncho White",https://www.wine21.com/13_search/wine_view.html?Idx=175398&lq=LIST,콘초 & 컴퍼니  Koncho & Company,조지아(Georgia) / 카헤티(Kakheti),키시 (Kisi) / 뮈스까 (Muscat),,,14~15 %,10~12 ℃,,,1/5,3/5,2/5,1/5,"청사과, 배, 서양배, 시트러스","해산물, 서양요리, 아시아요리, 튀김",,,
"콘초 & 컴퍼니, 크바렐리 스페셜 리저브","Koncho & Company, Kvareli special reserve",https://www.wine21.com/13_search/wine_view.html?Idx=175399&lq=LIST,콘초 & 컴퍼니  Koncho & Company,조지아(Georgia) / 카헤티(Kakheti),사페라비 (Saperavi),,,14~15 %,16~18 ℃,,,1/5,3/5,4/5,5/5,"블랙커런트, 블랙체리, 꽃, 오크","육류요리, 양고기, 살라미, 불고기",*IWC – Silver*decanter -Silver*Mundus vini Gold,,
"콘초 & 컴퍼니, 므츠비바니 카후리","Koncho & Company, Mtsvivani kakhuri",https://www.wine21.com/13_search/wine_view.html?Idx=175400&lq=LIST,콘초 & 컴퍼니  Koncho & Company,조지아(Georgia) / 카헤티(Kakheti),므츠비바니 카후리 (Mtsvivani Kakhuri),,,13~14 %,10~12 ℃,,,1/5,3/5,2/5,1/5,"배, 청사과, 서양배, 시트러스","해산물, 아시아요리, 치즈",*Mundus vini – gold*DWWA- Silver*IWC-Silver,,
"콘초 & 컴퍼니, 사페라비 프리미엄","Koncho & Company, Saperavi Premium",https://www.wine21.com/13_search/wine_view.html?Idx=175401&lq=LIST,콘초 & 컴퍼니  Koncho & Company,조지아(Georgia) / 카헤티(Kakheti),사페라비 (Saperavi),,,13~14 %,16~18 ℃,,,1/5,3/5,4/5,5/5,"블랙체리, 블랙커런트, 후추","육류요리, 오겹살, 양갈비, 불고기",*Mundus vini - Gold,,
"비냐 마올라, 아르테 리제르바 샤르도네","Vina Maola, Arte Reserva Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=175402&lq=LIST,비냐 마올라  Vina Maola,칠레(Chile) / 센트럴 밸리(Central Valley),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,에노테카코리아,1/5,3/5,3/5,1/5,"오렌지, 감귤, 열대과일, 파인애플, 바나나, 흰꽃, 꽃","돼지고기, 건육, 닭강정, 치킨, 해산물, 문어숙회, 조개구이, 오일파스타, 서양요리, 중국요리, 탕수육, 아시아요리, 과일",,Chilean Chardonnay,
"비냐 마올라, 아르테 리제르바 카베르네 소비뇽","Vina Maola, Arte Reserva Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=175403&lq=LIST,비냐 마올라  Vina Maola,칠레(Chile) / 센트럴 밸리(Central Valley),카베르네 소비뇽 (Cabernet Sauvignon),,,13~14 %,16~18 ℃,,에노테카코리아,1/5,4/5,2/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 자두, 후추, 바닐라, 정향, 감초, 삼나무, 오크","그릴요리, 소고기, 스테이크, 바비큐, 돼지고기, 양갈비, 건육, 양념갈비, 갈비찜, 족발, 한식, 토마토파스타, 크림파스타, 자두, 치즈, 체다, 파르메산, 콩테",,Chilean Cabernet Sauvignon,
"스킴스톤, 샤도네이","Skimstone, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=175404&lq=LIST,스킴스톤  Skimstone,호주(Australia) / 뉴 사우스 웨일즈(New South Wales) / 머쥐(Mudgee),샤르도네 (Chardonnay),,,,10~12 ℃,,오지노와인,1/5,2/5,2/5,1/5,"모과, 서양배, 시트러스, 열대과일, 꽃","꼬치구이, 건육, 후라이드, 닭고기, 참치, 해산물, 편육, 순대, 햄버거, 중국요리, 탕수육",,Australian Chardonnay,
"보데가스 델람파, 델람파 50 아뇨스","Bogedas Delampa, Delampa 50 Anos",https://www.wine21.com/13_search/wine_view.html?Idx=175405&lq=LIST,보데가스 델람파  Bogedas Delampa,스페인(Spain) / 후미야(Jumilla),모나스트렐 (Monastrell),"50년 이상의 수령의 포도나무. 2,500kg/ha로 고품질의 복합미를 갖춘 포도 생산.",American Oak 12개월 숙성.,,,,하이트진로,2/5,3/5,5/5,3/5,"블랙커런트, 블랙체리, 자두, 말린자두, 바닐라, 정향, 감초, 삼나무, 코코아","그릴요리, 육류요리, 붉은육류, 바비큐, 돼지고기, 양꼬치, 양갈비, 건육, 양념갈비, 갈비찜, 순대, 토마토파스타, 서양요리, 건포도, 말린과일, 말린무화과, 말린과일, 견과류, 에멘탈, 페타, 스모크",* 2022 Prowein Top 100 of Spain* VIVINO 4.2점,Spanish Monastrell,
"보데가스 델람파, 델람파 셀렉시옹","Bogedas Delampa, Delampa Seleccion",https://www.wine21.com/13_search/wine_view.html?Idx=175406&lq=LIST,보데가스 델람파  Bogedas Delampa,스페인(Spain) / 후미야(Jumilla),모나스트렐 (Monastrell),해발고도 700m의 라임스톤 토양에서 포도를 재배.,American Oak 4개월 숙성 + 2개월 병숙성.,,16~18 ℃,,하이트진로,2/5,2/5,5/5,3/5,"블랙커런트, 레드커런트, 자두, 말린자두, 후추, 바닐라, 감초, 오크","그릴요리, 소고기, 꼬치구이, 양꼬치, 건육, 양념갈비, 갈비찜, 토마토파스타, 자두, 견과류, 치즈, 고다, 페타",* VIVINO 4.1점,Spanish Monastrell,
"샤또 라 세르, 쌩떼밀리옹 그랑 크뤼 클라쎄","Chateau La Serre,  Saint-Emilion Grand Cru Classe",https://www.wine21.com/13_search/wine_view.html?Idx=175407&lq=LIST,샤또 라 세르 [보르도]  Chateau La Serre [Bordeaux],프랑스(France) / 보르도(Bordeaux) / 생-떼밀리옹(Saint-Emilion),메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc),포도나무의 평균 수령이 35년. 손 수확. 저온 발효 침용. 콘크리토 발효조 및 스테인리스 발효조에서 발효. 젖산 발효 실시.,프렌치 오크 배럴에서 18개월의 숙성(50%의 새 오크 배럴),13~14 %,16~18 ℃,,하이트진로,1/5,3/5,4/5,3/5,"레드커런트, 블랙체리, 체리, 블루베리, 자두, 바닐라, 삼나무, 연기, 가죽, 흙","그릴요리, 송아지, 붉은육류, 양갈비, 건육, 보쌈, 불고기, 양념갈비, 족발, 한식, 크림파스타, 서양요리, 리조또, 새송이, 송이버섯, 자두, 견과류, 체더, 치즈, 파르미지아노, 그라노파다노, 콩테",,Bordeaux Saint-Émilion,"Saint-Émilion Grand Cru AOC(AOP), Grand Cru Classé"
"비냐 마퀴스, 와타 그랑 리제르바 까베르네 소비뇽","Vina Maquis, Wata Gran Reserva Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=175408&lq=LIST,비냐 마퀴스  Viña Maquis,칠레(Chile) / 라펠 밸리(Rapel Valley) / 콜차구아 밸리(Cholchagua Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 말벡 (Malbec) / 쁘띠 베르도 (Petit Verdot),손수확. 22 ~ 24도에서 온도조절하며 발효 (20일간 스테인레스 탱크). 21일간 침용과정.,프렌치 오크 배럴에서 12개월 숙성.,14~15 %,16~18 ℃,,레드와인앤제이와이,1/5,3/5,4/5,3/5,"블랙커런트, 블랙체리, 자두, 바닐라, 감초, 삼나무, 오크","스테이크, 붉은육류, 바비큐, 양갈비, 건육, 불고기, 양념갈비, 갈비찜, 한식, 토마토파스타, 크림파스타, 서양요리, 견과류, 치즈, 파르미지아노, 그라노파다노, 꽁떼","- WATA(World Art Terapy Association) 사단법인 예술치료협회의 약어로, 치유의 손길을 필요로 하는 누구에게나 '차별없는 예술치료'를 실현하고자 하며 '예술'을 통한 내적 치유와 삶의 질 향상에 기여하고 있음.- 라벨의 그림은 세계예술치료협회 WATA가 후원하는 장애아동 아티스트 1호인 김수환 화가의 그림.",Chilean Cabernet Sauvignon,
샤또 뒤클뤼조,Chateau Ducluzeau,https://www.wine21.com/13_search/wine_view.html?Idx=175409&lq=LIST,샤또 뒤클뤼조  Chateau Ducluzeau,프랑스(France) / 보르도(Bordeaux) / 리스트락-메독(Listrac-Medoc),메를로 (Merlot) 79% / 카베르네 소비뇽 (Cabernet Sauvignon) 11% / 쁘띠 베르도 (Petit Verdot) 10%,,"20%는 새로운 배럴에서, 80%는 1년 사용한 배럴에서 12개월간 숙성. 배럴은 최소 3년간 야외 건조, 인증받은 프렌치 오크 사용.",,16~18 ℃,,(주)와이넬,1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 딸기, 라스베리, 자두, 정향, 감초, 삼나무, 오크, 가죽","그릴요리, 소고기, 스테이크, 육류요리, 바비큐, 양갈비, 불고기, 갈비찜, 갈비탕, 한식, 라자냐, 토마토파스타, 서양요리, 자두, 랑그르, 파르미지아노, 브리, 그라노파다노, 테트드무안",* 2016 빈티지 - Andreas Larsson 91점* 보르도 유명 생산자 '샤또 뒤크뤼 보까이유'에서 생산하는 와인.,Bordeaux Médoc,Listrac-Médoc AOC(AOP)
"볼레로, 사페라비","Bolero, Saperavi",https://www.wine21.com/13_search/wine_view.html?Idx=175410&lq=LIST,볼레로  Bolero [B2B],조지아(Georgia) / 카헤티(Kakheti),사페라비 (Saperavi),,,12~13 %,16~18 ℃,,,1/5,3/5,4/5,5/5,"블랙커런트, 블랙체리, 후추, 오크","스테이크, 항정살, 하몽, 갈비찜",,,
"브루알레, 르카치텔리","Bruale, Rkatsiteli",https://www.wine21.com/13_search/wine_view.html?Idx=175411&lq=LIST,브루알레  Bruale [B2B],조지아(Georgia),르카치텔리 (Rkatsiteli),,Qvevri 6 months,14~15 %,10~12 ℃,,,1/5,3/5,2/5,1/5,"배, 사과, 시트러스, 오크","한식, 서양요리, 아시아요리",,,
"브루알레, 사페라비","Bruale, Saperavi",https://www.wine21.com/13_search/wine_view.html?Idx=175412&lq=LIST,브루알레  Bruale [B2B],조지아(Georgia),사페라비 (Saperavi),,,13~14 %,16~18 ℃,,,1/5,3/5,4/5,5/5,"블랙체리, 오크","스테이크, 항정살, 양고기, 치즈",,,
"루이스피리, 르카치텔리","Ruispiri, Rkatsiteli",https://www.wine21.com/13_search/wine_view.html?Idx=175413&lq=LIST,루이스피리 협동조합  Cooperative Ruispiri [B2B],조지아(Georgia),르카치텔리 (Rkatsiteli),,,12~13 %,10~12 ℃,,,1/5,3/5,2/5,1/5,"청사과, 살구, 백도, 시트러스","서양요리, 아시아요리, 튀김, 샐러드",,,
"루이스피리, 므츠바네 크베브리","Ruispiri, Mtsvane Qvevri",https://www.wine21.com/13_search/wine_view.html?Idx=175414&lq=LIST,루이스피리 협동조합  Cooperative Ruispiri [B2B],조지아(Georgia),고룰리 므츠바네 (Goruli Mtsvane),,,11~12 %,10~12 ℃,,,1/5,3/5,2/5,1/5,"복숭아, 청사과, 서양배","해산물, 아시아요리, 샐러드, 복숭아",,,
