와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,양조,숙성,알코올,음용온도,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,스타일,등급,추천음식
"폴 미트나흐, 리슬링","Paul Mittnacht, Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=177105&lq=LIST,폴 미트나흐  Paul Mittnacht,프랑스(France) / 알자스(Alsace),리슬링 (Riesling),손으로 포도 수확. 스테인리스 스틸 탱크에서 천연 효모로 발효.,몇 달 동안 lees 숙성,12~13 %,8~10 ℃,비니더스코리아,1/5,4/5,2/5,1/5,"복숭아, 사과, 미네랄, 민트","돼지고기, 건육, 해산물, 편육, 수육, 중국요리, 탕수육, 복숭아, 치즈, 체다, 고다",,Alsace Riesling,,"매콤한 아시아 요리, 특히 태국 및 인도 요리와 굴, 조개, 새우와 같은 신선한 해산물, 비네그레트 드레싱, 구운 야채, 구운 야채, 염소 치즈나 브리와 같은 부드러운 치즈를 곁들인 샐러드, 리조또, 까르보나라와 같은 풍부하고 크림 같은 요리와 잘 어울린다,"
"폴 미트나흐, 크레망","Paul Mittnacht, Cremant",https://www.wine21.com/13_search/wine_view.html?Idx=177106&lq=LIST,폴 미트나흐  Paul Mittnacht,프랑스(France) / 알자스(Alsace),피노 블랑 (Pinot Blanc),손으로 포도 수확. 스테인리스 스틸 탱크에서 발효. 병에서 2차 발효.,12개월 lees 숙성.,12~13 %,6~8 ℃,비니더스코리아,1/5,5/5,2/5,1/5,"청사과, 사과, 레몬껍질, 파인애플, 젖은자갈, 브리오슈","건육, 스시, 생선회, 해산물, 편육, 수육, 오일파스타, 동남아요리, 아시아요리, 튀김, 치즈",* 2019 Decanter World Wine Awards - Silver Medal* 2018 Mudus Vini Spring Tasting - Gold Medal,French Crémant,,"훈제 연어, 굴, 치즈 플래터와 같은 애피타이저,구운 생선과 같은 해산물 요리,구운 닭고기, 비네그레트 드레싱을 곁들인 샐러드와 잘 어울린다."
"폴 미트나흐, 피노누아","Paul Mittnacht, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=177107&lq=LIST,폴 미트나흐  Paul Mittnacht,프랑스(France) / 알자스(Alsace),피노 누아 (Pinot Noir),3주 동안 껍질과 함께 침용,오크통을 사용하지 않고 스테인리스 스틸 탱크에서 숙성,13~14 %,10~12 ℃,비니더스코리아,1/5,4/5,3/5,2/5,"블랙커런트, 체리, 자두","송아지, 로스트비프, 돼지고기, 양꼬치, 건육, 훈제오리, 불고기, 편육, 파스타, 서양요리, 피자, 중국요리, 자두, 치즈",,Alsace Pinot Noir,,"치즈, 사퀴트리, 어린 양고기와 잘 어울린다."
"토이메이커 셀라즈, 토이메이커 까베르네 소비뇽","Toymaker Cellars, Toymaker Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=177108&lq=LIST,토이메이커 셀라즈  Toymaker Cellars,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon),,,15~16 %,16~18 ℃,레뱅,1/5,3/5,4/5,4/5,"블랙커런트, 블랙베리, 말린과일, 정향, 카카오","소고기, 스테이크, 붉은육류, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 파스타, 리조토, 치즈, 체다, 고다, 그라노파다노, 테트드무안, 콩테","* 토이메이커(TOYMAKER)는 할란(Harlan), 블랑키에트, 슬론 등의 유명 컬트와인의 와인메이커이자 최고의 여성 와인메이커로 손꼽히는 마사 맥클라렌(Martha McClellan)에 의해 탄생한 컬트와인입니다. 연간 약 200 케이스 소량 생산하는 희귀 와인으로, 각 빈티지별로 다른 디자인의 레이블을 가지고 있어 소장가치가 매우 높은 와인이다.",Californian Cabernet Sauvignon,,
"토이메이커 셀라즈, 틴솔저 까베르네 소비뇽","Toymaker Cellars, Tin Soldier Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=177109&lq=LIST,토이메이커 셀라즈  Toymaker Cellars,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon),,,14~15 %,16~18 ℃,레뱅,1/5,3/5,4/5,4/5,"블랙커런트, 블랙베리, 자두, 말린과일, 정향, 모카, 카카오, 다크초콜릿","소고기, 스테이크, 붉은육류, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 라자냐, 리조토, 서양요리, 자두, 치즈, 체다, 고다, 그라노파다노","* 할란(Harlan), 블랑키에트, 슬론 등의 유명 컬트와인의 와인메이커이자 최고의 여성 와인메이커로 손꼽히는 마사 맥클라렌(Martha McClellan)에 의해 탄생한 컬트와인으로 토이메이커의 뉘앙스를 즐길 수 있는 토이메이커의 세컨드 와인으로 토이메이커와 동일한 포도밭과 생산 공정을 통해 생산됩니다.",Californian Cabernet Sauvignon,,
"오스트레일리안 빈트너스, 렌마크 크릭 카버네 소비뇽","Australian Vintners, Renmark Creek Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=177110&lq=LIST,오스트레일리안 빈트너스  Australian Vintners,호주(Australia) / 사우스 오스트레일리아(South Australia) / 리버랜드(Riverland),카베르네 소비뇽 (Cabernet Sauvignon),,스틸 탱크 36개월 숙성.,14~15 %,16~18 ℃,콜리코,1/5,3/5,3/5,3/5,"블랙커런트, 체리, 라스베리, 자두, 바닐라, 유칼립투스, 타바코","소고기, 육류요리, 붉은육류, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 토마토파스타, 피자, 버섯, 자두, 견과류, 치즈, 파르미지아노, 체다, 고다",,Australian Cabernet Sauvignon,,
"베츠 패밀리 와이너리, 퀸타 어쎈시아","Betz Family Winery, Quinta Essentia",https://www.wine21.com/13_search/wine_view.html?Idx=177111&lq=LIST,베츠 패밀리 와이너리  Betz Family Winery,남아프리카(South Africa) / 코스탈 리젼(Coastal Region) / 스텔렌보쉬(Stellenbosch),슈냉 블랑 (Chenin Blanc),,,13~14 %,10~12 ℃,비니더스코리아,1/5,4/5,3/5,1/5,"황도, 열대과일, 리치, 파인애플, 미네랄, 부싯돌, 허브, 브리오슈, 아몬드","건육, 닭고기, 오리로스, 생선구이, 생선회, 해산물, 오일파스타, 서양요리, 중국요리, 탕수육, 견과류, 치즈",* MW밥베츠와 남아공의 스톨론부시와의 만남 . 수령 60년이상의 야생 슈냉블랑. 전량  베츠회원에게만 판매되는 와인.,South African Chenin Blanc,,
"하이랜드, 쿠리 싱글 클론 피노누아","Hyland, Coury Single Clon Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=177112&lq=LIST,하이랜드 에스테이트  Hyland Estates,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley) / 맥민빌(McMinnville),피노 누아 (Pinot Noir),붉은 화산토양의 일종인 jory토양 위에서 자란 포도 사용.,,14~15 %,14~16 ℃,비니더스코리아,1/5,4/5,3/5,2/5,"블랙베리, 체리, 라스베리, 자두, 바닐라, 오크, 버섯","소고기, 붉은육류, 건육, 훈제오리, 불고기, 파스타, 토마토파스타, 크림파스타, 햄버거, 버섯, 자두, 치즈, 고다, 콩테",,Oregon Pinot Noir,McMinnville AVA,
"하이랜드, 샤도네이","Hyland Estate, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=177113&lq=LIST,하이랜드 에스테이트  Hyland Estates,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley) / 맥민빌(McMinnville),샤르도네 (Chardonnay),산도와 품질을 지키기 위해 새벽에 손으로만 수확. 스테인리스 스틸 통에서 저온으로 주스를 안정화 시킨 후 발효 진행. 100% 젖산 발효. lees stirring (침전물을 휘저어 주는 방식).,25% new 프렌치 오크에서 10개월 동안 에이징.,13~14 %,10~12 ℃,비니더스코리아,1/5,3/5,3/5,1/5,"복숭아, 서양배, 시트러스, 바닐라, 헤이즐넛, 삼나무, 연기, 버터","돼지고기, 건육, 닭고기, 오리로스, 치킨, 생선회, 해산물, 파스타, 오일파스타, 서양요리, 중국요리, 복숭아, 견과류","* 93 Wine Enthusiast 편집자 추천,* Wine & Spirit Best USA Chardonnay 93 Point* James Suckling  92 Point 등 최고의 미국 샤르도네",Oregon Pinot Noir,McMinnville AVA,
"스톨러, 리저브 피노누아","Stoller, Pinot Noir Reserve",https://www.wine21.com/13_search/wine_view.html?Idx=177114&lq=LIST,스톨러 패밀리 에스테이트	  Stoller Family Estate,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley) / 던디 힐(Dundee Hills),피노 누아 (Pinot Noir),토착효모를 사용. 스테인리스 스틸 탱크와 오크통에서 발효. 젖산 발효 진행.,"프렌치 오크 배럴에서 12개월 숙성(사용 비율: 30% NEW, 70% NEUTRAL).",14~15 %,14~16 ℃,비니더스코리아,1/5,3/5,3/5,2/5,"체리, 라스베리, 장미, 꽃, 흙, 낙엽","로스트비프, 까르파치오, 건육, 훈제오리, 보쌈, 불고기, 족발, 파스타, 햄버거, 피자, 중국요리, 버섯, 치즈, 콩테",,Oregon Pinot Noir,Dundee Hills AVA,
"몬테니어, 르 오렌지","Montinore Estate, L'Orange",https://www.wine21.com/13_search/wine_view.html?Idx=177115&lq=LIST,몬테니어 에스테이트  Montinore Estate,미국(U.S.A) / 오리건(Oregon) / 윌라메트 밸리(Willamette Valley),피노 그리 (Pinot Gris) / 뮈스까 오또넬 (Muscat Ottonel),비오디나믹 농법 사용. 줄기를 제거한 피노 그리 사용. 24~36시간 껍질째 침용. 아카시아와 오크 배럴을 통해 발효와 부분적인 젖산 발효 진행. 암포라에서 껍질째 3~5개월 발효시킨 머스켓 오토넬을 피노 그리와 블렌딩.,,14~15 %,10~12 ℃,비니더스코리아,1/5,3/5,2/5,1/5,"복숭아, 시트러스, 자몽, 오렌지, 멜론, 흰꽃, 꽃, 육두구, 아니스","돼지고기, 건육, 닭강정, 닭고기, 오리로스, 치킨, 생선구이, 연어, 해산물, 편육, 오일파스타, 중국요리, 복숭아, 견과류, 치즈","* 93 Points, Editor's Choice - Wine Enthusiast* Made with Demeter-Certified Biodynamic Grapes* Certified Organic by CCOF* 바이오 다이나믹의 선구자인 와이너리오너이자 와인 메이커인 루디 마케시가 양조한 오렌지 와인",,,
"도멘 오뜨, 에뚜알","Domaines Ott, Etoile",https://www.wine21.com/13_search/wine_view.html?Idx=177116&lq=LIST,도멘 오뜨  Domaines Ott,프랑스(France),그르나슈 (Grenache) 78% / 무르베드르 (Mourvedre) 22%,,,,10~12 ℃,에노테카코리아,1/5,4/5,2/5,1/5,"복숭아, 시트러스, 열대과일, 엘더플라워, 바닐라",복숭아,,,,
"카사 로호, 도쿄 고메즈 로호","Casa Rojo, Tokyo Gomez Rojo",https://www.wine21.com/13_search/wine_view.html?Idx=177117&lq=LIST,카사 로호  Casa Rojo,스페인(Spain) / 리베라 델 두에로(Ribera del Duero),시라/쉬라즈 (Syrah/Shiraz) / 쁘띠 베르도 (Petit Verdot),,프렌치 오크통에서 12개월 숙성.,,16~18 ℃,에노테카코리아,1/5,3/5,4/5,4/5,"블랙커런트, 블랙체리, 자두, 후추, 바닐라, 삼나무","소고기, 스테이크, 육류요리, 양갈비, 양고기, 오리고기, 훈제오리, 불고기, 족발, 파스타, 서양요리, 피자, 치즈",,Spanish Syrah,,
"카사 로호, 도쿄 고메즈 로호 라 말파가다","Casa Rojo, Tokyo Gomez Rojo La Malpagada",https://www.wine21.com/13_search/wine_view.html?Idx=177118&lq=LIST,카사 로호  Casa Rojo,스페인(Spain) / 리베라 델 두에로(Ribera del Duero),알비노 마조르 (Albino Mayor (Albillo Mayor)),"6개월 이상 앙금 컨택, 프렌치 오크통에서 발효.",,,10~12 ℃,에노테카코리아,1/5,4/5,4/5,1/5,"복숭아, 배, 열대과일, 꽃, 미네랄, 페이스트리, 브리오슈, 오크, 꿀","돼지고기, 건육, 닭고기, 오리로스, 치킨, 생선구이, 참치, 해산물, 만두, 수육, 오일파스타, 중국요리, 튀김, 견과류, 치즈, 페타",,,,
"카사 로호, 도쿄 고메즈 로호 세컨트","Casa Rojo, Tokyo Gomez Rojo Second",https://www.wine21.com/13_search/wine_view.html?Idx=177119&lq=LIST,카사 로호  Casa Rojo,스페인(Spain) / 무르시아(Murcia),모나스트렐 (Monastrell) / 가르나차  (Garnacha),,프렌치 오크통에서 12개월 이상 숙성,,16~18 ℃,에노테카코리아,1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 체리, 자두, 붉은꽃, 바닐라, 정향, 토스트, 오크","소고기, 스테이크, 양고기, 건육, 불고기, 양념갈비, 갈비찜, 파스타, 피자, 자두, 견과류, 치즈, 체다, 고다",,Spanish Monastrell,,
"엘지아이 와인, 지에스엠 엘라보라시옹","LGI Wines, GSM Elaboration",https://www.wine21.com/13_search/wine_view.html?Idx=177120&lq=LIST,엘지아이 와인  LGI Wines,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),그르나슈 (Grenache) / 시라/쉬라즈 (Syrah/Shiraz) / 무르베드르 (Mourvedre),,,,16~18 ℃,(주)인디펜던트리쿼코리아,2/5,3/5,4/5,4/5,"레드커런트, 블랙체리, 체리, 자두, 꽃, 후추, 정향","소고기, 스테이크, 육류요리, 양고기, 불고기, 양념갈비, 갈비찜, 파스타, 서양요리, 피자, 치즈, 체다, 고다, 테트드무안","* GSM Elaboration (지에스엠 엘라보라시옹) 와인은 잘 선별된 떼루아에서 지중해의 뜨거운 햇살과 낮과 밤의 큰 일교차를 통해 당도와 산도의 조화가 훌륭한 포도를 수확하여 만들어집니다. 모래와 자갈이 섞인 토양은 배수가 잘 되어 포도나무가 땅속 깊이 뿌리를 내리게 하며, 특히 건조한 여름을 잘 이겨낼 수 있는 포도나무를 키워냅니다. GSM 와인의 캐릭터는 화려한 풍미와 매끄럽고 부드러운 바디감으로 한국인의 입맛에 잘 맞는 와인입니다.",Languedoc-Roussillon Red,,
"엘지아이 와인, 레모낭","LGI Wines, Lemonant",https://www.wine21.com/13_search/wine_view.html?Idx=177121&lq=LIST,엘지아이 와인  LGI Wines,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),콜롱바르 (Colombard) / 우니 블랑 (Ugni Blanc),저온 침용 (cold maceration). 16/18도 정도의 낮은 온도에서 온도를 조절하며 알코올 발효가 진행. 블렌딩되어 약 5개월 간 효모 앙금 위 숙성 (sur-lie).,,,10~12 ℃,(주)인디펜던트리쿼코리아,1/5,3/5,3/5,1/5,"살구, 시트러스, 라임, 레몬, 흰꽃, 꽃, 미네랄, 효모","건육, 닭고기, 치킨, 스시, 생선회, 해산물, 오일파스타, 동남아요리, 아시아요리, 샐러드, 과일, 견과류, 치즈, 리코타, 모짜렐라",,Languedoc-Roussillon White,,
"아우구스트 케셀러, 뤼데스하임 리슬링 트로켄","August Kesseler, Rudesheim Riesling Trocken",https://www.wine21.com/13_search/wine_view.html?Idx=177122&lq=LIST,아우구스트 케셀러  August Kesseler,독일(Germany) / 라인가우(Rheingau),리슬링 (Riesling),손 수확. 구역별 독립 양조. 병입 전 블렌딩.,,,10~12 ℃,(주)와이넬,1/5,4/5,2/5,1/5,"황도, 복숭아, 시트러스, 흰꽃, 꽃, 미네랄, 허브","송아지, 로스트비프, 돼지고기, 치킨, 해산물, 랍스터, 오일파스타, 중국요리, 아스파라거스, 샐러드, 복숭아, 치즈, 모짜렐라",* 2022 빈티지 - Falstaff 92점* 2022년 빈티지는 1792년 만들어진 이중 구조 셀러의 스테인리스 스틸 탱크에서 양조.,German Riesling,,
"아우구스트 케셀러, 더 데일리 아우구스트 피노 누아 트로켄","August Kesseler, The Daily August Pinot Noir Trocken",https://www.wine21.com/13_search/wine_view.html?Idx=177123&lq=LIST,아우구스트 케셀러  August Kesseler,독일(Germany) / 라인가우(Rheingau),피노 누아 (Pinot Noir),손 수확. 구역별 독립적 양조. 병입 전 블렌딩.,,,14~16 ℃,(주)와이넬,1/5,3/5,3/5,2/5,"블랙커런트, 체리, 블루베리, 라스베리, 미네랄, 후추","송아지, 돼지고기, 건육, 훈제오리, 오리로스, 가금류, 치킨, 파스타, 리조또, 치즈, 고다, 크림치즈",,,,
"빠리고 앤 리차드, 빠리고 오리진 크레망 드 부르고뉴 브륏","Parigot & Richard, Parigot Origines Cremant de Bourgogne Brut",https://www.wine21.com/13_search/wine_view.html?Idx=177124&lq=LIST,빠리고 & 리차드  Parigot & Richard,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir) 40% / 샤르도네 (Chardonnay) 40% / 알리고테 (Aligote) 20%,손 수확. 줄기 째 압착. 말로락틱 발효.,최소 24개월간 리 숙성. 판매 60일 전 데고르주망 진행.,,6~8 ℃,(주)와이넬,1/5,3/5,3/5,1/5,"사과, 시트러스, 라임, 꽃, 미네랄, 허브","건육, 닭강정, 치킨, 스시, 생선회, 해산물, 오일파스타, 아시아요리, 튀김, 식전주, 샐러드, 치즈, 브리, 까망베르",,French Crémant,Crémant de Bourgogne AOC(AOP),
"빠리고 앤 리차드, 빠리고 라 상티넬 크레망 드 부르고뉴 엑스트라 브륏","Parigot & Richard, Parigot LA SENTINELLE  Crémant de Bourgogne Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=177125&lq=LIST,빠리고 & 리차드  Parigot & Richard,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) 80% / 알리고테 (Aligote) 20%,손 수확. 줄기 째 압착. 말로락틱 발효.,최소 24개월간 리 숙성. 판매 60일 전 데고르주망 실시.,,6~8 ℃,(주)와이넬,1/5,4/5,2/5,1/5,"시트러스, 레몬, 흰꽃, 꽃, 미네랄, 부싯돌, 페이스트리","건육, 닭강정, 후라이드, 닭고기, 치킨, 스시, 생선회, 해산물, 오일파스타, 아시아요리, 식전주, 샐러드, 과일, 견과류, 치즈, 브리",,French Crémant,Crémant de Bourgogne AOC(AOP),
"빠리고 앤 리차드, 빠리고 프로펫 크레망 드 부르고뉴 엑스트라 브륏","Parigot & Richard, Parigot Prophete Cremant de Bourgogne Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=177126&lq=LIST,빠리고 & 리차드  Parigot & Richard,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir),손 수확. 줄기 째 압착. 말로락틱 발효.,최소 36개월 간 리 숙성. 판매 60일 전 데고르주망 실시.,,6~8 ℃,,1/5,4/5,2/5,1/5,"청사과, 사과, 시트러스, 레몬, 꽃, 미네랄, 브리오슈","건육, 닭고기, 오리로스, 치킨, 스시, 생선회, 장어, 해산물, 오일파스타, 식전주, 치즈, 브리, 까망베르",,French Crémant,Crémant de Bourgogne AOC(AOP),
"샴페인 로저 바르니에, 셀렉시옹 브륏","Champagne Roger Barnier, Selection Brut",https://www.wine21.com/13_search/wine_view.html?Idx=177127&lq=LIST,로저 바르니에  Roger Barnier,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 60% / 피노 누아 (Pinot Noir) 10% / 피노 뮈니에 (Pinot Meunier) 30%,41%의 리저브 와인 사용. 리저브 와인은 오크통에 일정 기간 보관. 말로락틱 발효 미실시.,병입 후 최소 30개월 동안 리 숙성. 데고르주멍 후 최소 3개월 간 안정화 과정 거친 후 출시.,,6~8 ℃,(주)와이넬,1/5,4/5,2/5,1/5,"백도, 배, 시트러스, 흰꽃, 꽃, 미네랄, 허브","닭강정, 치킨, 스시, 생선회, 해산물, 아시아요리, 식전주, 샐러드, 치즈, 고다, 브리",* NV -  Cellar Tracker 90,French Champagne,Champagne AOC(AOP),
"샴페인 로저 바르니에, 뀌베 익스퀴즈 브륏","Champagne Roger Barnier, Cuvée Exquise",https://www.wine21.com/13_search/wine_view.html?Idx=177128&lq=LIST,로저 바르니에  Roger Barnier,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 60% / 피노 누아 (Pinot Noir) 30% / 피노 뮈니에 (Pinot Meunier) 10%,,"병입 후 최소 54개월 동안 숙성, 데고르주망 후 최소 6개월간 숙성 과정을 거친 후 출시.",,6~8 ℃,(주)와이넬,1/5,4/5,2/5,1/5,"체리, 크랜베리, 시트러스, 레몬, 꽃, 미네랄, 비스켓","건육, 닭고기, 치킨, 생선구이, 생선조림, 장어구이, 해산물, 오일파스타, 중국요리, 전가복, 샐러드, 과일, 치즈, 고다, 브리","* 2014 빈티지 - 2020 Gilbert & Gaillard - 90점 / 	Revue des Vins de France, Dussert Gerber - 91점",French Champagne,Champagne AOC(AOP),
"미셸 바텅, 상세르 오-피","Michel Vattan, Sancerre O-P",https://www.wine21.com/13_search/wine_view.html?Idx=177129&lq=LIST,미셸 바텅  Michel Vattan,프랑스(France) / 루아르(Loire) / 센트럴 루아르(Central Loire) / 상세르(Sancerre),소비뇽 블랑 (Sauvignon Blanc) 100%,엄격한 침전물 정착과 최적의 효모 활동을 위해 엄격한 온도 조절 하에 발효가 진행.,4개월간 리 숙성.,,10~12 ℃,(주)와이넬,1/5,4/5,2/5,1/5,"시트러스, 레몬, 흰꽃, 꽃, 미네랄","생선회, 연어, 참치, 해산물, 오일파스타, 아시아요리, 샐러드",* 2020 빈티지 - 2021 Decanter World Wine Awards  89점,Upper Loire White,Sancerre AOC(AOP),
"미셸 바텅, 상세르 엠-케이","Michel Vattan, Sancerre M-K",https://www.wine21.com/13_search/wine_view.html?Idx=177130&lq=LIST,미셸 바텅  Michel Vattan,프랑스(France) / 루아르(Loire) / 센트럴 루아르(Central Loire) / 상세르(Sancerre),소비뇽 블랑 (Sauvignon Blanc) 100%,손 수확.,미세한 리 숙성.,,10~12 ℃,(주)와이넬,1/5,4/5,2/5,1/5,"시트러스, 자몽, 감귤, 라임, 레몬, 제비꽃, 백합, 꽃, 미네랄","항정살, 오겹살, 삼겹살, 돼지고기, 칠면조, 닭고기, 치킨, 파스타, 피자, 샐러드, 샤우르스, 치즈, 페타",,Upper Loire White,Sancerre AOC(AOP),
"미셸 바텅, 상세르 씨-오","Michel Vattan, Sancerre C-O",https://www.wine21.com/13_search/wine_view.html?Idx=177131&lq=LIST,미셸 바텅  Michel Vattan,프랑스(France) / 루아르(Loire) / 센트럴 루아르(Central Loire) / 상세르(Sancerre),소비뇽 블랑 (Sauvignon Blanc),엄격한 온도 조절아래 6주간 천천히 발효.,"15개월간 리 숙성을 거치며 절반은 스테인리스 스틸탱크에서, 나머지 절반은 400L 배럴에서 숙성.",,10~12 ℃,(주)와이넬,1/5,4/5,2/5,1/5,"살구, 시트러스, 감귤, 망고, 말린살구, 흰꽃, 꽃, 아몬드","건육, 닭고기, 오리로스, 치킨, 생선구이, 해산물, 오일파스타, 중국요리, 아페리티프, 치즈",,Upper Loire White,Sancerre AOC(AOP),
"미셸 바텅, 상세르 엘-오","Michel Vattan, Sancerre L-O",https://www.wine21.com/13_search/wine_view.html?Idx=177132&lq=LIST,미셸 바텅  Michel Vattan,프랑스(France) / 루아르(Loire) / 센트럴 루아르(Central Loire) / 상세르(Sancerre),소비뇽 블랑 (Sauvignon Blanc) 100%,엄격한 온도 조절아래 6주간 천천히 발효.,"12개월 동안 리 숙성을 진행 후, 30% 750L의 점토 앙포르(amphore)에서, 나머지는 스테인리스 스틸 탱크에서 숙성.",,10~12 ℃,(주)와이넬,1/5,4/5,2/5,1/5,"시트러스, 자몽, 라임, 망고, 미네랄, 허브, 꿀","건육, 닭고기, 생선구이, 연어, 장어구이, 소라, 해산물, 중국요리, 샐러드, 치즈, 페타",,Upper Loire White,Sancerre AOC(AOP),
"비르겐 델 갈리르, 발 도 갈리르 고데요","Virgen del Galir, Val do Galir Godello",https://www.wine21.com/13_search/wine_view.html?Idx=177133&lq=LIST,비르겐 델 갈리르  Virgen del Galir,스페인(Spain) / 발데오라스(Valdeorras),고데요 (Godello) 100%,손 수확.,냉 온침 작용을 거친 후 4개월 간 스테인레스 스틸 탱크에서 숙성.,,10~12 ℃,(주)와이넬,1/5,3/5,2/5,1/5,"시트러스, 자몽, 감귤, 라임, 흰꽃, 꽃, 허브","생선구이, 초밥, 생선회, 해산물, 샐러드, 과일",,,Valdeorras DO(DOP),
"비르겐 델 갈리르, 발 도 갈리르 멘시아","Virgen del Galir, Val do Galir Mencia",https://www.wine21.com/13_search/wine_view.html?Idx=177134&lq=LIST,비르겐 델 갈리르  Virgen del Galir,스페인(Spain) / 발데오라스(Valdeorras),멘시아 (Mencia) 100%,손 수확. 토착 효모 발효.,10개월 간 프렌치 & 아메리칸 오크 배럴 숙성.,,16~18 ℃,(주)와이넬,1/5,3/5,4/5,3/5,"레드커런트, 블랙체리, 체리, 자두, 꽃, 바닐라, 감초","송아지, 로스트비프, 돼지고기, 건육, 불고기, 족발, 파스타, 피자, 자두, 치즈, 고다, 브리, 페타",,Spanish Red,Valdeorras DO(DOP),
"펠릭스 솔리스, 피츠로이 베이 쇼비뇽 블랑","Felix Solis, Fitzroy Bay Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=177135&lq=LIST,펠리스 솔리스  Felix Solis,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),소비뇽 블랑 (Sauvignon Blanc) 100%,6-8시간 동안 저온 침용. 14-16℃의 조절된 온도 속 스테인리스 탱크에서 발효.,,,8~10 ℃,(주)와이넬,1/5,4/5,2/5,1/5,"시트러스, 레몬, 열대과일, 망고, 패션프루트, 꽃, 미네랄","초밥, 생선회, 해산물, 오일파스타, 아시아요리, 튀김, 샐러드, 리코타, 페타, 모짜렐라",* 2020 빈티지 - 2021 Decanter World Wine Awards - Bronze Medal / 2021 International Wine Challenge - Bronze Medal,New Zealand Sauvignon Blanc,,
"부커 빈야드, 버티고","Booker Vineyard, Vertigo",https://www.wine21.com/13_search/wine_view.html?Idx=177136&lq=LIST,부커 빈야드  Booker Vineyard,미국(U.S.A) / 캘리포니아(California) / 샌 루이스 오비스포 카운티(San Luis Obispo County) / 파소 로블스(Paso Robles),시라/쉬라즈 (Syrah/Shiraz) 62% / 무르베드르 (Mourvedre) 22% / 그르나슈 (Grenache) 7% / 쁘띠 시라  (Petite Sirah) 5% / 따나 (Tannat) 4%,20% 전체 클러스터 발효.,60% 뉴 프렌치 오크 배럴에서 22개월간 숙성.,,16~18 ℃,(주)와이넬,1/5,3/5,4/5,4/5,"블랙체리, 자두, 라일락, 꽃, 후추, 바닐라, 카카오, 흑연","소고기, 스테이크, 육류요리, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 족발, 라자냐, 리조토, 자두, 치즈, 체다, 그라노파다노, 페타",* 2021 빈티지 - Jeb Dunnuck 97점,Californian Rhône Blend Red,Paso Robles AVA,
"부커 빈야드, 프랙처","Booker Vineyard, Fracture",https://www.wine21.com/13_search/wine_view.html?Idx=177137&lq=LIST,부커 빈야드  Booker Vineyard,미국(U.S.A) / 캘리포니아(California) / 샌 루이스 오비스포 카운티(San Luis Obispo County) / 파소 로블스(Paso Robles),시라/쉬라즈 (Syrah/Shiraz) 100%,,,,16~18 ℃,(주)와이넬,1/5,3/5,4/5,4/5,"레드커런트, 블랙체리, 체리, 자두, 붉은꽃, 꽃, 후추, 정향, 오크","소고기, 스테이크, 붉은육류, 양갈비, 양고기, 양념갈비, 갈비찜, 족발, 라자냐, 토마토파스타, 리조토, 자두, 치즈, 체다, 고다, 브리, 페타",* 2019 빈티지 - Jeb Dunnuck - 97점* 2018 빈티지 - Jeb Dunnuck - 98점,Californian Syrah,Paso Robles AVA,
