와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,양조,숙성,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,알코올,기타정보,등급
"레드헤즈 와인, 문라이터스 화이트 블렌드",Redheads wine Moonlighters White Blend,https://www.wine21.com/13_search/wine_view.html?Idx=170614&lq=LIST,레드헤즈 와인  Redheads wine,호주(Australia) / 사우스 오스트레일리아(South Australia),샤르도네 (Chardonnay) 47% / 비오니에 (Viognier) 38% / 피아노 (Fiano) 15%,Australian Chardonnay,"Handpicking으로 수확, 프레싱, 침전과정을 거쳐 French Oak로 옮긴 후 자연발효",,8~10 ℃,"오리로스, 치킨, 훈제연어, 해산물, 숙성 치즈, 건육, 피자, 파스타 등과 잘 어울린다.",레드와인앤제이와이,1/5,3/5,1/5,1/5,,"건육, 연어, 해산물, 치즈",13~14 %,,
"레드헤즈 와인, 문라이터스 레드 블렌드","Redheads wine, Moonlighters Red Blend",https://www.wine21.com/13_search/wine_view.html?Idx=170615&lq=LIST,레드헤즈 와인  Redheads wine,호주(Australia) / 사우스 오스트레일리아(South Australia),쁘띠 베르도 (Petit Verdot) / 말벡 (Malbec) / 메를로 (Merlot),,"Handpicking으로 수확, 발효 후 포도의 신선도를 유지하기 위해 10~12일동안 껍질(skin)에 담가 둠",최소 9개월이상 오크(French + American Oak) 숙성 후 보틀링,16~18 ℃,"스테이크, 로스트비프, 불고기, 바베큐, 양갈비, 피자, 파스타와 잘 어울린다.",레드와인앤제이와이,1/5,4/5,4/5,5/5,"체리, 자두, 후추, 허브","양갈비, 불고기, 자두",14~15 %,,
"로렌조 와인스, 마르티르 말벡","Lorenzo Wines, Martir Malbec",https://www.wine21.com/13_search/wine_view.html?Idx=170616&lq=LIST,로렌조 와인스  Lorenzo Wines,아르헨티나(Argentina) / 멘도사(Mendoza),말벡 (Malbec),Argentinian Malbec,"해발 1,050미터의 미세한 질감의 토양으로 이루어진 포도밭에서 hand picking으로 수확",12개월동안 프랜치 오크 (16% new)에서 숙성,16~18 ℃,육류(소고기와 사슴고기)와  잘 어울린다.,레드와인앤제이와이,1/5,4/5,5/5,5/5,"자두, 허브","소고기, 자두",13~14 %,"*Descorchados ""92 point"" (2018, 2019 vin)",
"로렌조 와인스, 마르티르 샤르도네","Lorenzo Wines, Martir Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=170617&lq=LIST,로렌조 와인스  Lorenzo Wines,아르헨티나(Argentina) / 멘도사(Mendoza),샤르도네 (Chardonnay),Argentinian Chardonnay,"해발 1,050미터의 미세한 질감의 토양으로 이루어진 30년이상의 Vine에서 hand picking으로 수확",,8~10 ℃,"Soft Cheese, Vegetable, Sushi 그리고 Spicy Food 같은 요리와 잘 어울린다.",레드와인앤제이와이,1/5,3/5,1/5,1/5,"미네랄, 오크",,12~13 %,"*Tim Atkin “90 point” (2019, 2020 vin)*Descorchados ""93 point"" (2019, 2020 vin)",
"로렌조 와인스, 로벤디토 말벡","Lorenzo Wines, LoBendito Malbec",https://www.wine21.com/13_search/wine_view.html?Idx=170618&lq=LIST,로렌조 와인스  Lorenzo Wines,아르헨티나(Argentina) / 멘도사(Mendoza),말벡 (Malbec),Argentinian Malbec,"해발 1,110미터의 습기가 없는 매우 건조한 토양으로 이루어진 포도밭에서 hand picking으로 수확",14개월동안 프랜치 오크 (22% new)에서 숙성,16~18 ℃,"로스트비프, 바베큐, 양갈비, 견과류, 버섯 과 잘 어울린다.",레드와인앤제이와이,1/5,4/5,4/5,5/5,"자두, 삼나무","양갈비, 버섯, 자두, 견과류",14~15 %,"*Descorchados ""94 point"" (2018 vin), “95 point” (2019 vin)",
"앙드레 끌루에, 초키","Andre Clouet, Chalky",https://www.wine21.com/13_search/wine_view.html?Idx=170619&lq=LIST,앙드르 끌루에  Andre Clouet,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 100%,French Champagne,"1/3은 Montagne de Reims 의 밭에서, 2/3 은 Cote de Blancs 의 밭에서 나온 샤도네이로 만들어짐",7년 간 셀러에서 숙성,8~10 ℃,"캐비어, 연어, 스시, 부드러운 치즈, 딸기와 잘 어울린다.",신세계엘앤비,1/5,4/5,2/5,1/5,"딸기, 사과, 레몬, 미네랄","딸기, 치즈",12~13 %,,Champagne AOC(AOP)
돔페리뇽 레이디가가 에디션,Dom Perignon X Lady Gaga,https://www.wine21.com/13_search/wine_view.html?Idx=170620&lq=LIST,모엣 샹동  Moet & Chandon,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir),French Champagne,,,8~10 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,,"스시, 샐러드, 과일, 치즈, 디저트",,,
"씨다 실바, 프레지덴셜 타우니 포트","C.da Silva, Presidential Tawny Porto",https://www.wine21.com/13_search/wine_view.html?Idx=170621&lq=LIST,씨다 실바  C.da Silva,포르투갈(Portugal) / 포르토(Porto),투리가 나시오날 (Touriga Nacional),Portuguese Port,,,16~18 ℃,"리코타, 크림치즈, 말린과일, 케이크, 초콜렛 등 디저트와 잘 어울린다.",,3/5,3/5,3/5,3/5,,,19~20 %,,
"씨다 실바, 프레지덴셜 스페셜 리저브 타우니","C.da Silva, Presidential Special Tawny Porto",https://www.wine21.com/13_search/wine_view.html?Idx=170622&lq=LIST,씨다 실바  C.da Silva,포르투갈(Portugal) / 포르토(Porto),투리가 나시오날 (Touriga Nacional),Portuguese Port,,,16~18 ℃,"리코타, 크림치즈, 말린과일, 케이크, 초콜렛 등 디저트와 잘 어울린다.",,3/5,3/5,3/5,3/5,,,19~20 %,,
"씨다 실바, 프레지덴셜 10년 타우니","C.da Silva, Presidential 10 years Tawny Porto",https://www.wine21.com/13_search/wine_view.html?Idx=170623&lq=LIST,씨다 실바  C.da Silva,포르투갈(Portugal) / 포르토(Porto),투리가 나시오날 (Touriga Nacional),Portuguese Port,,,16~18 ℃,"리코타, 크림치즈, 말린과일, 케이크, 초콜렛 등 디저트와 잘 어울린다.",,3/5,3/5,3/5,3/5,,,19~20 %,,
"씨다 실바, 프레지덴셜 콜헤이타 1982 타우니","C.da SIlva, Presidential Colheita 1982 Tawny Porto",https://www.wine21.com/13_search/wine_view.html?Idx=170624&lq=LIST,씨다 실바  C.da Silva,포르투갈(Portugal) / 포르토(Porto),투리가 나시오날 (Touriga Nacional),Portuguese Port,,,16~18 ℃,"리코타, 크림치즈, 말린과일, 케이크, 초콜렛 등 디저트와 잘 어울린다.",,3/5,3/5,3/5,3/5,,,19~20 %,,
"지로 리보, 카바 에이비 오리진 브륏 리제르바","Giro Ribot, Cava Ab Origine Brut Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=170625&lq=LIST,지로 리보  Giro Ribot,스페인(Spain) / 페네데스(Penedes),마카베오 (Macabeo) 50% / 자렐로 (Xarel.lo) 30% / 빠레야다 (Parellada) 20%,Spanish Cava,,,8~10 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",11~12 %,,
"샤또 르 부이, 뀌베 꽁퓌덩스 로제","Chateau le Bouis, Cuvee Confidences Rose",https://www.wine21.com/13_search/wine_view.html?Idx=170626&lq=LIST,샤또 르 부이  Chateau le Bouis,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),그르나슈 (Grenache) / 시라/쉬라즈 (Syrah/Shiraz),Languedoc-Roussillon Rosé,"손수확 후 2차 선별. 저온에서 단기간 침용, 저온 발효를 통해 과실의 신선미 유지. 3개월 앙금 접촉으로 질감 개선",,10~12 ℃,"샐러드, 그릴에 구운 육류 등과 잘 어울린다.",나라셀라,1/5,3/5,2/5,2/5,꽃,샐러드,,,Pays d'Oc IGP
"폴 고그, 빈티지 브뤼","Paul Goerg, Vintage Brut",https://www.wine21.com/13_search/wine_view.html?Idx=170627&lq=LIST,폴 고그  Paul Goerg,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 85% / 피노 누아 (Pinot Noir) 15%,French Champagne,5g/L의 저용량이 정확히 선택됨.,리즈에서 9년,8~10 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",보틀샤크,1/5,4/5,2/5,1/5,"헤이즐넛, 버터","스시, 샐러드, 과일, 치즈, 디저트",,,Champagne AOC(AOP)
"폴 고그, 앱솔루 엑스트라 브뤼","Paul Goerg, Absolu Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=170628&lq=LIST,폴 고그  Paul Goerg,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),French Champagne,,"설탕 2g/L, 테스팅 전 저장고에서 1년간 숙성",6~8 ℃,사과를 곁들인 참치 세비체와 파마산 치즈 거품을 올린 굴. 그리고 채소와 라임으로 맛을 낸 가리비 타르타르와 잘 어울린다.,보틀샤크,1/5,4/5,1/5,1/5,"미네랄, 브리오슈, 꿀","참치, 채소",,*은메달 Vinalies Nationales 2020*국제 와인 경영 대회 89점,
"폴 고그, 블랑 드 블랑","PaulGeorg, Blanc de Blancs",https://www.wine21.com/13_search/wine_view.html?Idx=170629&lq=LIST,폴 고그  Paul Goerg,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),French Champagne,,,8~10 ℃,"라임으로 마리네이드 한 카르파초나 렌틸공과 고수를 더한 치킨 슈프림(뼈가 없는, 껍질이 벗겨진 치킨)과 잘 어울린다.",보틀샤크,1/5,4/5,2/5,1/5,"복숭아, 헤이즐넛, 모카, 크림","치킨, 복숭아",,*Grand Comet (1등) 일본 올해의 샴페인*금메달 Concours Générale Agricole de Paris 2020,
"셀라 드 캅파네스, 포텐테","Cellar de Capcanes, Potente",https://www.wine21.com/13_search/wine_view.html?Idx=170630&lq=LIST,셀러 드 캡케니스  Celler de Capcanes,스페인(Spain) / 까탈루냐(Cataluna),가르나차  (Garnacha) / 까리냥 (Carignan/Carignane) / 카베르네 소비뇽 (Cabernet Sauvignon),Spanish Red,,9개월 프렌치 & 아메리칸 오크통,16~18 ℃,"블고기, 양념갈비, 로스트비프, 바비큐,그릴요리, 탕수육 과 잘 어울린다.",콜리코,1/5,3/5,4/5,3/5,"딸기, 자두, 초콜릿","바비큐, 탕수육, 자두",14~15 %,,
"토소, 브뤼 밀레시마토","Toso, Brut Millesimato",https://www.wine21.com/13_search/wine_view.html?Idx=170631&lq=LIST,또조  Toso,이탈리아(Italy),글레라 (Glera),,,,8~10 ℃,가벼운 전채요리 및 Seafood와 잘 어울린다.,콜리코,1/5,4/5,2/5,1/5,"배, 꽃",전채요리,12~13 %,,
"브레이브 뉴 와인, 낫 데디","Brave New Wine, Nat Daddy",https://www.wine21.com/13_search/wine_view.html?Idx=170632&lq=LIST,브레이브 뉴 와인  Brave New Wine,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 그레이트 서던(Great Southern),소비뇽 블랑 (Sauvignon Blanc) / 시라/쉬라즈 (Syrah/Shiraz),,"자연 발효(Wine Fermentation), 무첨가, 침점물 제거없이 생산됨",,8~10 ℃,"스시, 회, 해산물, 다양한 치즈, 샐러드, 연어, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",콜리코,1/5,3/5,2/5,2/5,"복숭아, 자몽, 망고","해산물, 샐러드, 복숭아, 과일, 치즈, 디저트",11~12 %,,
"브레이브 뉴 와인, 글리터 어스","Brave New Wine, Glitter Us",https://www.wine21.com/13_search/wine_view.html?Idx=170633&lq=LIST,브레이브 뉴 와인  Brave New Wine,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 그레이트 서던(Great Southern),베르멘티노 (Vermentino) / 리슬링 (Riesling),,"자연 발효(Wine Fermentation), 무첨가, 침점물 제거없이 생산됨",,8~10 ℃,"스시, 회, 해산물, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",콜리코,1/5,4/5,2/5,2/5,,"스시, 해산물, 샐러드, 과일, 치즈, 디저트",10~11 %,,
"브레이브 뉴 와인, 메잇스 앤 러벌스","Brave New Wine, Mates & Lovers",https://www.wine21.com/13_search/wine_view.html?Idx=170634&lq=LIST,브레이브 뉴 와인  Brave New Wine,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 그레이트 서던(Great Southern),샤르도네 (Chardonnay) / 피노 그리 (Pinot Gris) / 게뷔르츠트라미너 (Gewurztraminer),,"자연 발효(Wine Fermentation), 무첨가, 침점물 제거없이 생산됨",,8~10 ℃,"스시, 회, 해산물, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",콜리코,1/5,4/5,2/5,2/5,꽃,"스시, 해산물, 샐러드, 과일, 치즈, 디저트",11~12 %,,
"게오르지움, 샤도네이 마이쉐","Georgium, Chardonnay Maische",https://www.wine21.com/13_search/wine_view.html?Idx=170635&lq=LIST,게오르지움  Georgium,오스트리아(Austria),샤르도네 (Chardonnay) 100%,Austrian Chardonnay,"자연 발효(Wine Fermentation), 무첨가, 침점물 제거없이 생산됨","6년 오크통 숙성, 2년 병 숙성",8~10 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",콜리코,1/5,3/5,2/5,1/5,꽃,"해산물, 수육, 탕수육, 치즈",,,
"게오르지움, 피노 누아","Georgium, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=170636&lq=LIST,게오르지움  Georgium,오스트리아(Austria),피노 누아 (Pinot Noir),Austrian Pinot Noir,오크통에서 3주간 발효,2년동안 오랜된 오크통에서 아주 천천히 숙성,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",콜리코,1/5,3/5,2/5,2/5,,"파스타, 버섯, 치즈",12~13 %,,
"게오르지움, 부르군더큐베 펫낫","Georgium, Burgundercuvee Pet Nat",https://www.wine21.com/13_search/wine_view.html?Idx=170637&lq=LIST,게오르지움  Georgium,오스트리아(Austria),샤르도네 (Chardonnay) 80% / 피노 블랑 (Pinot Blanc) 20%,,1차 발효 중에 병입,3년 이상 병 숙성,8~10 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",콜리코,1/5,3/5,1/5,1/5,"허브, 브리오슈, 호두","스시, 해산물, 식전주, 전채요리, 스낵",11~12 %,,
리그넘 비티스,Lignum Vitis,https://www.wine21.com/13_search/wine_view.html?Idx=170638&lq=LIST,에노이탈리아  Enoitalia,이탈리아(Italy) / 시칠리아(Sicilia),시라/쉬라즈 (Syrah/Shiraz) / 프라파토 (Frappato),,,,16~18 ℃,"소고기, 양고기, 치즈, 튀김요리, 스테이크와 잘 어울린다.",바쿠스,1/5,3/5,4/5,3/5,"체리, 자두, 잼, 허브","양고기, 튀김, 자두, 치즈",14~15 %,2020 BERLINER WINE TROPHY-GOLD2020 GILBERT & GAILLARD-90 POINTS2019 ASIA WINE TROPHY-SILVER*2019 BERLINER WINE TROPHY-GOLD*2018-BERLINER WINE TROPHY-GOLD*2018 VENERE CALLIPIGIA-GOLD*2017 BERLINER WINE TROPHY-GOLD*2017 MUNDUS VINI-SILVER,
"에이와인즈, 세크레토 디 리브라토","Awines, Secreto di Librato",https://www.wine21.com/13_search/wine_view.html?Idx=170639&lq=LIST,에이와인즈  Awines,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo) / 시라/쉬라즈 (Syrah/Shiraz),,15일간 22~24도에서 침용,프렌치 & 아메리칸 오크 배럴에서 12개월 간 숙성,16~18 ℃,"언제든 즐기기 좋고 붉은 고기 요리, 햄, 소시지와 잘 숙성된 강한 치즈와 초콜릿과도 잘 어울린다.",,1/5,4/5,3/5,3/5,"배, 미네랄, 토스트, 커피","치즈, 초콜릿",13.5~14.5 %,*WSA Double Gold 2020 / Berliner Wein Trophy Gold 2019 / Asia Wine Trophy Gold 2019 / Catavinum World Wine Competition Gold 2019 / Concours Mondial Bruxelles Silver 2019 / Gran Seleccion Silver 2018 & 2019 / International Wine Awards Gold 2018,
"비네롱 카탈랑스, 앙트르 꼬빵 로제","Vignerons Catalans, Entre Copains Rose",https://www.wine21.com/13_search/wine_view.html?Idx=170640&lq=LIST,비네롱 카탈랑스  Vignerons Catalans,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),그르나슈 누아  (Grenache Noir) / 시라/쉬라즈 (Syrah/Shiraz),Languedoc-Roussillon Rosé,,,10~12 ℃,"차가운 고기, 샐러드, 구운 닭, 칠면조, 과일 맛 나는 디저트와 타르트 등과도 어울린다",바쿠스,1/5,3/5,2/5,2/5,꽃,"칠면조, 샐러드, 과일",12~13 %,,
"비네롱 카탈랑스, 앙트르 꼬빵 루즈","Vignerons Catalans, Entre Copains Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=170641&lq=LIST,비네롱 카탈랑스  Vignerons Catalans,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),그르나슈 누아  (Grenache Noir) / 까리냥 (Carignan/Carignane),Languedoc-Roussillon Red,,,16~18 ℃,"구운 오리 가슴살, 양갈비, 스테이크, 치즈,와 잘 어울린다.",바쿠스,1/5,3/5,3/5,3/5,후추,"스테이크, 양갈비, 치즈",13~14 %,,
"비네롱 카탈랑스, 앙트르 꼬빵 블랑","Vignerons Catalans, Entre Copains Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=170642&lq=LIST,비네롱 카탈랑스  Vignerons Catalans,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),뮈스까 블랑 쁘띠 그랑 (Muscat Blanc Petits Grains) / 뮈스까 달레산드리  (Muscat d'Alexandrie ),Languedoc-Roussillon White,,,8~10 ℃,"해산물, 조개류, 생선구이, 신선한 아스파라거스 리조또, 가리비 케밥, 부드러운 염소 치즈와 잘 어울린다",바쿠스,1/5,3/5,1/5,1/5,"열대과일, 꽃","생선구이, 해산물, 리조또, 아스파라거스, 치즈",11~12 %,,
"보데가 이 비네도스 산 폴로, 아우카 리저브 말벡","Bodega y Vinedos San Polo, Auka Reserva Malbec",https://www.wine21.com/13_search/wine_view.html?Idx=170643&lq=LIST,보데가 이 비네도스 산 폴로  Bodega y Vinedos San Polo,아르헨티나(Argentina) / 멘도사(Mendoza) / 우코 밸리(Uco Valley),말벡 (Malbec),Argentinian Malbec,,70% 프렌치 오크와 아메리칸 오크에서 6개월 숙성과정을 거친 와인,16~18 ℃,"소고기, 돼지고기 등 붉은색 육류의 그릴 요리 및 엠파나다, 파스타 요리 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,"배, 바닐라","소고기, 파스타",14~15 %,,
"비네롱 카탈랑스, 오뜨 꾸튬 로제","Vignerons Catalans, Haute Coutume Rose",https://www.wine21.com/13_search/wine_view.html?Idx=170644&lq=LIST,비네롱 카탈랑스  Vignerons Catalans,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 누아  (Grenache Noir),Languedoc-Roussillon Rosé,,,12~14 ℃,"숭어, 속을 채운 오징어, 구운 야채, 등과 잘 어울린다",바쿠스,1/5,3/5,2/5,2/5,꽃,야채,12~13 %,,
"브란콧 에스테이트, 말보로 레터 'B' 쇼비뇽 블랑","Brancott Estate, Marlborough Letter 'B' Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=170645&lq=LIST,브란콧 이스테이트  Brancott Estate,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),소비뇽 블랑 (Sauvignon Blanc),New Zealand Sauvignon Blanc,7년에서 22년 수령 포도 나무에서 손 수확,,10~12 ℃,"홍합 및 훈제연어 요리 등 해산물 요리에 가장 추천하며, 샐러드 요리 및 가벼운 요리 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,"복숭아, 시트러스, 미네랄, 피망","건육, 닭고기, 연어, 해산물, 샐러드, 복숭아",13~14 %,*Concours Mondial du Sauvignon: Gold*Micheal Cooper: 5 Stars*New York IWC: Gold*International Wine Challenge: Gold,
"비네롱 카탈랑스, 포시즌 메를로","Vignerons Catalans, Quatre Saisons Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=170646&lq=LIST,비네롱 카탈랑스  Vignerons Catalans,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),메를로 (Merlot),,,,16~18 ℃,"구이, 파스타, 캐서롤, 각종 가정식과 어울린다.",바쿠스,1/5,3/5,3/5,3/5,삼나무,파스타,13~14 %,,
"브란콧 에스테이트, 말보로 레터 'T' 피노누아","Brancott Estate, Marlborough Letter 'T' Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=170647&lq=LIST,브란콧 이스테이트  Brancott Estate,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),피노 누아 (Pinot Noir),New Zealand Pinot Noir,,오크 배럴에서 9개월 숙성,14~16 ℃,"훈제 요리, 허브를 곁들인 닭고기 요리 또는 브리와 같은 부드러운 치즈 및 호두 안주 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,"체리, 자두, 꽃, 토스트","닭고기, 자두, 호두",13~14 %,*Sydney IWC: Gold*San Francisco IWC: Gold,
"비네롱 카탈랑스, 포시즌 샤도네이","Vignerons Catalans, Quatre Saisons Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=170648&lq=LIST,비네롱 카탈랑스  Vignerons Catalans,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),샤르도네 (Chardonnay) 100%,Languedoc-Roussillon White,,,8~10 ℃,"애피타이저, 해산물, 샐러드, 닭고기, 저온 살균 치즈와 잘 어울린다.",바쿠스,1/5,3/5,1/5,1/5,,"닭고기, 해산물, 샐러드, 치즈",12~13 %,,
"깜포 비에호, 템프라니요","Campo Viejo, Tempranillo",https://www.wine21.com/13_search/wine_view.html?Idx=170649&lq=LIST,깜포 비에호  Campo Viejo,스페인(Spain) / 리오하(Rioja),템프라니요 (Tempranillo),Spanish Tempranillo,,아메리칸 오크 배럴에서 4개월 숙성,16~18 ℃,구운 닭고기 등의 가금류와 구운 야채를 곁들인 파스타 및 샐러드 요리 또는 구운 치즈 등과 잘 어울린다.,,1/5,4/5,3/5,3/5,바닐라,"파스타, 치즈",13~14 %,*Gilbert & Gaillard Internation Challenge: Gold*Berlin IWC: Gold,
"비네롱 카탈랑스, 포시즌 로제","Vignerons Catalans, Quatre Saisons Rose",https://www.wine21.com/13_search/wine_view.html?Idx=170650&lq=LIST,비네롱 카탈랑스  Vignerons Catalans,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,,,12~14 ℃,"페어링 없이 단독으로 마시기도 좋고, 구운 생선, 구운 고기, 바베큐, 아시아 음식과 잘 어울린다.",바쿠스,1/5,3/5,2/5,2/5,딸기,,12~13 %,,
"깜포 비에호, 와인메이커스 아트","Campo Viejo, Winemaker's Art",https://www.wine21.com/13_search/wine_view.html?Idx=170651&lq=LIST,깜포 비에호  Campo Viejo,스페인(Spain) / 리오하(Rioja),템프라니요 (Tempranillo),Spanish Tempranillo,,,16~18 ℃,하몽 등 스페인 전통의 세라노 햄 또는 양고기 요리 등과 잘 어울린다.,,1/5,4/5,4/5,4/5,,"햄, 양고기, 하몽",13~14 %,*Drinks Business Global Rioja Masters: Gold*Catavinum World Wine and Spirits Competition: Gold*Monde Selection: Silver,
"비네롱 카탈랑스, 포시즌 까베르네 소비뇽","Vignerons Catalans, Quatre Saisons Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=170652&lq=LIST,비네롱 카탈랑스  Vignerons Catalans,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),카베르네 소비뇽 (Cabernet Sauvignon),,,,16~18 ℃,"구이, 캐서롤, 파스타, 전통적인 가정식들과 잘 어울린다.",바쿠스,1/5,3/5,4/5,4/5,후추,파스타,13~14 %,,
"히드리아, 7 가르나차","히드리아, 7 Sostenidos Garnacha",https://www.wine21.com/13_search/wine_view.html?Idx=170653&lq=LIST,히드리아  Hydria,스페인(Spain) / 부야스(Bullas),가르나차  (Garnacha),Spanish Grenache,,,16~18 ℃,"그릴에 구운 소시지, 구운 닭고기 요리와 잘 어울린다.",,1/5,2/5,3/5,3/5,바닐라,"소시지, 닭고기",14~15 %,,
"히드리아, 7 모나스트렐","Hydria, 7 Sostenidos Monastrell",https://www.wine21.com/13_search/wine_view.html?Idx=170654&lq=LIST,히드리아  Hydria,스페인(Spain) / 부야스(Bullas),모나스트렐 (Monastrell) 100%,Spanish Monastrell,,,16~18 ℃,"깊은 풍미의 스튜, 버섯 파스타, 다양한 고기 요리, 숙성 치즈 등과 잘 어울린다.",,1/5,2/5,4/5,4/5,"체리, 자두, 허브","스튜, 파스타, 버섯, 치즈",15~16 %,,
"히드리아, 12 컴파스","Hydria, 12 Compases",https://www.wine21.com/13_search/wine_view.html?Idx=170655&lq=LIST,히드리아  Hydria,스페인(Spain) / 부야스(Bullas),모나스트렐 (Monastrell) 67% / 템프라니요 (Tempranillo) 33%,Spanish Monastrell,,,16~18 ℃,"소고기, 양고기, 치즈, 튀김요리, 스테이크와 잘 어울린다.",,1/5,3/5,4/5,3/5,"체리, 자두, 잼, 허브","양고기, 튀김, 치즈",15~16 %,,
보라스카 까바 브륏,Borrasca Cava Brut,https://www.wine21.com/13_search/wine_view.html?Idx=170656&lq=LIST,WIne Forces  와인 포스,스페인(Spain),마카베오 (Macabeo) / 자렐로 (Xarel.lo) / 빠레야다 (Parellada),Spanish Cava,,,6~8 ℃,"야채샐러드, 새우, 생선, 조개류, 스낵, 파스타, 구운 야채, 피자, 닭가슴살과 잘 어울린다.",바쿠스,1/5,3/5,1/5,1/5,"꽃, 생강","새우, 스낵",11~12 %,,
샤토 장 파우레,Chateau Jean Faure,https://www.wine21.com/13_search/wine_view.html?Idx=170657&lq=LIST,샤또 장 파우레  Chateau Jean Faure,프랑스(France) / 보르도(Bordeaux) / 생-떼밀리옹(Saint-Emilion),카베르네 프랑 (Cabernet Franc) 65% / 메를로 (Merlot) 30% / 말벡 (Malbec) 5%,Bordeaux Saint-Émilion,,"35% new oak barrel, 30% 1-year-old-barrel,20% concrete vats et 15% in 12hl casks",16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",호메오와인갤러리,1/5,3/5,4/5,4/5,"블랙베리, 블랙커런트, 블랙체리, 허브, 오크",양갈비,13~14 %,,"Saint-Émilion Grand Cru AOC(AOP), Grand Cru Classé"
