와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,양조,숙성,알코올,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,등급
"칸티나 트라민, 게부르츠트라미너","Cantina Tramin, Gewurtztraminer",https://www.wine21.com/13_search/wine_view.html?Idx=169634&lq=LIST,칸티나 트라민  Cantina Tramin,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),게뷔르츠트라미너 (Gewurztraminer) 100%,Northern Italy Gewürztraminer,,,,10~12 ℃,"생선과 같은 해산물을 기본으로 하는 스타터와 잘 어울리고, 매콤하고 산미가 있는 요리의 맛을 향상시키며 야채와 흰육류와 좋은 페어링을 보여준다. 식사 후에 게뷔르츠트라미너 한 잔과 맛있는 치즈 혹은 패스트리, 전통 스트루들 또는 케이크로 마무리 하는 것도 좋다.",나라셀라,1/5,3/5,2/5,1/5,"열대과일, 장미",치킨,,
"칸티나 트라민, 누스바우머 게뷔르츠트라미너","Cantina Tramin, NUSSBAUMER Gewürztraminer",https://www.wine21.com/13_search/wine_view.html?Idx=169635&lq=LIST,칸티나 트라민  Cantina Tramin,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),게뷔르츠트라미너 (Gewurztraminer) 100%,Northern Italy Gewürztraminer,,,,12~14 ℃,"생선이나 훈제 음식, 부드러운 치즈, 흰육류, 참치, 조개류와 해산물과도 잘 어울린다. 매콤한 아시아 요리와도 좋은 페어링을 보여준다.",나라셀라,1/5,4/5,3/5,1/5,"레몬껍질, 리치, 망고, 패션프루트, 장미, 백합, 생강, 샤프란, 말린허브",치킨,,
"칸티나 트라민, 피노 누아 클라시치","Cantina Tramin, Pinot Noir Cassici",https://www.wine21.com/13_search/wine_view.html?Idx=169636&lq=LIST,칸티나 트라민  Cantina Tramin,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),피노 누아 (Pinot Noir),Northern Italy Pinot Noir,,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,2/5,,"파스타, 버섯, 치즈",,
"칸티나 트라민, 피노 누아 마르준","Cantina Tramin, Pinot Noir Marjun",https://www.wine21.com/13_search/wine_view.html?Idx=169637&lq=LIST,칸티나 트라민  Cantina Tramin,이탈리아(Italy) / 트렌티노-알토 아디제(Trentino-Alto Adige),피노 누아 (Pinot Noir),Northern Italy Pinot Noir,,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,2/5,,"파스타, 버섯, 치즈",,
"에디 케버, 비에르디아 오렌지 와인","Edi Keber, Brda Orange Wine",https://www.wine21.com/13_search/wine_view.html?Idx=169638&lq=LIST,에디 케버  Edi Keber,슬로베니아(Slovenia) / 고리스카 브르다(Goriska Brda),리볼라 지알라 (Ribolla Gialla) / 프리울라노 (Friulano) / 말바시아 이스트리아나  (Malvasia Istriana ),,,,,10~12 ℃,"바비큐, 꼬치구이, 닭고기, 연어, 참치, 다양한 치즈, 아시아요리, 동남아요리, 탕수육, 양장피, 파스타 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,1/5,,"닭고기, 수육, 파스타, 치즈",,
"몬테베르디, 상게 디 쥬다 돌체 델 올테르포 파비제","Monteverdi, Sangue Di Giuda Dolce Dell'Olterpo Pavese",https://www.wine21.com/13_search/wine_view.html?Idx=169639&lq=LIST,몬테베르디  Monteverdi,이탈리아(Italy) / 롬바르디아(Lombardia),크로아티나 (Croatina),,,,,16~18 ℃,"프로슈토, 치즈, 과일, 스낵과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,3/5,,"프로슈토, 과일, 치즈, 스낵",,
"토마소 부쏠라, 발폴리첼라 클라시코","Tommaso Bussola, Valpolicella Calssico",https://www.wine21.com/13_search/wine_view.html?Idx=169640&lq=LIST,토마소 부쏠라  Tommaso Bussola,이탈리아(Italy) / 베네토(Veneto),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella) / 몰리나라 (Molinara),Italian Valpolicella Red,,,,16~18 ℃,"오리로스, 닭고기, 버섯, 튀김, 프로슈토, 피자, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,3/5,,"프로슈토, 튀김, 버섯",,
"토마소 부쏠라, 발폴리첼라 리파쏘 클라시코 수페리오레 카델 라이토","Tommaso Bussola, Valpolicella Ripasso Classico Superiore Ca'del Laito",https://www.wine21.com/13_search/wine_view.html?Idx=169641&lq=LIST,토마소 부쏠라  Tommaso Bussola,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella) / 몰리나라 (Molinara),Italian Valpolicella Red,,,,16~18 ℃,"오리로스, 닭고기, 버섯, 튀김, 프로슈토, 피자, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,3/5,,"프로슈토, 튀김, 버섯",,
"토마소 부쏠라, 발폴리첼라 클라시코 수페리오레 '티비'","Tommaso Bussola, Valpolicella Classico Superiore 'TB'",https://www.wine21.com/13_search/wine_view.html?Idx=169642&lq=LIST,토마소 부쏠라  Tommaso Bussola,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella) / 몰리나라 (Molinara),Italian Valpolicella Red,,,,16~18 ℃,"오리로스, 닭고기, 버섯, 튀김, 프로슈토, 피자, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,3/5,,"프로슈토, 튀김, 버섯",,
"토마소 부쏠라, 아마로네 발폴리첼라 클라시코","Tommaso Bussola, Amarone Valpolicella Classico",https://www.wine21.com/13_search/wine_view.html?Idx=169643&lq=LIST,토마소 부쏠라  Tommaso Bussola,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella) / 카베르네 프랑 (Cabernet Franc) / 딘다렐라 (Dindarella) / 크로아티나 (Croatina) / 몰리나라 (Molinara),Italian Amarone,,,,16~18 ℃,"스테이크, 양고기, 오리고기, 갈비, 등심, 갈비찜, 바비큐, 블루 치즈, 리조토 와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,4/5,,"바비큐, 양고기, 오리고기, 갈비찜, 리조토, 치즈",,
"토마소 부쏠라, 아마로네 발폴리첼라 클라시코 '티비'","Tommaso Bussola, Amarone Valpolicella Classico 'TB'",https://www.wine21.com/13_search/wine_view.html?Idx=169644&lq=LIST,토마소 부쏠라  Tommaso Bussola,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella) / 카베르네 프랑 (Cabernet Franc) / 딘다렐라 (Dindarella) / 크로아티나 (Croatina) / 몰리나라 (Molinara),Italian Amarone,,,,16~18 ℃,"스테이크, 양고기, 오리고기, 갈비, 등심, 갈비찜, 바비큐, 블루 치즈, 리조토 와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,4/5,,"바비큐, 양고기, 오리고기, 갈비찜, 리조토, 치즈",,
"토마소 부쏠라, 아마로네 발폴리첼라 클라시코 리제르바","Tommaso Bussola, Amarone Valpolicella Classico Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=169645&lq=LIST,토마소 부쏠라  Tommaso Bussola,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella) / 카베르네 프랑 (Cabernet Franc) / 딘다렐라 (Dindarella) / 크로아티나 (Croatina) / 몰리나라 (Molinara),Italian Amarone,,,,16~18 ℃,"스테이크, 양고기, 오리고기, 갈비, 등심, 갈비찜, 바비큐, 블루 치즈, 리조토 와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,4/5,,"바비큐, 양고기, 오리고기, 갈비찜, 리조토, 치즈",,
"토마소 부쏠라, 레치오토 발폴리첼라 클라시코 '티비'","Tommaso Bussola, Recioto Valpolicella Classico 'TB'",https://www.wine21.com/13_search/wine_view.html?Idx=169646&lq=LIST,토마소 부쏠라  Tommaso Bussola,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 코르비노네 (Corvinone) / 론디넬라 (Rondinella) / 카베르네 프랑 (Cabernet Franc) / 딘다렐라 (Dindarella) / 크로아티나 (Croatina),Italian Valpolicella Red,,,,,"붉은육류, 스테이크, 그릴요리, 스튜, 양고기, 숙성 치즈, 라자냐, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,4/5,,"양고기, 치즈",,
"베나티, 카베르네 프랑","Bennati, Cabernet Franc",https://www.wine21.com/13_search/wine_view.html?Idx=169647&lq=LIST,베나티  Bennati,이탈리아(Italy) / 베네토(Veneto),카베르네 프랑 (Cabernet Franc),,,,,16~18 ℃,"오리고기, 오리로스. 치킨, 바비큐, 소시지, 수육, 토마토파스타, 피자와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,4/5,,수육,,
"베나티, 발폴리첼라 소라이게 리파쏘","Bennati, Valpolicella Soraighe Ripasso",https://www.wine21.com/13_search/wine_view.html?Idx=169648&lq=LIST,베나티  Bennati,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 론디넬라 (Rondinella) / 몰리나라 (Molinara),Italian Valpolicella Red,,,,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 스튜, 양고기, 숙성 치즈, 라자냐, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,4/5,,"양고기, 치즈",,
"베나티, 아마로네 델라 발폴리첼라 체라숨","Bennati, Amarone Della Valpolicella Cerasum",https://www.wine21.com/13_search/wine_view.html?Idx=169649&lq=LIST,베나티  Bennati,이탈리아(Italy) / 베네토(Veneto) / 발폴리첼라(Valpolicella),코르비나 (Corvina) / 론디넬라 (Rondinella) / 몰리나라 (Molinara),Italian Amarone,,,,16~18 ℃,"스테이크, 양고기, 오리고기, 갈비, 등심, 갈비찜, 바비큐, 블루 치즈, 리조토 와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,4/5,,"바비큐, 양고기, 오리고기, 갈비찜, 리조토, 치즈",,
"베나티, 리베트 소아베 클라시코","Bennati, Libet Soave Classico",https://www.wine21.com/13_search/wine_view.html?Idx=169650&lq=LIST,베나티  Bennati,이탈리아(Italy) / 베네토(Veneto) / 소아베(Soave),가르가네가 (Garganega),Italian Soave,,,,8~10 ℃,"스시, 회, 새우, 해산물, 샐러드, 야채, 스낵, 파스타 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,1/5,1/5,,"스시, 파스타, 스낵",,
"베나티, 니베우스 가르가네가 소비뇽 블랑","Bennati, Niveus Garganega Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=169651&lq=LIST,베나티  Bennati,이탈리아(Italy) / 베네토(Veneto),가르가네가 (Garganega) / 소비뇽 블랑 (Sauvignon Blanc),,,,,8~10 ℃,"스시, 회, 해산물, 조개, 다양한 치즈, 하몽, 프로슈토, 아시아요리, 동남아요리, 파스타 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,4/5,1/5,1/5,,"스시, 해산물, 파스타, 치즈",,
"베나티, 베나티 이 가디 비앙코","Bennati, Bennati I Gadi Bianco",https://www.wine21.com/13_search/wine_view.html?Idx=169652&lq=LIST,베나티  Bennati,이탈리아(Italy) / 베네토(Veneto),코르테제 (Cortese),,,,,8~10 ℃,"스시, 회, 해산물, 조개, 다양한 치즈, 하몽, 프로슈토, 아시아요리, 동남아요리, 파스타 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,1/5,1/5,,"스시, 해산물, 파스타, 치즈",,
"포카스, 타우니","Pocas, Tawny",https://www.wine21.com/13_search/wine_view.html?Idx=169653&lq=LIST,포카스  Pocas,포르투갈(Portugal) / 도우루(Douro),투리가 나시오날 (Touriga Nacional) / 투리가 프란카 (Touriga Franca) / 틴타 로리즈 (Tinta Roriz) / 틴타 바로카 (Tinta Barroca) / 틴타 까오 (Tinta Cao),Portuguese Port,,,,14~16 ℃,"리코타, 크림치즈, 말린과일, 케이크, 초콜렛 등 디저트와 잘 어울린다.",루벵코리아 (루뱅쿱),5/5,2/5,5/5,2/5,,,,
"포카스, 루비","Pocas, Ruby",https://www.wine21.com/13_search/wine_view.html?Idx=169654&lq=LIST,포카스  Pocas,포르투갈(Portugal) / 도우루(Douro),투리가 나시오날 (Touriga Nacional) / 투리가 프란카 (Touriga Franca) / 틴타 로리즈 (Tinta Roriz) / 틴타 바로카 (Tinta Barroca) / 틴타 까오 (Tinta Cao),Portuguese Port,,,,14~16 ℃,"리코타, 크림치즈, 말린과일, 케이크, 초콜렛 등 디저트와 잘 어울린다.",루벵코리아 (루뱅쿱),5/5,2/5,5/5,2/5,,,,
"포카스, 10이어스 올드","Pocas, 10Years Old",https://www.wine21.com/13_search/wine_view.html?Idx=169655&lq=LIST,포카스  Pocas,포르투갈(Portugal) / 도우루(Douro),투리가 나시오날 (Touriga Nacional) / 투리가 프란카 (Touriga Franca) / 틴타 로리즈 (Tinta Roriz) / 틴타 바로카 (Tinta Barroca) / 틴타 까오 (Tinta Cao),Portuguese Port,,,,14~16 ℃,"리코타, 크림치즈, 말린과일, 케이크, 초콜렛 등 디저트와 잘 어울린다.",루벵코리아 (루뱅쿱),5/5,3/5,5/5,2/5,,,,
"포카스, 20이어스 올드","Pocas, 20Years Old",https://www.wine21.com/13_search/wine_view.html?Idx=169656&lq=LIST,포카스  Pocas,포르투갈(Portugal) / 도우루(Douro),투리가 나시오날 (Touriga Nacional) / 투리가 프란카 (Touriga Franca) / 틴타 로리즈 (Tinta Roriz) / 틴타 바로카 (Tinta Barroca) / 틴타 까오 (Tinta Cao),Portuguese Port,,,,14~16 ℃,"리코타, 크림치즈, 말린과일, 케이크, 초콜렛 등 디저트와 잘 어울린다.",루벵코리아 (루뱅쿱),5/5,3/5,5/5,2/5,,,,
"포카스, 브릭스 로제","Pocas, Brig's Rose",https://www.wine21.com/13_search/wine_view.html?Idx=169657&lq=LIST,포카스  Pocas,포르투갈(Portugal) / 도우루(Douro),투리가 나시오날 (Touriga Nacional) / 투리가 프란카 (Touriga Franca) / 틴타 로리즈 (Tinta Roriz) / 틴타 바로카 (Tinta Barroca) / 틴타 까오 (Tinta Cao),Portuguese Port,,,,14~16 ℃,"샐러드, 크림치즈, 리코타, 말린과일, 초콜릿, 스낵 등 디저트와 잘 어울린다.",루벵코리아 (루뱅쿱),5/5,3/5,5/5,1/5,,샐러드,,
"포카스, 브릭스 드라이 화이트","Pocas, Brig's Dry White",https://www.wine21.com/13_search/wine_view.html?Idx=169658&lq=LIST,포카스  Pocas,포르투갈(Portugal) / 도우루(Douro),말바시아 피나 (Malvasia Fina) / 코데가 (Codega) / 라비가토 (Rabigato) / 비오시뉴 (Viosinho),Portuguese Port,,,,14~16 ℃,"샐러드, 크림치즈, 리코타, 말린과일, 초콜릿, 스낵 등 디저트와 잘 어울린다.",루벵코리아 (루뱅쿱),5/5,3/5,5/5,1/5,,샐러드,,
"트림, 까베르네 쇼비뇽","Trim, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=169659&lq=LIST,트림  Trim,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) / 말벡 (Malbec) / 쁘띠 시라  (Petite Sirah),Californian Cabernet Sauvignon,,,13~14 %,16~18 ℃,"블고기, 양념갈비, 로스트비프, 바비큐,그릴요리, 파스타, 탕수육, 한국음식 과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,3/5,"허브, 오크","바비큐, 파스타, 탕수육",,
"트림, 샤도네이","Trim, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=169660&lq=LIST,트림  Trim,미국(U.S.A) / 캘리포니아(California),샤르도네 (Chardonnay),Californian Chardonnay,,,12.5~13.5 %,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,1/5,미네랄,"바비큐, 수육, 탕수육, 치즈",,
"엣지, 까베르네 쇼비뇽","Edge, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=169661&lq=LIST,엣지 와인스  Edge Wines,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 알렉산더 밸리(Alexander Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),Californian Cabernet Sauvignon,,,13.5~14.5 %,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,4/5,"자두, 꽃, 바닐라, 허브","양갈비, 치즈",,
"퓨즈, 카베르네 소비뇽","Fuse, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=169662&lq=LIST,퓨즈 와인스  Fuse Wines,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon),Californian Cabernet Sauvignon,,,13.5~14.5 %,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,5/5,4/5,"체리, 감초, 허브, 모카, 가죽","양갈비, 치즈",,
"씨그노렐로, 카베르네 소비뇽","Signorello, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=169663&lq=LIST,씨그노렐로  Signorello,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 메를로 (Merlot),Napa Valley Cabernet Sauvignon,,,14.5~15.5 %,16~18 ℃,"양갈비, 양고기, 스테이크, 불고기, 버섯, 라자냐, 한국음식과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,5/5,5/5,체리,"스테이크, 라자냐, 버섯",,
"씨그노렐로, 샤도네이","Signorello, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=169664&lq=LIST,씨그노렐로  Signorello,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),샤르도네 (Chardonnay),Californian Chardonnay,,,14~15 %,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,4/5,3/5,1/5,"살구, 꽃","바비큐, 수육, 탕수육, 치즈",,
"라 브랑까이아, No.2","La Brancaia, No.2",https://www.wine21.com/13_search/wine_view.html?Idx=169665&lq=LIST,라 브랑까이아  La Brancaia,이탈리아(Italy) / 토스카나(Toscana),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Tuscan Red,,,,16~18 ℃,"로스트비프, 포크, 바비큐, 그릴요리, 오리고기, 프로슈토, 라자냐, 파스타, 피자와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,3/5,,"프로슈토, 오리고기",,Toscana IGT(IGP)
"라 토레, 로쏘 디 몬탈치노","La Torre, Rosso di Montalcino",https://www.wine21.com/13_search/wine_view.html?Idx=169666&lq=LIST,라 토레  La Torre,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese),Tuscan Red,,,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 족발, 라자냐, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,4/5,3/5,4/5,,족발,,
"라 토레, 부르넬로 디 몬탈치노","La Torre, Brunello di Montalcino",https://www.wine21.com/13_search/wine_view.html?Idx=169667&lq=LIST,라 토레  La Torre,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese),Italian Brunello,,,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 족발, 라자냐, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,4/5,3/5,4/5,,족발,,
"일 마로네토, 로쏘 디 몬탈치노","Il Marooneto, Rosso di Montalcino Ignacio",https://www.wine21.com/13_search/wine_view.html?Idx=169668&lq=LIST,일 마로네토  Il Marroneto,이탈리아(Italy) / 토스카나(Toscana) / 몬탈치노(Montalcino),브루넬로 (Brunello) 100%,Italian Brunello,,,,16~18 ℃,"붉은육류, 바비큐, 소시지, 꼬치구이, 파스타, 피자, 다양한 치즈와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,4/5,3/5,4/5,,"붉은육류, 치즈",,
"아지엔다 아그리콜라 카날리치오 디 소프라, 부르넬로 디 몬탈치노 리제르바","Azienda Agricola Canalicchio di Sopra, Brunello di Montalcino Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=169669&lq=LIST,아지엔다 아그리콜라 카날리치오 디 소프라  Azienda Agricola Canalicchio di Sopra,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese),Italian Brunello,,,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 양고기, 트러플, 블루치즈, 족발, 라자냐, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,3/5,,"족발, 트러플",,
"아지엔다 아그리콜라 카날리치오 디 소프라, 부르넬로 디 몬탈치노 카사시아","Azienda Agricola Canalicchio di Sopra, Brunello di Montalcino La Casaccia",https://www.wine21.com/13_search/wine_view.html?Idx=169670&lq=LIST,아지엔다 아그리콜라 카날리치오 디 소프라  Azienda Agricola Canalicchio di Sopra,이탈리아(Italy) / 토스카나(Toscana),브루넬로 (Brunello) 100%,Italian Brunello,,,,16~18 ℃,"붉은육류, 바비큐, 소시지, 꼬치구이, 파스타, 피자, 다양한 치즈와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,4/5,3/5,4/5,,"붉은육류, 치즈",,
"아지엔다 아그리콜라 카날리치오 디 소프라, 부르넬로 디 몬탈치노 아나타","Azienda Agricola Canalicchio di Sopra, Brunello di Montalcino Annata",https://www.wine21.com/13_search/wine_view.html?Idx=169671&lq=LIST,아지엔다 아그리콜라 카날리치오 디 소프라  Azienda Agricola Canalicchio di Sopra,이탈리아(Italy) / 토스카나(Toscana),브루넬로 (Brunello),Italian Brunello,,,,16~18 ℃,"붉은육류, 바비큐, 소시지, 꼬치구이, 파스타, 피자, 다양한 치즈와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,4/5,,"붉은육류, 치즈",* 2013 빈티지 - 2018년 WIne Spectator 100대 와인 15/100,
"아지엔다 아그리콜라 카날리치오 디 소프라, 로쏘 디 몬탈치노","Azienda Agricola Canalicchio di Sopra, Rosso di Montalcino",https://www.wine21.com/13_search/wine_view.html?Idx=169672&lq=LIST,아지엔다 아그리콜라 카날리치오 디 소프라  Azienda Agricola Canalicchio di Sopra,이탈리아(Italy) / 토스카나(Toscana),브루넬로 (Brunello) 100%,Italian Brunello,,,,16~18 ℃,"붉은육류, 바비큐, 소시지, 꼬치구이, 파스타, 피자, 다양한 치즈와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,4/5,3/5,4/5,,"붉은육류, 치즈",,
"지오도, 토스카나 로쏘 아나타","Giodo, Toscana Rosso annata",https://www.wine21.com/13_search/wine_view.html?Idx=169673&lq=LIST,지오도  Giodo,이탈리아(Italy) / 토스카나(Toscana),브루넬로 (Brunello),Italian Brunello,,,,16~18 ℃,"붉은육류, 바비큐, 소시지, 꼬치구이, 파스타, 피자, 다양한 치즈와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,4/5,3/5,4/5,,"붉은육류, 치즈",,
"라 스피네타, 일 로제 디 카사노바","La Spinetta, Il Rose di Casanova",https://www.wine21.com/13_search/wine_view.html?Idx=169674&lq=LIST,라 스피네따  La Spinetta,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) 50% / 프루놀로 젠타일 (Prugnolo Gentile) 50%,,,,,14~16 ℃,"연어, 참치, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 파스타 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,2/5,2/5,,"파스타, 치즈",,
"체르바이오나, 토스카나 로쏘 콜로리노","Cerbaiona, Toscana Rosso Colorino",https://www.wine21.com/13_search/wine_view.html?Idx=169675&lq=LIST,체르바이오나  Cerbaiona,이탈리아(Italy) / 토스카나(Toscana),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 산지오베제 (Sangiovese),Tuscan Red,,,,16~18 ℃,"로스트비프, 포크, 바비큐, 그릴요리, 오리고기, 프로슈토, 라자냐, 파스타, 피자와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,3/5,,"프로슈토, 오리고기",,
"체르바이오나, 비노 로쏘","Cerbaiona, Vino Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=169676&lq=LIST,체르바이오나  Cerbaiona,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 메를로 (Merlot),Tuscan Red,,,,16~18 ℃,"스테이크, 불고기, 그릴요리, 갈비찜, 리조또, 라자냐, 피자, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,3/5,,,,
"두에마니, 씨","Duemani, Si",https://www.wine21.com/13_search/wine_view.html?Idx=169677&lq=LIST,두에마니  Duemani,이탈리아(Italy) / 토스카나(Toscana),시라/쉬라즈 (Syrah/Shiraz),,,,,14~16 ℃,"연어, 참치, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 파스타 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,3/5,2/5,,"파스타, 치즈",,
"일 카르나샬레, 일 카밸로트","Il Carnasciale, Il Caberlot",https://www.wine21.com/13_search/wine_view.html?Idx=169678&lq=LIST,일 카르나샬레  Il Carnasciale,이탈리아(Italy) / 토스카나(Toscana),블렌드 (Blend ),Tuscan Red,,,,16~18 ℃,"스테이크, 불고기, 그릴요리, 갈비찜, 리조또, 라자냐, 피자, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,3/5,,,,
"일 카르나샬레, 카르나샬레","Il Carnasciale, Carnasciale",https://www.wine21.com/13_search/wine_view.html?Idx=169679&lq=LIST,일 카르나샬레  Il Carnasciale,이탈리아(Italy) / 토스카나(Toscana),블렌드 (Blend ),Tuscan Red,,,,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 족발, 라자냐, 파스타와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,3/5,4/5,4/5,,족발,,
