포도품종,설명,당도,산도,바디,타닌,아로마,추천 음식
코르테제Cortese,"코르테제(Cortese)는 이탈리아 화이트 품종으로 그 유명한 가비(Gavi)와인을 만드는 데 쓰인다. 코르테제는 더운 기후에서 자라도 산미가 좋아 늘 싱그럽다. 가비 마을에서 난 가비 와인은 가비 디 가비(Gavi di Gavi)라 부르는데 코르테제 품종으로 만든 와인의 가장 좋은 모습을 보여준다. 와인은 바디가 좋으며, 라임과 허브 향을 느낄 수 있다. 일부 와인생산자들은 양조 시 오크통을 사용해 약간의 젖산 발효를 일으켜 부드러운 산미와 질감을 얻는다. 높은 산미 그리고 신선하고 상쾌한 라임, 아몬드 그리고 가벼운 허브의 또는 잔디향의 아로마를 지니며 사과, 복숭아, 그리고 단물의 풍미를 지님",1/5,3/5,3/5,1/5,"라임, 사과, 허니듀","바질 페스토 파스타, 중국 음식, 안티파스토, 아르디 가스나 치즈"
돌체토Dolcetto,"돌체토(Dolcetto)는 이탈리아 레드 품종이다. 돌체토는 '작고 달콤한 것'이라는 의미다. 이탈리아 피에몬테 지역에서 주로 재배된다. 와인은 중간 산미를 지니며, 궁격적이지 않은 탄닌을 지닌다. 와인은 두드러지는 난꽃 향을 내며, 블랙체리 향을 향수처럼 내며, 맛은 달콤쌉쌀하다. 이름은 달콤하다고 붙였지만, 실제 돌체토 와인은 매우 드라이하다. 이탈리아를 제외하고는 호주에서 점차 재배가 늘고 있다. 베이컨처럼 훈연향이 있으며, 짭짤하고 약간의 기름기가 있는 음식과 잘 어울린다. 진하고 밝은 색깔, 타닌이 꽤 있는 편이며, 낮은 산미, 어둡고 온화하면서 스파이시한 아로마 와 흙냄새와 아몬드와 호두 풍미를 지닌다.",0/5,2/5,4/5,0/5,"난꽃, 블랙체리, 베이컨, 훈연향, 흙, 아몬드, 호두","미트볼 스파게티, 볼로네제 파스타, 구운 지티, 송아지고기 마살라, 브루체타, 라자냐"
안소니카Ansonica,안소니카(Ansonica)는 이탈리아 시칠리아에서 재배되는 화이트 품종이다.,1/5,3/5,3/5,1/5,"훈연향, 견과류, 시트러스","버섯과 호두를 곁들인 리조또, 연어 사시미, 샐러드"
네로 디 트로이아Nero di Troia,네로 디 트로이아(Nero di Troia)는 이탈리아어로 우바 디 트로이아(Uva di Troia)와 동일하다.,1/5,2/5,3/5,5/5,"허브, 자두, 체리, 코코아","양고기 케밥, 볼로네즈와 뇨키, 햄버거, 라자냐, 트러플 리조또"
수수마니엘로Susumaniello,"수수마니엘로(Susumaniello)는 이탈리아의 레드 품종이다. 고대품종으로 이탈리아 남부 풀리아(Apulia) 지역에서만 재배된다. 산지오베제와 유전적으로 연관성이 있는 품종이고, 따뜻한 지중해 기후에서 잘 자란다. 주로 Brindisi 항구의 북서쪽과 동남쪽에서 재배되며, Malvasia Nera Di Brindisi 이나 Negroamaro와 같은 지역 토착 품종과 블렌딩된다. 'Cozzomaniello, Cuccipaniello, Grismaniello, Mondonico, Puledro,",,,,,"레드 베리, 자두, 스파이시하고 후추향의 아로마, 다크 초콜렛 풍미","소고기찜, 검은 콩을 곁들인 돼지고기 립 찜, 썰은 사슴고기, 비트 뿌리 리조또"
그롤로 누아Grolleau Noir,"그롤로 누아(Grolleau Noir)는 프랑스 레드 품종이다. 그롤로는 프랑스어로 '까마귀'를 믜이하는 그롤르(Grolle)에서 유래했다. 프랑스 루아르 밸리에서 주로 재배되었으나 차츰 재배 면적이 줄고 있는 실정이다. 루아르 밸리의 앙주(Anjou), 소뮈르(Saumur)그리고 뚜렌느(Touraine)에서는 이 품종으로 오로지 로제 와인만 만들도록 허용하고 있다. 와인은 흙내음이 살짝 느껴지며, 알코올 도수가 낮고 산미가 높다.",,,,,"딸기, 레몬, 장미","두부 요리, 연어, 샐러드, 조개류 구이"
체사네세Cesanese,"체사네세(Cesanese)는 이탈리아 레드 품종으로 로마 근처 라치오에서 주로 재배된다. 체사네제 와인은 진하고 잘 익은 체리 풍미를 지니며, 약간의 꽃 향과 적후추 향이 스친다. 와인은 중간 바디를 지니며, 부드러운 타닌을 지니고 있다.",2/5,3/5,3/5,3/5,"리치, 체리, 꽃, 후추","오리 고기 라구, 소시지와 폴렌타, 돼지고기 립"
소비뇽 그리Sauvignon Gris,"소비뇽 그리(Sauvignon Gris)는 프랑스 화이트 품종이다. 소비뇽 그리는 소비뇽 블랑의 변종으로 포도 껍질이 약간 분홍색을 띤다. 소비뇽 그리는 소비뇽 블랑보다 향이 약하지만, 우아한 와인이 만들어진다. 아로마가 강하지 않으며 종종 블랜딩에 사용.",1/5,4/5,3/5,1/5,"망고, 멜론, 시트러스, 허브","가리비 혹은 새우 요리, 염소 치즈, 아스파라거스, 샐러드, 해산물"
마르셀란Marselan,"마르셀란(Marselan)은 카베르네 소비뇽(Cabernet Sauvignon)과 그르나슈(Grenache) 품종을 교배하여 탄생한 프랑스 품종으로, 1961년 Paul Truel 의해 마르세이앙(Marseillan) 마을 근처에서 첫 재배에 성공하였다. 매우 아로마틱하면서도 타닌과 바디가 좋아 숙성력을 기대할 수 있다. 병충해에도 강하여 재배지가 넓어지고 있는 기대 품종이다. 프랑스 남부의 랑그독 (Languedoc)과 프로방스 (Provence) 지역에서 주로",1/5,2/5,4/5,4/5,"체리, 까시스","마늘을 곁들인 양고기, 구운 돼지 고기, 검은 콩 스튜"
만조니 모스카토Manzoni Moscato,만조니 모스카토 (Manzoni Moscato)는 이탈리아 전역에 생산되는 품종으로 뮈스까 함부르크 (Muscat Hamburg)와 라보소 피아브(Roboso Piave)품종과 교접하여 만들어진 품종이다. 인크로시오 만조니(Incrocio Manzoni) 와 유사한 품종이다.,0/5,4/5,0/5,4/5,"블랙 체리, 자두, 제비꽃, 라일락, 세이지","스틸턴 치즈, 바베큐, 비프 스튜, 멕시코 음식"
몰리나라Molinara,"몰리나라(Molinara)는 이탈리아 레드 품종이다. 몰리나라는 발폴리첼라(Valpolicella)와인을 만드는데 사용된다. 혼합된 와인에 산미를 더해준다고 알려져있다. 라이트바디, 그리고 높은 산미를 가짐",1/5,3/5,3/5,2/5,"체리, 계피, 자두, 붉은 과일","파스타, 샐러드, 칠면조 미트로프"
네렐로 마스칼레제Nerello Mascalese,"네렐로 마스칼레제(Nerello Mascalese)는 이탈리아 시칠리아 섬의 화산 지대, 특히 에트나 산 지역에서 주로 재배되는 레드 와인용 포도 품종이다. 이 포도는 에트나 산의 독특한 토양과 기후 조건 덕분에 특별한 특성을 지니고 있다. 화산 토양은 포도에 미네랄과 복합미를 더해준다. 색이 선명하고, 타닌이 섬세하며, 산도가 높은 것으로 유명하다.",1/5,4/5,2/5,2/5,"붉은 과일, 스파이스, 바닐라","정어리, 참치, 황새치, 미트로프, 미트볼"
카리칸테Carricante,"카리칸테(Carricante)는 이탈리아 화이트 품종이다. 높은 산미, 신선한 감귤류(레모과 라임에서 자몽 이나 오렌지) 와 허브느낌(민트 와 아니스 열매) 미네랄, 주석, 녹색사과의 아로마 와 꿀의 풍미를 갖으며 크림같은 질감을 지님",1/5,4/5,4/5,1/5,"감귤류, 주석, 미네랄, 녹색 사과","염소 치즈, 흰 살 생선, 구운 채소"
오세레타Oseleta,오세레타 (Oseleta)는 이탈리아 베네토 지역에서 자라는 매우 희귀한 레드 품종이다. 이 품종은 거의 사라질뻔 했다가 유명 와이너리 마시(Masi)에 의해 보존되었다. ​,1/5,3/5,4/5,5/5,"감초, 블랙베리, 건초, 타르","페타 치즈와 샐러드, 미트볼 스파게티"
네렐로 카푸치오Nerello Cappuccio,네렐로(Nerello)는 이탈리아의 시칠리아와 사르디니아(Sardinia)에서 주로 생산되는 레드 품종으로 2가지의 세부 품종이 있다.,1/5,1/5,2/5,1/5,"붉은 과일, 스모크, 허브","마르게리타 피자, 참치, 샐러드, 얇게 썬 등심살"
"뮈스까 베일리 에이, 엠비에이Muscat Bailey A , MBA","뮈스까 베일리 에이, 엠비에이(Muscat Bailey A, MBA)는 일본 와인의 가장 대표적인 품종으로 뮈스까(Muscat) 교배종이다. 한국에서도 이 품종이 많이 재배되고 있다.",3/5,3/5,2/5,1/5,,"사시미, 생선요리, 구운 바라문디"
뮈스카텔Muscatel,뮈스카텔(Muscatel) 는 뮈스까(Muscat) 품종으로 만든 와인 스타일 중 하나이다. 주로 미국에서 이 품종을 가지고 달콤한 강화 와인을 만들었을때 표현되곤 했다.,,,,,,
그리뇰리노Grignolino,"그리뇰리노(Grignolino)는 이탈리아 레드 품종이다. 이 품종은 이탈리아 아스티(Asti), 몬페라토 카살레스(Monferrato Casales), 그리고 피에몬테(Piemont)에서 주로 재배된다. 와인은 색이 좀 옅고, 산미와 탄닌이 많으며, 식물성 향이 특징적이다.",0/5,4/5,2/5,4/5,"베리, 허브, 스파이스, 장미, 세이지, 후추","런천 미트, 토마토 파스타, 풍기피자"
테롤데고Teroldego,"테롤데고(Teroldego)는 이탈리아 북동부 지역에서 자라는 레드 품종이다. 이탈리아를 벗어나면, 이 품종은 뉴질랜드, 캘리포니아에서 성공적으로 재배되고 있다. 이탈리아 트렌티노(Trentino)에서 재배되는 테롤데고는 부드러운 시라 와인같은 느낌이며, 붉은 체리와 금방 자른 풀 향, 흙 내음이 함께 한다. 와인은 산미와 알코올이 균형을 잘 이루고 있으며, 골격이 좋다는 평가를 받는다. 스파이시한 레드 프룻, 타르, 잣과 아몬드 아로마가 느껴진다.",0/5,4/5,0/5,3/5,"프룻, 타르, 풀, 흙, 사과, 잣","베이컨 음식, 관찰레, 까르보나라"
세미다노Semidano,세미다노(Semidano)는 이탈리아 샤르데냐에서 주로 재배되는 토착 품종이다. 세미다노는 Nuragus 품종에 의해 대체되어 점차 사라지는 중이었다.,1/5,3/5,3/5,1/5,"열대 과일, 그린 허브, 해초","송어, 조개류찜"
가르가네가Garganega,"가르가네가(Garganega)는 이탈리아 베네토(Veneto)지역 화이트 품종이다. 이 품종은 만생종으로 생산량이 많으며, 소아베(Soave), 감벨라라(Gambellara)와인에 쓰인다. 와인은 매우 섬세하며, 구조감이 좋고 적당한 무게감을 지니고 있다. 가르가네가가 들어간 와인은 아몬드와 자두, 시트러스 풍미를 지닌다. 가르가네가 포도를 말리면, 적당한 산미와 함께 달콤한 맛을 낸다. 이렇게 말린 가르가네가로 만든 레초토(Recioto)와인은 십 년이 넘는 장기 숙성 잠재력을 갖는다. 시칠리아에서 생산되는 그레카티코 도라토(Grecanico Dorato) 품종과 유전적으로 동일한 품종이다.",1/5,3/5,2/5,1/5,"꿀, 레몬 껍질, 열대 과일, 스파이스","조개류, 치킨, 볼로네제 소스가 들어간 음식, 두부"
스키오페티노Schioppettino,"스키오페티노(Schioppettino)는 이탈리아 북동부 레드 품종이다. 스키오페티노는 현재 재배량이 거의 없다. 이 품종은 13세기 프리울리(Friuli)지역에서 유래했다. 와인은 후추와 라즈베리 향이 진하며, 가벼운 바디와 낮은 알코올, 높은 산미를 지닌다. 제비꽃, 라즈베리, 후추 등의 노트를 지닌 아로마틱한 와인. 진한 색상에 미디엄 바디의 와인을 만든다.",0/5,5/5,3/5,0/5,"후추, 라즈베리, 제비꽃","마르게리타 피자, 샤브샤브"
코르비나 베로네제Corvina Veronese,"이 품종은 발폴리첼라와 바르돌리노 와인에 쓰인다. 코르비나 품종은 대부분 색과 타닌이 적고 블렌딩될 경우, 아로마와 산미를 준다. 화산 토양으로 된 언덕 포도원에서 잘 자라며, 백악질이나 충적토가 섞인 경우 향이 아주 좋다. 코르비나는 건조 과정을 거쳐 레초토(Recioto)나 아마로네(Amarone)를 만드는데 쓰인다. 라이트 한 색깔, 바디, 타닌을 지니며 시큼한 체리 와 풀잎향의 풍미를 지닌다.",1/5,4/5,3/5,4/5,"체리, 플럼, 검은 자두","토마토 소스를 베이스로 한 라자냐, 볼로네즈 파스타, 미트로프"
크로아티나Croatina,크로아티나(Croatina)는 크로아티아 레드 품종이다. 이 품종은 이탈리아 북서부 가티나라(Gattinara)와 겜메(Ghemme)지역에서 주로 재배된다. 와인은 매력적인 자두 풍미를 지닌다.,1/5,3/5,4/5,1/5,"검은 열매, 허브, 식물, 자두","소고기찜, 가금류, 염장치즈, 하몽, 햄, 프로슈토"
지비보Zibibbo,지비보(Zibibbo)는 이탈리아 시칠리아 화이트 품종이다. 이 품종은 뮈스캇 품종보다는 향이 약하지만 화사한 흰 꽃 향을 내며 달콤한 스파클링 와인을 만드는 데 쓰인다.,3/5,4/5,3/5,1/5,"장미, 마멀레이드, 살구","비스코티, 샤퀴테리, 톡 쏘는 치즈"
페리코네Perricone,"페리코네(Perricone)는 이탈리아 시칠리아 섬 레드 품종으로 색이 진하고 알코올이 높은 와인이 된다.풀바디에 진한 컬러, 높은 알코올 도수를 지닌 와인.",2/5,4/5,3/5,3/5,"레드 베리, 흙, 바이올렛, 체리, 허브","소고기찜, 펜네, 페코리노 치즈, 연어 요리, 볼로네제 소스, 바베큐, 사슴고기, 레네제 파스타"
피아노Fiano,"피아노(Fiano)는 이탈리아 남부, 특히 캄파니아 지방에서 주로 재배되는 청포도 품종이다. 이 포도는 풍부하고 복잡한 향을 지니며, 꽃, 향신료, 견과류 등의 뉘앙스를 지닌 와인을 생산한다. 잘 익은 과일의 풍미와 긴 여운을 특징으로 하는 와인으로 잘 알려져 있다.",2/5,4/5,0/5,1/5,"꽃, 스파이스, 꿀, 견과","팔라펠, 탑불라, 구운 치킨, 생선 필레"
팔랑기나Falanghina,"팔랑기나(Falanghina)는 이탈리아 화이트 품종으로 고급 와인을 만드는 품종이다. 주로 깜빠니아(Campania)에서 재배되며, 포도를 건조시켜 파시토(Passito)와인을 만드는 데 사용된다. 약간의 파인과일류, 감귤류 꽃봉오리, 스파이시하면서 미네랄의 아로마 그리고 쓴 오렌지, 전형적인 사과 와 배의 풍미를 지님",1/5,4/5,3/5,1/5,"아카시아, 미네랄, 오렌지, 감귤류","구운 치킨, 구운 연어, 케이준 새우, 염소 치즈, 시금치 샐러드"
피에디로쏘Piedirosso,피에디로쏘(Piedirosso)는 이탈리아 깜빠니아(Campania)에서 주로 생산되는 레드 와인 품종이다. 이 품종은 이 지역에서 로칼 방문객들을 대상으로 소비되는 로칼 와인을 만드는데 그 와인명도 '피에디로쏘' 이다.,1/5,3/5,3/5,3/5,"딸기, 스파이스, 바이올렛, 가죽","치즈 피자, 칠면조, 크랜베리, 구운 호박, 베이킹 향신료, 가금류"
그레코 비앙코Greco Bianco,"그레코 비앙코(Greco Bianco)는 이탈리아 화이트 품종이다. 그레코 비앙코는 2500년전 그리스에서 이탈리아로 전해졌다고 하는데, 정확히 그리스의 어느 지역인지는 알려져 있지 않다. 와인은 살짝 복숭아, 풀 잎 향을 지니며, 신선하다. 가장 훌륭한 와인은 그레코 디 투포(Greco di Tufo)다. 반건조된 그레코 비앙코 품종으로 살짝 단맛이 있는 와인을 만들기도 한다. 훌륭한 산미 그리고 신선하고 깔끔한 포도느낌과 견과류, 카라멜느낌의 풍미를 지님,",1/5,3/5,2/5,1/5,"복숭아, 풀, 견과류, 녹색 단풍, 허브","해산물 리조또, 가리비, 구운 연어나 송어"
그레케토 비앙코Grechetto Bianco,"그레케토 비앙코(Grechetto Bianco)는 이탈리아 화이트 품종이다. 그레케토 비앙코는 움브리아(Umbria)지방에서 주로 재배되며, 다른 품종과 혼합되어 구조, 풍부함, 기분 좋은 견과류, 풀 잎 향을 낸다.",2/5,3/5,3/5,1/5,"풀, 허브, 아몬드","가리비, 송어, 그라나 파다노 치즈, 가벼운 샐러드, 파스타"
프루놀로 젠타일Prugnolo Gentile,프루놀로 젠타일(Prugnolo Gentile)은 몬테풀치아노(Montepulciano)에서 생산되는 산지오베제 (Sangiovese) 유사어 중 하나이다. * 산지오베제 (Sangiovese) 참고,4/5,5/5,3/5,4/5,"레드 커런트, 구운 토마토, 라즈베리, 포푸리, 토기","토마토 소스를 베이스로 한 라자냐, 볼로네즈 파스타, 미트로프(Meatloaf), 구운 야채, 뇨키"
카나이올로 네로Canaiolo nero,* 카나이올로(Canaiolo) 참고,1/5,4/5,2/5,2/5,"블랙베리, 블랙 후추, 코코아","구운 치킨, 구운 연어, 케이준 새우, 염소 치즈, 시금치 샐러드"
리무니아Limnio,"리무니아(Limnio)는 그리스의 중요한 레드 품종이다. 이 품종은 그리스 렘노스(Lemnos)섬에서 유래했다. 고대 그리스 아리스토텔레스에 의해 언급되었을 정도로 오래된 고대 품종이다. 현재 아토스 산(Mount Athos)에서 가장 많이 재배되고 있으며, 카베르네 소비뇽과 블렌딩 될 경우, 보르도 와인 같은 풍미를 낸다.",0/5,3/5,4/5,3/5,"미네랄, 월계수, 풀잎, 산등선, 미네랄, 허브","숙성된 치즈, 가금류, 구운 고기"
말라구지아Malagousia (Malagouzia),"말라구지아(Malagousia)는 그리스 화이트 품종이다. 이 품종은 거의 멸종에 이르렀다가 20세기 말 도멘 카라스(Domaine Carras)에 의해 부활되었다. 말라구지아는 아주 향기로우며, 복숭아 향이 특징적이다. 와인은 대부분 부드럽고 무척 우아하다. 미디엄바다, 감귤류, 복숭아, 아로마 그리고 다양한 멜론의 풍미를 지님",0/5,3/5,4/5,1/5,"복숭아, 감귤류, 열대과일, 피망, 민트, 티, 채소","사이공 팬케이크, 참치 타르타르, 해산물, 조개류 음식"
아시르티코Assyrtiko,"아시르티코(Assyrtiko)는 그리스 화이트 품종이다. 그리스 산토리니 섬의 대표 품종으로 와인은 금속적이며, 미네랄 풍미가 풍부하며, 산미가 높다. 오크 숙성되는 경우는 거의 없고, 산미를 부드럽게 하려고 사바티아노(Savatiano), 아이다니(Aidani) 혹은 말라구지아(Malagousia)품종을 섞기도 하며, 달콤한 와인으로도 양조한다. 미네랄 과 사향 향이 나며 시럽처럼 달콤한 풍미를 지님",1/5,3/5,2/5,1/5,"그린애플, 백도, 조개, 미네랄","조개류 요리, 흰 살 생선 요리, 굴, 토마토 베이스의 지중해 음식"
쿠누아즈Counoise,"코우노이제(Counoise)는 프랑스 레드 품종이다. 미국에서도 재배되고 있다. 안정된 산미, 그리고 스파이시한 후추향, 자두, 와일드 베리류(딸기와 라스베리), 아니스열매 와 감초의 풍미를 지님. 프랑스에서는 Chateauneuf-du-Pape 에서 블렌딩용 품종으로 알려져 있다.",1/5,2/5,3/5,3/5,"자두, 딸기, 라즈베리","짐발라야, 양고기, 폴렌타, 나쵸"
리볼라 지알라Ribolla Gialla,"리볼라 지알라(Ribolla Gialla)는 이탈리아 화이트 품종이다. 이 품종은 이탈리아 북동부 프리울리(Friuli) 지방에서 주로 재배된다. 와인은 중성적인 풍미에 견과류 풍미가 묻어나며, 좋은 산미를 지닌다.",1/5,5/5,3/5,1/5,"복숭아, 사과, 꽃향기, 헤이즐넛, 비스킷","블루 치즈, 인도 음식, 스파이시한 요리, 애플 파이, 바닐라 아이스크림"
소비뇽 베르트Sauvignon Vert,프리울라노(Friulano)와 동일한 품종이다. * 프리울라노(Friulano) 참고 * 소비뇽나쎄(Sauvignonasse) 참고,2/5,3/5,3/5,1/5,"구즈베리, 청사과, 블랙커런트","해산물, 녹색 채소, 허브 페스토, 치미추리와 닭고기"
오렌지 뮈스까Orange Muscat,"오렌지 뮈스까(Orage Muscat)은 미국과 호주에서 소량 재배되는 화이트 품종이다. 이 품종은 조기 수확될 경우 향긋한 향을 보존할 수 있으며, 발효 중 증류주를 넣어 발효를 중지시킨 주정 강화 와인으로 만든다. 와인은 우아하며, 오렌지와 오렌지 꼬, 오렌지 껍질 향과 풍미가 좋으며, 장기 숙성 잠재력도 매우 크다.",2/5,2/5,2/5,1/5,"오렌지, 꿀, 복숭아, 레몬, 모과","해산물 리조또, 염소 치즈, 가리비, 구운 연어나 송어"
피노 비앙코Pinot Bianco,피노블랑(Pinot Blanc)과 동일한 이탈리아어.,,,,,"사과, 아몬드, 훈연향, 견과류, 미네랄","감자요리, 태국 음식, 구운 닭고기"
베르디소Verdiso,"베르디소(Verdiso)는 북부 이탈리아 베네토의 트레비조(Treviso) 지역에서 일차적으로 생산되는 품종이다. 트레비조에서는 이 품종으로 프로세코(Prosecco)의 DOC 스파클링 와인을 만든다. Flavis와 Italica 품종을 만드는데 사용되었다. * 다음과 동일한 품종이다 : Pedevenda * (Breganze), Peverenda (Breganze), Pexerenda (Breganze), Verdino (Conegliano and Valdobbiadene), Verdise (Colli Euganei).",1/5,4/5,3/5,1/5,"복숭아, 풀, 견과류, 카라멜, 쟈스민, 열대 과일","레몬과 흰 살 생선, 가벼운 샐러드, 새우 요리"
뮐러 트루가우Muller Thurgau,"뮐러-트루가우(Müller-Thurgau)는 독일 화이트 품종이다. 뮐러-트루가우는 가이젠하임(Geisenheim)대학에서 일하던 헤르만 뮐러-트루가우(Hermann Müller Thurgau)박사에 의해 탄생했다. 그는 리슬링이 가지는 고품질, 우아함과 복합성과 조생종인 실바너의 장점을 접목시켜 신품종을 만들고 싶었다. 그렇게 탄생된 뮐러-트루가우는 1970년대 독일에서 가장 많이 재배되는 품종의 지위에 올랐으나, 점차 감소되고 있는 실정이다.",2/5,4/5,3/5,1/5,"복숭아, 사과, 배, 꽃","치즈 혹은 버섯 타르트, 얇게 썬 문어 요리, 새우찜"
쇼이레베Scheurebe,"쇼이레베(Scheurebe)는 독일 화이트 품종이다. 쇼이레베는 1915년 가이젠하임의 헬무트 베커(Helmut Becker)박사가 탄생시킨 품종으로 리슬링, 실바너, 뮬러-트루가우를 접합된 포도다. 쇼이레베는 리슬링 보다는 실바너의 특징을 더 많이 지니고 있어 석회질 토양에서 잘 자라고, 향수처럼 전해지는 풍미를 지닌다. 와인은 드라이하며, 자몽 풍미가 좋다. 오스트리아에서는 쇼이레베를 잼믈링 88(Sämling 88)라 부른다.",3/5,3/5,2/5,1/5,"블랙 커런트, 허브, 레몬","연어, 가리비, 참치와 같은 해산물, 과일 베이스의 디저트, 가벼운 파스타"
바쿠스Bacchus,"바쿠스(Bacchus)는 독일 화이트 품종이다. 이 품종은 실바너(Silvaner)와 리슬링(Riesling), 뮬러-트루가우(Müller Thurgau)가 접합된 품종이다. 이 품종은 이국적인 과실 향이 아주 좋으며, 산미가 낮은 편이다. 달콤하며 낮은 산미를 지님",3/5,2/5,3/5,1/5,"뮈스까, 복숭아, 스파이스, 꽃가루, 엘더플라워","가벼운 샐러드, 염소 치즈, 해산물"
오르테가Ortega,"오르테가(Ortega)는 독일 화이트 품종이다. 오르테가는 뮬러-트루가우와 지에저레베(Siegerrebe)의 접합종이다. 독일 라인헤센에서 오르테가를 주로 재배한다. 와인은 자몽과 엘더플라워 향을 내며, 산미가 좋아 장기 숙성이 잘 된다. 독일을 제외하곤 영국에서 재배되는 데 맛이 좋은 편이다.",3/5,4/5,2/5,1/5,"복숭아, 뮈스까","가리비, 연어, 참치와 같은 해산물, 과일 베이스의 디저트, 블루 치즈"
케르너Kerner,"케르너(Kerner)는 독일 화이트 품종이다. 이 품종은 1929년 아우구스트 헤롤드(August Herold)가 레드 품종인 트롤링거(Trollinger)와 리슬링(Riesling)을 접합해 탄생시켰다. 케르너라는 이름은 시인이자 물리학자인 유스티누스 케르너(Justinus Kerner)의 이름을 땄다. 와인은 흰색 과실 향이 가득하며, 사과, 자몽, 감귤, 망고 같은 열대 과실 향을 느낄 수 있다. 맛은 리슬링과 비슷하며, 신선하고, 레이스 같은 질감과 부드러운 산미를 지닌다.",1/5,4/5,2/5,1/5,"사과, 자몽, 망고, 열대과일, 잎","해산물 파스타, 라이트 폴트리, 닭이나 칠면조, 송아지 고기, 타이 그린 카레"
훅셀레베Huxelrebe,"훅셀레베(Huxelrebe)는 독일 화이트 품종이다. 특히 라인헤센(Rheinhessen) 에서 많이 생산된다. 이 품종은 1927년 독일의 포도재배학자 게오르그 쇼이(Georg Scheu)가 샤슬라(Chasselas)와 쿠르틸러 뮈스케(Courtiller Musque)접합으로 탄생시켰다. 와인은 산미가 높으며, 루바브(Rhubarb)풍미를 내며, 아주 잘 익은 훌셀레베는 머스까와 같은 향을 낸다. 풍부한 열대과일의 아로마와 무스캣열매와 같은 풍미를 지닌다.",2/5,3/5,2/5,1/5,"블루베리, 자두, 밀크 초콜릿","훈제 송어, 아보카보 샐러드, 연어, 교자 요리"
쇤부르거Schonburger(Schoenburger),"쇤부르거(Schönburger)는 독일 화이트 품종이다. 이 품종은 1979년 독일 가이젠하임 대학에서 피노 누아(Pinot Noir), 샤슬라(Chasselas), 뮈스까 함부르크(Muscat Hamburg)의 접합종이다. 쇤부르거는 서늘한 기후 간혹 해양성 기후에서 잘 자라며, 조생종이다. 와인은 부드러우며, 과실 풍미가 꽉 찬 와인이 된다.",1/5,4/5,0/5,1/5,머스캣,"스시, 가리비 음식, 파스타 요리"
파버레베Faberrebe,"파베레베(Faberrebe)는 1929년 게오르그 슈(Georg Scheu)가 피노 블랑(Pinot Blanc)과 뮬러 트루가우(Müller Thrugau) 또는 실바너(Silvaner)와 피노 블랑(Pinot Blanc)교배로 탄생시킨 품종이다. 파버는 독일어 슈미드(Schmied)의 라틴어 표기에서 왔는데 팔츠에서 이 품종을 실험 재배한 칼 슈미트(Karl Schmitt)를 기리기 위해 사용됐다. 레베(rebe)는 독일어도 포도나무를 의미한다. 파베레베는 조생종으로 생산량이 많고,",4/5,4/5,4/5,1/5,머스캣,"마카로니 치즈, 푸틴, 코코넛 생선 카레"
옵티마Optima,"옵티마(Optima)는 독일 화이트 품종이다. 옵티마는 1930년 실바너, 리슬링, 뮬러-트루가우 간 접합종으로 탄생했다. 옵티마는 조생종이라는 점을 빼면 큰 장점이 없다. 와인의 풍미는 묽고 이상한 단맛을 와인에 남긴다.",3/5,2/5,0/5,1/5,"배, 라임","칠면조 요리, 치킨 카레"
베타Beta,"베타(Beta)는 비티스 라브루스카(Vitis labrusca)와 비티스 리파리아(Vitis riparia)간 교배로 탄생한 품종이다. 베타는 북미에서 주로 재배되며 추운 계절을 잘 견딘다. 베타는 알이 조밀한 송이로 열리며, 고품질 과일 젤리, 잼, 주스를 만드는 데 사용된다.",,,,,블랙 과일,
쿄호(거봉)Kyoho,"쿄호(Kyoho)는 콩코드 품종 교접종이다. 쿄호 품종은 1937년에 일본의 시주오카 (Shizuoka) 켄 에서 처음 개발되었다. 콩코드 품종과 유사하며 포도알이 굵다. 검은색에 가까운 보라색 껍질은 쉽게 벗겨진다. 이른바 거봉 (Giant mountain grapes) 으로 알려져 있으며 일본, 중국 그리고 한국에서 인기 있는 품종이다. 전통적으로 과육만 먹고 껍질은 먹지 않으며 높은 당도와 부드러운 산미를 가지고 있다.",4/5,3/5,3/5,1/5,"카라멜, 딸기, 자두","바베큐, 비프 스튜, 멕시코 음식, 스틸턴 치즈, 데리야끼"
론가네시Longanesi,"론가네시(Longanesi)는 에밀리아-로마냐(Emilia-Romagna)의 라벤나(Ravenna)시 서쪽 인근 반야카발로(Bagnacavallo)에서 재배되었다고 알려진 적포도 품종이다. 론가네시는 유전자 분석에 따라 동일 품종으로 여겨지는 스텔라 그란도(Stella Grando), 호세 부야모즈(José Vouillamoz)와 같지 않다고 판명됐다. 일부 역사학자에 따르면, 스페인에서 교황의 군대에 의해 옮겨진 야생 포도 품종이라고 한다. 거의 멸종 위기에 처",1/5,3/5,3/5,2/5,"체리, 딸기, 바닐라","펜네, 페코리노 치즈, 연어 요리, 볼로네제 소스, 바베큐"
프론티냑Frontignac,"프론티냑(Frontignac)은 뮈스까 쁘띠 그랑(Muscat à Petits Grains)의 동의어로 뮈스까 변종으로 레드 품종이다. 달콤하거나 드라이한 와인을 만든다. 매우 향기로운 와인으로 꽃향기, 퍼퓸, 장미, 스파이스 등과 같은 향이 난다.",1/5,1/5,3/5,1/5,"꽃, 장미, 스파이스, 오렌지","프루티한 치즈케이크, 파블로바, 디저트류 음식"
