와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,숙성,양조
"라운드 폰드, 키스 앤 킨 카베르네 소비뇽","Round Pond, KITH & KIN Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=168536&lq=LIST,라운드 폰드 에스테이트  Round Pond Estate,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 베르도 (Petit Verdot) / 말벡 (Malbec) / 쁘띠 시라  (Petite Sirah),,Napa Valley AVA,,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.","*Wine Spectator 88점 (2017), 90점 (2015)*James Suckling 93점 (2016), 94점 (2015)*Wine Enthusiast 88점 (2017), 91점 (2015)",,1/5,3/5,5/5,4/5,"체리, 잼, 바닐라","양갈비, 치즈",,
"프로그스 립, 진판델 나파 밸리","Frog's Leap, Zinfandel Napa Valley",https://www.wine21.com/13_search/wine_view.html?Idx=168537&lq=LIST,프로그스 립  Frog's Leap,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),진판델 (Zinfandel) / 쁘띠 시라  (Petite Sirah) / 까리냥 (Carignan/Carignane),,Napa Valley AVA,,16~18 ℃,"양갈비, 양고기, 스테이크, 스튜, 치즈, 살라미, 견과류, 말린과일 과 잘 어울린다.",*Wine Enthusiast 87점 (2012)*Decanter 93점 (2013)*Cellar Tracker 90점 (2017),,1/5,3/5,4/5,4/5,"감초, 타르","살라미, 견과류, 치즈",,
"필드 레코딩스, 스킨스","Field Recordings, Skins",https://www.wine21.com/13_search/wine_view.html?Idx=168538&lq=LIST,필드 레코딩스  Field Recordings,미국(U.S.A) / 캘리포니아(California) / 센트럴 코스트(Central Coast),슈냉 블랑 (Chenin Blanc) / 피노 그리 (Pinot Gris) / 알바리뇨 (Albarino(Alvarinho)) / 베르데호 (Verdejo) / 리슬링 (Riesling),,,12~13 %,10~12 ℃,"베이컨, 꼬치구이, 해산물, 양념치킨, 하몽, 살라미, 아시아요리, 매운음식, 동남아요리등과 잘 어울린다.",*잔당: 8.1 g/L*총산: 5.92 g/L*pH: 3.80*비비노평점: 3.9,모멘텀와인컴퍼니,1/5,4/5,2/5,1/5,"아카시아, 미네랄",해산물,,
투 올드 독스 까베르네 소비뇽,Two Old Dogs Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=168539&lq=LIST,허브 램 빈야드  Herb Lamb Vineyard,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon),,,14~15 %,16~18 ℃,"육류, 핑거푸드, 스테이크 등과 잘 어울린다.",,동원와인플러스,1/5,3/5,4/5,4/5,"자두, 미네랄, 바닐라, 허브, 흑연",스테이크,,
"필드 레코딩스, 페츠","Field Recordings, Pets",https://www.wine21.com/13_search/wine_view.html?Idx=168540&lq=LIST,필드 레코딩스  Field Recordings,미국(U.S.A) / 캘리포니아(California) / 센트럴 코스트(Central Coast),쁘띠 시라  (Petite Sirah) / 진판델 (Zinfandel),,,14~15 %,16~18 ℃,"스테이크, 그릴요리, 양고기, 양갈비, 파스타, 다양한 치즈 등과 잘 어울린다.",*2016 빈티지: Best Californian Petite Sirah (Vivino)*잔당: 2.9 g/L*총산: 5.8g/L*pH: 4.10*비비노평점: 4.0,모멘텀와인컴퍼니,1/5,3/5,4/5,4/5,"체리, 자두, 꽃, 허브","파스타, 자두, 치즈",,
"라 비니에타, 세레노 솔레라","Celler La Vinyeta, Sereno Solera",https://www.wine21.com/13_search/wine_view.html?Idx=168541&lq=LIST,라 비니에타   Celler La Vinyeta,스페인(Spain) / 엠포르다(Emporda(Amporda)),그르나슈 그리 (Grenache Gris),,,15~16 %,10~12 ℃,"스시, 회, 새우, 다양한 치즈, 아시아요리, 동남아요리, 건육, 피자, 파스타 등과 잘 어울린다.","*Grenaches du Monde 2016, GOLD, Wine Advocate 90점*잔당: 1.5 g/L*총산: 4.06 g/L*pH: 3.33",모멘텀와인컴퍼니,1/5,3/5,2/5,1/5,"체리, 오렌지, 효모","건육, 스시, 새우, 치즈",,
"무따르, 씨스 쎄빠주 브뤼 골드 에디션","Champagne Moutard & Domaine Moutard, Cuvee des 6 Cepages Brut Champagne Gold Edition",https://www.wine21.com/13_search/wine_view.html?Idx=168542&lq=LIST,무따르  Champagne Moutard & Domaine Moutard,프랑스(France) / 샹빠뉴(Champagne) / 꼬뜨 데 바(Côte des Bar),피노 블랑 (Pinot Blanc) / 피노 뮈니에 (Pinot Meunier) / 샤르도네 (Chardonnay) / 쁘띠 메슬리에 (Petit Meslier ) / 아르반 (Arbanne) / 피노 누아 (Pinot Noir),,,12~13 %,6~8 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",*2010 빈티지: 죽기 전에 마셔야 할 1001가지 와인*총산: 6.50 g/L*pH: 3.13,모멘텀와인컴퍼니,1/5,5/5,2/5,1/5,"레몬, 잼, 엘더플라워, 브리오슈","스시, 샐러드, 과일, 치즈, 디저트",,
"클리프 레이디, 펠 샤도네이","Cliff Lede, Fel Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168543&lq=LIST,클리프 레이디  Cliff Lede,미국(U.S.A) / 캘리포니아(California) / 멘도치노 카운티(Mendocino County) / 앤더슨 밸리(Anderson Valley),샤르도네 (Chardonnay),Californian Chardonnay,Anderson Valley AVA,13~14 %,10~12 ℃,"타르타르, 아보카도 퓨레를 곁들인 관자요리, 아스파라거스를 곁들인 전복구이, 문어숙회, 오일 파스타 등과 잘 어울린다.",*Tasting Panel Magazine 90점,,1/5,3/5,4/5,1/5,"배, 멜론, 꽃, 부싯돌, 오크","파스타, 아스파라거스",,풍성한 바디감을 위해 프렌치 오크에서 발효를 거치며 매우 제한적인 젖산 발효를 통해 신선함과 산도를 보존한다. 10개월 동안 젓는 작업없이 앙금 접촉을 진행
"브이에잇 플러스, 산드로","V8+, Sandro Prosecco Extra Dry",https://www.wine21.com/13_search/wine_view.html?Idx=168544&lq=LIST,브이에잇 플러스  V8+,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera) 100%,Italian Prosecco,Prosecco DOC(DOP),11~12 %,6~8 ℃,해산물을 이용한 파스타나 샐러드 그리고 염소 젖 치즈 등과 잘 어울린다.,* 잔당 : 14 g/L* 총산 : 5.60 g/L* 비비노 평점 : 3.9점,모멘텀와인컴퍼니,2/5,5/5,3/5,1/5,"청사과, 복숭아, 서양배, 오렌지, 레몬, 흰꽃, 꽃, 미네랄, 허브","생선회, 연어, 해산물, 파스타, 오일파스타, 아시아요리, 튀김, 식전주, 샐러드, 복숭아, 치즈",병입 후 3개월 추가 숙성 후 출시,"가지 제거 후 가볍게 압착, 5~10도에서 차갑게 안정화, 고압 탱크에서 15~16도 발효, 탄산 발효 30~40일 간 진행"
"제이씨스 오운, 로베탈 샤르도네","JC's Own, Lobethal Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=168545&lq=LIST,제이씨스 오운  JC's Own,호주(Australia) / 사우스 오스트레일리아(South Australia) / 애들레이드 힐즈(Adelaide Hills),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",*Stuart McCloskey (The Vinorium) 97+ ~ 98점*Magdalena Sienkiewicz (The Vinorium) 98점*잔당: 1.21 g/L*총산: 8.05 g/L*pH: 3.12* 40년 이상 수령의 포도나무,모멘텀와인컴퍼니,1/5,4/5,3/5,1/5,"미네랄, 생강, 허브, 오크","바비큐, 수육, 탕수육, 치즈",,
"제이씨스 오운, 렌즈우드 피노 누아","JC's Own, Lenswood Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=168546&lq=LIST,제이씨스 오운  JC's Own,호주(Australia) / 사우스 오스트레일리아(South Australia) / 애들레이드 힐즈(Adelaide Hills),피노 누아 (Pinot Noir),,,12~13 %,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.","*잔당: 0.38 g/L*총산: 6.47 g/L*pH: 3.71*총 1,398병 생산 (2018 빈티지)* 40년 이상 수령의 포도나무",모멘텀와인컴퍼니,1/5,4/5,3/5,3/5,"꽃, 홍차, 오크","파스타, 버섯, 치즈",,
"램버트, 초콜라티에","Lambert Estate, Chocolatier",https://www.wine21.com/13_search/wine_view.html?Idx=168547&lq=LIST,램버트 에스테이트  Lambert Estate,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) / 진판델 (Zinfandel) / 샤르도네 (Chardonnay),,,17~18 %,14~16 ℃,"아주 진한 브라운 치즈, 훈제 치즈, 다양한 초콜렛이나 카라멜을 이용한 디저트, 아이스크림, 솔티드 너츠 등과 잘 어울린다.",*잔당: 121 g/L*총산: 6.36 g/L*pH: 3.36*비비노평점: 4.4,모멘텀와인컴퍼니,5/5,3/5,5/5,3/5,"블랙체리, 체리, 바닐라, 호두, 모카, 커피, 초콜릿",치즈,,
"도메인 프랑수와 하브노, 쁘띠 샤블리","Domaine Francois Raveneau, Petit Chablis",https://www.wine21.com/13_search/wine_view.html?Idx=168548&lq=LIST,도메인 프랑수와 하브노  Domaine Francois Raveneau,프랑스(France) / 부르고뉴(Bourgogne) / 샤블리(Chablis) / 쁘띠 샤블리(Petit Chablis),샤르도네 (Chardonnay),,,,10~12 ℃,"훈제 연어, 스시, 회, 굴, 조개, 해산물, 다양한 치즈, 아시아요리, 동남아요리, 피자, 파스타 등과 잘 어울린다.","*2017 빈티지: Burghound 86-88점, Robert Parker 89점, Vinous 89점",크리스탈와인,1/5,4/5,2/5,1/5,오크,"해산물, 치즈",,
"도메인 프랑수와 하브노, 샤블리 프르미에 크뤼 뷔또","Domaine Francois Raveneau, Chablis 1er Butteaux",https://www.wine21.com/13_search/wine_view.html?Idx=168549&lq=LIST,도메인 프랑수와 하브노  Domaine Francois Raveneau,프랑스(France) / 부르고뉴(Bourgogne) / 샤블리(Chablis) / 샤블리 프리미에 크뤼(Chablis Premier Cru),샤르도네 (Chardonnay),,,,10~12 ℃,"훈제 연어, 스시, 회, 굴, 조개, 해산물, 다양한 치즈, 아시아요리, 동남아요리, 피자, 파스타 등과 잘 어울린다.","*2017 빈티지: Burghound: 92점, Robert Parker: 94+점, Vinous 95점, James Suckling 95점",크리스탈와인,1/5,4/5,2/5,1/5,,"해산물, 치즈",,
"제라르 뮈느레, 뉘 쌩 조르주 프르미에 크뤼 라 리쉬몬","Gerard Mugneret, Nuits St Georges 1er La Richemone",https://www.wine21.com/13_search/wine_view.html?Idx=168550&lq=LIST,제라르 뮈느레  Gerard Mugneret,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 뉘-생-조르쥬(Nuits-St-Georges),피노 누아 (Pinot Noir),,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.","*2018 빈티지: Burghound 92-94점, Vinous 92-94점",크리스탈와인,1/5,4/5,3/5,3/5,,,,
"제라르 뮈느레, 뉘 쌩 조르주 프르미에 크뤼 오 크라","Gerard Mugneret, Nuits St Georges 1er Aux Cras",https://www.wine21.com/13_search/wine_view.html?Idx=168551&lq=LIST,제라르 뮈느레  Gerard Mugneret,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 뉘-생-조르쥬(Nuits-St-Georges),피노 누아 (Pinot Noir),,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.","*2018 빈티지: Burghound 91-93점, Vinous 91-93점",크리스탈와인,1/5,4/5,3/5,3/5,흙,,,
"제라르 뮈느레, 본 로마네 프르미에 크뤼 레 슈쇼","Gerard Mugneret, Vosne Romanee 1er Les Suchots",https://www.wine21.com/13_search/wine_view.html?Idx=168552&lq=LIST,제라르 뮈느레  Gerard Mugneret,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 본-로마네(Vosne-Romanee),피노 누아 (Pinot Noir),,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.","*2018 빈티지: Burghound 91-93점, Vinous 92-94점",크리스탈와인,1/5,4/5,3/5,3/5,,,,
"제라르 뮈느레, 본 로마네 프르미에 크뤼 오 브륄레","Gerard Mugneret, Vosne Romanee 1er Aux Brulees",https://www.wine21.com/13_search/wine_view.html?Idx=168553&lq=LIST,제라르 뮈느레  Gerard Mugneret,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 본-로마네(Vosne-Romanee),피노 누아 (Pinot Noir),,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.","*2018 빈티지: Burghound 91-94점, Vinous 93-95점",크리스탈와인,1/5,4/5,3/5,3/5,,,,
"제라르 뮈느레, 본 로마네 뀌베 꺄트랑","Gerard Mugneret, Vosne Romanee Cuvee Quatrain",https://www.wine21.com/13_search/wine_view.html?Idx=168554&lq=LIST,제라르 뮈느레  Gerard Mugneret,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 본-로마네(Vosne-Romanee),피노 누아 (Pinot Noir),,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.",*2018 빈티지: Burghound 88-91점,크리스탈와인,1/5,4/5,3/5,3/5,,,,
"제라르 뮈느레, 본 로마네 뀌베 프레콜롬비에르","Gerard Mugneret, Vosne Romanee Cuvee Procolombiere",https://www.wine21.com/13_search/wine_view.html?Idx=168555&lq=LIST,제라르 뮈느레  Gerard Mugneret,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 본-로마네(Vosne-Romanee),피노 누아 (Pinot Noir),,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.","*2018 빈티지: Burghound 89-92점, Vinous 90-92점",크리스탈와인,1/5,4/5,3/5,3/5,,,,
"제라르 뮈느레, 부르고뉴 피노 누아","Gerard Mugneret, Bourgogne Pinor Noir",https://www.wine21.com/13_search/wine_view.html?Idx=168556&lq=LIST,제라르 뮈느레  Gerard Mugneret,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir),,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.","*2018 빈티지: Burghound 86-88점, Vinous 86-88점",크리스탈와인,1/5,4/5,3/5,3/5,,"파스타, 버섯, 치즈",,
"제라르 뮈느레, 뿌르푸르","Gerard Mugneret, Pourpre",https://www.wine21.com/13_search/wine_view.html?Idx=168557&lq=LIST,제라르 뮈느레  Gerard Mugneret,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits),피노 누아 (Pinot Noir) / 가메이 (Gamay),,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",*2018 빈티지: Vinous 83-85점,크리스탈와인,1/5,3/5,3/5,3/5,오크,"파스타, 버섯, 치즈",,
"제라르 뮈느레, 샹볼 뮈지니 프르미에르 크뤼 '레 샤름'","Gerard Mugneret, Chambolle Musigny 1er Cru 'Les Charmes'",https://www.wine21.com/13_search/wine_view.html?Idx=168558&lq=LIST,제라르 뮈느레  Gerard Mugneret,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 샹볼 뮈지니(Chambolle Musigny),피노 누아 (Pinot Noir),,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.","*2018 빈티지: Burghound 91-94점, Vinous 90-92점",크리스탈와인,1/5,4/5,3/5,3/5,,,,
"제라르 뮈느레, 에세조","Gerard Mugneret, Echezeaux",https://www.wine21.com/13_search/wine_view.html?Idx=168559&lq=LIST,제라르 뮈느레  Gerard Mugneret,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 본-로마네(Vosne-Romanee),피노 누아 (Pinot Noir),,,,14~16 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 송이버섯, 아스파라거스, 콩테, 다양한 치즈와 잘 어울린다.","*2018 빈티지: Burghound 91-94점, Vinous 92-94점",크리스탈와인,1/5,4/5,3/5,3/5,,,,
"루센티, 피오코 디 로제","Lusenti, Fiocco di Rose",https://www.wine21.com/13_search/wine_view.html?Idx=168560&lq=LIST,루센티  Lusenti,이탈리아(Italy) / 에밀리아 로마냐(Emilia-Romagna),피노 네로 (Pinot Nero),,,,10~12 ℃,파스타 및 리조또 등과 잘 어울린다.,,,1/5,4/5,2/5,1/5,미네랄,,,
끌로 라 꾸딸,Clos La Coutale,https://www.wine21.com/13_search/wine_view.html?Idx=168561&lq=LIST,끌로 라 꾸탈  Clos La Coutale,프랑스(France) / 사우스웨스트 프랑스(Southwest France) / 까오르(Cahors),말벡 (Malbec) 85% / 메를로 (Merlot) 15%,,,13~14 %,16~18 ℃,"붉은 육류, 오리, 강한 맛의 치즈 등과 잘 어울린다.",,바쿠스,1/5,3/5,4/5,3/5,"체리, 감초, 민트",치즈,,
트로잔 홀스 샤르도네,Trojan Horse Chardonnay,https://www.wine21.com/13_search/wine_view.html?Idx=168562&lq=LIST,갤로 패밀리 빈야드  Gallo Family Vineyard - E&J Gallo Winery,미국(U.S.A) / 캘리포니아(California),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,"신선한 해산물, 치킨 샐러드 등과 잘 어울린다.",*미국 세븐 일레븐 판매 TOP 7*아시아 최초 세븐 일레븐 출시*대한민국 국가 대표 소믈리에 ‘송기범’의 추천 와인,롯데칠성음료,1/5,4/5,2/5,1/5,"배, 바닐라, 오크","치킨, 해산물, 샐러드",,
트로잔 홀스 피노 그리지오,Trojan Horse Pinot Grigio,https://www.wine21.com/13_search/wine_view.html?Idx=168563&lq=LIST,갤로 패밀리 빈야드  Gallo Family Vineyard - E&J Gallo Winery,미국(U.S.A) / 캘리포니아(California),피노 그리지오 (Pinot Grigio),,,11~12 %,10~12 ℃,"야채 샐러드, 각종 해산물과 생선 요리 등과 잘 어울린다.",*미국 세븐 일레븐 판매 TOP 7*아시아 최초 세븐 일레븐 출시*대한민국 국가 대표 소믈리에 ‘송기범’의 추천 와인,롯데칠성음료,1/5,3/5,1/5,1/5,"사과, 시트러스",해산물,,
트로잔 홀스 카버네 소비뇽,Trojan Horse Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=168564&lq=LIST,갤로 패밀리 빈야드  Gallo Family Vineyard - E&J Gallo Winery,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon),,,13~14 %,16~18 ℃,"소고기(스테이크), 돼지고기, 피자 등과 잘 어울린다.",*미국 세븐 일레븐 판매 TOP 7*아시아 최초 세븐 일레븐 출시*대한민국 국가 대표 소믈리에 ‘송기범’의 추천 와인,롯데칠성음료,1/5,3/5,3/5,3/5,,피자,,
"도멘 베뜰르모, 뫼르소 레 티에","Domaine Berthelemot, Meursault Les Tillets",https://www.wine21.com/13_search/wine_view.html?Idx=168565&lq=LIST,도멘 베뜰르모  Domaine Berthelemot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay),,Meursault AOC(AOP),13~14 %,10~12 ℃,담백하고 심플한 가금류 요리 또는 참치회 등과 잘 어울린다.,,,1/5,4/5,3/5,1/5,"아카시아, 미네랄, 아몬드, 오크, 치즈","가금류, 참치",,
"도멘 베뜰르모, 풀리니 몽라셰","Domaine Berthelemot, Puligny-Montrachet",https://www.wine21.com/13_search/wine_view.html?Idx=168566&lq=LIST,도멘 베뜰르모  Domaine Berthelemot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay),,Puligny-Montrachet AOC(AOP),13~14 %,10~12 ℃,전채 요리 또는 굴과 같은 해산물 등과 잘 어울린다.,*2018 빈티지: 2020 Wine Enthusiast 93점,,1/5,4/5,3/5,1/5,"꽃, 부싯돌, 후추, 허브",해산물,,
"도멘 베뜰르모, 사샤뉴 몽라셰 프리미에 크뤼 아베이 드 모조","Domaine Berthelemot, Chassagne-Montrachet 1er Cru Abbaye de Morgeot",https://www.wine21.com/13_search/wine_view.html?Idx=168567&lq=LIST,도멘 베뜰르모  Domaine Berthelemot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 샤샤뉴-몽라셰(Chassagne-Montrachet),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,"흐드러짐 없는 여운과 깔끔한 피니쉬로 와인 그 자체만을 즐겨도 좋고, 치즈, 견과류, 생선회 등과 페어링도 추천한다.","*2020 Wine Enthusiast 94점 (Top 10 Chardonnay)*2019 빈티지: Jancis Robinson 16.5+/20점, Jasper Morris Inside Burgundy 92점",,1/5,4/5,3/5,1/5,"라임, 리치, 아카시아, 미네랄, 후추, 허브, 아몬드","생선회, 견과류, 치즈",,
"도멘 베뜰르모, 쥬브레 샹베르땅 크랫뜨 빠이","Domaine Berthelemot, Gevrey-Chambertin Craite-Paille",https://www.wine21.com/13_search/wine_view.html?Idx=168568&lq=LIST,도멘 베뜰르모  Domaine Berthelemot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir),,Gevrey-Chambertin AOC(AOP),13~14 %,14~16 ℃,담백한 육류 요리나 과일 안주 등과 잘 어울린다.,,,1/5,4/5,3/5,3/5,"장미, 오크",과일,,
"스탠리 에스테이트, 싱글 빈야드 피노 그리","Stanley Estates, Single Vineyard Pinot Gris",https://www.wine21.com/13_search/wine_view.html?Idx=168569&lq=LIST,스탠리 에스테이트  Stanley Estates,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),피노 그리 (Pinot Gris),,,13~14 %,10~12 ℃,다소 기름진 생선 또는 스파이시한 아시아 음식 등과 잘 어울린다.,*Vivino 평점: 3.8 이상,,1/5,4/5,3/5,1/5,"시트러스, 파인애플, 후추, 꿀",,,
"스탠리 에스테이트, 싱글 빈야드 소비뇽 블랑","Stanley Estates, Single Vineyard Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=168570&lq=LIST,스탠리 에스테이트  Stanley Estates,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 말보로(Marlborough),소비뇽 블랑 (Sauvignon Blanc),,,13~14 %,10~12 ℃,"생굴, 초밥, 문어초회, 닭고기와 같은 요리들과 잘 어울린다.","*2019 빈티지: 2020 코리아 와인 첼린지 금상, 2020 Vinous 87점, 2020 시드니 인터네셔널 와인 컴피티션 금상*Vivino 평점: 3.9 이상",,1/5,4/5,2/5,1/5,"멜론, 잔디, 후추","닭고기, 초밥, 생굴",,
샤또 물랑 뒤 바레일,Chateau Moulin Du Barrail,https://www.wine21.com/13_search/wine_view.html?Idx=168572&lq=LIST,샤또 물랑 뒤 바레일  Chateau Moulin Du Barrail,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc) / 카베르네 소비뇽 (Cabernet Sauvignon),,,,16~18 ℃,그릴 비프나 양고기와의 페어링이 훌륭하며 돼지고기나 치즈 등과도 잘 어울린다.,*Silver Medal Bordeaux 2016,,1/5,4/5,3/5,3/5,"자두, 오크","비프, 양고기, 자두, 치즈",,
샤또 오 구센,Chateau Haut Gaussens,https://www.wine21.com/13_search/wine_view.html?Idx=168573&lq=LIST,샤또 오 구센  Chateau Haut Gaussens,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc),,,,16~18 ℃,"스테이크, 훈제오리, 치킨, 바비큐, 소시지, 브리 치즈와 잘 어울린다.",,더블유에스통상,1/5,4/5,3/5,3/5,"배, 감초, 페이스트리",스테이크,,
샤또 라꾸르 자케,Chateau Lacour Jacquet,https://www.wine21.com/13_search/wine_view.html?Idx=168574&lq=LIST,샤또 라꾸르 자케  Chateau Lacour Jacquet,프랑스(France) / 보르도(Bordeaux),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 베르도 (Petit Verdot) / 카베르네 프랑 (Cabernet Franc),,,,16~18 ℃,"스테이크, 훈제오리, 치킨, 바비큐, 소시지, 브리 치즈와 잘 어울린다.",*Gold Medal Bordeaux 2015,더블유에스통상,1/5,4/5,3/5,3/5,"딸기, 미네랄, 바닐라, 토스트",스테이크,,
"스톤헤지, 메리티지 나파 밸리 레드","Stonehedge, Meritage Napa Valley Red",https://www.wine21.com/13_search/wine_view.html?Idx=168575&lq=LIST,스톤헤지 와이너리  Stonehedge Winery,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 쁘띠 베르도 (Petit Verdot) / 말벡 (Malbec),,Napa Valley AVA,14~15 %,16~18 ℃,붉은 육류 등과 잘 어울린다.,,,1/5,3/5,4/5,4/5,"딸기, 배, 바닐라, 오크",,,
"스톤헤지, 메리티지 나파 밸리 화이트","Stonehedge, Meritage Napa Valley White",https://www.wine21.com/13_search/wine_view.html?Idx=168576&lq=LIST,스톤헤지 와이너리  Stonehedge Winery,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),소비뇽 블랑 (Sauvignon Blanc) / 세미용 (Semillon),,,14~15 %,10~12 ℃,"어류, 부드러운 치즈 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,"시트러스, 꽃, 미네랄, 오크",치즈,,
"아리온, 마마망고","Arione, Mama mango",https://www.wine21.com/13_search/wine_view.html?Idx=168577&lq=LIST,아리오네  Arione,이탈리아(Italy),블렌드 (Blend ),,,6 %,6~8 ℃,디저트류와 잘 어울린다.,,,3/5,3/5,1/5,1/5,"감귤, 망고",디저트,,
라 피우 벨 로제,La Piu Belle Rose,https://www.wine21.com/13_search/wine_view.html?Idx=168578&lq=LIST,비냐 빅  Vina VIK,칠레(Chile) / 미야후밸리(Millahue Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 시라/쉬라즈 (Syrah/Shiraz),,,,10~12 ℃,"구운 연어, 빠에야 등과 잘 어울린다.",*Vino Revelacion 93점*La Cav Magazine 92점,,1/5,3/5,1/5,1/5,"살구, 시트러스",연어,,
