와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,등급,숙성,양조,스타일
"도멘 프리 바론, 크레망 드 루아르","Domaine Pre Baron, Cremant de Loire",https://www.wine21.com/13_search/wine_view.html?Idx=166573&lq=LIST,도멘 프리 바론  Domaine Pre Baron,프랑스(France) / 루아르(Loire),샤르도네 (Chardonnay) 60% / 아르부아 (Arbois) 40%,12~13 %,6~8 ℃,"식전주, 에피타이저, 조개류, 가금류 등과 잘 어울린다.",,,1/5,3/5,1/5,1/5,미네랄,"가금류, 식전주",,,,
"도멘 프리 바론, 뚜렌 까르페 디엠","Domaine Pre Baron, Touraine Carpe Diem",https://www.wine21.com/13_search/wine_view.html?Idx=166574&lq=LIST,도멘 프리 바론  Domaine Pre Baron,프랑스(France) / 루아르(Loire) / 뚜렌느(Touraine),카베르네 프랑 (Cabernet Franc) 45% / 꼬 (Cot) / 말벡 (Malbec) 35% / 피노 누아 (Pinot Noir) 20%,13~14 %,15~17 ℃,"사냥고기, 가금류, 오리 스테이크, 송아지 요리, 숙성 치즈 등과 잘 어울린다.",,,1/5,3/5,4/5,3/5,"자두, 오렌지","가금류, 자두, 치즈",,,,
"도멘 프리 바론, 뚜렌 르네상스","Domaine Pre Baron, Touraine Renaissance",https://www.wine21.com/13_search/wine_view.html?Idx=166575&lq=LIST,도멘 프리 바론  Domaine Pre Baron,프랑스(France) / 루아르(Loire) / 뚜렌느(Touraine),카베르네 프랑 (Cabernet Franc) 40% / 말벡 (Malbec) 30% / 피노 누아 (Pinot Noir) 30%,12~13 %,16~18 ℃,"가금류, 구운 고기, 양고기 다리, 오리 마가렛, 송아지 고기 등과 잘 어울린다.",,,1/5,3/5,4/5,4/5,"체리, 딸기, 라스베리, 오렌지, 붉은꽃","송아지, 양고기, 가금류",,,,
"도멘 프리 바론, 뚜렌 소비뇽 블랑","Domaine Pre Baron, Touraine Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=166576&lq=LIST,도멘 프리 바론  Domaine Pre Baron,프랑스(France) / 루아르(Loire) / 뚜렌느(Touraine),소비뇽 블랑 (Sauvignon Blanc) 100%,13~14 %,8~10 ℃,"식전주, 샐러드, 생선 요리 등과 잘 어울린다.",*2017 빈티지: 2018 International Wine Challenge Commended*2016 빈티지: 2016 Decanter World Wine Awards Commended,,1/5,4/5,1/5,1/5,시트러스,"식전주, 샐러드",,,"수확 후, 24시간 동안 정제.스테인리스 탱크에서 3주 간 16~17도로 발효. 신선도와 발란스를 위해 젖산발효 안함. Non-Malolactic Fermentation",
"도멘 프리 바론, 뚜렌 오이슬리 엘레겐트","Domaine Pre Baron, Touraine Oisly Elegante",https://www.wine21.com/13_search/wine_view.html?Idx=166577&lq=LIST,도멘 프리 바론  Domaine Pre Baron,프랑스(France) / 루아르(Loire) / 뚜렌느(Touraine),소비뇽 블랑 (Sauvignon Blanc) 100%,13~14 %,6~8 ℃,"식전주, 샐러드, 생선요리, 염소 치즈 등과 잘 어울린다.",,,1/5,4/5,1/5,1/5,"복숭아, 시트러스, 꽃","식전주, 샐러드, 복숭아, 치즈",,,"부분적 손 수확 후, 24시간 동안 정제.스테인리스 탱크에서 3주 간 17도로 발효. 신선도와 발란스를 위해 젖산발효 안함. Non-Malolactic Fermentation",
"도멘 프리 바론, 뚜렌 카베르네","Domaine Pre Baron, Touraine Cabernet",https://www.wine21.com/13_search/wine_view.html?Idx=166578&lq=LIST,도멘 프리 바론  Domaine Pre Baron,프랑스(France) / 루아르(Loire) / 뚜렌느(Touraine),카베르네 프랑 (Cabernet Franc) 70% / 카베르네 소비뇽 (Cabernet Sauvignon) 30%,13~14 %,15~17 ℃,"육류,가금류, 숙성한 치즈 등과 잘 어울린다.",,,1/5,4/5,4/5,4/5,블랙커런트,"가금류, 치즈",,,,
"도멘 프리 바론, 뚜렌 피노 누아","Domaine Pre Baron, Touraine Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=166579&lq=LIST,도멘 프리 바론  Domaine Pre Baron,프랑스(France) / 루아르(Loire) / 뚜렌느(Touraine),피노 누아 (Pinot Noir) 100%,12~13 %,14~16 ℃,"생선 테린, 야채 튀김 (애호박, 채소 등), 야채타트, 흰살 생선 그리고 가금류, 넓적다리 살, 구운 고기, 숙성치즈 등과 잘 어울리는 와인이다.",* 25년 수령의 포도나무,,1/5,3/5,3/5,3/5,"블랙베리, 체리, 딸기, 라스베리, 붉은꽃, 허브","로스트비프, 소고기, 바비큐, 건육, 훈제오리, 찜닭, 가금류, 보쌈, 불고기, 한식, 순대, 파스타, 서양요리, 튀김, 치즈, 파르미지아노, 그라노파다노, 콩테",,,,
샤또 드 로쉐,Chateau du Rocher,https://www.wine21.com/13_search/wine_view.html?Idx=166580&lq=LIST,바롱 드 몽포트  Baron de Montfort,프랑스(France) / 보르도(Bordeaux) / 생-떼밀리옹(Saint-Emilion),메를로 (Merlot) 70% / 카베르네 소비뇽 (Cabernet Sauvignon) 15% / 카베르네 프랑 (Cabernet Franc) 15%,13~14 %,15~17 ℃,"소고기, 양고기, 오리고기 등과 잘 어울린다.",,,1/5,4/5,5/5,4/5,"건포도, 타르","소고기, 양고기, 오리고기",,,,
샤또 드 몽바동,Chateau de Monbadon,https://www.wine21.com/13_search/wine_view.html?Idx=166581&lq=LIST,바롱 드 몽포트  Baron de Montfort,프랑스(France) / 보르도(Bordeaux) / 까스띠용 꼬뜨 드 보르도(Castillon Côtes de Bordeaux),메를로 (Merlot) 70% / 카베르네 소비뇽 (Cabernet Sauvignon) 30%,13~14 %,15~17 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 한국음식 등과 잘 어울린다.",,,1/5,4/5,5/5,4/5,"체리, 정향, 허브, 오크","바비큐, 양갈비, 파스타, 치즈",,,,
샤또 라그랑쥬 몽바동,Chateau Lagrange Monbadon,https://www.wine21.com/13_search/wine_view.html?Idx=166582&lq=LIST,바롱 드 몽포트  Baron de Montfort,프랑스(France) / 보르도(Bordeaux) / 까스띠용 꼬뜨 드 보르도(Castillon Côtes de Bordeaux),메를로 (Merlot) 70% / 카베르네 소비뇽 (Cabernet Sauvignon) 15% / 카베르네 프랑 (Cabernet Franc) 15%,14~15 %,15~17 ℃,"닭고기, 송아지 고기, 치즈 등과 잘 어울린다.",*2014 빈티지: 2016 Decanter World Wine Awards Bronze,,1/5,4/5,5/5,4/5,"배, 바닐라","송아지, 닭고기, 치즈",,,,
"샤를 오르방, 뀌베 스페셜 08","Charles Orban, Cuvee Speciale 08",https://www.wine21.com/13_search/wine_view.html?Idx=166583&lq=LIST,샤를 오르방  Charles Orban,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 50% / 피노 누아 (Pinot Noir) 40% / 피노 뮈니에 (Pinot Meunier) 10%,11~12 %,6~8 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",,,1/5,4/5,5/5,1/5,브리오슈,"스시, 샐러드, 과일, 치즈, 디저트",,,,
"샤를 오르방, 블랑 드 누아","Charles Orban, Blanc de Noirs",https://www.wine21.com/13_search/wine_view.html?Idx=166584&lq=LIST,샤를 오르방  Charles Orban,프랑스(France) / 샹빠뉴(Champagne),피노 뮈니에 (Pinot Meunier) 60% / 피노 누아 (Pinot Noir) 40%,12~13 %,6~8 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",*Jancis Robinson 16/20점*2017 Internatiional Wine Challenge Silver*2015 International Wine & Spirits Challenge Gold,,1/5,4/5,3/5,1/5,"자두, 시나몬, 브리오슈","스시, 샐러드, 과일, 치즈, 디저트",,최소 2년 숙성,100% cuvée – First press only,French Champagne
"샤를 오르방, 블랑 드 블랑","Charles Orban, Blanc de Blancs",https://www.wine21.com/13_search/wine_view.html?Idx=166585&lq=LIST,샤를 오르방  Charles Orban,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 100%,12~13 %,6~8 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",*2017 Sydney International Wine Competition Trophy Winner*2017 Sydney International Wine Competition Blue Gold*2017 Sydney International Wine Competition Top 100 Wines*2013 Concours General Agricole Silver*Huon Hooke 93점,,1/5,4/5,3/5,1/5,,"스시, 샐러드, 과일, 치즈, 디저트",,최소 2년 숙성,100% cuvée – First press only,French Champagne
"그리녹 크릭, 로에필드 로드 쉬라즈","Greenock Creek, Roennfeldt Road Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=166586&lq=LIST,그리녹 크릭  Greenock Creek,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,14~15 %,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",*2008 빈티지: Philip White 96+점*2009 빈티지: Philip White 94+점*2010 빈티지: Philip White 96+점,,1/5,4/5,5/5,4/5,"블랙커런트, 블랙베리, 블루베리, 자두, 잼, 후추, 정향, 타바코, 오크, 가죽","소고기, 스테이크, 붉은육류, 양갈비, 불고기, 양념갈비, 갈비찜, 라자냐, 크림파스타, 서양요리, 랑그르, 치즈, 블루치즈, 그뤼에르",,,,Australian Shiraz
"그리녹 크릭, 세븐 에이커 쉬라즈","Greenock Creek, Seven Acre Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=166587&lq=LIST,그리녹 크릭  Greenock Creek,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,13~14 %,15~17 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",*2011 빈티지: Philip White 93+++점*2005 빈티지: Robert Parker 98점*2003 빈티지: Robert Parker 98점*2001 빈티지: Robert Parker 98점,,1/5,4/5,5/5,4/5,"블랙베리, 말린자두, 홍차, 오크",양갈비,,,,
"그리녹 크릭, 케시스 블록 쉬라즈","Greenock Creek, Casey Block Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=166588&lq=LIST,그리녹 크릭  Greenock Creek,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,13~14 %,15~17 ℃,"스테이크, 갈비, 불고기, 스튜, 양갈비, 버섯, 하몽, 살라미, 한국음식 과 잘 어울린다.",,,1/5,4/5,5/5,5/5,자두,"양갈비, 버섯, 자두",,,,
더 레드맨,The Redman,https://www.wine21.com/13_search/wine_view.html?Idx=166589&lq=LIST,레드맨  Redman,호주(Australia) / 사우스 오스트레일리아(South Australia) / 쿠나와라(Coonawarra),카베르네 소비뇽 (Cabernet Sauvignon) 62% / 메를로 (Merlot) 25% / 시라/쉬라즈 (Syrah/Shiraz) 13%,14~15 %,15~17 ℃,"스테이크, 그릴요리, 갈비, 양갈비, 훈제오리, 블루치즈, 라자냐, 스튜 와 잘 어울린다.",* James Halisay - 96 점,,1/5,4/5,5/5,5/5,오크,"양갈비, 훈제오리, 라자냐",,2~3년 사용한 프렌치 오크통 (225L) 에서 숙성.,"1차 발효 진행 후, 50%는 껍질 Must 제거 후, 프렌치 오크통으로 옮겨 추가 발효 진행, 젖산 발효 후, 효모 찌꺼기 제거 후 숙성.",
"레드맨, 쉬라즈","Redman, Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=166590&lq=LIST,레드맨  Redman,호주(Australia) / 사우스 오스트레일리아(South Australia) / 쿠나와라(Coonawarra),시라/쉬라즈 (Syrah/Shiraz) 100%,14~15 %,15~17 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",*2015 Limestone Coast Wine Show Gold Medal*2013 빈티지 - Nick Stock 92점,,1/5,4/5,4/5,4/5,"꽃, 오크",양갈비,,14 개월 동안 미국과 프랑스 오크 숙성.,오픈 콘크리트 및 스테인리스 발효.,
"레드맨, 카베르네 소비뇽","Redman, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=166591&lq=LIST,레드맨  Redman,호주(Australia) / 사우스 오스트레일리아(South Australia) / 쿠나와라(Coonawarra),카베르네 소비뇽 (Cabernet Sauvignon) 100%,14~15 %,15~17 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",*2019 Korea Wine Challenge Silver*2017 Rutherglen Wine Show Trophy*2017 Brisbane Wine Show Gold*2017 James Halliday Cabernet Challenge Gold,,1/5,4/5,5/5,4/5,오크,"소고기, 스테이크, 바비큐, 양갈비, 불고기, 한식, 파스타, 햄버거, 치즈",,18 개월간 프렌치 오크 숙성.,개방 발효조에서 발효.,
"킬리빙빙, 쉬버","Killibinbin, Shiver",https://www.wine21.com/13_search/wine_view.html?Idx=166592&lq=LIST,킬리빙빙  Killibinbin,호주(Australia) / 사우스 오스트레일리아(South Australia) / 랭혼 크릭(Langhorne Creek),샤르도네 (Chardonnay) 100%,13~14 %,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,,1/5,3/5,3/5,1/5,"파인애플, 오크","바비큐, 수육, 탕수육, 치즈",,,,
"킬리빙빙, 시크릿","Killibinbin, Secrets",https://www.wine21.com/13_search/wine_view.html?Idx=166593&lq=LIST,킬리빙빙  Killibinbin,호주(Australia) / 사우스 오스트레일리아(South Australia) / 랭혼 크릭(Langhorne Creek),카베르네 소비뇽 (Cabernet Sauvignon) 62% / 시라/쉬라즈 (Syrah/Shiraz) 32% / 말벡 (Malbec) 5%,14~15 %,15~17 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.","*2015 빈티지: 2018 Korea WIne Challenge Bronze*2013 빈티지: 2016 Korea Wine Challenge Silver, 2017 Korea Wine Challenge Silver",,2/5,4/5,4/5,4/5,,"양갈비, 치즈",,,,
"폼비스 런, 카베르네 소비뇽","Formby's Run, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=166594&lq=LIST,브라더스 인 암즈  Brothers in Arms,호주(Australia) / 사우스 오스트레일리아(South Australia) / 랭혼 크릭(Langhorne Creek),카베르네 소비뇽 (Cabernet Sauvignon) 100%,14~15 %,15~17 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",*2013 빈티지: 2017 Korea Wine Challenge Silver*James Halliday 5 Star Winery,,1/5,4/5,4/5,4/5,"블랙베리, 자두, 바닐라, 타르, 가죽","양갈비, 치즈",,"발효 후, 12개월 동안 스테인리스 스틸 탱크와 참나무 오크통에서 숙성",,
"폼비스 런, 쉬라즈","Formby's Run, Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=166595&lq=LIST,브라더스 인 암즈  Brothers in Arms,호주(Australia) / 사우스 오스트레일리아(South Australia) / 랭혼 크릭(Langhorne Creek),시라/쉬라즈 (Syrah/Shiraz) 100%,14~15 %,15~17 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",* 2020 Korea Wine Challenge Bronze* 2013 빈티지: 2017 Korea Sommelier Awards Silver Best Value Wine* 2016 Korea Wine Challenge Gold,,2/5,4/5,4/5,4/5,"바닐라, 오크",양갈비,,"발효 후, 3~5년 사용한 오크통에서 숙성.",,
"얼바인, 부르겔 메를로 까베르네","Irvine, Brueghel Merlot Cabernet",https://www.wine21.com/13_search/wine_view.html?Idx=166596&lq=LIST,얼바인  Irvine,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),메를로 (Merlot) 95% / 카베르네 소비뇽 (Cabernet Sauvignon) 5%,14~15 %,15~17 ℃,"붉은육류, 스테이크, 로스트비프, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 한국음식 등과 잘 어울린다.",*2017 Korea Sommelier Awards Silver,,1/5,4/5,4/5,4/5,"자두, 흙","바비큐, 양갈비, 파스타, 치즈",,,,
"칼링톤 그레이스, 스파클링 쉬라즈","Callington Grace, Sparkling Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=166597&lq=LIST,칼링톤 그레이스  Callington Grace,호주(Australia) / 사우스 오스트레일리아(South Australia),시라/쉬라즈 (Syrah/Shiraz) 100%,13~14 %,8~10 ℃,다양한 육류 등과 잘 어울린다.,,,2/5,3/5,3/5,2/5,초콜릿,,,,,
"티스웰, 히스필드 베르멘티노","Tidswell, Heathfield Vermentino",https://www.wine21.com/13_search/wine_view.html?Idx=166598&lq=LIST,티스웰  Tidswell,호주(Australia) / 사우스 오스트레일리아(South Australia) / 라임스톤 코스트(Limestone Coast),베르멘티노 (Vermentino) 100%,11~12 %,8~10 ℃,"해산물 요리, 샐러드 등과 잘 어울린다.",*2019 Korea Sommelier Wine Awards Bronze*2016 Limestone Coast Wine Show Trophy*2016 Royal Queensland Wine Show Bronze*2016 Sydney Royal Wine Show Bornze,,1/5,3/5,3/5,1/5,감귤,"해산물, 샐러드",,,,
"티스웰, 히스필드 쉬라즈","Tidswell, Heathfield Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=166599&lq=LIST,티스웰  Tidswell,호주(Australia) / 사우스 오스트레일리아(South Australia) / 라임스톤 코스트(Limestone Coast),시라/쉬라즈 (Syrah/Shiraz) 100%,14~15 %,15~17 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",*2012 빈티지: Jams Holliday 92점*2019 Korea Sommelier Wine Awards Silver*2015 Melbourn International Wine Competition Gold*2015 International Wine Challenge Silver*2014 Adelaide Wine Show Bronze,,1/5,4/5,4/5,4/5,,양갈비,,,,
"티스웰, 히스필드 카베르네 소비뇽","Tidswell, Heathfield, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=166600&lq=LIST,티스웰  Tidswell,호주(Australia) / 사우스 오스트레일리아(South Australia) / 라임스톤 코스트(Limestone Coast),카베르네 소비뇽 (Cabernet Sauvignon) 100%,14~15 %,15~17 ℃,"스테이크, 갈비, 불고기, 양갈비, 버섯, 하몽, 살라미, 한국음식 과 잘 어울린다.","*2013 빈티지: James Holiday 91점, 2016 Limestone Coast Wine Show Silver, 2016 Japan Wine Show Bronze*2012 빈티지: James Holiday 93점, 2019 Korea Sommelier Awards Finest, 2015 International Wine Challenge Silver, 2015 Boutique Wine Awards Silver*Melbourn International Wine Show Silver",,1/5,4/5,4/5,5/5,"블랙커런트, 허브","스테이크, 양갈비, 버섯",,,,
"팍스톤, 게서 레드","Paxton, The Guesser Red",https://www.wine21.com/13_search/wine_view.html?Idx=166601&lq=LIST,팍스톤  Paxton,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),카베르네 소비뇽 (Cabernet Sauvignon) 48% / 시라/쉬라즈 (Syrah/Shiraz) 47% / 그르나슈 (Grenache) 2.5% / 템프라니요 (Tempranillo) 1% / 네비올로 (Nebbiolo) 1.5%,13~14 %,15~17 ℃,"스테이크, 바베큐 등과 잘 어울린다.",*2013 빈티지: James Holiday 90점*2019 Korea Sommelier Wine Awards Bronze,,1/5,4/5,3/5,4/5,"시나몬, 민트, 오크",스테이크,,,,
"팍스톤, 게서 화이트","Paxton, THE Guesser White",https://www.wine21.com/13_search/wine_view.html?Idx=166602&lq=LIST,팍스톤  Paxton,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),소비뇽 블랑 (Sauvignon Blanc) 47% / 샤르도네 (Chardonnay) 36% / 피노 그리 (Pinot Gris) 17%,12~13 %,8~10 ℃,"샐러드, 갑각류, 연어, 참치 등과 잘 어울린다.",*2015 빈티지: James Holiday 87점*2014 빈티지: James Holiday 89점*2019 Korea Sommelier Wine Awards Silver,,1/5,4/5,2/5,1/5,"배, 멜론",샐러드,,,,
"팍스톤, 나우 샤르도네","Paxton, NOW Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=166603&lq=LIST,팍스톤  Paxton,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),샤르도네 (Chardonnay) 100%,11~12 %,8~10 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",*2018 빈티지: The Wine Front 91점,,1/5,3/5,2/5,1/5,미네랄,"바비큐, 수육, 탕수육, 치즈",,,"밤 수확. 압착 후 13~15초 가열 후 발효, 1차 발효 후 2차 발효 촉진을 위해 20초 가열. 병입 전 효모와 잔여물을 3-4 주 동안  섞어 줌.",
"팍스톤, 나우 쉬라즈","Paxton, NOW Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=166604&lq=LIST,팍스톤  Paxton,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz) 100%,13~14 %,15~17 ℃,스테이크 등과 잘 어울린다.,* James Holiday 90점* 2016 빈티지: James Holiday 89점* 2019 Korea Sommelier Wine Awards Silver* Huon Hooke by The Real Review Magazine 88점,,1/5,3/5,3/5,4/5,"자두, 민트","스테이크, 자두",,,14일간 1차 발효 후 2차 탱크 발효.,
"팍스톤, 에이에이에이 쉬라즈 그르나슈","Paxton, AAA Shiraz Grenache",https://www.wine21.com/13_search/wine_view.html?Idx=166605&lq=LIST,팍스톤  Paxton,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz) 60% / 그르나슈 (Grenache) 40%,13~14 %,15~17 ℃,돼지고기 등과 잘 어울린다.,*2015 빈티지: James Halliday 92점*2014 빈티지: Wine Spectator 89점*2019 Korea Sommelier Wine Awards Bronze*Hao Shen by Le Paradis du Vin 90점,,1/5,4/5,3/5,3/5,"체리, 꽃, 딜, 오크",,,,,
"팍스톤, 엠브이 쉬라즈","Paxton, MV Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=166606&lq=LIST,팍스톤  Paxton,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz) 100%,13~14 %,15~17 ℃,"스테이크, 닭고기 등과 잘 어울린다.",*2015 빈티지: James Halliday 92점*2014 빈티지: Wine Spectator 89점*2019 Korea Sommelier Wine Awards Bronze,,1/5,4/5,4/5,4/5,"체리, 자두, 바닐라","스테이크, 닭고기",,,,
"팍스톤, 존스 블락 쉬라즈","Paxton, Jones Block Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=166607&lq=LIST,팍스톤  Paxton,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz) 100%,14~15 %,15~17 ℃,스테이크 등과 잘 어울린다.,"*2015 빈티지: The Wine Front 92점, James Haliday 96점*Hao Shen by Le Paradis du Vin 90점",,1/5,4/5,5/5,5/5,오크,스테이크,,,,
"팍스톤, 콴동 팜 쉬라즈","Paxton, Quandong Farm Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=166608&lq=LIST,팍스톤  Paxton,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz) 100%,13~14 %,15~17 ℃,"스테이크, 라자냐 등과 잘 어울린다.",* James Holiday 96 점* Winr Orbit 95 점* 2017 빈티지: James Halliday 95 점* 2019 Korea Sommelier Wine Awards Bronze* Mike Bennie by WBM Magazine 92 점* 2018 Royal Adelaide Wine Show Silver,,1/5,4/5,4/5,5/5,"자두, 감초, 오크","스테이크, 라자냐, 자두",,프렌치 오크통 에서 12개월 숙성 후 병입.,"손 수확. carbonic maceration (탄산가스침용), 2주간 펌핑 발효.",
"팍스톤, 크래커 배럴 쉬라즈 카베르네","Paxton, Cracker Barrels Shiraz/Cabernet",https://www.wine21.com/13_search/wine_view.html?Idx=166609&lq=LIST,팍스톤  Paxton,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz) 52% / 카베르네 소비뇽 (Cabernet Sauvignon) 48%,13~14 %,15~17 ℃,바비큐 등과 잘 어울린다.,*2016 빈티지: James Halliday 96점*2014 빈티지: James Halliday 96점,,1/5,4/5,4/5,5/5,"배, 민트",바비큐,,,,
"팍스톤, 토마스 블락 그르나슈","Paxton, Thomas Block Grenache",https://www.wine21.com/13_search/wine_view.html?Idx=166610&lq=LIST,팍스톤  Paxton,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),그르나슈 (Grenache) 100%,13~14 %,15~17 ℃,돼지고기 구이 요리 등과 잘 어울린다.,*2017 빈티지: James Halliday 95점*2019 Korea Sommelier Wine Awards Silver*Australian Wine Showcase 95점*Mike Bennie by Australia's Wine Business Magazine 93점,,1/5,4/5,3/5,3/5,오크,,,,,
"펜리 이스테이트, 그리폰 레드 블렌드","Penley Estate, Gryphon Red Blend",https://www.wine21.com/13_search/wine_view.html?Idx=166611&lq=LIST,펜리 이스테이트  Penley Estate,호주(Australia) / 사우스 오스트레일리아(South Australia) / 쿠나와라(Coonawarra),카베르네 소비뇽 (Cabernet Sauvignon) 40% / 카베르네 프랑 (Cabernet Franc) 37% / 메를로 (Merlot) 23%,14~15 %,15~17 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,비케이 트레이딩,1/5,4/5,4/5,4/5,"꽃, 동물","양갈비, 치즈",,,,
"펜리 이스테이트, 블랙 불","Penley Estate, Black Bull",https://www.wine21.com/13_search/wine_view.html?Idx=166612&lq=LIST,펜리 이스테이트  Penley Estate,호주(Australia) / 사우스 오스트레일리아(South Australia) / 쿠나와라(Coonawarra),카베르네 소비뇽 (Cabernet Sauvignon) 100%,14~15 %,15~17 ℃,"스테이크, 갈비, 불고기, 양갈비, 버섯, 하몽, 살라미, 한국음식 과 잘 어울린다.",,,1/5,4/5,4/5,5/5,"블랙베리, 자두, 꽃, 감초, 오크","스테이크, 양갈비, 버섯, 자두",,,,
"펜리 이스테이트, 엘렉트라","Penley Estate, Electra",https://www.wine21.com/13_search/wine_view.html?Idx=166613&lq=LIST,펜리 이스테이트  Penley Estate,호주(Australia) / 사우스 오스트레일리아(South Australia) / 쿠나와라(Coonawarra),피노 누아 (Pinot Noir) 100%,12~13 %,8~10 ℃,"연어, 참치, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 파스타 등과 잘 어울린다.",,,2/5,4/5,3/5,1/5,"딸기, 오크","파스타, 치즈",,,,
