와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,등급,알코올,기타정보,숙성,양조
"까르피네토, 로쏘 디 몬탈치노","Carpinetto, Rosso di Montalcino",https://www.wine21.com/13_search/wine_view.html?Idx=162380&lq=LIST,까르피네토  Carpinetto,이탈리아(Italy) / 토스카나(Toscana) / 몬탈치노(Montalcino),산지오베제 (Sangiovese) 100%,Central Italy Red,16~18 ℃,"로스트비프, 포크, 바비큐, 그릴요리, 오리고기, 프로슈토, 라자냐, 파스타, 피자, 수육 과 잘 어울린다.",국순당,1/5,3/5,3/5,3/5,"체리, 토스트, 오크","프로슈토, 오리고기, 수육",Rosso di Montalcino DOC(DOP),13.5 %,"*International Wine & Spirit Competition(IWSC), 1994, 2003 “Winemaker of the Year' 수상*Wine Spectator's Grand Tour, 전세계 200대 중요 와인 생산자 중 하나로 선정*Opera Wine (organised by Wine Spectator), 이탈리아 100대 가장 중요한 와인 생산자 중 하나로 선정",,
머추어 리저브 까르미네르,Mature Reserve Carmenere,https://www.wine21.com/13_search/wine_view.html?Idx=162381&lq=LIST,까사 베르디  Casa Verdi,칠레(Chile) / 쿠리코 밸리(Curico Valley),카르메네르 (Carmenere) 100%,Chilean Carménère,16~18 ℃,"육류, 치즈",금양인터내셔날,1/5,3/5,3/5,4/5,오크,치즈,,12~13 %,,,
머추어 스페셜 리저브 까베르네 소비뇽,Mature Special Reserve Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=162382&lq=LIST,까사 베르디  Casa Verdi,칠레(Chile) / 쿠리코 밸리(Curico Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Chilean Cabernet Sauvignon,16~18 ℃,"스테이크, 양고기, 육류 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,4/5,4/5,"블랙커런트, 후추, 오크","스테이크, 양고기",,14 %,,,
"까르피네토, 로쏘 디 몬테풀치아노","Carpinetto, Rosso di Montepulciano",https://www.wine21.com/13_search/wine_view.html?Idx=162384&lq=LIST,까르피네토  Carpinetto,이탈리아(Italy) / 토스카나(Toscana) / 몬테풀치아노(Montepulciano),산지오베제 (Sangiovese) 70% / 카나이올로 (Canaiolo) / 기타 품종 (Other Grapes) 30%,Central Italy Red,16~18 ℃,"로스트비프, 포크, 바비큐, 그릴요리, 오리고기, 프로슈토, 라자냐, 파스타, 피자, 수육 과 잘 어울린다.",국순당,1/5,3/5,3/5,3/5,오크,"프로슈토, 오리고기, 수육",Rosso di Montepulciano DOC(DOP),13.5 %,"*Wine Orbit 94점*International Wine & Spirit Competition(IWSC), 1994, 2003 “Winemaker of the Year' 수상*Wine Spectator's Grand Tour, 전세계 200대 중요 와인 생산자 중 하나로 선정*Opera Wine (organised by Wine Spectator), 이탈리아 100대 가장 중요한 와인 생산자 중 하나로 선정",,
"프레시넷, 미아 블랑코","Freixenet, Mia Blanco",https://www.wine21.com/13_search/wine_view.html?Idx=162385&lq=LIST,프레시넷  Freixenet,스페인(Spain) / 페네데스(Penedes),마카베오 (Macabeo) 50% / 빠레야다 (Parellada) 25% / 뮈스까델 (Muscadelle) 15% / 자렐로 (Xarel.lo) 10%,,8~10 ℃,"샐러드, 가벼운 치즈",금양인터내셔날,1/5,5/5,3/5,1/5,"오렌지, 꽃","샐러드, 치즈",,11~12 %,,,
"프레시넷, 미아 로제","Frexienet, Mia Rose",https://www.wine21.com/13_search/wine_view.html?Idx=162386&lq=LIST,프레시넷  Freixenet,스페인(Spain) / 페네데스(Penedes),보발 (Bobal) 100%,,10~12 ℃,"샐러드, 샌드위치, 파스타",금양인터내셔날,1/5,5/5,3/5,1/5,"딸기, 복숭아, 꽃","파스타, 샐러드",,11~12 %,,,
"프레시넷, 미아 틴토","Freixenet, Mia Tinto",https://www.wine21.com/13_search/wine_view.html?Idx=162387&lq=LIST,프레시넷  Freixenet,스페인(Spain) / 페네데스(Penedes),템프라니요 (Tempranillo) 100%,Spanish Red,16~18 ℃,"토마토 파스타, 타파스, 치즈",금양인터내셔날,1/5,3/5,3/5,3/5,오렌지,"파스타, 치즈",,13~14 %,,,
"나파 셀라, 피노누아","Napa Cellars, Pinot noir",https://www.wine21.com/13_search/wine_view.html?Idx=162388&lq=LIST,나파 셀라  Napa Celllars,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),피노 누아 (Pinot Noir) 100%,,16~18 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",금양인터내셔날,1/5,5/5,4/5,2/5,"체리, 타바코","파스타, 버섯, 치즈",Napa Valley AVA,14~15 %,*2014 빈티지: Wine Spectator 89점,,
뉴하이츠 비달 아이스와인,New Heights Vidal Icewine,https://www.wine21.com/13_search/wine_view.html?Idx=162389&lq=LIST,CWC  CWC,캐나다(Canada) / 베어 리버(Bear River) / 온타리오(Ontario),비달 (Vidal) 100%,,6~8 ℃,"케이크, 디저트",,5/5,3/5,3/5,1/5,"복숭아, 오렌지, 파인애플",,,11~12 %,,,
"까르피네토, '비네토 생 에르콜라노' 비노 노빌레 디 몬테풀치아노","Carpinetto, 'Vigneto St.Ercolano' Vino Nobile di Montepulciano",https://www.wine21.com/13_search/wine_view.html?Idx=162390&lq=LIST,까르피네토  Carpinetto,이탈리아(Italy) / 토스카나(Toscana) / 몬테풀치아노(Montepulciano),산지오베제 (Sangiovese) 85% / 카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) 15%,Central Italy Red,16~18 ℃,로스트한 고기류와 T-Bone 스테이크가 궁합이 잘 맞는 와인이다.,국순당,1/5,4/5,5/5,4/5,"오크, 효모",스테이크,Vino Nobile di Montepulciano DOCG(DOP),13.5 %,"*연간 1,500병만 생산*International Wine & Spirit Competition(IWSC), 1994, 2003 “Winemaker of the Year' 수상*Wine Spectator's Grand Tour, 전세계 200대 중요 와인 생산자 중 하나로 선정*Opera Wine (organised by Wine Spectator), 이탈리아 100대 가장 중요한 와인 생산자 중 하나로 선정",,
"까르피네토, 파니토 빈산토 델 키안티","Carpinetto, Farnito Vinsanto del Chianti",https://www.wine21.com/13_search/wine_view.html?Idx=162391&lq=LIST,까르피네토  Carpinetto,이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),트레비아노 (Trebbiano) / 말바시아 (Malvasia) 70% / 기타 품종 (Other Grapes) 30%,Central Italy White,12~14 ℃,강한 향을 지니고 있는 치즈와 고르곤 졸라 피자 등이 환상적 궁합을 이룬다.,국순당,5/5,3/5,5/5,1/5,"잼, 호두, 오크","피자, 치즈",Vin Santo del Chianti DOC(DOP),15 %,"*International Wine & Spirit Competition(IWSC), 1994, 2003 “Winemaker of the Year' 수상*Wine Spectator's Grand Tour, 전세계 200대 중요 와인 생산자 중 하나로 선정*Opera Wine (organised by Wine Spectator), 이탈리아 100대 가장 중요한 와인 생산자 중 하나로 선정",,
"스프링 밸리 빈야드, 니나 시라","Spring Valley Vineyard, Nina Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=162392&lq=LIST,스프링 밸리 빈야드  Spring Valley Vineyard,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley) / 왈라 왈라 밸리(Walla Walla Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,,16~18 ℃,"양고기, 소고기, 스테이크 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,5/5,4/5,오크,양고기,Walla Walla Valley AVA,14~15 %,"*2013 빈티지: Wine Enthusiast 92점*2012 빈티지: Robert Parker 93점, Wine Spectator 93점",,
"노스스타, 콜럼비아 밸리 카베르네 소비뇽","Northstar, Columbia Valley Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=162393&lq=LIST,생미셸 와인 에스테이트  Ste.Michelle Wine Estates,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Washington State Cabernet Sauvignon,16~18 ℃,"스테이크, 치즈 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,5/5,4/5,"체리, 바닐라, 초콜릿","스테이크, 치즈",Columbia Valley AVA,14~15 %,,,
"노스스타, 왈라 왈라 밸리 레드 블렌드","Northstar, Walla Walla Valley Red Blend",https://www.wine21.com/13_search/wine_view.html?Idx=162394&lq=LIST,생미셸 와인 에스테이트  Ste.Michelle Wine Estates,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),메를로 (Merlot) 63% / 카베르네 소비뇽 (Cabernet Sauvignon) 23% / 카베르네 프랑 (Cabernet Franc) 14%,Washington State Red Blend,16~18 ℃,"스테이크, 치즈 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,5/5,4/5,,"스테이크, 치즈",Columbia Valley AVA,14~15 %,,,
"타스카 달메리타, 노제 도로","Tasca d'Almerita, Nozze d'Oro",https://www.wine21.com/13_search/wine_view.html?Idx=162395&lq=LIST,타스카 달메리타  Tasca d'Almerita,이탈리아(Italy) / 시칠리아(Sicilia),인졸리아 (Inzolia) 72% / 소비뇽 블랑 (Sauvignon Blanc) 28%,Southern Italy White,10~12 ℃,"샐러드, 해산물",금양인터내셔날,1/5,5/5,3/5,1/5,레몬,"해산물, 샐러드",,13 %,"*2014 빈티지: James Suckling 92점*2013 빈티지: Robert Parker 91점, Vinous 89점*2012 빈티지: James Suckling 91점, Wine Spectator 88점",,
"오스본, 루비 포트","Osborne, Ruby Port",https://www.wine21.com/13_search/wine_view.html?Idx=162396&lq=LIST,오스본  Osborne,포르투갈(Portugal) / 도우루(Douro),투리가 나시오날 (Touriga Nacional) / 투리가 프란카 (Touriga Franca) / 틴타 아마렐라 (Tinta Amarela) / 틴타 로리즈 (Tinta Roriz) / 틴타 바로카 (Tinta Barroca),Portuguese Port,16~18 ℃,디저트,금양인터내셔날,5/5,2/5,5/5,2/5,,디저트,,19~20 %,,,
"오스본, 토니 포트","Osborne, Tawny Port",https://www.wine21.com/13_search/wine_view.html?Idx=162397&lq=LIST,오스본  Osborne,포르투갈(Portugal) / 도우루(Douro),투리가 나시오날 (Touriga Nacional) / 투리가 프란카 (Touriga Franca) / 틴타 아마렐라 (Tinta Amarela) / 틴타 로리즈 (Tinta Roriz) / 틴타 바로카 (Tinta Barroca),Portuguese Port,16~18 ℃,디저트,금양인터내셔날,5/5,2/5,5/5,3/5,,디저트,,19~20 %,,,
"폴 홉스, 라스 피에드라스 빈야드 카베르네 소비뇽","Paul Hobbs, Las Piedras Vineyard Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=162398&lq=LIST,폴 홉스  Paul Hobbs,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,16~18 ℃,"스테이크, 치즈 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,5/5,4/5,"감초, 타바코","스테이크, 치즈",California AVA,14.5 %,*2013 빈티지: Robert Parker 97점,,
"폴 홉스, 나파 밸리 카베르네 소비뇽","Paul Hobbs, Napa Valley Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=162399&lq=LIST,폴 홉스  Paul Hobbs,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 92% / 카베르네 프랑 (Cabernet Franc) 6% / 쁘띠 베르도 (Petit Verdot) 2%,Californian Cabernet Sauvignon,16~18 ℃,"스테이크, 치즈, 양고기 등과 잘 어울린다.",에노테카코리아,1/5,3/5,4/5,4/5,"블랙베리, 타임, 타바코","스테이크, 양고기, 치즈",Napa Valley AVA,14 %,*2014 빈티지: Robert Parker 90-92점*2016 빈티지: Robert Parker 92점,,
"폴 홉스, 러시안 리버 밸리 샤르도네","Paul Hobbs, Russian River Valley Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=162400&lq=LIST,폴 홉스  Paul Hobbs,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),샤르도네 (Chardonnay) 100%,Californian Chardonnay,8~10 ℃,"샐러드, 해산물 등과 잘 어울린다.",에노테카코리아,1/5,5/5,3/5,1/5,"생강, 효모","해산물, 샐러드",Russian River Valley AVA,12~13 %,"*2015 빈티지: Robert Parker 92점, James Suckling 92점, Wine Spectator 91점",,
"폴 홉스, 러시안 리버 밸리 피노 누아","Paul Hobbs, Russian River Valley Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=162401&lq=LIST,폴 홉스  Paul Hobbs,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County),피노 누아 (Pinot Noir) 100%,Californian Pinot Noir,16~18 ℃,"닭고기, 돼지고기 등과 잘 어울린다.",에노테카코리아,1/5,4/5,4/5,3/5,"체리, 오크, 효모",닭고기,,14~15 %,"*2016 빈티지: Robert Parker 93점, James Suckling 93점*2015 빈티지: Robert Parker 91점",,
파즈 까베르네 소비뇽 까베르네 프랑,Paz Cabernet Sauvignon Cabernet Franc,https://www.wine21.com/13_search/wine_view.html?Idx=162402&lq=LIST,핀카 라스 모라스  Finca Las Moras,아르헨티나(Argentina) / 산 후안(San Juan),카베르네 소비뇽 (Cabernet Sauvignon) 50% / 카베르네 프랑 (Cabernet Franc) 50%,,16~18 ℃,"육류, 스테이크, 토마토 파스타, 치즈",,1/5,3/5,3/5,3/5,"블랙베리, 피망","스테이크, 파스타, 치즈",,14~15 %,"*2015 빈티지: IWC 2016 COMMENDED, RP 89점*2014 빈티지: Argentina Wine Award 2016 90점*2013 빈티지: IWSC 2015 은메달, KWC 2015 은메달",,
파즈 말벡,Paz Malbec,https://www.wine21.com/13_search/wine_view.html?Idx=162403&lq=LIST,핀카 라스 모라스  Finca Las Moras,아르헨티나(Argentina) / 산 후안(San Juan),말벡 (Malbec) 100%,Argentinian Malbec,16~18 ℃,"스테이크, 치즈",,1/5,3/5,4/5,4/5,"자두, 바닐라","스테이크, 자두, 치즈",,14~15 %,"*2015 빈티지: IWC 2016 COMMENDED, RP 88점, W&S 90점*2014 빈티지: Argentina Wine Award 2016 90점*2013 빈티지: Tim Atkin 2015 90점",,
파즈 시라,Paz Syrah,https://www.wine21.com/13_search/wine_view.html?Idx=162404&lq=LIST,핀카 라스 모라스  Finca Las Moras,아르헨티나(Argentina) / 산 후안(San Juan),시라/쉬라즈 (Syrah/Shiraz) 100%,Argentinian Syrah,16~18 ℃,"양고기, 스테이크, 육류, 치즈 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,,"스테이크, 양고기, 치즈",,13~14 %,"*2015 빈티지: Robert Parker 89점, IWC 2016 Commended*2014 빈티지: International Wine & Spirits Challenge 2015 은메달*2013 빈티지: Korea Wine Challenge 2015 은메달",,
"필립 토그니, 나파밸리 까베르네 소비뇽","Philip Togni, Napa Valley Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=162405&lq=LIST,필립 토그니  Philip Togni,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Californian Cabernet Sauvignon,16~18 ℃,"육류, 치즈",금양인터내셔날,1/5,3/5,4/5,4/5,"미네랄, 오크",치즈,Napa Valley AVA,13~14 %,"* 2024 Vinous Wine of the year, TOP100 1위 선정",,
"폴 로저, 퓨어 엑스트라 브뤼","Pol Roger, Pure Extra Brut",https://www.wine21.com/13_search/wine_view.html?Idx=162406&lq=LIST,폴 로저  Pol Roger,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 34% / 피노 뮈니에 (Pinot Meunier) 33% / 샤르도네 (Chardonnay) 33%,French Champagne,6~8 ℃,"파스타, 피자, 샐러드, 해산물",금양인터내셔날,1/5,5/5,3/5,1/5,"시트러스, 장미, 정향, 꿀","해산물, 샐러드",Champagne AOC(AOP),12~13 %,*Wine Spectator 2014 91점*Robert Parker 93점,,
"폴 로저, 리치 드미 섹","Pol Roger, Rich Demi Sec",https://www.wine21.com/13_search/wine_view.html?Idx=162407&lq=LIST,폴 로저  Pol Roger,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) 34% / 피노 뮈니에 (Pinot Meunier) 33% / 샤르도네 (Chardonnay) 33%,French Champagne,6~8 ℃,비스킷,금양인터내셔날,3/5,3/5,3/5,1/5,"리치, 꽃, 바닐라, 카라멜",,Champagne AOC(AOP),12~13 %,,,
"비냐 프란시스코 드 아귀레, 프롤로고 리세르바 까베르네 소비뇽","Vina Francisco de Aguirre, Prologo Reserva Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=162408&lq=LIST,비냐 프란시스코 드 아귀레  Vina Francisco de Aguirre,칠레(Chile) / 코킴보(Coquimbo) / 리마리 밸리(Limari Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Chilean Cabernet Sauvignon,16~18 ℃,"소고기, 돼지고기, 피자, 파스타 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,3/5,3/5,"체리, 배, 후추, 오크",소고기,,13~14 %,,,
"비냐 프란시스코 드 아귀레, 프롤로고 레세르바 메를로","Vina Francisco de Aguirre, Prologo Reserva Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=162409&lq=LIST,비냐 프란시스코 드 아귀레  Vina Francisco de Aguirre,칠레(Chile) / 코킴보(Coquimbo) / 리마리 밸리(Limari Valley),메를로 (Merlot) 100%,Chilean Merlot,16~18 ℃,"피자, 치즈",금양인터내셔날,1/5,3/5,3/5,3/5,"건포도, 오크, 치즈","피자, 치즈",,13~14 %,,,
푼디트 시라,Pundit Syrah,https://www.wine21.com/13_search/wine_view.html?Idx=162410&lq=LIST,생미셸 와인 에스테이트  Ste.Michelle Wine Estates,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),시라/쉬라즈 (Syrah/Shiraz) 88% / 그르나슈 (Grenache) 6% / 무르베드르 (Mourvedre) 4% / 비오니에 (Viognier) 2%,Washington State Syrah,16~18 ℃,"스테이크, 육류, 치즈",금양인터내셔날,1/5,3/5,5/5,4/5,"꽃, 슬레이트, 바닐라, 코코아, 흙","스테이크, 치즈",Columbia Valley AVA,14.5 %,"*2014 빈티지: Robert Parker 92점, Wine Enthusiast 93점*2013 빈티지: Wine Spectator 92점 Smart Buy",,
"까넬리, 꽈뜨로 로제","Canelli, Quattro Rose",https://www.wine21.com/13_search/wine_view.html?Idx=162411&lq=LIST,발레벨보  Vallebelbo,이탈리아(Italy) / 피에몬테(Piemonte),브라케토 (Brachetto) 50% / 블렌드 (Blend ) 50%,,6~8 ℃,"돼지고기, 닭고기, 해산물, 새우, 다양한 치즈, 건육, 살라미, 프로슈토, 피자, 파스타 등과 잘 어울린다.",금양인터내셔날,4/5,2/5,3/5,1/5,,"닭고기, 치즈",,3~4 %,,,
"르네 바르비에, 칼리너 세코 화이트","Rene Barbier, Kraliner Seco White",https://www.wine21.com/13_search/wine_view.html?Idx=162412&lq=LIST,르네 바르비에  Rene Barbier,스페인(Spain) / 까탈루냐(Cataluna),자렐로 (Xarel.lo) 40% / 마카베오 (Macabeo) 30% / 빠레야다 (Parellada) 30%,,6~8 ℃,샐러드,금양인터내셔날,1/5,5/5,3/5,1/5,레몬,샐러드,,12~13 %,,,
"르네 바르비에, 로블 레드","Rene Barbier, Robel red",https://www.wine21.com/13_search/wine_view.html?Idx=162413&lq=LIST,르네 바르비에  Rene Barbier,스페인(Spain) / 까탈루냐(Cataluna),템프라니요 (Tempranillo) 50% / 그르나슈 (Grenache) 20% / 메를로 (Merlot) 10% / 카베르네 소비뇽 (Cabernet Sauvignon) 10%,Spanish Red,16~18 ℃,"토마토 파스타, 피자",금양인터내셔날,1/5,3/5,4/5,3/5,"체리, 바닐라",,,14~15 %,,,
"루피노, 키안티 수페리오레 피아스코","Ruffino, Chianti Superiore Fiacso",https://www.wine21.com/13_search/wine_view.html?Idx=162414&lq=LIST,루피노  Ruffino,이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese) 70% / 카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 시라/쉬라즈 (Syrah/Shiraz) 30%,,13~15 ℃,"피자, 치즈,토마토 파스타 등과 잘 어울린다.",,1/5,4/5,3/5,3/5,체리,치즈,,12.5 %,,,
"루피노, 갈레스트로 토스카나","Ruffino, Galestro Toscana",https://www.wine21.com/13_search/wine_view.html?Idx=162415&lq=LIST,루피노  Ruffino,이탈리아(Italy) / 토스카나(Toscana),트레비아노 (Trebbiano) / 말바시아 (Malvasia) / 샤르도네 (Chardonnay),Central Italy White,10~13 ℃,"해산물 샐러드, 그릴 된 치킨 요리, 크림 스프 등과 잘 어울린다.",나라셀라,1/5,4/5,1/5,1/5,"사과, 꽃, 미네랄","치킨, 해산물, 샐러드",Toscana IGT(IGP),12 %,,,
"루피노, 프로세코 엑스트라 드라이","Ruffino, Prosecco Extra Dry",https://www.wine21.com/13_search/wine_view.html?Idx=162416&lq=LIST,루피노  Ruffino,이탈리아(Italy) / 베네토(Veneto),글레라 (Glera) / 샤르도네 (Chardonnay) / 피노 블랑 (Pinot Blanc),Italian Prosecco,10~12 ℃,"마르게리따 피자, 생선 및 조개요리, 돼지고기 요리 등과 잘 어울린다.",롯데칠성음료,1/5,3/5,1/5,1/5,"복숭아, 배, 사과, 꽃","돼지고기, 생선구이, 조개구이, 파스타, 피자, 복숭아",Prosecco DOC(DOP),11 %,,,
"루피노, 토르가이오 토스카나","Ruffino, Torgaio Toscana",https://www.wine21.com/13_search/wine_view.html?Idx=162417&lq=LIST,루피노  Ruffino,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 메를로 (Merlot),Central Italy Red,12~15 ℃,"라구 파스타, 마게리타 피자, 스트링 치즈 등과 잘 어울린다.",나라셀라,1/5,3/5,3/5,2/5,,치즈,Toscana IGT(IGP),12.5 %,,,
"슐로스 폴라즈, 파이너프 카비넷 QmP","Schloss Vollrads, Feinherb Kabinett QmP",https://www.wine21.com/13_search/wine_view.html?Idx=162418&lq=LIST,슐로스 폴라즈  Schloss Vollrads [Weingut Schloss Vollrads],독일(Germany) / 라인가우(Rheingau),리슬링 (Riesling) 100%,German Riesling,10~12 ℃,"돼지고기, 삼겹살, 항정살, 장어구이, 해산물, 샐러드, 야채, 불고기, 갈비찜, 수육, 동남아요리, 아시아요리 등과 잘 어울린다.",금양인터내셔날,2/5,5/5,3/5,1/5,"살구, 미네랄",해산물,Kabinett(QmP),11~12 %,"*2013 빈티지: AWC Vienna 2014 은메달*2010 빈티지: Sommelier Wine Awards 2012 은메달, Wine Spectator 2012 88점",,
"슐로스 폴라즈, 카비넷 트로켄","Schloss Vollrads, Kabinett Trocken",https://www.wine21.com/13_search/wine_view.html?Idx=162419&lq=LIST,슐로스 폴라즈  Schloss Vollrads [Weingut Schloss Vollrads],독일(Germany) / 라인가우(Rheingau),리슬링 (Riesling) 100%,German Riesling,10~12 ℃,"돼지고기, 삼겹살, 항정살, 장어구이, 해산물, 샐러드, 야채, 불고기, 갈비찜, 수육, 동남아요리, 아시아요리 등과 잘 어울린다.",금양인터내셔날,1/5,4/5,3/5,1/5,"복숭아, 미네랄",해산물,Kabinett(QmP),11~12 %,,,
"슐로스 폴라즈, 쿠발리텟츠바인 트로켄","Schloss Vollrads, Qualitatswein Trocken",https://www.wine21.com/13_search/wine_view.html?Idx=162420&lq=LIST,슐로스 폴라즈  Schloss Vollrads [Weingut Schloss Vollrads],독일(Germany) / 라인가우(Rheingau),리슬링 (Riesling) 100%,German Riesling,8~10 ℃,"돼지고기, 삼겹살, 항정살, 장어구이, 해산물, 샐러드, 야채, 불고기, 갈비찜, 수육, 동남아요리, 아시아요리 등과 잘 어울린다.",금양인터내셔날,2/5,5/5,3/5,1/5,자몽,해산물,,12~13 %,,,
"슐로스 폴라즈, 좀머","Schloss Vollrads, Sommer",https://www.wine21.com/13_search/wine_view.html?Idx=162421&lq=LIST,슐로스 폴라즈  Schloss Vollrads [Weingut Schloss Vollrads],독일(Germany) / 라인가우(Rheingau),리슬링 (Riesling) 100%,German Riesling,8~10 ℃,"돼지고기, 삼겹살, 항정살, 장어구이, 해산물, 샐러드, 야채, 불고기, 갈비찜, 수육, 동남아요리, 아시아요리 등과 잘 어울린다.",금양인터내셔날,1/5,5/5,3/5,1/5,,해산물,,11~12 %,,,
"솔리튜드, 꼬뜨 뒤 론","Solitude, Cotes Du Rhone",https://www.wine21.com/13_search/wine_view.html?Idx=162422&lq=LIST,도멘 드 라 솔리튜드  Domaine de La Solitude,프랑스(France) / 론(Rhone) / 꼬뜨 뒤 론(Côtes du Rhone),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache) / 무르베드르 (Mourvedre),Southern Rhône Red,13~15 ℃,"붉은육류, 스테이크, 양고기, 불고기, 토마토파스타, 리조또 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,2/5,3/5,,"양고기, 불고기",Côtes du Rhône AOC(AOP),13~14 %,,,
"산 마르짜노, 탈로 프리미티보 디 만두리아","San Marzano, Talo Primitivo Di Manduria",https://www.wine21.com/13_search/wine_view.html?Idx=162423&lq=LIST,산 마르짜노  San Marzano [Feudi di San Marzano],이탈리아(Italy) / 뿔리아(Puglia) / 만두리아(Manduria),프리미티보 (Primitivo) 100%,Southern Italy Red,16~18 ℃,"야생고기, 치즈 등과 잘 어울린다.",금양인터내셔날,1/5,2/5,4/5,3/5,"체리, 자두, 바닐라, 코코아",치즈,,14~15 %,,,
"타스카 달메리타, 샤르도네","Tasca d'Almerita, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=162424&lq=LIST,타스카 달메리타  Tasca d'Almerita,이탈리아(Italy) / 시칠리아(Sicilia),샤르도네 (Chardonnay) 100%,,10~12 ℃,크림 파스타 등과 잘 어울린다.,금양인터내셔날,1/5,4/5,4/5,1/5,"레몬, 시나몬, 헤이즐넛, 흙",파스타,,14~15 %,"*2010 빈티지: Robert Parker 90점, James Suckling 90점, Vinous 90점*2011 빈티지: James Suckling 93점, Wine Spectator 89점*2013 빈티지: James Suckling 92점, Robert Parker 91점",,
"테네트, GSM","Tenet, GSM",https://www.wine21.com/13_search/wine_view.html?Idx=162425&lq=LIST,생미셸 와인 에스테이트  Ste.Michelle Wine Estates,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),그르나슈 (Grenache) 43% / 시라/쉬라즈 (Syrah/Shiraz) 35% / 무르베드르 (Mourvedre) 22%,,16~18 ℃,"야생고기, 양고기, 치즈 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,5/5,4/5,배,"양고기, 치즈",Columbia Valley AVA,15~16 %,,,
"트라피체, 핀카 엘 밀라그로 리미티드 에디션","Trapiche, Finca Altamira Limited Edition",https://www.wine21.com/13_search/wine_view.html?Idx=162426&lq=LIST,트라피체  Trapiche,아르헨티나(Argentina) / 멘도사(Mendoza) / 우코 밸리(Uco Valley),말벡 (Malbec) 100%,Argentinian Malbec,16~18 ℃,"스테이크, 육류, 치즈 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,4/5,4/5,"블랙베리, 미네랄, 오크, 효모","스테이크, 치즈",,,*2013 빈티지: James Suckling 92점,,
