와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,양조,숙성,음용온도,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,알코올,추천음식
"바인호프 위이벨, 칼크샌드","Weinhof Uibel, Kalksand",https://www.wine21.com/13_search/wine_view.html?Idx=174055&lq=LIST,바인호프 위이벨  Weinhof Uibel,오스트리아(Austria) / 니더외스터라이히(Niederosterreich),리슬링 (Riesling),Austrian Riesling,,해발 280미터 높이의 모래와 석회암 토양에서 재배된 포도를 10월에 손 수확. 95% 줄기 제거 후6주간 스킨 컨텍을 거친 후 개방형 발효통에서 자연 발효.,"8개월간 500L 오크통에서 숙성 후 청징, 여과 없이 병입.",8~10 ℃,"* Demeter 인증 올가닉, 네추럴, 비건 오렌지 와인",콜리코,1/5,3/5,3/5,2/5,"청사과, 건포도, 말린살구, 후추, 허브, 헤이즐넛, 아몬드","베이컨, 소시지, 양꼬치, 건육, 닭강정, 초밥, 생선회, 해산물, 문어숙회, 떡볶이, 비빔밥, 오일파스타, 중국요리, 아시아요리, 샐러드, 견과류",12~13 %,
"바인호프 위이벨, 퓨어 퓌메","Weinhof Uibel, Pure Fume",https://www.wine21.com/13_search/wine_view.html?Idx=174056&lq=LIST,바인호프 위이벨  Weinhof Uibel,오스트리아(Austria) / 니더외스터라이히(Niederosterreich),소비뇽 블랑 (Sauvignon Blanc),Austrian Sauvignon Blanc,,"해발 300미터 높이의 점토, 석회암이 층층으로 구성된 토양에서 재배된 포도를 선별하여 사용. 10월에 손 수확된 포도를 100% 줄기 제거 후 6주간 스킨컨텍을 거치고 Stone Fermenter에서 자연 발효.","12개월 500L 오크통에서 숙성 후 청징, 여과 없이 병입 .",8~10 ℃,"* Demeter 인증 올가닉, 네추럴, 비건 오렌지 와인.",콜리코,1/5,3/5,4/5,2/5,"청사과, 시트러스, 오렌지, 열대과일, 패션프루트, 파인애플, 미네랄, 그린피망, 시나몬, 아몬드","베이컨, 꼬치구이, 소시지, 양꼬치, 건육, 닭강정, 생선구이, 생선회, 장어구이, 떡볶이, 만두, 수육, 오일파스타, 중국요리, 탕수육, 아시아요리, 샐러드, 과일, 견과류, 아몬트, 고다, 페타",12~13 %,
"자이언트 스텝스, 섹스톤 빈야드 피노 누아","Giant Steps, Sexton Vineyard Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=174057&lq=LIST,자이언트 스텝스  Giant Steps,호주(Australia) / 빅토리아(Victoria) / 야라 밸리(Yarra Valley),피노 누아 (Pinot Noir),Australian Pinot Noir,,"Hand-picked 후 MV6클론은 100% 송이째, 나머지 클론은 줄기 제거 후 5일간의 침용과정을 거친 후오크통에서 토착효모(indigenous yeast)로 발효.","French Oak Barriques (25% new, 75% older) 에서 10개월 동안 발효 및 젖산 발효 진행. 청징(fining), 여과(filtration) 없이 중력을 이용하여 병입.",16~18 ℃,* 2020 빈티지 - The Real Review 95점,,1/5,3/5,3/5,2/5,"레드커런트, 체리, 라스베리, 붉은꽃, 꽃, 정향, 허브","로스트비프, 까르파치오, 바비큐, 양고기, 건육, 훈제오리, 찜닭, 랍스터, 보쌈, 불고기, 족발, 크림파스타, 피자, 버섯, 견과류, 파르미지아노, 카망베르, 그라노파다노, 크림치즈",13~14 %,
"자이언트 스텝스, 애플잭빈야드 샤도네이","Giant Steps, Applejack Vineyard Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=174058&lq=LIST,자이언트 스텝스  Giant Steps,호주(Australia) / 빅토리아(Victoria) / 야라 밸리(Yarra Valley),샤르도네 (Chardonnay),Australian Chardonnay,,100% 손으로 수확한 포도를 송이째 압착 후 500L 프렌치 펀천에서 토착효모(indigenous yeast)로 발효.,100% 젖산 발효 진행. 5월 ~ 6월 두 달간의 Batonnage 후 10개월의 프렌치오크통 숙성을 거쳐여과없이 병입 (중력을 이용).,8~10 ℃,* 2020 빈티지 - The Real Review : 95점  / Wine Companion : 95점,,1/5,3/5,3/5,1/5,"무화과, 배, 서양배, 열대과일, 멜론, 패션프루트, 파인애플, 미네랄, 헤이즐넛, 아몬드, 삼나무, 버터, 오크","베이컨, 바비큐, 소시지, 양꼬치, 건육, 닭강정, 훈제오리, 찜닭, 생선구이, 참치, 장어구이, 해산물, 조개구이, 불고기, 편육, 수육, 크림파스타, 서양요리, 중국요리, 탕수육, 동남아요리, 아시아요리, 과일, 견과류, 치즈, 파르미지아노, 그라노파다노, 모짜렐라",13~14 %,
샤또 비비앙,Chateau Bibian,https://www.wine21.com/13_search/wine_view.html?Idx=174059&lq=LIST,샤또 비비안  Chateau Bibian,프랑스(France) / 보르도(Bordeaux) / 오-메독(Haut-Medoc),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),Bordeaux Red,Bordeaux Cru Bourgeois AOC(AOP),,프렌치 오크 배럴 12개월 (40% 뉴 오크).,16~18 ℃,"* 2015 빈티지 - Concours de Bordeaux : 금메달* 2014 빈티지 - Concours General Agricole : 은상* Vivino 평점: 3.8이상* 보르도의 유명 와인 양조 컨설턴트 Julien Viaud (미셸 롤랑 Lab)의 자문 아래 Chateau Cap Leon Veyrin의 오너인 Alain Meyre가 탄생시킨 Cru Bourgeois급의 와인으로, 가격대비 퍼포먼스가 매우 훌륭한 보르도 와인.",,1/5,3/5,4/5,3/5,"체리, 자두, 말린자두, 피망, 바닐라, 감초, 토스트, 타바코, 가죽, 나무이끼","소고기, 스테이크, 양갈비, 양고기, 건육, 불고기, 양념갈비, 갈비찜, 족발, 파스타, 리조토, 버섯, 송이버섯, 파르미지아노, 브리, 그라노파다노, 블루치즈, 콩테",,"소고기, 스테이크, 양갈비, 바비큐, 불고기, 갈비찜, 파스타, 버섯, 다양한 치즈 등과 잘 어울린다."
"레 비뇨블 퐁까이유, 르 베르상 그르나슈 로제 리미티드","Les Vignobles Foncalieu, Le Versant Grenache Rosé Limited",https://www.wine21.com/13_search/wine_view.html?Idx=174060&lq=LIST,레 비뇨블 퐁까이유  Les Vignobles Foncalieu,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),,Languedoc-Roussillon Rosé,,,3개월 스테인리스 스틸 숙성. 앙금 컨택,8~10 ℃,,,1/5,3/5,2/5,2/5,"체리, 딸기, 라스베리, 석류, 사과, 오렌지, 아카시아, 장미, 후추, 우롱차, 민트","베이컨, 소시지, 양꼬치, 건육, 훈제오리, 찜닭, 족발, 떡볶이, 수육, 오일파스타, 크림파스타, 중국요리, 탕수육, 동남아요리, 아시아요리, 견과류, 치즈, 리코타, 크림치즈, 크로아상, 티라미슈",13~14 %,
"레 비뇨블 퐁까이유, 르 베르상 비오니에","Les Vignobles Foncalieu, Le Versant Viognier",https://www.wine21.com/13_search/wine_view.html?Idx=174061&lq=LIST,레 비뇨블 퐁까이유  Les Vignobles Foncalieu,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),비오니에 (Viognier),Languedoc-Roussillon Viognier,,,"4개월 스테인리스 스틸 숙성, 앙금 컨택",8~10 ℃,,,1/5,3/5,3/5,1/5,"살구, 복숭아, 리치, 아카시아","베이컨, 바비큐, 붉은살생선, 연어, 참치, 해산물, 편육, 떡볶이, 어묵, 비빔밥, 오일파스타, 탕수육, 양장피, 아시아요리, 튀김, 식전주, 채소, 샐러드, 과일, 리코타, 크림치즈",13~14 %,
"바르탈리, 키안티","Bartali, Chianti",https://www.wine21.com/13_search/wine_view.html?Idx=174062&lq=LIST,바르탈리  Bartali [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese),Italian Chianti,,"28°C 에서 하루에 두번씩 펌핑 오버, 1~2 개월간 리 컨텍",6개월간 병에서 숙성,14~16 ℃,,,1/5,4/5,3/5,3/5,"딸기, 체리, 허브","소고기, 돼지고기, 양고기",,"소고기, 돼지고기, 양고기 등과 잘 어울린다."
"콜레 아디마리, 드림","Colle Adimari, Drim",https://www.wine21.com/13_search/wine_view.html?Idx=174063&lq=LIST,콜레 아디마리  Colle Adimari [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),베르멘티노 (Vermentino) / 안소니카 (Ansonica),,Toscana IGT(IGP),"5시간 동안 껍질과 침용, 12일동안 알코올 발효",4개월간 스테인리스 통에서 숙성,10~12 ℃,,,1/5,4/5,3/5,1/5,"배, 사과, 시트러스, 꽃, 미네랄","해산물, 샐러드, 치즈",12~13 %,"샐러드, 해산물, 치즈 등과 잘 어울린다."
"콜레 아디마리, 키안티 고베르노 알루소 토스카노","Colle Adimari, Chianti Governo All'uso Toscano",https://www.wine21.com/13_search/wine_view.html?Idx=174064&lq=LIST,콜레 아디마리  Colle Adimari [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese) / 메를로 (Merlot),Italian Chianti,Toscana IGT(IGP),"키안티 전통방식, 일부 말린 메를로와 함께 양조",,14~16 ℃,,,1/5,4/5,3/5,3/5,"체리, 딸기, 라스베리, 꽃, 미네랄, 허브","소고기, 돼지고기, 양고기",13~14 %,"소고기, 돼지고기, 양고기 등과 잘 어울린다."
"콜레 아디마리, 키안티 리제르바","Colle Adimari, Chianti Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=174065&lq=LIST,콜레 아디마리  Colle Adimari [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese),Italian Chianti,Chianti DOCG(DOP),스테인리스 스틸통에서 알코올 발효 및 펌핑오버,20개월간 오크통에서 숙성,14~16 ℃,,,1/5,3/5,4/5,3/5,"체리, 딸기, 라스베리, 오크, 버섯, 흙","소고기, 돼지고기, 닭고기",13~14 %,"소고기, 돼지고기, 닭고기 등과 잘 어울린다."
"콜레 아디마리, 리버","Colle Adimari, Liber",https://www.wine21.com/13_search/wine_view.html?Idx=174066&lq=LIST,콜레 아디마리  Colle Adimari [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese),Italian Chianti,Chianti DOCG(DOP),"스테인리스 통에서 발효 및 펌핑오버, 껍질과 10일간 접촉",오크통에서 (Tonneaux) 3개월간 숙성,14~16 ℃,,,1/5,4/5,3/5,2/5,"체리, 딸기, 라스베리, 말린과일, 오크","소고기, 돼지고기, 닭고기",13~14 %,"소고기, 돼지고기, 닭고기 등과 잘 어울린다."
"콜레 아디마리, 란포라","Colle Adimari, Lanfora",https://www.wine21.com/13_search/wine_view.html?Idx=174067&lq=LIST,콜레 아디마리  Colle Adimari [B2B],이탈리아(Italy) / 토스카나(Toscana),카베르네 소비뇽 (Cabernet Sauvignon),Tuscan Red,Toscana IGT(IGP),스테인리스 통에서 알코올 발효 및 펌핑 오버,암포라에서 8개월간 숙성,14~16 ℃,,,1/5,4/5,4/5,3/5,"블랙커런트, 블랙베리, 체리, 말린과일, 피망","소고기, 돼지고기, 양고기",13~14 %,"소고기, 돼지고기, 양고기 등과 잘 어울린다."
"콜레 아디마리, 라센테","Colle Adimari, Rasente",https://www.wine21.com/13_search/wine_view.html?Idx=174068&lq=LIST,콜레 아디마리  Colle Adimari [B2B],이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),Tuscan Red,Toscana IGT(IGP),스테인리스 통에서 알코올 발효 및 펌핑오버.,프렌치 오크통(Tonneaux)에서 18개월간 숙성,16~18 ℃,,,1/5,3/5,4/5,3/5,"블랙커런트, 블랙체리, 블랙베리, 피망, 오크, 흙","소고기, 돼지고기, 닭고기",13~14 %,"소고기, 돼지고기, 닭고기 등과 잘 어울린다."
"콜레 아디마리, 두 수 두","Colle Adimari, Due su Due",https://www.wine21.com/13_search/wine_view.html?Idx=174069&lq=LIST,콜레 아디마리  Colle Adimari [B2B],이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese),Tuscan Red,Toscana IGT(IGP),스테인리스 통에서 알코올 발효 및 펌핑오버,3개월간 스테인리스 통에서 숙성,14~16 ℃,,,1/5,3/5,3/5,2/5,"체리, 딸기, 라스베리, 미네랄, 허브","소고기, 돼지고기, 양고기",12~13 %,"소고기, 돼지고기, 양고기 등과 잘 어울린다."
"테누타 산 자코포, 포지오 아이 그릴리","Tenuta San Jacopo, Poggio Ai Grilli",https://www.wine21.com/13_search/wine_view.html?Idx=174070&lq=LIST,테누타 산 자코포  Tenuta San Jacopo [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese) / 메를로 (Merlot),Italian Chianti,Chianti DOCG(DOP),28~30° C 에서 25~30일간 알코올 발효,스테인리스 통에서 24개월간 숙성,14~16 ℃,,,1/5,4/5,4/5,3/5,"딸기, 체리, 허브, 흙","소고기, 돼지고기, 양고기",13~14 %,"소고기, 돼지고기, 양고기 등과 잘 어울린다."
"테누타 산 자코포, 포지오 아이 그릴리 리제르바","Tenuta San Jacopo, Poggio Ai Grilli Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=174071&lq=LIST,테누타 산 자코포  Tenuta San Jacopo [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese) / 몬테풀치아노 (Montepulciano),Italian Chianti,Chianti Chianti Superiore DOCG(DOP),스테인리스 통에서 28~30° C  온도로 알코올 발효,"25% 새 오크통, 75% 헌 오크통 에서 24개월간 숙성, 6개월간 병숙성",16~18 ℃,,,1/5,4/5,4/5,3/5,"블랙체리, 체리, 딸기, 미네랄, 허브, 오크, 버섯, 흙","소고기, 돼지고기, 양고기",14~15 %,"소고기, 돼지고기, 양고기 등과 잘 어울린다."
"테누타 산 자코포, 오르마 델 디아볼로","Tenuta San Jacopo, Orma Del Diavolo",https://www.wine21.com/13_search/wine_view.html?Idx=174072&lq=LIST,테누타 산 자코포  Tenuta San Jacopo [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese) / 메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),Italian Chianti,Valdarno di Sopra DOC(DOP),28~30°C 스테인리스 통에서 25~30일간 알코올 발효,"25% 새 프렌치 오크통, 75% 헌 오크통에서 24개월간 숙성",14~16 ℃,"decanter 91; Falstaff 90; J. Suckling 90, Winescritic 94",,1/5,4/5,3/5,3/5,"블랙체리, 체리, 딸기, 허브, 오크, 버섯, 흙","소고기, 돼지고기, 양고기",14~15 %,"소고기, 돼지고기, 양고기 등과 잘 어울린다."
"테누타 산 자코포, 카프릴리우스","Tenuta San Jacopo, Caprilius",https://www.wine21.com/13_search/wine_view.html?Idx=174073&lq=LIST,테누타 산 자코포  Tenuta San Jacopo [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),몬테풀치아노 (Montepulciano),,Valdarno di Sopra DOC(DOP),28~30°C 스테인리스 통에서 25~30일간 알코올 발효,"20% 새 프렌치 오크통(Tonneaux), 80% 헌 오크통에서 18개월간 숙성, 12개월간 병숙성",16~18 ℃,Falstaff 93; Maroni 94,,1/5,4/5,3/5,3/5,"딸기, 라스베리, 말린과일, 오크, 버섯, 흙","소고기, 돼지고기, 양고기",13~14 %,"소고기, 돼지고기, 양고기 등과 잘 어울린다."
"테누타 산 자코포, 콰토 디 루나","Tenuta San Jacopo, Quarto Di Luna",https://www.wine21.com/13_search/wine_view.html?Idx=174074&lq=LIST,테누타 산 자코포  Tenuta San Jacopo [B2B],이탈리아(Italy) / 토스카나(Toscana),샤르도네 (Chardonnay),,Valdarno di Sopra DOC(DOP),"8~10°C 저온 침용,  16~18°C 온도에서 알코올 발효",90% 스테인리스 통에서 리와 함께 숙성 및 10% 오크통에서 6개월간 숙성,10~12 ℃,,,1/5,4/5,3/5,1/5,"복숭아, 사과, 시트러스, 꽃, 미네랄, 허브, 오크, 버섯","샐러드, 복숭아, 치즈",13~14 %,"샐러드, 치즈 등과 잘 어울린다."
"테누타 산 자코포, 에르볼리","Tenuta San Jacopo, Erboli",https://www.wine21.com/13_search/wine_view.html?Idx=174075&lq=LIST,테누타 산 자코포  Tenuta San Jacopo [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),트레비아노 (Trebbiano),,Valdarno di Sopra DOC(DOP),"8~10°C 저온 침용, 스테인리스 통에서 알코올 발효, 오픈 바리끄에서 6개월간 리 컨텍",,10~12 ℃,,,1/5,4/5,4/5,1/5,"시트러스, 열대과일, 꽃, 미네랄","해산물, 샐러드, 치즈",13~14 %,"해산물, 샐러드, 치즈 등과 잘 어울린다."
"테누타 산 자코포, 올트레테레","Tenuta San Jacopo, Oltreterre",https://www.wine21.com/13_search/wine_view.html?Idx=174076&lq=LIST,테누타 산 자코포  Tenuta San Jacopo [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese) / 메를로 (Merlot) / 카나이올로 (Canaiolo),,Chianti Classico DOCG(DOP),,12개월간 오크통에서 숙성,14~16 ℃,,,1/5,4/5,3/5,3/5,"체리, 딸기, 꽃, 오크, 흙","소고기, 돼지고기",13~14 %,"소고기, 돼지고기 등과 잘 어울린다."
"테누타 디 프라테르니타, 설 마리오토","Tenute di Fraternita, Ser Mariotto",https://www.wine21.com/13_search/wine_view.html?Idx=174077&lq=LIST,테누타 디 프라테르니타  Tenute di Fraternita [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese) / 카베르네 소비뇽 (Cabernet Sauvignon),Italian Chianti,Chianti DOCG(DOP),,,14~16 ℃,,,1/5,4/5,3/5,3/5,"딸기, 체리, 허브, 오크","소고기, 돼지고기, 양고기",14~15 %,"소고기, 돼지고기, 양고기 등과 잘 어울린다."
"포지오 로찌, 알라노","Poggio Rozzi, Alano",https://www.wine21.com/13_search/wine_view.html?Idx=174078&lq=LIST,그라프 토겐버그 - 포지오 로찌  Graf Toggenburg - Poggio Rozzi [B2B],이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 카나이올로 (Canaiolo) / 콜로리노 (Colorino),Tuscan Red,,,,14~16 ℃,,,1/5,4/5,3/5,1/5,"딸기, 체리, 허브","소고기, 돼지고기, 양고기",13~14 %,"소고기, 돼지고기, 양고기 등과 잘 어울린다."
"포지오 로찌, 울리코","Poggio Rozzi, Ulrico",https://www.wine21.com/13_search/wine_view.html?Idx=174079&lq=LIST,그라프 토겐버그 - 포지오 로찌  Graf Toggenburg - Poggio Rozzi [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese),Tuscan Red,Chianti DOCG(DOP),,,14~16 ℃,,,1/5,4/5,3/5,1/5,"딸기, 체리, 허브","소고기, 돼지고기, 양고기",13~14 %,"소고기, 돼지고기, 양고기 등과 잘 어울린다."
"포지오 로찌, 루오고텐넨테","Poggio Rozzi, Luogotenente",https://www.wine21.com/13_search/wine_view.html?Idx=174080&lq=LIST,그라프 토겐버그 - 포지오 로찌  Graf Toggenburg - Poggio Rozzi [B2B],이탈리아(Italy) / 토스카나(Toscana),포글리아 톤다 (Foglia Tonda) / 산지오베제 (Sangiovese) / 테롤데고 (Teroldego),Tuscan Red,,,,14~16 ℃,,,1/5,4/5,3/5,2/5,"딸기, 체리, 미네랄, 흙","소고기, 돼지고기",14~15 %,"소고기, 돼지고기 등과 잘 어울린다."
"포지오 로찌, 이첼린자","Poggio Rozzi, Eccellenza",https://www.wine21.com/13_search/wine_view.html?Idx=174081&lq=LIST,그라프 토겐버그 - 포지오 로찌  Graf Toggenburg - Poggio Rozzi [B2B],이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 카나이올로 (Canaiolo) / 사그란티노 (Sagrantino),Tuscan Red,Toscana IGT(IGP),아파시멘토 방식으로 말려서 양조,,16~18 ℃,,,1/5,3/5,5/5,3/5,"레드커런트, 체리, 딸기, 후추, 오크, 흙","소고기, 돼지고기, 양고기",16~17 %,"소고기, 돼지고기, 양고기 등과 잘 어울린다."
"우끼아노, 키안티 프리스티지","Uggiano, Chianti Prestige",https://www.wine21.com/13_search/wine_view.html?Idx=174082&lq=LIST,우끼아노  Uggiano,이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese) / 카나이올로 (Canaiolo),Italian Chianti,Chianti DOCG(DOP),,스테인리스 통에서 숙성,14~16 ℃,,,1/5,4/5,3/5,2/5,"체리, 딸기, 라스베리, 허브, 흙","소고기, 돼지고기, 양고기",13~14 %,"소고기, 돼지고기, 양고기 등과 잘 어울린다."
"우끼아노, 키안티 클라시코 프리스티지","Uggiano, Chianti Classico Prestige",https://www.wine21.com/13_search/wine_view.html?Idx=174083&lq=LIST,우끼아노  Uggiano,이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese) / 카나이올로 (Canaiolo),,Chianti Classico DOCG(DOP),,큰 오크통에서 숙성,14~16 ℃,,,1/5,4/5,3/5,3/5,"체리, 딸기, 라스베리, 오크, 흙","소고기, 돼지고기, 양고기",13~14 %,"소고기, 돼지고기, 양고기 등과 잘 어울린다."
"우끼아노, 키안티 클라시코 리제르바 프리스티지","Uggiano, Chianti Classico Riserva Prestige",https://www.wine21.com/13_search/wine_view.html?Idx=174084&lq=LIST,우끼아노  Uggiano,이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese) / 카나이올로 (Canaiolo),,Chianti Classico DOCG(DOP),,큰 오크통에서 숙성,14~16 ℃,,,1/5,4/5,3/5,3/5,"체리, 딸기, 라스베리, 허브, 오크","소고기, 돼지고기, 양고기",13~14 %,"소고기, 돼지고기, 양고기 등과 잘 어울린다."
"우끼아노, 키안티 리제르바 프리스티지","Uggiano, Chianti Riserva Prestige",https://www.wine21.com/13_search/wine_view.html?Idx=174085&lq=LIST,우끼아노  Uggiano,이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese) / 카나이올로 (Canaiolo),Italian Chianti,Chianti Classico DOCG(DOP),,큰 프렌치 오크 및 큰 오크통에서 숙성,14~16 ℃,,,1/5,4/5,4/5,3/5,"블랙베리, 체리, 딸기, 허브, 오크, 흙","소고기, 돼지고기, 양고기",13~14 %,"소고기, 돼지고기, 양고기 등과 잘 어울린다."
"우끼아노, 베르멘티노 토스카나 프리스티지","Uggiano, Vermentino Toscana Prestige",https://www.wine21.com/13_search/wine_view.html?Idx=174086&lq=LIST,우끼아노  Uggiano,이탈리아(Italy) / 토스카나(Toscana),베르멘티노 (Vermentino),Central Italy White,Toscana IGT(IGP),,스테인리스 통에서 숙성,10~12 ℃,,,1/5,4/5,4/5,1/5,"시트러스, 꽃, 미네랄","튀김, 샐러드, 치즈",13~14 %,"튀김, 샐러드, 치즈 등과 잘 어울린다."
"우끼아노, 브루넬로 디 몬탈치노","Uggiano, Brunello di Montalcino",https://www.wine21.com/13_search/wine_view.html?Idx=174087&lq=LIST,우끼아노  Uggiano,이탈리아(Italy) / 토스카나(Toscana) / 몬탈치노(Montalcino),산지오베제 그로쏘  (Sangiovese Grosso),Italian Brunello,Brunello di Montalcino DOCG(DOP),,큰 슬라보니아 오크통에서 36개월간 숙성,14~16 ℃,,,1/5,4/5,5/5,4/5,"체리, 딸기, 말린과일, 미네랄, 허브, 오크, 버섯, 흙","소고기, 돼지고기, 닭고기",14~15 %,"소고기, 돼지고기, 닭고기 등과 잘 어울린다."
"우끼아노, 고베르노 올루소 토스카노","Uggiano, Governo all'Uso Toscano",https://www.wine21.com/13_search/wine_view.html?Idx=174088&lq=LIST,우끼아노  Uggiano,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 카나이올로 (Canaiolo),Central Italy Red,Toscana IGT(IGP),살짝 말린 포도와 함께 발효,,14~16 ℃,,,2/5,4/5,3/5,3/5,"체리, 딸기, 말린과일, 허브, 오크, 버섯","소고기, 돼지고기, 양고기",13~14 %,"소고기, 돼지고기, 양고기 등과 잘 어울린다."
"우끼아노, 시라 토스카나","Uggiano, Syrah Toscana",https://www.wine21.com/13_search/wine_view.html?Idx=174089&lq=LIST,우끼아노  Uggiano,이탈리아(Italy) / 토스카나(Toscana),시라/쉬라즈 (Syrah/Shiraz),Central Italy Red,Toscana IGT(IGP),,프렌치 오크통에서 숙성,16~18 ℃,,,1/5,4/5,5/5,4/5,"블랙체리, 블랙베리, 블루베리, 꽃, 후추, 오크","소고기, 돼지고기, 양고기",14~15 %,"소고기, 돼지고기, 양고기 등과 잘 어울린다."
"우끼아노, 페트라이아 메를로 토스카나","Uggiano, Petraia Merlot Toscana",https://www.wine21.com/13_search/wine_view.html?Idx=174090&lq=LIST,우끼아노  Uggiano,이탈리아(Italy) / 토스카나(Toscana),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),Central Italy Red,Toscana IGT(IGP),,큰 프렌치 오크통에서 숙성,16~18 ℃,,,1/5,4/5,5/5,4/5,"블랙커런트, 블랙체리, 블랙베리, 피망, 오크, 흙","소고기, 돼지고기",14~15 %,"소고기, 돼지고기 등과 잘 어울린다."
"우끼아노, 팔코네리 카베르네 소비뇽 토스카나","Uggiano, Falconeri Cabernet Sauvignon Toscana",https://www.wine21.com/13_search/wine_view.html?Idx=174091&lq=LIST,우끼아노  Uggiano,이탈리아(Italy) / 토스카나(Toscana),카베르네 소비뇽 (Cabernet Sauvignon) / 산지오베제 (Sangiovese),Central Italy Red,Toscana IGT(IGP),,큰 프렌치 오크통에서 숙성,16~18 ℃,,,1/5,4/5,5/5,3/5,"블랙커런트, 블랙체리, 체리, 피망, 오크, 흙","소고기, 돼지고기, 양고기",14~15 %,"소고기, 돼지고기, 양고기 등과 잘 어울린다."
"우끼아노, 빈 산토 델 키안티","Uggiano, Vin Santo del Chianti",https://www.wine21.com/13_search/wine_view.html?Idx=174092&lq=LIST,우끼아노  Uggiano,이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),트레비아노 (Trebbiano) / 말바시아 (Malvasia),,Vin Santo del Chianti DOC(DOP),3개월간 건조 후 알코올 발효,Caratelli del Chianti 오크통에서 숙성,8~10 ℃,,,4/5,5/5,5/5,1/5,"모과, 살구, 말린과일, 꽃, 미네랄, 꿀, 석유","과일, 견과류, 치즈",16~17 %,"과일, 견과류, 치즈 등과 잘 어울린다."
"베끼아 칸티나 데 몬테풀치아노, 키안티 베키아 칸티나","Vecchia Cantina di Montepulciano, Chianti Vecchia Cantina",https://www.wine21.com/13_search/wine_view.html?Idx=174093&lq=LIST,베끼아 칸티나 데 몬테풀치아노  Vecchia Cantina di Montepulciano [B2B],이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese),Italian Chianti,Chianti DOCG(DOP),"separation of grapes from stalks and pressing; fer­mentation at controlled temperature followed by maceration, 8-1O days in total",refinement in bottle for at least 3 months,14~16 ℃,,,1/5,4/5,4/5,2/5,"딸기, 체리, 라스베리, 허브","소고기, 돼지고기, 닭고기",13~14 %,"소고기, 돼지고기, 닭고기 등과 잘 어울린다."
