와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,등급,알코올,숙성,양조
샤또 장틸리스,Chateau Gentilice,https://www.wine21.com/13_search/wine_view.html?Idx=165583&lq=LIST,데마짓  Demazet,프랑스(France) / 론(Rhone) / 꼬뜨 뒤 벙뚜(Côtes du Ventoux),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache) / 까리냥 (Carignan/Carignane),Southern Rhône Red,16~18 ℃,"붉은 육류, 치즈 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,오크,치즈,*2013 Challenge International du Vin Bronze*2013 Vinalies Nationlaes Bronze,,15~16 %,,
캉트페르드리 루즈,Canteperdrix Rouge,https://www.wine21.com/13_search/wine_view.html?Idx=165584&lq=LIST,데마짓  Demazet,프랑스(France) / 론(Rhone),그르나슈 (Grenache) / 까리냥 (Carignan/Carignane),,15~17 ℃,"구운 고기요리, BBQ 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,"허브, 오크",,*2017 Concours General Agricole Gold,,13~14 %,,
"휴 해밀턴, '더 빌런' 까베르네 소비뇽","Hugh Hamilton, 'The Villain' Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=165585&lq=LIST,휴 해밀턴  Hugh Hamilton,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Australian Cabernet Sauvignon,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",한산더블유앤비,1/5,3/5,4/5,4/5,"체리, 장미, 흙","양갈비, 치즈",*5th 'Sakura' Japan Women's awards 2018 : Gold Medal,,14.5 %,,
캉트페르드리 블랑,Canteperdrix Blnac,https://www.wine21.com/13_search/wine_view.html?Idx=165586&lq=LIST,데마짓  Demazet,프랑스(France) / 론(Rhone),클레렛  (Clairette) / 그르나슈 블랑 (Grenache Blanc) / 부블랑 (Bourboulenc),,8~10 ℃,"식전주, 조개류, 구운 생선 요리 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,,식전주,*2018 Concours General Agricole de Paris Gold,,13~14 %,,
"휴 해밀턴, 더 라스칼 쉬라즈","Hugh Hamilton, The Rascal Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=165587&lq=LIST,휴 해밀턴  Hugh Hamilton,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz) 100%,Australian Shiraz,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",한산더블유앤비,1/5,3/5,4/5,4/5,"라스베리, 체리, 시나몬, 아니스, 홍차, 타바코",양갈비,*Wine Pilot - Ken Gargett: 95점*James Halliday Australian Wine Companion: 92점*James Suckling: 92점,,14~15 %,,
샌느 뒤까리,Seigneur du Carri,https://www.wine21.com/13_search/wine_view.html?Idx=165588&lq=LIST,데마짓  Demazet,프랑스(France) / 론(Rhone),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache),,16~18 ℃,지중해풍 요리 등과 잘 어울린다.,,1/5,3/5,3/5,3/5,,,*2011 Concours des Grands Vins de France Bronze*2010 Commended in the Decanter World Wine Awards*2009 Concours des Vins de la Foire d'Avignon Gold,,14~15 %,,
"휴 해밀턴, 에이전트 프로바케터","Hugh Hamilton, Agent Provocateur",https://www.wine21.com/13_search/wine_view.html?Idx=165589&lq=LIST,휴 해밀턴  Hugh Hamilton,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),그르나슈 (Grenache) / 게뷔르츠트라미너 (Gewurztraminer) / 프론티냑 (Frontignac) / 투리가 나시오날 (Touriga Nacional) / 비오니에 (Viognier) / 샤르도네 (Chardonnay),,16~18 ℃,"블고기, 양념갈비, 로스트비프, 바비큐, 그릴요리, 오리고기, 치킨, 숙성 치즈와 잘 어울린다.",한산더블유앤비,1/5,3/5,4/5,3/5,"체리, 장미, 바닐라, 타임, 크림","바비큐, 양념갈비, 치즈",*Mike Bennie : 92점,,14~15 %,,
"휴 해밀턴, 지킬 앤 하이드","Hugh Hamilton, Jekyll & Hyde",https://www.wine21.com/13_search/wine_view.html?Idx=165590&lq=LIST,휴 해밀턴  Hugh Hamilton,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz) 96% / 비오니에 (Viognier) 4%,Australian Syrah - Viognier,16~18 ℃,"스테이크, 갈비, 불고기, 양갈비, 버섯, 하몽, 한국음식 과 잘 어울린다.",한산더블유앤비,1/5,3/5,4/5,5/5,"체리, 오렌지","스테이크, 양갈비, 하몽, 버섯","*James Halliday 2019 : 95점, James Halliday 2017~2018 : 93~95점",,14~15 %,,
"휴 해밀턴, 블랙 블러드 I","Hugh Hamilton, Black Blood I",https://www.wine21.com/13_search/wine_view.html?Idx=165591&lq=LIST,휴 해밀턴  Hugh Hamilton,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz) 100%,Australian Shiraz,16~18 ℃,"스테이크, 갈비, 불고기, 스튜, 양갈비, 버섯, 하몽, 한국음식 과 잘 어울린다.",한산더블유앤비,1/5,3/5,5/5,5/5,"사과, 꽃, 흙","양갈비, 하몽, 버섯","*James Halliday 2019 : 95점, James Halliday 2010~2019 : 93~95점",,14.5 %,,
"휴 해밀턴, 블랙 블러드 II","Hugh Hamilton, Black Blood II",https://www.wine21.com/13_search/wine_view.html?Idx=165592&lq=LIST,휴 해밀턴  Hugh Hamilton,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz) 100%,Australian Shiraz,16~18 ℃,"스테이크, 갈비, 불고기, 스튜, 양갈비, 버섯, 하몽, 한국음식 과 잘 어울린다.",한산더블유앤비,1/5,3/5,5/5,5/5,"체리, 장미, 초콜릿, 가죽","양갈비, 하몽, 버섯","*James Halliday 2019 : 95점, James Halliday 2010~2019 : 93~95점",,14.5 %,,
"휴 해밀턴, 블러드 라인 세트","Hugh Hamilton, Blood Line Set",https://www.wine21.com/13_search/wine_view.html?Idx=165594&lq=LIST,휴 해밀턴  Hugh Hamilton,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),그르나슈 (Grenache) / 시라/쉬라즈 (Syrah/Shiraz) / 페드로 히메네스 (Pedro Ximenez),,16~18 ℃,"붉은육류, 스테이크, 양고기, 불고기, 토마토파스타, 리조또 등과 잘 어울린다.",한산더블유앤비,1/5,4/5,4/5,4/5,배,"양고기, 불고기",,,,,
"휴 해밀턴, 퓨어 블랙 쉬라즈","Hugh Hamilton, Pure Black Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=165595&lq=LIST,휴 해밀턴  Hugh Hamilton,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz) 100%,Australian Shiraz,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",한산더블유앤비,1/5,3/5,5/5,4/5,"체리, 자두, 후추, 커피, 오크","양갈비, 자두","*James Halliday 2019 : 95점, James Halliday 2010~2019 : 95~96점*Wine Pilot - Ken Gargett : 96점*Robert Parker Wine Advocate : 94점",,15 %,,
"포지오 레 볼피, 도나루체","Poggio Le Volpi, Donnaluce",https://www.wine21.com/13_search/wine_view.html?Idx=165596&lq=LIST,포지오 레 볼피  Poggio Le Volpi,이탈리아(Italy) / 라치오(Lazio),말바시아 (Malvasia) / 그레코 비앙코 (Greco Bianco) / 샤르도네 (Chardonnay),Central Italy White,6~8 ℃,"스시, 회, 해산물, 조개, 다양한 치즈, 하몽, 프로슈토, 아시아요리, 동남아요리, 파스타 등과 잘 어울린다.",비케이 트레이딩,2/5,4/5,3/5,1/5,"구즈베리, 살구, 복숭아, 감귤, 리치, 흰꽃, 아몬드, 꿀","스시, 해산물, 파스타, 리조또, 복숭아, 치즈, 페타","*2017 빈티지: 5 Grappoli Bibenda, Luca Maroni 99점, Berliner Wine Trophy Silver, Mundus Vini Silver*2016 빈티지: 5 Grappoli Bibenda, LUca Maroni 98점*2015 빈티지: 5 Grappoli Bibenda, Luca Maroni 99점 Best Absolute White Wine*2014 빈티지: Luca Maroni 98점*2013 빈티지: 5 Grappoli Bibenda, Luca Maroni 99점 Best Absolute White Wine*2011 빈티지: Luca Maroni 99점",,13~14 %,,
"포지오 레 볼피, 로마 비앙코","Poggio Le Volpi, Roma Bianco",https://www.wine21.com/13_search/wine_view.html?Idx=165597&lq=LIST,포지오 레 볼피  Poggio Le Volpi,이탈리아(Italy) / 라치오(Lazio) / 로마(Roma),말바시아 푼티나타 (Malvasia Puntinata) 100%,Central Italy White,6~8 ℃,"치킨, 회, 스시, 연어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",비케이 트레이딩,2/5,3/5,3/5,1/5,"오렌지, 감귤, 열대과일, 꽃, 미네랄, 허브, 헤이즐넛","닭고기, 생선구이, 스시, 생선회, 조개구이, 새우, 동남아요리, 아시아요리, 튀김, 치즈, 파르미지아노, 미몰레뜨, 고르곤졸라",*2017 빈티지: Luca Maroni 97점,,12~13 %,,
피플,People,https://www.wine21.com/13_search/wine_view.html?Idx=165598&lq=LIST,포지오 레 볼피  Poggio Le Volpi,이탈리아(Italy) / 라치오(Lazio),말바시아 디 칸디다 (Malvasia di Candida) / 트레비아노 (Trebbiano),Central Italy White,6~8 ℃,"경쾌하고 가벼운 식전주, 해산물의 스타터, 리조또, 생선요리 등과 잘 어울린다.",,2/5,3/5,2/5,1/5,꽃,"해산물, 리조또, 식전주",*2017 빈티지: Luca Maroni 94점,,12~13 %,,
"베어풋, 쉬라즈","Barefoot, Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=165599&lq=LIST,베어풋  Barefoot,미국(U.S.A) / 캘리포니아(California),시라/쉬라즈 (Syrah/Shiraz) 100%,Californian Syrah,15~17 ℃,"파스타, 바베큐 등과 잘 어울린다.",롯데칠성음료,1/5,3/5,3/5,3/5,"건포도, 민트",,,California AVA,,,
"베린저, 큐 나파 밸리","Beringer, Q Napa Valley",https://www.wine21.com/13_search/wine_view.html?Idx=165600&lq=LIST,베린저 빈야드  Beringer Vineyards,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 쁘띠 베르도 (Petit Verdot) / 카베르네 프랑 (Cabernet Franc) / 말벡 (Malbec),Californian Cabernet Sauvignon,16~18 ℃,"스테이크, 치즈, 피자, 파스타 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,4/5,4/5,"건포도, 민트",건포도,*2023 대한민국 주류대상 '레드와인 신대륙 부문 대상'*2013 빈티지: Robert Parker 90점,Napa Valley AVA,14~15 %,,
"베린저, 루미너스 나파 밸리 샤르도네","Beringer, Luminus Napa Valley Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=165601&lq=LIST,베린저 빈야드  Beringer Vineyards,미국(U.S.A) / 캘리포니아(California) / 나파 카운티(Napa County) / 나파 밸리(Napa Valley),샤르도네 (Chardonnay) 100%,Californian Chardonnay,10~12 ℃,"샐러드, 치즈, 생선 등과 잘 어울린다.",금양인터내셔날,1/5,3/5,3/5,1/5,"감귤, 파인애플",,*2018 빈티지: James Suckling 93점,Napa Valley AVA,14~15 %,,
케이 빈트너스 로얄 시티 시라,K Vintners Royal City Syrah,https://www.wine21.com/13_search/wine_view.html?Idx=165602&lq=LIST,하우스 오브 스미스  House of Smith,미국(U.S.A) / 워싱턴(Washington State),시라/쉬라즈 (Syrah/Shiraz) 100%,Washington State Syrah,15~17 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",롯데칠성음료,1/5,4/5,4/5,4/5,"블루베리, 라벤더, 허브",양갈비,*Jeb Dunnuck : 98 Point (2018 Vintage),,14~15 %,,
케이 빈트너스 엘 제프 템프라니요,K Vintners El Jefe Tempranillo,https://www.wine21.com/13_search/wine_view.html?Idx=165603&lq=LIST,하우스 오브 스미스  House of Smith,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley) / 왈라 왈라 밸리(Walla Walla Valley),템프라니요 (Tempranillo),,15~17 ℃,"붉은육류, 불고기, 갈비찜, 양갈비, 치킨, 순대, 햄버거, 피자, 한국음식 등과 잘 어울린다.",롯데칠성음료,1/5,4/5,3/5,4/5,오크,"붉은육류, 햄, 양갈비, 치킨",*Jeb Dunnuck : 94 Point (2018 Vintage),,14~15 %,,
케이 빈트너스 캐틀 킹 시라,K Vintners Cattle King Syrah,https://www.wine21.com/13_search/wine_view.html?Idx=165604&lq=LIST,하우스 오브 스미스  House of Smith,미국(U.S.A) / 워싱턴(Washington State),시라/쉬라즈 (Syrah/Shiraz) 100%,Washington State Syrah,15~17 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",롯데칠성음료,1/5,4/5,4/5,4/5,"체리, 허브",양갈비,*Jeb Dunnuck : 96 Point (2018 Vintage),,14~15 %,,
케이 빈트너스 브롱코 말벡,K Vintners Broncho Malbec,https://www.wine21.com/13_search/wine_view.html?Idx=165605&lq=LIST,하우스 오브 스미스  House of Smith,미국(U.S.A) / 워싱턴(Washington State),말벡 (Malbec) 100%,,15~17 ℃,"양갈비, 양꼬치, 스테이크, 갈비, 불고기, 한국음식, 중국요리와 잘 어울린다.",롯데칠성음료,1/5,4/5,4/5,4/5,"블랙베리, 리치, 오크, 가죽","스테이크, 중국요리",*Jeb Dunnuck : 90 Point (2018 Vintage),,14~15 %,50% 뉴 프렌치 오크에서 21개월 Less와 함께 숙성,발효시 41일 스킨컨택
케이 빈트너스 더 보이 그르나슈,K Vintners The Boy Grenache,https://www.wine21.com/13_search/wine_view.html?Idx=165606&lq=LIST,하우스 오브 스미스  House of Smith,미국(U.S.A) / 워싱턴(Washington State),그르나슈 (Grenache) 100%,,15~17 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",롯데칠성음료,1/5,4/5,3/5,4/5,"딸기, 체리, 버섯, 가죽, 흙",양갈비,*2022 James Sucklling Top 100: 5등*Jeb Dunnuck : 96 Point (2018 Vintage),Walla Walla Valley AVA,,"85% 뉴트럴 오크, 15% 뉴 오크에 18개월 숙성",100% Whole Cluster 발효
케이 빈트너스 더 크리에이터 카버네 시라,K Vintners The Creator Cabernet Syrah,https://www.wine21.com/13_search/wine_view.html?Idx=165607&lq=LIST,하우스 오브 스미스  House of Smith,미국(U.S.A) / 워싱턴(Washington State),카베르네 소비뇽 (Cabernet Sauvignon) 80% / 시라/쉬라즈 (Syrah/Shiraz) 20%,,15~17 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",롯데칠성음료,1/5,4/5,4/5,4/5,오크,양갈비,*2012 빈티지: 2015년 Wine Spectator 31위,,14~15 %,"60% 뉴 프렌치 오크, 40% 뉴트럴 프렌치 오크 에서 20개월 Less와 함께 숙성",발효 시 43일 스킨 컨택
"오린 스위프트, 팔레르모","Orin Swift, Palermo",https://www.wine21.com/13_search/wine_view.html?Idx=165608&lq=LIST,오린 스위프트  Orin Swift,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 말벡 (Malbec),Californian Red Blend,17~19 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",롯데칠성음료,1/5,4/5,4/5,4/5,체리,"양갈비, 치즈",*2014 빈티지: Robert Parker 91점*2013 빈티지: Robert Parker 94점,California AVA,14~15 %,,
"오린 스위프트, 파피용","Orin Swift, Papillon",https://www.wine21.com/13_search/wine_view.html?Idx=165609&lq=LIST,오린 스위프트  Orin Swift,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 말벡 (Malbec),Californian Red Blend,15~17 ℃,"각종 해산물, 치즈 등과 잘 어울린다.",롯데칠성음료,1/5,4/5,5/5,4/5,체리,"해산물, 치즈",*2014 빈티지: Robert Parker 91점*2013 빈티지: Robert Parker 94점*2012 빈티지: Robert Parker 93점,California AVA,,,
"오린 스위프트, 머큐리 헤드 카베르네 소비뇽","Orin Swift, Mercury head Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=165610&lq=LIST,오린 스위프트  Orin Swift,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Californian Cabernet Sauvignon,15~17 ℃,"치즈, 소고기, 스테이크, 돼지고기 등과 잘 어울린다.",롯데칠성음료,1/5,4/5,4/5,5/5,타바코,치즈,*2013 빈티지: Robert Parker 98점*2012 빈티지: Robert Parker 95점,California AVA,,,
"오린 스위프트, 마네킹","Orin Swift, Mannequin",https://www.wine21.com/13_search/wine_view.html?Idx=165611&lq=LIST,오린 스위프트  Orin Swift,미국(U.S.A) / 캘리포니아(California),샤르도네 (Chardonnay) / 비오니에 (Viognier) / 그르나슈 블랑 (Grenache Blanc) / 마르산느 (Marsanne) / 뮈스까 (Muscat) / 루산느 (Roussanne),Californian White Blend,10~12 ℃,"바비큐, 소시지, 베이컨, 훈제연어, 참치, 훈제오리, 숙성 치즈, 건육, 하몽, 프로슈토, 탕수육, 자장면, 치킨, 피자 등과 잘 어울린다.",롯데칠성음료,1/5,4/5,3/5,1/5,꿀,"수육, 피자, 치즈",*2014 빈티지: Robert Parker 92점*2013 빈티지: Robert Parker 96점,California AVA,,,
"오린 스위프트, 블랭크 스테어 소비뇽 블랑","Orin Swift, Blank Stare Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=165612&lq=LIST,오린 스위프트  Orin Swift,미국(U.S.A) / 캘리포니아(California),소비뇽 블랑 (Sauvignon Blanc) / 뮈스까 (Muscat),Californian White Blend,8~10 ℃,"각종 해산물, 치즈 등과 잘 어울린다.",롯데칠성음료,1/5,4/5,2/5,1/5,파인애플,"해산물, 치즈",,California AVA,,,
"카니버, 진판델","Carnivor, Zinfandel",https://www.wine21.com/13_search/wine_view.html?Idx=165613&lq=LIST,카니버  Carnivor,미국(U.S.A) / 캘리포니아(California),진판델 (Zinfandel) 100%,Californian Zinfandel,15~17 ℃,"붉은육류, 양고기, 양갈비, 스테이크, 갈비, 불고기, 말린과일, 견과류 와 잘 어울린다.",롯데칠성음료,1/5,3/5,4/5,3/5,"바닐라, 모카","불고기, 견과류",,California AVA,,,
"옐로우 테일, 소비뇽 블랑","Yellow Tail, Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=165614&lq=LIST,옐로우 테일 [카셀라 와인]  Yellow Tail [Casella Wines],호주(Australia) / 뉴 사우스 웨일즈(New South Wales),소비뇽 블랑 (Sauvignon Blanc),Australian Sauvignon Blanc,8~10 ℃,"회, 스시, 연어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",롯데칠성음료,1/5,4/5,2/5,1/5,,,,,,,
"비네티 델 불투레, 피폴리 로자또","Vigneti del Vulture, Pipoli Rosato",https://www.wine21.com/13_search/wine_view.html?Idx=165615&lq=LIST,비네티 델 불투레  Vigneti del Vulture,이탈리아(Italy) / 바실리카타(Basilicata),알리아니코 (Aglianico) 100%,,12~14 ℃,"다양한 씨푸드 아페리티프, 가금류와 돼지고기 등의 흰살 육류, 프레쉬 치즈 등과 잘 어울린다.",(주)와이넬,1/5,3/5,3/5,1/5,"체리, 꽃","가금류, 씨푸드, 아페리티프, 치즈",* 2019 빈티지 - 2020 Korea Wine Challenge - Gold Medal* 2018 빈티지 - 2019 Korea Wine Challenge - Gold Medal점,,12~13 %,,
"비네티 델 불투레, 피폴리 알리아니꼬 델 불투레 제로","Vigneti del Vulture, Pipoli Aglianico del Vulture Zero",https://www.wine21.com/13_search/wine_view.html?Idx=165616&lq=LIST,비네티 델 불투레  Vigneti del Vulture,이탈리아(Italy) / 바실리카타(Basilicata),알리아니코 (Aglianico) 100%,Southern Italy Red,16~18 ℃,"오븐에 조리한 로스티드 미트, 붉은 육류나 사냥고기 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,"바닐라, 효모",미트,*2017 빈티지: Luca Maroni 91점*2015 빈티지:2018 Wine Hunter Awards High Quality Awards,,13~14 %,,
"울프 블라스, 레드 라벨 스파클링 뀌베","Wolf Blass, Red Label Sparkling Cuvee",https://www.wine21.com/13_search/wine_view.html?Idx=165617&lq=LIST,울프 블라스  Wolf Blass,호주(Australia) / 사우스 오스트레일리아(South Australia),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir),,6~8 ℃,"스시, 회, 해산물, 조개, 다양한 치즈, 하몽, 프로슈토, 아시아요리, 동남아요리, 파스타 등과 잘 어울린다.",롯데칠성음료,1/5,4/5,2/5,1/5,"복숭아, 시트러스","스시, 해산물, 파스타, 치즈",,,,,
치엘로 나인 프리잔테 비앙코,Cielo 9 Frizzante Bianco,https://www.wine21.com/13_search/wine_view.html?Idx=165618&lq=LIST,치엘로 에 테라  Cielo e Terra,이탈리아(Italy) / 베네토(Veneto),가르가네가 (Garganega) 100%,,8~10 ℃,"스시, 회, 해산물, 조개, 다양한 치즈, 하몽, 프로슈토, 아시아요리, 동남아요리, 파스타 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,꽃,"스시, 해산물, 파스타, 치즈",,,9 %,,
치엘로 나인 프리잔테 로사토,Cielo 9 Frizzante Rosato,https://www.wine21.com/13_search/wine_view.html?Idx=165619&lq=LIST,치엘로 에 테라  Cielo e Terra,이탈리아(Italy) / 베네토(Veneto),메를로 (Merlot) 100%,,10~12 ℃,"식전주, 전채요리, 양념치킨, 매운요리, 동남아요리, 떡볶이, 디저트, 과일, 스낵 등과 잘 어울린다.",,2/5,3/5,2/5,1/5,건포도,"떡볶이, 식전주, 전채요리, 과일",,,9 %,,
꼬뜨 뒤 다뉴브 피노 누아,Cote du Danube Pinot Noir,https://www.wine21.com/13_search/wine_view.html?Idx=165620&lq=LIST,샤또 부르고조네  Chateau Burgozone,불가리아(Bulgaria) / 오랴호보(Oryahovo),피노 누아 (Pinot Noir) 100%,,14~16 ℃,"피자, 베이컨, 햄버거, 오리고기, 치즈 등과 잘 어울린다.",,1/5,3/5,2/5,2/5,,"오리고기, 치즈",,,13.5 %,,
피터 르만 포트레이트 카버네 소비뇽,Peter Lehman Potrait Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=165621&lq=LIST,피터 르만  Peter Lehmann,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),카베르네 소비뇽 (Cabernet Sauvignon) 100%,Australian Cabernet Sauvignon,15~17 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",롯데칠성음료,1/5,3/5,4/5,4/5,초콜릿,"양갈비, 치즈",,,,,
피터 르만 포트레이트 쉬라즈,Peter Lehman Potrait Shiraz,https://www.wine21.com/13_search/wine_view.html?Idx=165622&lq=LIST,피터 르만  Peter Lehmann,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,Australian Shiraz,15~17 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",롯데칠성음료,1/5,3/5,4/5,4/5,"자두, 초콜릿","양갈비, 자두",,,,,
피터 르만 아트 앤 소울 쉬라즈 카버네,Peter Lehman Art & Soul Shiraz Cabernet,https://www.wine21.com/13_search/wine_view.html?Idx=165623&lq=LIST,피터 르만  Peter Lehmann,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) / 카베르네 소비뇽 (Cabernet Sauvignon),Australian Cabernet - Shiraz,15~17 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",롯데칠성음료,1/5,4/5,4/5,4/5,자두,양갈비,,,,,
피터 르만 아트 앤 소울 소비뇽 블랑,Peter Lehman Art & Soul Sauvignon Blanc,https://www.wine21.com/13_search/wine_view.html?Idx=165624&lq=LIST,피터 르만  Peter Lehmann,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),소비뇽 블랑 (Sauvignon Blanc) 100%,Australian Sauvignon Blanc,6~8 ℃,"회, 스시, 연어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",롯데칠성음료,1/5,4/5,3/5,1/5,"복숭아, 시트러스",,,,,,
꼬뜨 뒤 다뉴브 까베르네 소비뇽,Cote du Danube Cabernet Saubignon,https://www.wine21.com/13_search/wine_view.html?Idx=165625&lq=LIST,샤또 부르고조네  Chateau Burgozone,불가리아(Bulgaria) / 오랴호보(Oryahovo),카베르네 소비뇽 (Cabernet Sauvignon) 100%,,16~18 ℃,"각종 육류요리, 버섯요리, 양고기, 치즈 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,"블랙베리, 건포도, 가죽","육류요리, 양고기, 버섯, 치즈",,,14 %,,
"킬리카눈, 그린스 빈야드 쉬라즈","Kilikanoon, Green's Vineyard Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=165626&lq=LIST,킬리카눈  Kilikanoon,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,Australian Shiraz,15~17 ℃,"스테이크, 갈비, 불고기, 스튜, 양갈비, 버섯, 하몽, 한국음식 과 잘 어울린다.",롯데칠성음료,1/5,4/5,4/5,5/5,"체리, 오크","양갈비, 하몽, 버섯",*2006 빈티지: Wine Spectator 91점,,14.5~15.5 %,,
"킬리카눈, 킬러맨즈 런 리슬링","Kilikanoon, Killerman's Run Riesling",https://www.wine21.com/13_search/wine_view.html?Idx=165627&lq=LIST,킬리카눈  Kilikanoon,호주(Australia) / 사우스 오스트레일리아(South Australia),리슬링 (Riesling) 100%,Australian Riesling,6~8 ℃,"베이컨, 꼬치구이, 해산물, 양념치킨, 하몽, 살라미, 아시아요리, 매운음식, 동남아요리등과 잘 어울린다.",롯데칠성음료,1/5,3/5,3/5,1/5,,해산물,,,,,
"비냐 마이포, 알토 타하마르 쉬라즈","Vina Maipo, Alto Tajamar Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=165629&lq=LIST,비냐 마이포  Vina Maipo,칠레(Chile) / 마이포 밸리(Maipo Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,Chilean Syrah,15~17 ℃,"블고기, 양념갈비, 로스트비프, 바비큐, 그릴요리, 오리고기, 치킨, 숙성 치즈와 잘 어울린다.",롯데칠성음료,1/5,3/5,4/5,3/5,"자몽, 꿀","바비큐, 양념갈비, 치즈",,,,,
