와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,음용온도,추천음식,당도,산도,바디,타닌,아로마,음식매칭,등급,기타정보,수입사,스타일,알코올,숙성,양조
"아스트랄, 모스카토 다스티","Astrale, Moscato D'asti",https://www.wine21.com/13_search/wine_view.html?Idx=173067&lq=LIST,아스트랄  Astrale,이탈리아(Italy) / 피에몬테(Piemonte) / 아스티(Asti),모스카토  (Moscato ),6~8 ℃,"전채요리, 새우, 조개, 갑각류, 스시, 회, 샐러드, 야채, 탕수육, 양장피 등과 잘 어울린다.",3/5,2/5,1/5,1/5,"청사과, 복숭아, 자몽, 멜론, 아카시아, 민트, 세이지, 꿀","스시, 생선회, 해산물, 조개구이, 새우, 탕수육, 양장피, 튀김, 식전주, 샐러드, 과일, 체다, 모짜렐라, 디저트, 티라미수",Moscato d’Asti DOCG(DOP),,한산더블유앤비,Italian Moscato d'Asti,5~6 %,이스트와 함께 2개월 숙성,껍질 없이 15℃의 낮은 온도에서 5일간 스틸 탱크에서 발효
"도멘 부르소,  샹볼 뮈지니 '레 나주와르'","Domaine Boursot, Chambolle Musigny 'Les Nazoires'",https://www.wine21.com/13_search/wine_view.html?Idx=173068&lq=LIST,도멘 부르소  Domaine Boursot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 샹볼 뮈지니(Chambolle Musigny),피노 누아 (Pinot Noir),14~16 ℃,"로스트비프, 바비큐, 훈제오리, 닭고기, 참치, 훈제연어, 수육, 편육, 송이버섯, 다양한 치즈, 콩테, 크림파스타 등과 잘 어울린다.",1/5,3/5,3/5,2/5,"체리, 딸기, 크랜베리, 라스베리, 정향, 오크, 버섯","스튜, 로스트비프, 비프, 바비큐, 훈제오리, 닭고기, 참치, 편육, 수육, 크림파스타, 햄버거, 치즈, 브리, 꽁떼","Chambolle-Musigny AOC(AOP), 'Les Nazoires'",,비케이 트레이딩,Burgundy Côte de Nuits Red,13~14 %,"30% 뉴오크, 70% 올드 배럴에서 14개월 간 숙성.","평균 55년 수령의 나무에서 포도 수확. 손 수확, 유기농 재배."
"도멘 부르소,  샹볼 뮈지니 '레 라브로뜨'","Domaine Boursot, Chambolle Musigny 'Les Lavrottes'",https://www.wine21.com/13_search/wine_view.html?Idx=173069&lq=LIST,도멘 부르소  Domaine Boursot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 샹볼 뮈지니(Chambolle Musigny),피노 누아 (Pinot Noir),14~16 ℃,"로스트비프, 바비큐, 훈제오리, 닭고기, 참치, 훈제연어, 수육, 편육, 송이버섯, 다양한 치즈, 콩테, 크림파스타 등과 잘 어울린다.",1/5,3/5,3/5,2/5,"체리, 딸기, 복숭아, 자몽, 미네랄, 오크, 버섯","스튜, 로스트비프, 소고기, 훈제오리, 닭고기, 참치, 보쌈, 편육, 수육, 크림파스타, 햄버거, 치즈, 브리, 블루치즈, 꽁떼","Chambolle-Musigny 1er Cru AOC(AOP), 'Les Lavrottes'",,비케이 트레이딩,Burgundy Côte de Nuits Red,13~14 %,100% 올드 배럴에서 14개월 간 숙성,평균 50년 수령의 나무에서 포도 수확.
"도멘 부르소,  샹볼 뮈지니 '레 샤틀로트'","Domaine Boursot, Chambolle Musigny 'Les Chatelots'",https://www.wine21.com/13_search/wine_view.html?Idx=173070&lq=LIST,도멘 부르소  Domaine Boursot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 샹볼 뮈지니(Chambolle Musigny),피노 누아 (Pinot Noir),14~16 ℃,"로스트비프, 바비큐, 훈제오리, 닭고기, 훈제연어, 수육, 편육, 순대, 송이버섯, 다양한 치즈, 콩테, 크림파스타 등과 잘 어울린다.",1/5,3/5,3/5,2/5,"블랙베리, 체리, 블루베리, 자두, 정향, 가죽, 버섯, 젖은흙","로스트비프, 소고기, 육회, 훈제오리, 보쌈, 편육, 순대, 수육, 크림파스타, 리조또, 버섯, 자두, 치즈, 브리, 블루치즈, 콩테","Chambolle-Musigny 1er Cru AOC(AOP), 'Les Chatelots'",,비케이 트레이딩,Burgundy Côte de Nuits Red,13~14 %,"50% 뉴 오크 배럴, 50% 올드 배럴에서 14개월 간 숙성.",평균 수령 50년된 나무에서 포도 수확
"도멘 부르소,  샹볼 뮈지니 '레 퓨에' 비에이 비뉴","Domaine Boursot, Chambolle Musigny 'Les Fuees'",https://www.wine21.com/13_search/wine_view.html?Idx=173071&lq=LIST,도멘 부르소  Domaine Boursot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 샹볼 뮈지니(Chambolle Musigny),피노 누아 (Pinot Noir),14~16 ℃,"로스트비프, 바비큐, 훈제오리, 닭고기, 참치, 훈제연어, 수육, 편육, 송이버섯, 다양한 치즈, 콩테, 크림파스타 등과 잘 어울린다.",1/5,3/5,3/5,2/5,"블랙베리, 체리, 딸기, 블루베리, 정향, 오크, 버섯, 젖은흙","로스트비프, 소고기, 육회, 훈제오리, 닭고기, 불고기, 편육, 순대, 수육, 라자냐, 치즈, 브리, 꽁떼","Chambolle-Musigny 1er Cru AOC(AOP), 'Les Fuées'",,비케이 트레이딩,Burgundy Côte de Nuits Red,13~14 %,"25% 뉴 오크, 75% 올드 배럴에서 14개월 간 숙성",평균 75년 수령의 나무에서 포도 수확
"벨레노시, 라끄리마 디 모로 달바","Velenosi, Lacrima Di Morro d'Alba",https://www.wine21.com/13_search/wine_view.html?Idx=173072&lq=LIST,벨레노시  Velenosi,이탈리아(Italy) / 마르케(Marche),라크리마 (Lacrima),16~18 ℃,,1/5,3/5,4/5,3/5,"체리, 딸기, 블루베리, 라스베리, 석류, 제비꽃, 장미, 백합, 흰꽃, 꽃, 먼지","비프, 육회, 바비큐, 건육, 훈제오리, 한식, 편육, 수육, 오일파스타, 버섯, 견과류, 치즈, 리코타, 크림치즈",Lacrima di Morro d'Alba DOC(DOP),*2019 빈티지: IWSC 94점*2019 빈티지: Gilbert&Gaillard 금메달(93점)*2018 빈티지: Berliner WIne Trophy 금메달,,,13~14 %,스테인리스 탱크에서 숙성,
"꺄브 드 베블렌하임, 크레망 달자스","Cave de Beblenheim, Crémant d'Alsace",https://www.wine21.com/13_search/wine_view.html?Idx=173073&lq=LIST,까브 드 베블렌하임  Cave de Beblenheim,프랑스(France) / 알자스(Alsace),오쎄후와 (Auxerrois) / 피노 블랑 (Pinot Blanc),6~8 ℃,"식전주, 회, 해산물, 랍스터, 숙성치즈, 브리, 콩테, 건육 등과 잘 어울린다.",1/5,4/5,2/5,1/5,"청사과, 복숭아, 서양배, 자몽, 레몬, 구아바, 멜론, 라일락, 미네랄, 아몬드","건육, 스시, 생선회, 해산물, 씨푸드, 오일파스타, 식전주, 전채요리, 샐러드, 치즈, 리코타, 크림치즈, 모짜렐라",,*2020 Grand Concours des Vins d'Alsace 금상*2020 Concours General Agricole Paris 금메달,,French Crémant,12~13 %,2차 발효 및 12개월 간 병 숙성,
쉬... 잇츠 게부르츠트라미너,Shhh... It's Gewurztraminer,https://www.wine21.com/13_search/wine_view.html?Idx=173074&lq=LIST,피터 메르테스  Peter Mertes,독일(Germany) / 팔츠(Pfalz),게뷔르츠트라미너 (Gewurztraminer),8~10 ℃,"돼지고기, 꼬치구이, 베이컨, 오리로스, 치킨, 동남아요리, 아시아요리 등과 잘 어울린다.",2/5,2/5,3/5,1/5,"자몽, 열대과일, 리치, 망고, 파인애플, 아카시아, 장미","베이컨, 꼬치구이, 돼지고기, 오리로스, 치킨, 동남아요리, 아시아요리, 식전주, 샐러드",,,,German Gewürztraminer,13~14 %,,
쉬즈 올웨이즈 로제,She's Always Rose Sparkling,https://www.wine21.com/13_search/wine_view.html?Idx=173075&lq=LIST,에노이탈리아  Enoitalia,이탈리아(Italy) / 롬바르디아(Lombardia),피노 누아 (Pinot Noir) 100%,8~10 ℃,"베이컨, 해산물, 갑각류, 샐러드, 순대, 떡볶이, 아시아요리, 동남아요리 등과 잘 어울린다.",1/5,3/5,1/5,2/5,"체리, 딸기, 크랜베리, 오렌지, 장미, 꽃, 토마토","베이컨, 꼬치구이, 해산물, 랍스터, 새우, 순대, 떡볶이, 어묵, 동남아요리, 아시아요리, 튀김, 샐러드",,*2021 Berliner Wein Trophy - Gold,,,11~12 %,,
"언노운 에스테이트, 레드","Unknown Estate, Red",https://www.wine21.com/13_search/wine_view.html?Idx=173076&lq=LIST,언노운 에스테이트  Unknown Estate,스페인(Spain) / 예클라(Yecla),모나스트렐 (Monastrell) / 시라/쉬라즈 (Syrah/Shiraz),16~18 ℃,"소고기, 스테이크, 갈비찜, 양념갈비, 양갈비, 라자냐, 스튜, 크림파스타, 숙성 치즈 등과 잘 어울린다.",1/5,3/5,4/5,3/5,"블랙커런트, 블랙체리, 블랙베리, 자두, 후추, 바닐라, 타바코, 삼나무, 오크, 가죽","소고기, 스테이크, 양갈비, 살라미, 양념갈비, 갈비찜, 라자냐, 크림파스타, 자두, 치즈, 브리, 크림치즈",,,,,13~14 %,,
"에노이탈리아, 소피오 오로 블랑 드 블랑","Enoitalia, Soffio Oro Blanc de Blancs",https://www.wine21.com/13_search/wine_view.html?Idx=173077&lq=LIST,에노이탈리아  Enoitalia,이탈리아(Italy),블렌드 (Blend ),8~10 ℃,"식전주, 건육, 프로슈토, 샐러드, 과일, 동남아요리, 아시아요리 등과 잘 어울린다.",2/5,3/5,2/5,1/5,"사과, 감귤, 라임, 레몬, 아카시아, 백합, 흰꽃, 꽃","건육, 프로슈토, 생선구이, 동남아요리, 아시아요리, 튀김, 샐러드, 과일",,,,,11~12 %,,
"롤랜드 챔피언, 그랑 크뤼 시크릿 다라미스","Roland Champion, Grand Cru Secret d'Aramis",https://www.wine21.com/13_search/wine_view.html?Idx=173078&lq=LIST,롤랜드 챔피언  Roland Champion,프랑스(France) / 샹빠뉴(Champagne),피노 뮈니에 (Pinot Meunier) / 피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),8~10 ℃,"식전주, 회, 해산물, 굴, 랍스터, 킹크랩, 숙성치즈, 페타, 브리, 콩테, 건육 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"복숭아, 감귤, 라임, 레몬, 미네랄, 브리오슈, 아몬드","생선회, 해산물, 랍스터, 씨푸드, 복숭아, 치즈, 브리, 페타, 꽁떼",,,호메오와인갤러리,French Champagne,,,
"롤랜드 챔피언, 그랑 크뤼 블랑 드 블랑 '그랑 에클라트'","Roland Champion, Grand Cru Blanc de Blanc 'Grand Eclat'",https://www.wine21.com/13_search/wine_view.html?Idx=173079&lq=LIST,롤랜드 챔피언  Roland Champion,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),8~10 ℃,"식전주, 회, 해산물, 굴, 랍스터, 킹크랩, 숙성치즈, 페타, 브리, 콩테, 건육 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"감귤, 레몬, 파인애플, 바닐라, 브리오슈, 아몬드, 꿀","생선회, 해산물, 씨푸드, 식전주, 샐러드, 치즈, 파르미지아노, 체다, 고다, 브리",,,호메오와인갤러리,French Champagne,12~13 %,,
"롤랜드 챔피언, 그랑 크뤼 블랑 드 블랑 '카르테 누아'","Roland Champion, Grand Cru Blanc de Blancs 'Carte Noire'",https://www.wine21.com/13_search/wine_view.html?Idx=173080&lq=LIST,롤랜드 챔피언  Roland Champion,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),8~10 ℃,"식전주, 회, 해산물, 굴, 랍스터, 킹크랩, 숙성치즈, 페타, 브리, 콩테, 건육 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"감귤, 라임, 레몬, 파인애플, 꽃, 미네랄, 바닐라, 브리오슈","생선회, 랍스터, 씨푸드, 샐러드, 치즈, 고다, 브리, 콩테",,,호메오와인갤러리,French Champagne,,,
"노떼 로사, 바시아 로쏘 살렌토","Notte Rossa, Bascia Rosso Salento",https://www.wine21.com/13_search/wine_view.html?Idx=173081&lq=LIST,노떼 로사  Notte Rossa,이탈리아(Italy) / 뿔리아(Puglia),프리미티보 (Primitivo) / 네그로아마로 (Negroamaro),16~18 ℃,"소고기, 스테이크, 양고기, 양갈비, 스튜, 갈비찜, 양념갈비, 불고기, 숙성 치즈, 버섯, 블루치즈, 건육, 말린과일, 견과류 등과 잘 어울린다.",1/5,3/5,4/5,3/5,"체리, 딸기, 자두, 잼, 말린자두, 바닐라, 감초, 시나몬, 허브","스튜, 소고기, 스테이크, 양갈비, 양고기, 건육, 불고기, 양념갈비, 갈비찜, 라자냐, 리조토, 자두, 치즈, 체다, 브리, 꽁떼",,,젠니혼주류,,14~15 %,10일간 효모 숙성 후 프렌치 오크배럴에서 12개월 숙성,손 수확
"노떼 로사, 프리미티보 살렌토","Notte Rossa, Primitivo Salento",https://www.wine21.com/13_search/wine_view.html?Idx=173082&lq=LIST,노떼 로사  Notte Rossa,이탈리아(Italy) / 뿔리아(Puglia),프리미티보 (Primitivo),16~18 ℃,"소고기, 스테이크, 양갈비, 양꼬치, 건육, 갈비찜, 양념갈비, 햄버거, 피자, 다양한 치즈, 말린과일 등과 잘 어울린다.",2/5,2/5,4/5,2/5,"체리, 자두, 잼, 건포도, 말린자두, 바닐라, 시나몬, 오크","소고기, 스테이크, 양고기, 건육, 불고기, 양념갈비, 갈비찜, 햄버거, 피자, 자두, 치즈, 크림치즈",,,젠니혼주류,,14~15 %,"10일간 효모 숙성 후, 스테인레스 스틸 탱크에서 추가 숙성",
"노떼 로사, 프리미티보 로사토","Notte Rossa, Primitivo Rosato",https://www.wine21.com/13_search/wine_view.html?Idx=173083&lq=LIST,노떼 로사  Notte Rossa,이탈리아(Italy) / 뿔리아(Puglia),프리미티보 (Primitivo),10~12 ℃,"베이컨, 생선회, 해산물, 샐러드, 순대, 떡볶이, 아시아요리, 동남아요리 등과 잘 어울린다.",1/5,3/5,3/5,2/5,"체리, 라스베리, 오렌지, 장미, 꽃, 토마토","바비큐, 항정살, 돼지고기, 건육, 양념치킨, 생선회, 해산물, 편육, 순대, 동남아요리, 아시아요리, 과일, 견과류, 치즈",,*2023 대한민국 주류대상 '로제 와인부문 대상' 수상,젠니혼주류,,12~13 %,스테인레스 스틸 탱크에서 숙성,약 2~3 시간 스킨 컨택을 통해 색 추출.
"클리프 레이디 빈야드, 펠 피노 누아","Cliff Lede Vineyard, Fel Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=173084&lq=LIST,클리프 레이디  Cliff Lede,미국(U.S.A) / 캘리포니아(California) / 멘도치노 카운티(Mendocino County) / 앤더슨 밸리(Anderson Valley),피노 누아 (Pinot Noir),14~16 ℃,"로스트비프, 바비큐, 훈제오리, 닭고기, 참치, 훈제연어, 수육, 편육, 송이버섯, 다양한 치즈, 콩테, 크림파스타 등과 잘 어울린다.",1/5,3/5,3/5,2/5,"체리, 라스베리, 무화과, 석류, 꽃, 바닐라, 허브, 민트","로스트비프, 소고기, 바비큐, 훈제오리, 닭고기, 참치, 편육, 수육, 버섯, 치즈, 파르미지아노, 브리, 블루치즈, 크림치즈",,,,Californian Pinot Noir,14~15 %,프렌치 오크 16개월 숙성(뉴오크 비율 36%),
"펜리 이스테이트, 조지나 프림로즈 로제","Penley Estate, Georgina Primrose Rose",https://www.wine21.com/13_search/wine_view.html?Idx=173085&lq=LIST,펜리 이스테이트  Penley Estate,호주(Australia) / 사우스 오스트레일리아(South Australia) / 쿠나와라(Coonawarra),카베르네 소비뇽 (Cabernet Sauvignon) 100%,8~10 ℃,"베이컨, 생선회, 해산물, 샐러드, 순대, 떡볶이, 아시아요리, 동남아요리 등과 잘 어울린다.",1/5,3/5,2/5,2/5,"체리, 딸기, 라스베리, 장미, 꽃","베이컨, 바비큐, 스시, 생선회, 해산물, 편육, 순대, 떡볶이, 오일파스타, 동남아요리, 아시아요리, 튀김, 샐러드",,,비케이 트레이딩,,13~14 %,"프렌치 오크 (20%), 스테인리스 스틸 (80%) 에서 숙성",
"메리 에드워즈, 소비뇽 블랑 러시안 리버 밸리","Merry Edwards, Sauvignon Blanc Russian River Valley",https://www.wine21.com/13_search/wine_view.html?Idx=173086&lq=LIST,메리 에드워즈 와이너리  Merry Edwards Winery,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),소비뇽 블랑 (Sauvignon Blanc) / 소비뇽 블랑 뮈스케 (Sauvignon Blanc Musque),6~8 ℃,"생선구이, 해산물, 새우, 샐러드, 동남아요리, 아시아요리, 튀김 등과 잘 어울린다.",1/5,4/5,2/5,1/5,"레몬, 구아바, 열대과일, 망고, 멜론, 파인애플, 바나나, 자스민, 백합, 꽃, 삼나무, 오크, 꿀","생선구이, 장어구이, 해산물, 새우, 동남아요리, 아시아요리, 튀김, 샐러드",,"* Wine Spectator Top 100 와인에 다년간 수록 - 2016 17위, 2011 28위, 2009 9위, 2008 37위, 2007 40위",에노테카코리아,Californian Sauvignon Blanc,14~15 %,4개월간 앙금 숙성. 새 오크 15% 활용,100% 오크 발효
"메리 에드워즈, 피노 누아 러시안 리버 밸리","Merry Edwards, Pinot Noir Russian River Valley",https://www.wine21.com/13_search/wine_view.html?Idx=173087&lq=LIST,메리 에드워즈 와이너리  Merry Edwards Winery,미국(U.S.A) / 캘리포니아(California) / 소노마 카운티(Sonoma County) / 러시안 리버 밸리(Russian River Valley),피노 누아 (Pinot Noir),14~16 ℃,"로스트비프, 바비큐, 훈제오리, 닭고기, 참치, 훈제연어, 수육, 편육, 송이버섯, 다양한 치즈, 콩테, 크림파스타 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"체리, 블루베리, 크랜베리, 제비꽃, 꽃, 홍차, 버섯, 흙","로스트비프, 바비큐, 오리고기, 훈제오리, 닭고기, 참치, 나물, 수육, 크림파스타, 버섯, 송이버섯, 치즈, 체다, 브리, 콩테",,,에노테카코리아,Californian Pinot Noir,14~15 %,"9개월 프렌치 오크에서 lees 숙성, 새 오크 55% 사용",
"카르페 디엠, 샤르도네","Carpe Diem, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=173088&lq=LIST,카르페 디엠  Carpe Diem,미국(U.S.A) / 캘리포니아(California) / 멘도치노 카운티(Mendocino County) / 앤더슨 밸리(Anderson Valley),샤르도네 (Chardonnay),8~10 ℃,"가금류, 오리로스, 치킨, 생선구이, 해산물, 숙성 치즈, 동남아요리, 아시아요리 등과 잘 어울린다.",1/5,3/5,3/5,1/5,"배, 사과, 자몽, 멜론, 시나몬, 로즈마리, 삼나무, 오크","훈제오리, 닭고기, 오리로스, 생선구이, 생선 까르파치오, 해산물, 동남아요리, 아시아요리, 치즈, 브리, 블루치즈, 꽁떼",,,에노테카코리아,Californian Chardonnay,13~14 %,"10개월 오크 숙성, 20% 새 오크","천연 효모 사용, 이듬해 봄까지 젖산 발효"
"카르페 디엠, 피노 누아","Carpe Diem, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=173089&lq=LIST,카르페 디엠  Carpe Diem,미국(U.S.A) / 캘리포니아(California) / 멘도치노 카운티(Mendocino County) / 앤더슨 밸리(Anderson Valley),피노 누아 (Pinot Noir),14~16 ℃,"로스트비프, 바비큐, 훈제오리, 닭고기, 수육, 편육, 송이버섯, 다양한 치즈, 콩테, 크림파스타 등과 잘 어울린다.",1/5,3/5,3/5,2/5,"블랙커런트, 체리, 라스베리, 자두, 정향, 삼나무, 오크","로스트비프, 소고기, 스테이크, 바비큐, 훈제오리, 편육, 수육, 크림파스타, 리조또, 체더, 치즈, 브리, 까망베르, 그라노파다노, 콩테",,,에노테카코리아,Californian Pinot Noir,13~14 %,"10개월 오크 숙성, 12.5% 새 오크 사용","천연 효모 사용, 이듬해 봄까지 젖산 발효"
"도멘 앤더슨 에스테이트, 샤르도네 앤더슨 밸리","Domaine Anderson Estate, Chardonnay Anderson Valley",https://www.wine21.com/13_search/wine_view.html?Idx=173090&lq=LIST,도멘 앤더슨   Domaine Anderson,미국(U.S.A) / 캘리포니아(California) / 멘도치노 카운티(Mendocino County) / 앤더슨 밸리(Anderson Valley),샤르도네 (Chardonnay),10~12 ℃,"가금류, 오리로스, 치킨, 장어구이, 해산물, 숙성 치즈, 오일파스타 등과 잘 어울린다.",1/5,3/5,3/5,1/5,"석류, 살구, 배, 사과, 감귤, 레몬, 꽃, 미네랄, 토스트, 아몬드, 버터, 오크","닭고기, 오리로스, 치킨, 생선구이, 장어구이, 해산물, 랍스터, 오일파스타, 동남아요리, 치즈, 파르메산, 까망베르, 크림치즈, 모짜렐라",,,에노테카코리아,Californian Chardonnay,13~14 %,"오크 숙성 10개월, 8% 새 오크 사용","작은 225L 바리크에서 발효, 봄까지 젖산 발효"
"도멘 앤더슨 에스테이트, 피노 누아 앤더슨 밸리","Domaine Anderson, Estate Pinot Noir Anderson Valley",https://www.wine21.com/13_search/wine_view.html?Idx=173091&lq=LIST,도멘 앤더슨 에스테이트  Domaine Anderson Estate,미국(U.S.A) / 캘리포니아(California) / 멘도치노 카운티(Mendocino County) / 앤더슨 밸리(Anderson Valley),피노 누아 (Pinot Noir),14~16 ℃,"로스트비프, 바비큐, 훈제오리, 닭고기, 수육, 편육, 송이버섯, 다양한 치즈, 콩테, 크림파스타 등과 잘 어울린다.",1/5,3/5,3/5,2/5,"체리, 딸기, 크랜베리, 라스베리, 석류, 시트러스, 홍차, 허브, 삼나무, 오크, 낙엽","샤브샤브, 로스트비프, 소고기, 베이컨, 훈제오리, 닭고기, 족발, 편육, 수육, 크림파스타, 치즈, 브리, 블루치즈, 콩테",,,에노테카코리아,Californian Pinot Noir,13~14 %,,
"로드레 에스테이트, 콰르테 브륏","Roederer Estate, Quartet Brut",https://www.wine21.com/13_search/wine_view.html?Idx=173092&lq=LIST,로드레 에스테이트  Roederer Estate,미국(U.S.A) / 캘리포니아(California) / 멘도치노 카운티(Mendocino County) / 앤더슨 밸리(Anderson Valley),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir),6~8 ℃,"식전주, 전채요리, 광어회, 스시, 해산물, 건육, 스낵 등과 잘 어울린다.",1/5,3/5,3/5,1/5,"배, 사과, 시트러스, 오렌지, 꽃, 브리오슈, 토스트, 헤이즐넛, 버터","건육, 스시, 생선회, 해산물, 튀김, 식전주, 샐러드, 견과류, 치즈, 체다, 파르메산, 리코타",,* NV - Wine Spectator 100 에서 25위에 선정,에노테카코리아,Californian Sparkling,13~14 %,24개월 이상 숙성,18'C 스테인레스 스틸 탱크 발효
"라 파오느리, 베지 블랑","La Paonnerie, Vegyes Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=173093&lq=LIST,라 파오느리  La Paonnerie,프랑스(France) / 루아르(Loire),슈냉 블랑 (Chenin Blanc),10~12 ℃,"해산물, 시푸드, 튀김, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"시트러스, 구아바, 꽃, 미네랄","시푸드, 해산물, 튀김, 치즈",,,,Loire Chenin Blanc,,네츄럴 오크통에서 숙성,네츄럴 오크통에서 효모와 함께 발효
쉬... 잇츠 리슬링,Shhh... It's Riesling,https://www.wine21.com/13_search/wine_view.html?Idx=173094&lq=LIST,피터 메르테스  Peter Mertes,독일(Germany) / 모젤-자르-루버(Mosel-Saar-Ruwer),리슬링 (Riesling),8~10 ℃,"돼지고기, 삼겹살, 항정살, 양념치킨, 해산물, 중국요리, 아시아요리, 동남아요리, 순대, 떡볶이 등과 잘 어울린다.",1/5,4/5,2/5,1/5,"청사과, 사과, 라임, 레몬, 흰꽃, 꽃, 미네랄, 석유","베이컨, 삼겹살, 돼지고기, 양념치킨, 닭강정, 해산물, 문어숙회, 순대, 떡볶이, 어묵, 중국요리, 동남아요리, 아시아요리, 튀김, 샐러드, 치즈, 크림치즈",,,,German Riesling,13~14 %,,
"라 파오느리, 단세니 로제","La Paonnerie, d'Ancenis Rose",https://www.wine21.com/13_search/wine_view.html?Idx=173095&lq=LIST,라 파오느리  La Paonnerie,프랑스(France) / 루아르(Loire),가메이 (Gamay),12~14 ℃,"닭고기, 튀김, 샐러드 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"체리, 라스베리, 아카시아, 미네랄","닭고기, 튀김, 샐러드",Rosé de Loire AOC(AOP),,,,,6개월간 스테인리스통에서 숙성,"12시간동안 침용, 스테인리스 통에서 효모와 함께 발효"
쉬... 잇츠 피노 누아,Shhh... It's Pinot Noir,https://www.wine21.com/13_search/wine_view.html?Idx=173096&lq=LIST,피터 메르테스  Peter Mertes,독일(Germany) / 팔츠(Pfalz),피노 누아 (Pinot Noir),14~16 ℃,"육회, 바비큐, 훈제오리, 닭고기, 참치, 훈제연어, 수육, 편육, 다양한 치즈, 크림파스타 등과 잘 어울린다.",1/5,3/5,3/5,2/5,"체리, 딸기, 크랜베리, 바닐라","까르파치오, 소고기, 육회, 바비큐, 훈제오리, 가금류, 참치, 편육, 수육, 크림파스타, 치즈, 브리, 까망베르, 리코타, 크림치즈",,,,,13~14 %,,
"라 파오느리, 라 자끄리 루즈","La Paonnerie, La Jacquerie Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=173097&lq=LIST,라 파오느리  La Paonnerie,프랑스(France) / 루아르(Loire),카베르네 프랑 (Cabernet Franc) / 카베르네 소비뇽 (Cabernet Sauvignon),16~18 ℃,"소고기, 돼지고기, 닭고기, 튀김 등과 잘 어울린다.",1/5,4/5,4/5,2/5,"레드커런트, 블랙베리, 꽃, 미네랄, 피망, 오크, 버섯","소고기, 돼지고기, 닭고기, 튀김",,,,Upper Loire Red,,12개월간 네츄럴 오크통에서 숙성,줄기 제거 후 네츄럴 오크통에서 효모와 함께 발효
"에노이탈리아, 소피오 오로 로제 밀레지마토 스푸만테","Enoitalia, Soffio ORO Rose Millesimato Spumante",https://www.wine21.com/13_search/wine_view.html?Idx=173098&lq=LIST,에노이탈리아  Enoitalia,이탈리아(Italy),블렌드 (Blend ),6~8 ℃,,2/5,3/5,2/5,1/5,"체리, 딸기, 크랜베리, 감귤, 리치, 장미, 꽃","양념치킨, 후라이드, 스시, 생선회, 해산물, 불고기, 떡볶이, 양장피, 동남아요리, 아시아요리, 튀김, 식전주, 샐러드, 과일, 치즈, 리코타, 디저트",,,,,11~12 %,,
"르 쁘띠 지미오스, 무엘르 드 무스캇","Le Petit Gimios, Moelleux de Muscat",https://www.wine21.com/13_search/wine_view.html?Idx=173099&lq=LIST,르 쁘띠 지미오스  Le Petit Gimios,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),뮈스까 (Muscat),10~12 ℃,"해산물, 샐러드, 치즈 등과 잘 어울린다.",2/5,3/5,3/5,1/5,"살구, 복숭아, 시트러스, 꽃, 미네랄","해산물, 샐러드, 치즈",Languedoc AOC(AOP),,,Languedoc-Roussillon White,,,
"르 쁘띠 지미오스, 로제","Le Petit Gimios, Rose",https://www.wine21.com/13_search/wine_view.html?Idx=173100&lq=LIST,르 쁘띠 지미오스  Le Petit Gimios,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),블렌드 (Blend ),12~14 ℃,"튀김, 해산물, 샐러드 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"블랙베리, 체리, 복숭아, 꽃, 미네랄","해산물, 튀김, 샐러드",Languedoc AOC(AOP),,,Languedoc-Roussillon Rosé,,,
