와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,알코올,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,등급,기타정보,숙성,양조
"보데가스 엘 프로그레소, 오호스 델 구아디아나 시라 로블","Bodegas El Progreso, Ojos Del Guadiana Syrah Roble",https://www.wine21.com/13_search/wine_view.html?Idx=163404&lq=LIST,보데가스 엘 프로그레소   Bodegas El Progreso,스페인(Spain) / 라 만차(La Mancha),시라/쉬라즈 (Syrah/Shiraz),,,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,1/5,3/5,4/5,4/5,,양갈비,,,,
"보데가스 엘 프로그레소, 오호스 델 구아디아나 템프라니요","Bodegas El Progreso, Ojos Del Guadiana Tempranillo",https://www.wine21.com/13_search/wine_view.html?Idx=163405&lq=LIST,보데가스 엘 프로그레소   Bodegas El Progreso,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo),,,16~18 ℃,"붉은육류, 불고기, 갈비찜, 양갈비, 치킨, 순대, 햄버거, 피자, 한국음식 등과 잘 어울린다.",,1/5,3/5,4/5,3/5,,"붉은육류, 햄, 양갈비, 치킨",,,,
"보데가스 엘 프로그레소, 오호스 델 구아디아나 베르데호","Bodegas El Progreso, Ojos Del Guadiana Verdejo",https://www.wine21.com/13_search/wine_view.html?Idx=163406&lq=LIST,보데가스 엘 프로그레소   Bodegas El Progreso,스페인(Spain) / 라 만차(La Mancha),베르데호 (Verdejo),,,8~10 ℃,"돼지고기, 삼겹살, 항정살, 소시지, 새우, 랍스터, 대게, 조개찜, 샐러드, 채소, 건육, 육포, 살라미, 하몽 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,,육포,,,,
"보데가스 엘 프로그레소, 오호스 델 구아디아나 브뤼","Bodegas El Progreso, Ojos Del Guadiana Brut",https://www.wine21.com/13_search/wine_view.html?Idx=163407&lq=LIST,보데가스 엘 프로그레소   Bodegas El Progreso,스페인(Spain) / 라 만차(La Mancha),샤르도네 (Chardonnay),,,6~8 ℃,"식전주, 전채요리, 회, 스시, 해산물, 건육, 살라미, 하몽, 스낵 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"스시, 해산물, 식전주, 전채요리, 스낵",,,,
"보데가스 엘 프로그레소, 오호스 델 구아디아나 레세르바","Bodegas El Progreso, Ojos Del Guadiana Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=163408&lq=LIST,보데가스 엘 프로그레소   Bodegas El Progreso,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo),,,16~18 ℃,"붉은육류, 불고기, 갈비찜, 양갈비, 치킨, 순대, 햄버거, 피자, 한국음식 등과 잘 어울린다.",,1/5,3/5,4/5,3/5,,"붉은육류, 햄, 양갈비, 치킨",,,,
"보데가스 까사 안토네트, 틴토 템프라니요","Bodegas Casa Antonete, Tinto Tempranillo",https://www.wine21.com/13_search/wine_view.html?Idx=163409&lq=LIST,보데가스 까사 안토네트  Bodegas Casa Antonete,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo),,,16~18 ℃,"붉은육류, 불고기, 갈비찜, 양갈비, 치킨, 순대, 햄버거, 피자, 한국음식 등과 잘 어울린다.",,1/5,3/5,4/5,3/5,,"붉은육류, 햄, 양갈비, 치킨",,,,
"보데가스 까사 안토네트, 틴토 크리안자","Bodegas Casa Antonete, Tinto Crianza",https://www.wine21.com/13_search/wine_view.html?Idx=163410&lq=LIST,보데가스 까사 안토네트  Bodegas Casa Antonete,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo),,,16~18 ℃,"붉은육류, 불고기, 갈비찜, 양갈비, 치킨, 순대, 햄버거, 피자, 한국음식 등과 잘 어울린다.",,1/5,4/5,3/5,3/5,,"붉은육류, 햄, 양갈비, 치킨",,,,
"보데가스 까사 안토네트, 마카베오","Bodegas Casa Antonete, Macabeo",https://www.wine21.com/13_search/wine_view.html?Idx=163411&lq=LIST,보데가스 까사 안토네트  Bodegas Casa Antonete,스페인(Spain) / 라 만차(La Mancha),마카베오 (Macabeo),,,10~12 ℃,"생선회, 스시, 해산물, 흰살생선, 샐러드, 오일파스타, 떡볶이, 아시아요리 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"해산물, 떡볶이, 아시아요리, 샐러드",,,,
"보데가스 까사 안토네트, 네고라 샤르도네","Bodegas Casa Antonete, Negora Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=163412&lq=LIST,보데가스 까사 안토네트  Bodegas Casa Antonete,스페인(Spain) / 라 만차(La Mancha),샤르도네 (Chardonnay),,,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,1/5,3/5,3/5,1/5,,"바비큐, 수육, 탕수육, 치즈",,,,
"보데가스 까사 안토네트, 네고라 소비뇽 블랑","Bodegas Casa Antonete, Negora Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=163413&lq=LIST,보데가스 까사 안토네트  Bodegas Casa Antonete,스페인(Spain) / 라 만차(La Mancha),소비뇽 블랑 (Sauvignon Blanc),,,10~12 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,,,,,,
"보데가스 까사 안토네트, 네고라 베르데호","Bodegas Casa Antonete, Negora Verdejo",https://www.wine21.com/13_search/wine_view.html?Idx=163414&lq=LIST,보데가스 까사 안토네트  Bodegas Casa Antonete,스페인(Spain) / 라 만차(La Mancha),베르데호 (Verdejo),,,10~12 ℃,"돼지고기, 삼겹살, 항정살, 소시지, 새우, 랍스터, 대게, 조개찜, 샐러드, 채소, 건육, 육포, 살라미, 하몽 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,육포,,,,
"보데가스 까사 안토네트, 네고라 메를로","Bodegas Casa Antonete, Negora Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=163415&lq=LIST,보데가스 까사 안토네트  Bodegas Casa Antonete,스페인(Spain) / 라 만차(La Mancha),메를로 (Merlot),,,16~18 ℃,"스테이크, 훈제오리, 바비큐, 소시지, 수육, 프로슈토, 파스타, 피자 와 잘 어울린다.",,1/5,3/5,3/5,3/5,,"스테이크, 프로슈토, 훈제오리, 수육",,,,
"보데가스 까사 안토네트, 네고라 시라","Bodegas Casa Antonete, Negora Syrah",https://www.wine21.com/13_search/wine_view.html?Idx=163416&lq=LIST,보데가스 까사 안토네트  Bodegas Casa Antonete,스페인(Spain) / 라 만차(La Mancha),시라/쉬라즈 (Syrah/Shiraz),,,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,1/5,3/5,4/5,4/5,,양갈비,,,,
"보데가스 엑소틱 윈즈, 베루존 레알 셀렉시온 레드","Bodegas Exotic Winds, Berujon Real Seleccion Red",https://www.wine21.com/13_search/wine_view.html?Idx=163417&lq=LIST,보데가스 엑소틱 윈즈  Bodegas Exotic Winds,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo),,,16~18 ℃,"붉은육류, 불고기, 갈비찜, 양갈비, 치킨, 순대, 한국음식과 잘 어울린다.",,1/5,3/5,4/5,3/5,,"붉은육류, 양갈비, 치킨",,,,
"보데가스 엑소틱 윈즈, 베루존 익스프레션 템프라니요 레드","Bodegas Exotic Winds, Berujon Expresion Tempranillo Red",https://www.wine21.com/13_search/wine_view.html?Idx=163418&lq=LIST,보데가스 엑소틱 윈즈  Bodegas Exotic Winds,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo) 100%,,,16~18 ℃,"붉은육류, 불고기, 갈비찜, 양갈비, 치킨, 순대, 한국음식과 잘 어울린다.",,1/5,3/5,4/5,3/5,,"붉은육류, 양갈비, 치킨",,,,
"보데가스 엑소틱 윈즈, 베루존 익스프레션 시라 레드","Bodegas Exotic Winds, Berujon Expresion Syrah Red",https://www.wine21.com/13_search/wine_view.html?Idx=163419&lq=LIST,보데가스 엑소틱 윈즈  Bodegas Exotic Winds,스페인(Spain) / 라 만차(La Mancha),시라/쉬라즈 (Syrah/Shiraz),,,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,1/5,3/5,4/5,4/5,,양갈비,,,,
"보데가스 엑소틱 윈즈, 베루존 엑스프레션 카베르네 소비뇽 레드","Bodegas Exotic Winds, Berujon Expresion Cabernet Sauvignon Red",https://www.wine21.com/13_search/wine_view.html?Idx=163420&lq=LIST,보데가스 엑소틱 윈즈  Bodegas Exotic Winds,스페인(Spain) / 라 만차(La Mancha),카베르네 소비뇽 (Cabernet Sauvignon),,,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,,"양갈비, 치즈",,,,
"보데가스 엑소틱 윈즈, 센데로 데 컬러 레드","Bodegas Exotic Winds, Sendero De Color Red",https://www.wine21.com/13_search/wine_view.html?Idx=163421&lq=LIST,보데가스 엑소틱 윈즈  Bodegas Exotic Winds,스페인(Spain) / 라 만차(La Mancha),블렌드 (Blend ),,,16~18 ℃,"붉은육류, 불고기, 갈비찜, 양갈비, 치킨, 순대, 햄버거, 피자, 한국음식 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,,"붉은육류, 햄, 양갈비, 치킨",,,,
"보데가스 엑소틱 윈즈, 베루존 레알 화이트","Bodegas Exotic Winds, Berujon Real White",https://www.wine21.com/13_search/wine_view.html?Idx=163422&lq=LIST,보데가스 엑소틱 윈즈  Bodegas Exotic Winds,스페인(Spain) / 라 만차(La Mancha),아이렌 (Airen),,,8~10 ℃,"샐러드, 야채, 튀김, 다양한 치즈, 견과류 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,"튀김, 견과류, 치즈",,,,
"보데가스 아이유소, 핀카 로스 아자레스 템프라니요 카베르네 메를로","Bodegas Ayuso, Finca Los Azares Tempranillo Cabernet Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=163423&lq=LIST,보데가스 아이유소  Bodegas Ayuso,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo) / 카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),,,16~18 ℃,"붉은육류, 스테이크, 그릴요리, 불고기, 갈비찜, 양갈비, 치킨, 순대, 한국음식과 잘 어울린다.",,1/5,3/5,4/5,3/5,,"양갈비, 치킨",,,,
"보데가스 아이유소, 에스톨라 그란 레세르바","Bodegas Ayuso, Estola Gran Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=163424&lq=LIST,보데가스 아이유소  Bodegas Ayuso,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo) 65% / 카베르네 소비뇽 (Cabernet Sauvignon) 35%,,,17~19 ℃,"붉은육류, 스테이크, 그릴요리, 불고기, 갈비찜, 양갈비, 치킨, 순대, 한국음식과 잘 어울린다.",,1/5,3/5,3/5,3/5,,"양갈비, 치킨",,,,
"보데가스 아이유소, 에스톨라 레세르바","Bodegas Ayuso, Estola Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=163425&lq=LIST,보데가스 아이유소  Bodegas Ayuso,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo),,,16~18 ℃,"붉은육류, 불고기, 갈비찜, 양갈비, 치킨, 순대, 햄버거, 피자, 한국음식 등과 잘 어울린다.",,1/5,3/5,3/5,3/5,,"붉은육류, 햄, 양갈비, 치킨",,,,
"보데가스 아이유소, 에스톨라 템프라니요","Bodegas Ayuso, Estola Tempranillo",https://www.wine21.com/13_search/wine_view.html?Idx=163426&lq=LIST,보데가스 아이유소  Bodegas Ayuso,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo),,,16~18 ℃,"붉은육류, 불고기, 갈비찜, 양갈비, 치킨, 순대, 한국음식과 잘 어울린다.",,1/5,3/5,4/5,3/5,,"붉은육류, 양갈비, 치킨",,,,
"보데가스 아이유소, 에스톨라 베르데호","Bodegas Ayuso, Estola Verdejo",https://www.wine21.com/13_search/wine_view.html?Idx=163427&lq=LIST,보데가스 아이유소  Bodegas Ayuso,스페인(Spain) / 라 만차(La Mancha),베르데호 (Verdejo),,,8~10 ℃,"돼지고기, 삼겹살, 항정살, 소시지, 새우, 랍스터, 대게, 조개찜, 샐러드, 채소, 건육, 육포, 살라미, 하몽 등과 잘 어울린다.",,1/5,3/5,2/5,1/5,,육포,,,,
"보데가스 아이유소, 카스티요 데 베니자르 템프라니요",Castillo de Benizar Tempranillo,https://www.wine21.com/13_search/wine_view.html?Idx=163428&lq=LIST,보데가스 아이유소  Bodegas Ayuso,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo),,,16~18 ℃,"붉은육류, 불고기, 갈비찜, 양갈비, 치킨, 순대, 한국음식과 잘 어울린다.",,1/5,3/5,4/5,3/5,,"붉은육류, 양갈비, 치킨",,,,
"보데가스 아이유소, 카스티요 데 베니자르 화이트 세미스위트","Bodegas Ayuso, Castillo de Benizar White Semisweet",https://www.wine21.com/13_search/wine_view.html?Idx=163429&lq=LIST,보데가스 아이유소  Bodegas Ayuso,스페인(Spain) / 라 만차(La Mancha),,,,8~10 ℃,"샐러드, 크림치즈, 리코타, 말린과일, 초콜릿, 스낵 등 디저트와 잘 어울린다.",,3/5,2/5,2/5,1/5,,샐러드,,,,
"보데가스 아이유소, 아바디아 델 로블 틴토","Bodegas Ayuso, Abadia del Roble Tinto",https://www.wine21.com/13_search/wine_view.html?Idx=163430&lq=LIST,보데가스 아이유소  Bodegas Ayuso,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo),,,16~18 ℃,"붉은육류, 불고기, 갈비찜, 양갈비, 치킨, 순대, 한국음식과 잘 어울린다.",,1/5,3/5,3/5,3/5,,"붉은육류, 양갈비, 치킨",,,,
"비노스 & 보데가스, 레알 보데가 템프라니요","Vinos & Bodegas, Real Bodega Tempranillo",https://www.wine21.com/13_search/wine_view.html?Idx=163431&lq=LIST,비노스 & 보데가스  Vinos y Bodegas,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo),,,16~18 ℃,"붉은육류, 불고기, 갈비찜, 양갈비, 치킨, 순대, 한국음식과 잘 어울린다.",,1/5,3/5,4/5,3/5,,"붉은육류, 양갈비, 치킨",,,,
"비노스 & 보데가스, 레알 보데가 브랑코 세코 아이렌","Vinos & Bodegas, Real Bodega Blanco Seco Airen",https://www.wine21.com/13_search/wine_view.html?Idx=163432&lq=LIST,비노스 & 보데가스  Vinos y Bodegas,스페인(Spain) / 라 만차(La Mancha),아이렌 (Airen) 100%,,,8~10 ℃,"샐러드, 야채, 튀김, 다양한 치즈, 견과류 등과 잘 어울린다.",,1/5,4/5,2/5,1/5,,"튀김, 견과류, 치즈",,,,
"비노스 & 보데가스, 세노리오 데 메스탄자 템프라니요","Vinos & Bodegas, Senorio de Mestanza Tempranillo",https://www.wine21.com/13_search/wine_view.html?Idx=163433&lq=LIST,비노스 & 보데가스  Vinos y Bodegas,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo),,,16~18 ℃,"붉은육류, 불고기, 갈비찜, 양갈비, 치킨, 순대, 한국음식과 잘 어울린다.",,1/5,3/5,4/5,3/5,,"붉은육류, 양갈비, 치킨",,,,
"비노스 & 보데가스, 라 눈시아투라 템프라니요","Vinos & Bodegas, La Nunciatura Tempranillo",https://www.wine21.com/13_search/wine_view.html?Idx=163434&lq=LIST,비노스 & 보데가스  Vinos y Bodegas,스페인(Spain) / 라 만차(La Mancha),템프라니요 (Tempranillo),,,16~18 ℃,"붉은육류, 불고기, 갈비찜, 양갈비, 치킨, 순대, 햄버거, 피자, 한국음식 등과 잘 어울린다.",,1/5,3/5,4/5,4/5,,"붉은육류, 햄, 양갈비, 치킨",,,,
"비노스 & 보데가스, 라 눈시아투라 아이렌","Vinos & Bodegas, La Nunciatura Airen",https://www.wine21.com/13_search/wine_view.html?Idx=163435&lq=LIST,비노스 & 보데가스  Vinos y Bodegas,스페인(Spain) / 라 만차(La Mancha),아이렌 (Airen),,,8~10 ℃,"샐러드, 야채, 튀김, 다양한 치즈, 견과류 등과 잘 어울린다.",,1/5,4/5,1/5,1/5,,"튀김, 견과류, 치즈",,,,
"쉴드, 프라미에 스페셜 릴리즈 쉬라즈","Schild, Pramie Special Release Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=163437&lq=LIST,쉴드 에스테이트  Schild Estate,호주(Australia) / 사우스 오스트레일리아(South Australia) / 바로사 밸리(Barossa Valley),시라/쉬라즈 (Syrah/Shiraz) 100%,Australian Shiraz,,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",더블유에스통상,1/5,4/5,5/5,4/5,"자두, 바닐라, 삼나무","양갈비, 자두",,,,
세뇨리오 드 이니에스타 오가닉 시라,Senorio de Iniesta Organic Syrah,https://www.wine21.com/13_search/wine_view.html?Idx=163438&lq=LIST,보데가 유니온 캄페시나 이니에스텐스 [유씨아이]  Bodega Union Campesina Iniestense [UCI],스페인(Spain) / 만추엘라(Manchuela),시라/쉬라즈 (Syrah/Shiraz) 100%,Spanish Red,,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,1/5,3/5,4/5,4/5,"체리, 감초",양갈비,,"*비건 와인(VEGAN WINE): 청징 과정에서 알부민(계란흰자), 카제인 (우유 단백질), 젤라틴, 생선 부레 등을 일절 사용하지 않아 채식 주의자들도 즐길 수 있는 와인*유럽 공식 기관에서 비건 인증과 유기농 인증을 마친 와인",,
"다니엘 리옹 에 피스, 샤르도네","Daniel Rion & Fils, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=163439&lq=LIST,다니엘 리옹 에 피스  Daniel Rion [Domaine Daniel Rion & Fils],프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) 100%,Burgundy White,13.5 %,10~12 ℃,"해산물요리, 닭요리, 새우구이 등과 잘 어울린다.",,1/5,4/5,3/5,1/5,"배, 감귤, 아카시아, 꿀",,Bourgogne AOC(AOP),*2006 le guide hachette des Vins - 1 star,,
"토마스 고스, 메를로","Thomas Goss, Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=163440&lq=LIST,토마스 고스  Thomas goss,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),메를로 (Merlot) 100%,Australian Merlot,14.5 %,15~17 ℃,"다양한 음식과 어울리며 특히 붉은 육류와 파스타, 구운 토마토 등과 잘 어울린다.",,1/5,3/5,4/5,3/5,,파스타,,*2017 China Wine & Spirit Award - Best value & two golds*2017 Wine Orbit 93점,,
"에덴 릿지, 베럴 셀렉트 레드 블랜드","Eden Ridge, Barrel Select Red Blend",https://www.wine21.com/13_search/wine_view.html?Idx=163442&lq=LIST,에덴 릿지 와이너리 & 트루엣-허스트  Eden Ridge Winery & Truett-Hurst,미국(U.S.A) / 캘리포니아(California),메를로 (Merlot) 57% / 시라/쉬라즈 (Syrah/Shiraz) 23% / 쁘띠 시라  (Petite Sirah) 12% / 진판델 (Zinfandel) 6% / 카베르네 소비뇽 (Cabernet Sauvignon) 2%,Californian Red Blend,14.5 %,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",와인투유코리아,1/5,3/5,4/5,4/5,"블랙베리, 자두, 모카",치즈,California AVA,,,
"레 제르티에르 뒤 콤트 라퐁, 마콩 밀리 라마르틴느","Les Heritiers du Comte Lafon, Macon Milly Lamartine",https://www.wine21.com/13_search/wine_view.html?Idx=163445&lq=LIST,에리티에 뒤 콤트 라퐁  Heritiers du Comte Lafon,프랑스(France) / 부르고뉴(Bourgogne) / 마꼬네(Maconnais) / 마꽁(Macon),샤르도네 (Chardonnay) 100%,Burgundy Macônnais White,,10~12 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",에노테카코리아,1/5,4/5,3/5,1/5,"백도, 시트러스","해산물, 수육, 탕수육, 치즈",,*2016 빈티지: Robert Parker 88점,,
"레 제르티에르 뒤 콤트 라퐁, 마콩 위쉬지 레 마랑슈","Les Heritiers du Comte Lafon, Macon Uchizy Les Maranches",https://www.wine21.com/13_search/wine_view.html?Idx=163446&lq=LIST,에리티에 뒤 콤트 라퐁  Heritiers du Comte Lafon,프랑스(France) / 부르고뉴(Bourgogne) / 마꼬네(Maconnais) / 마꽁(Macon),샤르도네 (Chardonnay) 100%,Burgundy Macônnais White,,10~12 ℃,화이트 소스 베이스의 음식이나 치즈와 잘 어울린다.,에노테카코리아,1/5,4/5,3/5,1/5,"레몬, 파인애플, 꽃, 미네랄",치즈,,*2016 빈티지: Robert Parker 88점,,
"레 제르티에르 뒤 콤트 라퐁, 비레 클레쎄","Les Heritiers du Comte Lafon, Vire-Clesse",https://www.wine21.com/13_search/wine_view.html?Idx=163447&lq=LIST,에리티에 뒤 콤트 라퐁  Heritiers du Comte Lafon,프랑스(France) / 부르고뉴(Bourgogne) / 마꼬네(Maconnais) / 마꽁(Macon),샤르도네 (Chardonnay) 100%,Burgundy Macônnais White,,10~12 ℃,"훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",에노테카코리아,1/5,3/5,3/5,1/5,"복숭아, 망고, 미네랄, 꿀","해산물, 수육, 탕수육, 치즈",Mâcon AOC(AOP),*2016 빈티지: Robert Parker 90점,,
"아쑤리, 롤란도","Assuli, Lorlando",https://www.wine21.com/13_search/wine_view.html?Idx=163448&lq=LIST,아쑤리  Assuli,이탈리아(Italy),네로 다볼라 (Nero d'Avola),,,16~18 ℃,"스테이크, 양갈비, 그릴요리, 바비큐, 훈제오리, 육포, 초리조, 프로슈토, 난자완스, 불고기, 족발, 파스타와 잘 어울린다.",,1/5,3/5,4/5,3/5,,"바비큐, 양갈비, 훈제오리, 파스타, 난자완스",,,,
"아쑤리, 피오르딜리기","Assuli, Fiordiligi",https://www.wine21.com/13_search/wine_view.html?Idx=163449&lq=LIST,아쑤리  Assuli,이탈리아(Italy),그릴로 (Grillo),,,8~10 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,1/5,2/5,4/5,1/5,,,,,,
"아쑤리, 루쩨로","Assuli, Ruggiero",https://www.wine21.com/13_search/wine_view.html?Idx=163450&lq=LIST,아쑤리  Assuli,이탈리아(Italy),시라/쉬라즈 (Syrah/Shiraz),,,17~19 ℃,"스테이크, 양갈비, 바비큐, 불고기, 양념갈비, 파스타, 다양한 치즈, 한국음식 등과 잘 어울린다.",,1/5,3/5,4/5,3/5,,"스테이크, 바비큐, 양갈비, 파스타, 치즈",,,,
"아쑤리, 돈나 안젤리카","Assuli, Donna Angelica",https://www.wine21.com/13_search/wine_view.html?Idx=163451&lq=LIST,아쑤리  Assuli,이탈리아(Italy),카타라토 (Catarratto),,,10~12 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",,1/5,2/5,3/5,1/5,,,,,,
"까루가테, 소아베 클라시코 몬테 알토","Ca'Rugate, Soave Cl. Monte Alto",https://www.wine21.com/13_search/wine_view.html?Idx=163452&lq=LIST,까루가테  Ca'Rugate,이탈리아(Italy),가르가네가 (Garganega),,,6~8 ℃,"스시, 회, 새우, 해산물, 샐러드, 야채, 스낵, 파스타 등과 잘 어울린다.",,1/5,4/5,1/5,1/5,,"스시, 파스타, 스낵",,,,
"프레스코발디, 니포자노 리제르바","Frescobaldi, Nipozzano Riserva",https://www.wine21.com/13_search/wine_view.html?Idx=163453&lq=LIST,프레스코발디  Frescobaldi,이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese) 90% / 기타 품종 (Other Grapes) 10%,Central Italy Red,13 %,16~18 ℃,"스테이크와 같은 육류 요리, 닭고기 요리 그리고 치즈와 잘 어울린다.",,1/5,3/5,4/5,3/5,"꽃, 토스트, 커피","스테이크, 닭고기, 치즈",Chianti Rufina DOCG(DOP),"*2014 빈티지: James Suckling 90점*2013 빈티지: Wine Advocate 91점, James Suckling 91점*2012 빈티지: Wine Spectator 89점, James Suckling 92점*2007 빈티지: Wine Spectator 91 점*2007 Wine Spectator 100대 와인*2011 Wine Enthusiast 1위",,
"로제 꿀롱, 로메 엑스트라 브뤼 프르미에 크뤼","Roger Coulon, L'Hommée Extra Brut 1er Cru",https://www.wine21.com/13_search/wine_view.html?Idx=163455&lq=LIST,로제 꿀롱  Roger Coulon,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 60% / 피노 누아 (Pinot Noir) 40%,French Champagne,,6~8 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,5/5,3/5,1/5,"살구, 시트러스, 흰꽃, 바닐라, 브리오슈","스시, 샐러드, 과일, 치즈",Champagne AOC(AOP),,"10개월 동안 오크통에서 숙성, 셀러에서 최소 5년 숙성",
"로제 꿀롱, 브뤼 호즈리","Roger Coulon, Roselie",https://www.wine21.com/13_search/wine_view.html?Idx=163456&lq=LIST,로제 꿀롱  Roger Coulon,프랑스(France) / 샹빠뉴(Champagne),피노 뮈니에 (Pinot Meunier) 100%,French Champagne,,7~9 ℃,"쿠키와 비스킷, 과일 디저트와 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,4/5,3/5,1/5,"딸기, 배, 후추, 오크","과일, 디저트",Champagne AOC(AOP),,셀러에서의 숙성을 단기간 진행,수확된 포도의 절반 가량의 포도 껍질을 24시간 정도 담가 놓아 색깔과 맛을 냄
"로제 꿀롱, 브뤼 밀레짐 블랑 드 누아","Roger Coulon, Brut Millesime Blanc de Noir",https://www.wine21.com/13_search/wine_view.html?Idx=163457&lq=LIST,로제 꿀롱  Roger Coulon,프랑스(France) / 샹빠뉴(Champagne),피노 뮈니에 (Pinot Meunier) 50% / 피노 누아 (Pinot Noir) 50%,French Champagne,,7~9 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",루벵코리아 (루뱅쿱),1/5,4/5,3/5,1/5,"청사과, 서양배, 오렌지, 미네랄, 버터, 꿀","스시, 샐러드, 과일, 치즈, 디저트",Champagne AOC(AOP),,,
