생산지역,설명
상트네Santenay,"상트네(Santenay)는 프랑스 부르고뉴(Bourgogne) 지역의 코트 드 본(Côte de Beaune) 최남단에 위치한 작은 와인 생산 마을이다. 이곳은 주로 레드 와인으로 유명하며, 피노 누아(Pinot Noir)를 중심으로 생산한다. 소량의 화이트 와인도 생산되는데, 이는 샤르도네(Chardonnay) 품종으로 만들어진다."
알록스-꼬르통Aloxe-Corton,"알록스 꼬르통(Aloxe-Corton)은 프랑스 부르고뉴 지역 와인 산지다. 좀 더 자세히 살펴보면 꼬뜨 드 본에 속하며, 남향 혹은 남동향 포도원에서는 피노 누아로 만든 레드 와인, 대부분의 서향 혹은 남서향 포도원에서는 샤르도네로 만든 화이트 와인이 생산된다."
생-오방Saint-Aubin,"생-오방(Saint-Aubin)은 프랑스 부르고뉴 지역의 와인 산지다. 꼬뜨 드 본에 속하는 생-오방은 섬세하고, 예리한 화이트 와인과 매력적인 과실 향을 지닌 레드 와인이 생산된다. 화이트 와인과 레드 와인은 각각 절반 씩 생산된다."
샤샤뉴-몽라셰Chassagne-Montrachet,"샤샤뉴-몽라셰(Chassagne-Montrachet)는 프랑스 부르고뉴 지역의 와인 산지다. 정확히는 꼬뜨 드 본에 속하며, 샤샤뉴-몽라셰 와인 스타일은 쀨리니-몽라셰와 뫼르소의 중간으로 쀨리니에 비교하면 섬세함이 적고, 뫼르소 보다는 덜 풍부하다고 평가 받는다."
뫼르소Merusault,"뫼르소(Merusault)는 프랑스 부르고뉴 지역의 와인 산지다. 꼬뜨 드 본에서 핵심적인 역할을 하는 뫼르소는 샤르도네로 가장 유명하고 위대한 화이트 와인을 생산한다. 뫼르소 와인은 향이 풍부하며, 감칠맛이 느껴지고, 견과류와 약간의 꿀 향을 특징적으로 보여준다. 더불어 버터, 스파이스, 오크에서 유래한 바닐라 향도 느낄 수 있다."
볼네Volnay,"볼네(Volnay)는 프랑스 부르고뉴 지역의 와인 산지다. 볼네는 꼬뜨 드 본에서 가장 섬세하며 우아한 레드 와인이 생산되는 곳이다. 백악질 성분 함량이 높으며, 점토 함량은 낮다. 과거 볼네 와인은 가볍고 마시기 편안한 스타일이었으나 최근 들어서는 장기 숙성 잠재력이 큰 와인 생산이 늘고 있다. 그랑 크뤼 포도원은 없으나 프리미에 크뤼는 몇 곳 존재한다."
부죠Vougeot,"부조(Vougeot)는 프랑스 부르고뉴 지역의 와인 산지다. 꼬뜨 드 뉘에 속하며, 끌로 드 부조(Clos de Vougeot)라는 그랑 크뤼 포도원이 있다. 이 포도원은 1336년 시토회 수도승에 의해 포도 재배가 시작되었으며, 돌로 쌓인 담으로 둘러져 있다."
사우스 이스턴 오스트레일리아South Eastern Australia,사우스 이스턴 오스트렐리아(South Eastern Australia)는 남호주와 뉴 사우스 웨일스를 포괄하는 명칭이다. 여러 지역의 와인이 섞여 완성된 경우 이 이름을 쓴다.
맥라렌 베일McLaren Vale,"맥라렌 베일(McLaren Vale)은 호주의 와인 산지다. 존 레이넬(John Reynell)은 1838년에 맥라렌 베일에 처음으로 포도 나무를 심었고, 나중에 토마스 하디(Thomas Hardy)라는 젊은 노동자를 고용했다. 이 2개의 와이너리는 이 후 이 지역을 백년 넘게 이끌게 된다. 맥라렌 베일은 호주의 다른 주에서 와인 산업이 유행하기 전 작은 와이너리들의 본보기가 되었으며 호주에서 가장 다양하며 발전된 지역 중 한 곳으로 알려져 있"
클레어 밸리Clare Valley,클레어 밸리(Clare Valley)는 호주의 와인 산지다. 클레어 밸리의 시작은 1852년으로 거슬러 오르며 지금껏 지속되는 와인 생산 역사를 지녔다. 클레어 밸리는 인상적인 석조 건물들과 와이너리들로 아름답게 채워져 있다.
뤼싹-생-떼밀리옹Lussac-Saint-Emilion,뤼싹-생-떼밀리옹(Lussac-Saint-Emilion)은 프랑스 보르도에 속하는 와인 산지로 생-떼밀리옹 위성 와인 산지 중 하나이다. 뤼싹-생-떼밀리옹은 갸론느와 도르도뉴 강 우안에 위치해 언덕과 작은 계곡들로 이뤄져 토양 또한 다양하다. 언덕과 작은 계곡들로 이뤄져 다양한 토양을 지니고 있다.
호주Australia,호주(Australia)는 와인을 생산하기에 완벽한 나라라고 말할 수 있다. 호주의 커다란 땅 덩어리와 2천만이 조금 넘는 비교적 작은 인구를 지녀 환경은 자연 그대로 남아있다. 이러한 환경은 신선하고 건강한 포도를 재배하기에 이상적이어서 순수한 과일의 풍미가 넘치는 세계적으로 명성 높은 최고급 와인을 만들어 낸다.
로버트슨Robertson,"로버트슨(Robertson)은 남아프리카 공화국의 웨스턴 케이프 주에 위치해 있다. 이 지역은 브리드 강(Breede River) 계곡에 자리잡고 있으며, 그로 인해 기후와 토양이 와인 재배에 적합한 환경을 제공한다. '와인의 계곡'으로 알려져 있으며, 풍부한 농업 역사를 자랑한다. 이 지역은 아름다운 산맥과 강이 어우러진 풍경으로 유명하며, 와인 생산 외에도 말 사육으로도 유명하다."
부브레Vouvray,"부브레(Vouvray)는 프랑스 루아르 계곡의 심장부에 위치한, 세계적으로 유명한 와인 산지이다. 이 지역은 특히 슈냉 블랑 포도로 만든 화이트 와인으로 잘 알려져 있다. 기후는 대체로 온화하며, 강의 영향으로 일교차가 크지 않아 포도 재배에 이상적인 환경을 제공한다. 이로 인해 포도는 천천히 완숙되어 복잡한 풍미와 아로마를 갖추게 된다."
꼬르비에르Corbieres,"꼬르비에르(Corbieres)는 프랑스 남부의 랑그독-루시옹(Languedoc-Roussillon) 지역에 위치하며, 광활한 와인 생산 지역 중 하나다. 이 지역은 다양한 지형과 기후 조건을 가지고 있어, 와인의 스타일도 매우 다양하다. Corbières AOC(Appellation d'Origine Contrôlée, 원산지 명칭 보호)는 1985년에 공식 인정받았으며, 이곳에서 생산되는 와인은 주로 레드 와인이지만, 화이트와 로제 와인도 생산된다."
레이다 밸리Leyda Valley,"레이다 밸리(Leyda Valley)는 칠레 산티아고에서 서쪽 해안가에 자리한 와인 산지다. 레이다 밸리는 분류 상 산 안토니오 밸리에 부속된 와인산지로, 해안과의 거리는 14km로 매우 가까워 늘 서늘한 바람이 불어와 한여름에도 낮기온이 27도를 넘지 않는다. 새로이 조성되는 포도원은 마이포 강에 연결된 파이프라인을 통해 물을 공급받는다. 따라서, 포도 및 와인 생산량은 다소 제한적일 수 밖에 없다."
멘도치노Mendocino,
리브쟐트Rivesaltes,리브잘트(Rivesaltes)는 남프랑스의 와인 산지다. 리브잘트는 레드 와인으로 만든 주정 강화 와인 뱅 두 나투렐(Vin doux naturel)을 생산한다. 덥고 건조한 루시옹의 기후 탓으로 이런 와인들의 생산이 매우 유리하다.
트라이젠탈Traisental,"트라이젠탈(Traisental)은 오스트리아의 신흥 와인 산지다. 트라이젠탈은 791헥타르의 포도원이 형성되어 있으며, 오스트리아에서 가장 짧은 역사와 가장 작은 규모를 지닌다. 건조한 기후이며, 포도원은 석회질이 풍부한 토양에 좁은 계단식으로 형성되어있다."
로마Roma,
예클라Yecla,"예클라(Yecla)는 스페인의 작은 와인 산지 중 하나다. 무르시아(Murcia)지방 남동부에 위치하며, 후미야(Jumilla)와 알만사(Almansa)지역과 접하고 있다."
샹볼 뮈지니Chambolle Musigny,"샹볼-뮈지니(Chambolle Musigny)는 Chambolle-Musigny는 프랑스 부르고뉴 지방의 코트 드 뉘(Côte de Nuits) 지역에 위치해 있다. 이 마을은 면적이 약 152 헥타르로, 부르고뉴에서도 가장 유명하고 고급스러운 와인을 생산하는 지역 중 하나로 손꼽힌다. Chambolle-Musigny는 주로 피노 누아(피노 누아) 품종으로 만든 레드 와인이 유명하다."
비오-비오 밸리Bio-Bio-Valley,"비오 비오 밸리(Bio-Bio Valley)는 칠레 남부 와인산지다. 칠레 남부는 북쪽 지역에 비해 비가 많이 내리는데, 이 지역은 시원한 여름을 보내면서 포도가 천천히 익으며, 그 결과 아로마틱한 화이트 와인 생산에 적합하다."
알렌테주Alentejo,"알렌테주(Alentejo)는 포르투갈의 와인 산지다. 알렌테주는 과실향이 풍부하고 마시기 편안한 레드 와인과 고품질 레드 와인이 생산된다. 더운 기후라 화이트 와인 생산은 좀 어렵지만, 일부 와인은 품질이 매우 좋다. 알렌테주는 구릉과 평원이 반복되는 지형이며, 토양은 편암, 분홍빛 대리암, 석회암, 그리고 수분을 머금은 진흙으로 구성된다."
오크빌Oakville,"오크빌(Oakville)은 캘리포니아 나파밸리(Napa Valley) 중심부에 위치한 AVA(American Viticultural Area)로, 나파밸리에서도 가장 유명하고 고급 와인을 생산하는 지역 중 하나이다. 와인의 품질과 명성으로 세계적으로 인정받고 있으며, 특히 카베르네 소비뇽 기반의 와인이 뛰어난 곳이다 나파밸리 내에서도 가장 핵심적인 와인 산지로, 약 5,700에이커(약 2,307헥타르)의 포도밭이 집중되어 있다."
엉트르-두-메르Entre-Deux-Mers,엉트르-드-메르(Entre-Deux-Mers)는 프랑스 보르도 내 와인 산지다. 불어로 두 바다 사이라는 의미의 엉트르-드-메르는 포도밭이 도르돈뉴와 갸론 강 사이에 위치해 있어 그렇게 이름 지어졌다. 대체로 점토성-석회질 토양이 분포되어 있다.
혹스 베이Hawke’s Bay,"혹스베이(Hawke's Bay)는 뉴질랜드 북섬의 와인 산지다. 혹스베이는 다른 지역에 비해 강수량이 적고, 일조량이 가장 많으며, 배수가 잘 되는 자갈 토양을 가지고 있다. 전반적으로 보르도의 기후와 비슷하다고 볼 수 있다. 이 지역의 최고 와인은 카베르네 소비뇽이나 보르도 블렌딩으로 만들어진 와인들이 유명하다."
까파야떼Cafayate,"까파야떼(Cafayate)는 아르헨티나 살타(Salta)에 속하는 와인 산지다. 해발고도 1,500~2,000 미터 사이에 포도원이 분포하며, 모래 토양으로 되어있다. 토론테스 품종을 주로 재배한다."
클라크스버그Clarksburg,
알렉산더 밸리Alexander Valley,"알렉산더 밸리(Alexander Valley)는 미국 캘리포니아 소노마 카운티에 속하는 와인 산지다. 이 지역은 매우 더워 포도원은 대부분 높은 곳에 자리한다. 고도가 낮은 곳은 진판델, 높은 곳은 카베르네 소비뇽과 메를로를 재배한다."
야라 밸리Yarra Valley,"야라 밸리(Yarra Valley)는 호주 빅토리아주의 와인 산지다. 야라 밸리는 1838년 처음으로 포도 나무가 심어졌고, 이후 1860~70년대 급속하게 재배가 늘며, 황금 시대를 누린 지역이다. 하지만, 토양의 비옥함이 줄고 호주 전체가 주정 강화 와인에 집중하면서 1921년 와인 생산이 중단되었다."
카사블랑카 밸리Casablanca Valley,"카사블랑카 밸리(Casablanca Valley)는 칠레 산티아고에서 서쪽 해안가로 근접해 자리한 와인 산지다. 태평양 훔볼트 해류에 의한 냉각 효과를 극대로 누리는 곳으로 칠레에서는 최초로 서늘한 지역 포도 재배가 시도된 곳이다. 따라서, 이곳의 와인들은 산미가 좋다."
마틴보로Martinborough,"마틴보로(Martinborough)는 뉴질랜드 남섬의 남단에 위치한 와인 산지로, 북섬의 와이라라파(Wairarapa) 지역에 속해 있다. 특히 피노 누아(피노 누아)로 세계적으로 명성을 얻고 있는 곳이다. 마틴버러의 와인은 그 특유의 정교한 풍미와 균형 잡힌 구조로 인해 고품질의 와인 애호가들에게 인기가 많다. 작은 규모의 부티크 와이너리들이 주를 이루는 지역이다."
와이라라파Wairarapa,"와이라라파(Wairarapa)는 뉴질랜드 북섬 남쪽 끝에 위치한 작은 와인 산지로, 마틴버러(Martinborough), 그레이타운(Greytown), 글래드스톤(Gladstone) 등의 하위 지역을 포함한다. 와이너리 규모는 비교적 작지만, 품질 높은 와인을 생산하는 지역으로 명성이 높다. 특히, 피노 누아의 독특한 품질로 세계적인 주목을 받았다."
엠포르다Empord,"엠포르다(Emporda(Amporda))는 스페인 까탈루냐에 속하는 와인 산지다. 전통적으로 협동 조합에서 와인을 만들었고, 근래 들어 가족 경영의 작은 와이너리들이 생겨나고 있다. 석회점토 토양에 해안으로는 약간의 화강암이 분포한다. 지중해성 기후를 지니며, 트라몬타나(Tramontana)라 불리는 강한 바람의 영향을 받는다. 레드 와인이 주로 생산된다."
트렌토Trento,"트렌토(Trento)는 이탈리아의 와인 산지다. 트렌토는 트렌티노-알토 아디제에 속하며 샤르도네, 피노 비앙코, 피노 네로, 메우니에르 품종을 사용하여 병 속에서 재발효 하는 방법으로 만든 발포성 와인을 만든다."
산타 이네스 밸리Santa Ynez Valley,"산타 이네스 밸리(Santa Ynez Valley)는 미국 캘리포니아의 Santa Barbara County에 위치한 유명한 와인 산지이다. 이 지역은 서쪽의 해안선에서 동쪽의 내륙까지 이어지는 긴 계곡으로 이루어져 있으며, 독특한 기후와 지리적 특성이 포도 재배에 이상적인 환경을 제공한다."
로스 카네로스Los Carneros,"로스 카네로스(Los Carneros)는 캘리포니아의 나파 밸리와 소노마 밸리 사이에 위치한 독특한 와인 산지로, 이 지역은 특히 냉량한 기후와 고유한 토양 덕분에 고품질의 와인을 생산하기로 유명하다. 미국 캘리포니아 주에서 두 개의 주요 와인 생산지인 나파 밸리와 소노마 밸리의 남쪽 경계에 걸쳐 위치한 AVA(American Viticultural Area)이다."
카츠누마Katsunuma,
야키마 밸리Yakima Valley,"야키마 밸리(Yakima Valley)는 미국 북서부 워싱턴주에 속하는 와인 산지이며 워싱턴주 포도밭 전체 면적의 4분의 1이 넘는 면적을 보유하고 있다. 워싱턴 주의 가장 다양한 포도 재배 지역 중 하나이고, 연방 정부가 최초로 인정한 연방 정부의 AVA 이다."
몬터레이 카운티Monterey County,몬터레이 카운티(Monterey County)는 미국 캘리포니아에 속하는 와인 산지다. 이 지역에 처음 포도를 재배한 사람은 프란체스카 수도원의 사람들이었다. 이 들은 200년전 솔레다드(Soledad)에 위치한 수도원에 포도를 심었다. 그러나 와인 산지로서의 몬터레이 카운티의 잠재력이 본격적으로 발휘되기 시작한 것은 1960년대 초반이다.
몽따뉴 드 랭스Montagne de Reims,몽따뉴 드 랭스(Montagne de Reims)는 프랑스 샹파뉴 지역의 와인 산지다. 몽따뉴 드 랭스는 U자 모양의 넓은 평야다. 베슬레(Vesle)와 마르네(Marne)강을 향한 언덕들이 즐비해 포도밭의 햇빛 방향 또한 가지각색이다. 상파뉴 지역 그랑 크뤼 포도원 17곳 중 9곳이 이 곳에 속한다. 피노 누아가 주로 재배된다.
꼬뜨 데 블랑Côte des Blancs,"꼬뜨 데 블랑(Côte des Blancs)은 프랑스 샹파뉴 지역의 와인 산지다. 꼬뜨 데 블랑은 에페르네 남쪽에 위치하며 오직 화이트 품종만 재배한다. 동향 포도원이 주를 이루며, 가장 순수한 백악질 표현력을 지니는 와인이 생산된다."
발레 드 라 마른Vallee de la Marne,"발레 드 라 마른(Vallee de la Marne)은 샴페인 지역의 주요 와인 생산 지역 중 하나이다. 이 지역은 프랑스 북부에 위치하며, 마른 강(Marne River)을 따라 형성되어 있어 지역 명칭도 여기에서 유래했다. 기후는 대체로 온화한 해양성 기후로 분류되지만, 겨울은 춥고 여름은 비교적 시원하며, 강 기슭의 안개는 포도의 성숙 과정에 영향을 준다."
모르공Morgon,"모르공(Morgon)은 프랑스 보졸레 지역의 와인 산지다. 모르공은 보졸레 지역 10개의 크뤼 지역 중 2번째로 크며 포도원은 1100 헥타르 규모다. 물랭-아-방 와인보다 살짝 힘이 적은 와인이 생산된다. 하지만 모르공 와인은 단단하며, 가메이 품종이 지닌 순수성과 농축도를 잘 담고 있다."
꼬또 뒤 레이옹côteaux du Layon,꼬뜨 뒤 레이옹(Côteaux du Layon)은 프랑스 루아르 밸리의 와인 산지다. 꼬뜨 드 로방스와 함께 늦 수확한 슈냉 블랑으로 만든 달콤한 와인이 주로 생산된다.
꼬뜨 로띠Côte-Rotie,"꼬뜨 로띠(Côte-Rotie)는 프랑스 론 지역 북부에 위치한 와인 산지로, 주로 시라와 소량의 비오니에를 재배하는 것으로 유명하다. 이 지역은 약 73킬로미터에 걸쳐 리옹 남쪽에서 시작하여 론 강의 서쪽 기슭을 따라 분포하고 있다."
꽁드리유Condrieu,"꽁드리유(Condrieu)는 프랑스의 북부 론 계곡에 위치한 작은 AOC(Appellation d'Origine Contrôlée) 와인 산지이다. 이 지역은 론 강의 서쪽 기슭에 자리 잡고 있으며, 남쪽으로는 코르나스(Cornas)와 북쪽으로는 코트 로티(Côte-Rôtie) 사이에 위치해 있다."
야마나시Yamanashi,
사우스 아일랜드South Island,"사우스 아일랜드(South Island)은 그 특유의 기후와 지형 덕분에 세계적으로 독특한 와인을 생산하는 지역이다. 남섬의 와인 생산지는 대체로 서늘한 기후에 속하며, 특히 소비뇽 블랑(소비뇽 블랑)이 가장 대표적인 품종으로 유명하다."
뉴질랜드New Zealand,뉴질랜드(New Zealand)는 싱그러운 천연림과 맑고 깨끗한 강으로 청정 이미지를 지닌 남태평양의 섬나라다. 뉴질랜드는 약 1천년 전 새로운 땅을 찾아 이주해 온 마오리족이 '아오테아로아(Aotearoa)'로 부르던 곳이다. 아오테아로아는 '긴 하얀 구름의 나라' 라는 뜻이다. 뉴질랜드의 와인 역사는 매우 짧다.
마렘마Maremma,마렘마(Maremma)는 이탈리아 토스카나 주에 속하는 와인 산지다. 마렘마는 원래 그로세토(Grosseto)지역 해안가 평지를 뜻한다. 와인에 있어서는 남서부 해안가와 그에 이어진 내륙 포도원을 아우르는 표현이다. 포도 재배에 이상적인 조건으로 와인은 생산량 뿐만 아니라 고품질을 자랑한다.
로디Lodi,"로디(Lodi)는 미국 캘리포니아 센트럴 밸리에 속하는 와인 산지다. 이곳은 1850년대부터 칼라베라스 강을 따라 포도를 키워 이 강의 남쪽은 와인개울 이라 불렸다. 지중해성 기후를 지니며, 프랑스 론 지방의 둥글고 큰 자갈 토양으로 구성되어 있다. 오랜 수령의 진판델이 잘 알려져 있으며, 메를로, 샤르도네, 카베르네 소비뇽, 소비뇽 블랑도 성공적으로 재배된다."
스텔렌보쉬Stellenbosch,"스텔렌보쉬(Stellenbosch)는 남아공 최고의 와인 산지로 세계적으로 알려진 곳이다. 스텔렌보쉬의 포도원은 구릉 지대에 위치하며, 다양한 기후를 지녀 그만큼 와인스타일도 다양한다."
오버버그Overberg,"오버버그(Overberg)는 남아프리카 공화국의 웨스턴 케이프(Western Cape) 지역에 위치한 와인 산지이다. 이 지역은 Hermanus, Elgin, Walker Bay 등의 하위 지역으로 나뉘며, 해안가와 내륙 지역 모두 포함하고 있다."
워커 베이Walker Bay,"워커베이(Walker Bay)는 남아프리카 공화국의 주요 와인 산지 중 하나로, 아름다운 해안선을 따라 위치해 있다. 이 지역은 해양성 기후로 인해 서늘한 기온을 유지하며, 이는 고품질의 와인 생산에 적합한 환경을 제공한다. 바다에서 불어오는 시원한 바람과 해무는 포도밭의 과열을 방지하고, 온도 차이를 조절하여 포도가 천천히 익도록 도와준다."
케이프 사우스 코스트Cape South Coast,"케이프 사우스 코스트(Cape South Coast)는 남아공 와인의 모태이며, 남아공의 와인 랜드로 통하는 관문이다. 오늘날의 남아공은 독특한 다양성을 누리는 활기 넘치는 문화의 나라이다. 이러한 다양성은 남아공에서 생산되는 와인에도 반영되어 있다."
프리울리 베네찌아 줄리아Friuli Venezia Giulia,"프리올리 베네치아 줄리아(Friuli Venezia Giulia)는 이탈리아의 와인 산지다. 이 지역은 아드리아 해 북쪽과 오스트리아와 슬로베니아의 국경과 접해있으며, 현대적인 이탈리아의 화이트 와인이 생산되고 있다."
소아베Soave,"소아베(Soave)는 이탈리아 베네토 주에 속하는 와인 산지다. 소아베는 이탈리아에서 화이트 와인으로는 가장 큰 DOC지역이다. 소아베 지역 내 최고 포도원은 언덕에 자리하며, '클라시코(Classico)'라는 이름이 붙는다."
바르바레스코Barbaresco,"바르바레스코(Barbaresco)는 이탈리아 피에몬테의 우수한 와인 중의 하나 이다. 바르바레스코는 아주 오래전에 탄생한 와인으로, 리비(Livy)의 불멸의 작품인 '로마의 역사'에서 언급되었다. 과거에는 바르바레스코를 네비올로나 바롤로로 불렀으며 이 와인을 양조한 사람들이 와인에 달콤한 맛과 거품을 주는 모스카텔로(Moscatello)와 파세레타(Passeretta) 포도를 첨가했다."
깜빠니아Campania,"깜빠니아(Campania)는 이탈리아의 와인 산지다. 고대 로마인들은 깜빠니아 펠릭스(Campania Felix)를 가장 이상적인 와인 산지로 칭송했다. 그들은 나폴리 북쪽의 해안을 따라 포도원을 만들었고, 이곳에서 로마 제국에서 가장 뛰어난 와인인 팔레르니안(Falernian)을 생산하였다."
테살리아Thessaly,"테살리아(Thessaly)는 그리스 중부에 위치한 와인 산지로, 와인 생산에 있어 독특한 지리적, 기후적 조건을 갖추고 있는 지역이다. 이곳은 고대 그리스 신화에서 중요한 배경으로 등장하며, 최근 몇 년간 와인 품질의 꾸준한 향상으로 그리스 와인 애호가들 사이에서 인기를 얻고 있다. 테살리아는 험준한 산맥과 넓은 평야가 공존하는 지형이다."
미국U.S.A,"미국(U.S.A)은 콜럼버스가 신대륙을 발견하기 500년 전에 이미 포도가 재배되고 있었다. 기록에 따르면, 본격적인 유럽식 포도 재배는 200년 전 멕시코를 통해 들어온 프란체스코 선교사들을 통해서 였다고 한다. 미국 와인 생산은 뉴욕 주에서 처음 시작됐으나, 사람들이 황금을 찾아 서부로 이동하며 캘리포니아에서 크게 이뤄졌다."
레드 마운틴Red Mountain,"레드 마운틴(Red Mountain) AVA은 미국 북서부 워싱턴주에 속하는 와인 산지로, 면적 1,645헥타르 (2021년 기준)으로, 워싱턴주에서 재배 밀도가 가장 높은 지역이다. 성장기 낮 평균 기온이 약 섭씨 32도로 매우 따뜻한 지역이고, 야키마 밸리 지역 안에 자리하며 워싱턴주에서 가장 더운 지역이다. 연평균 강수량은 127mm 밖에 되지 않는다."
얌힐-칼튼Yamhill-Carlton,
Goriska BrdaGoriska Brda,
고리스카 브르다Goriska Brda,
쿠나와라Coonawarra,"쿠나와라(Coonawarra)는 호주의 와인 산지다. 쿠나와라(Coonawarra)는 1890년에 처음으로 포도나무를 심었고 이후 세 번의 뚜렷한 역사적인 변화를 겪었다. 역사적인 변화 첫 번째는 스코틀랜드에서 이주해온 존 리도취(John Riddoch)의 비전을 현실화, 두 번째는 존 리도취의 최초의 셀러가 증류소로 개조, 세 번째 마술같은 테라 로사(Terra Rossa)토양의 잠재력에 이뤄진 많은 투자의 집중을 들 수 있다."
아들레이드Adelaide,
애들레이드 힐즈Adelaide Hills,애들레이드 힐즈(Adelaide Hills)는 호주의 와인 산지다. 이 지역은 고급 테이블 와인과 스파클링 와인 생산으로 급속하게 성장하고 있다.
던디 힐Dundee Hills,
꼬뜨 드 가스꼬뉴Côtes de Gascogne,"꼬뜨 드 가스코뉴(Côtes de Gascogne)는 프랑스 남서부에 위치한 와인 생산 지역이다. 주로 갸스코뉴(Gascony)라고도 불리는 이 지역은 원래 아르마냑 생산으로 유명했으나, 최근에는 품질 좋은 테이블 와인 생산으로도 이름을 넓혀가고 있다."
팔츠Pfalz,"팔츠(Pfalz)는 독일의 와인 산지로 1992년까지 라인팔츠로 불렸다. 팔츠는 라인헤센 다음으로 독일에서 2번째로 큰 와인 산지다. 포도원은 2만 3천 헥타르 규모이며, 포도원들은 숲으로 둘러 쌓여 있다."
홀스 헤븐 힐스Horse Heaven Hills,"홀스 헤븐 힐스(Horse Heaven Hills)는 오리건 국경에서 야키마 밸리와 콜럼비아 강 사이에 자리 잡고 있고 포도 재배 면적이 워싱턴주 4분의 1이 넘는 와인 산지다. 홀스 헤븐 힐스 AVA는 워싱턴 주에서도 따뜻한 지역 중 하나로, 다양한 포도가 잘 익는다."
파타고니아Patagonia,
볼게리Bolgheri,"볼게리(Bolgheri)는 이탈리아 토스카나 주에 속하는 와인 산지다. 이 지역은 전설적인 와인 '사시까이아(Sassicaia)'의 명성과 함께 발전했다. 볼게리는 자갈이 많으며, 석회질 모래와 점토 토양으로 구성된다. 해안가와 가까워 기후는 그 영향을 많이 받는다. 산지오베제 보다는 국제 품종인 카베르네 소비뇽, 시라, 메를로 재배에 적합하며, 와인들은 농축미와 균형, 특징적으로 짭짤한 미네랄 풍미를 지닌다."
센트럴 코스트Central Coast,"센트럴 코스트(Central Coast)는 캘리포니아 중부 해안선을 따라 펼쳐진 광활한 와인 산지로, 샌프란시스코에서 산타 바바라까지 약 400km에 걸쳐 있다."
아콩카구아 밸리Aconcagua Valley,아콩카구아 밸리(Aconcagua Valley)는 칠레의 와인 산지다. 안데스 산맥과 아콩카구아 강이 연결되는 이 지역은 따뜻하고 건조한 기후를 가지고 있으며 레드 와인 생산에 알맞은 지역이다. 바다에서 불어오는 시원한 바람은 낮에는 따뜻하게 밤에는 서늘하게 만들어 포도가 천천히 익어가게 도와준다.
뉘른베르크Nurnberger,"뉘른베르크(Nurnberger)는 역사적인 바이에른 도시로 크리스트킨들 마켓으로 더 잘 알려져 있다. 크리스트킨들 마켓이 열리면 전통적으로 마시는 음료인 글뤼바인이 있는데 이로 유명하다. 레드 와인에 설탕과 스파이스를 넣고 뜨겁게 먹는 글뤼바인은 추운 날 마시면 따끈하게 몸을 녹일 수 있고, 얼음을 넣어 차게 즐겨도 맛있다."
북동부 지방North East Region,
슬로베니아Slovenia,"슬로베니아(Slovenia)의 와인 역사는 켈트 및 일리리아족 시대로 거슬러 올라갈 정도로 오래 됐다. 현재 슬로베니아는 2만 8천 와이너리가 있으며, 연간 8천만~9천만 리터의 와인을 생산한다. 생산되는 와인의 75%가 화이트 와인이며, 거의 모든 와인이 자국 내에서 소비된다. 주요 수출국은 미국, 보스니아, 크로아티아, 체코 등이다."
PrekmurjePrekmurje,
에스트레마두라Extremandura,
리베라 델 구아디아나Ribera del Guadiana,"리베라 델 구아디아나(Ribera del Guadiana)는 스페인에서 두 번째로 넓은 포도원이 형성된 와인 산지다. 이 지역 와인들은 주로 브랜디 데 헤레즈(Brandy de Jerez)라는 증류주를 만드는 밑술로 양조 되었다. 테니스 경기장을 만드는 점토로 되어있으며, 대륙성 기후다. 더운 여름을 지닌 지역이지만, 화이트 품종을 주로 키우는데, 샤르도네, 카베르네 소비뇽, 템프라니요 등을 주로 재배한다."
헌터 밸리Hunter Valley,헌터 밸리(Hunter Valley)는 호주의 대표 와인 산지 중 하나다. 현재 헌터 밸리는 과거 매우 다른 두 지역으로 여겨졌던 헌터 밸리 상류와 하류를 아우른다.
랭혼 크릭Langhorne Creek,"랭혼 크릭(Langhorne Creek)은 호주의 와인 산지다. 토양은 모래 찰흙을 적갈색에서 짙은 회색까지 다양하다. 바다로부터 불어오는 남풍에 의해 여름철 낮기온을 낮추고 습도를 올리는 도움을 받는다. 관개 농업이 필수이며, 한 방울씩 떨어지는 점적 관개법을 사용한다."
그라브Graves,"그라브(Graves)는 프랑스 보르도에 속하는 와인 산지다. 갸론강 좌안을 따라 보르도시 남쪽으로 띠 모양으로 50km 지역이 그라브다. 토양은 강을 따라 쓸려 내려온 신생대 4기의 충적토로 되어 있다. 모래가 섞여 있는 토양과 순수 모래나 갈색 사암(모래와 철의 응고물)의 하부토 위에 자갈과 조약돌 토양이 깔려 있다. 연평균 생산량 : 146,250 hl. 신고 재배 면적 : 2 700 ha."
노이지들러제Neusiedlersee,"노이지들러제(Neusiedlersee)는 오스트리아의 와인 산지다. 노이지들러제는 노이지들러 호수 동쪽 7,649 헥타르 포도원이 분포한다. 노이지들러 강은 수심이 얕고 드넓어 가을철 귀부균 활동에 최상의 떼루아를 제공한다."
론투에 밸리Lontue Valley,"론투에 밸리(Lontue Valley)는 칠레 쿠리코 밸리에 속하는 와인 산지다. 카베르네 소비뇽, 소비뇽 블랑을 주로 재배하며, 발데비에소(Valdesieso), 에체베리아(Echeverria) 등 유명한 와인 회사가 자리한다."
