생산자,설명
메종 장장Maison JeanJean,
라몬 빌바오Ramon Bilbao,라몬 빌바오(Ramon Bilbao)는 1924년 리오하(Rioja)의 아로(Haro) 마을에서 시작되었습니다. 아로 마을은 리오하 중에서도 가장 양질의 와인을 생산하는 곳으로 유명한 리오하 알타 지역에 위치해 있습니다. 라몬 빌바오가 직접 소유하는 포도밭은 해발 고도 250~750 미터에 자리잡아 뛰어난 품질의 포도를 생산해냅니다.
크루즈 데 알바Cruz de Alba,
마르 데 프라데스Mar de Frades,
하이츠 셀라Heitz Cellar,하이츠 셀라(Heitz Cellar)는 민트향과 커렌트향이 매우 인상적인 마르따스 빈야드(Martha's Vineyard) 카베르네 소비뇽으로 명성 높은 와이너리이다. 마르따스 빈야드의 카베르네 소비뇽은 80년대 출시된 오퍼스 원(Opus One)이나 90년대 ‘컬트 와인(Cult Wine)’ 붐을 이루기 이전인 60년대 부터 나파 밸리 특급 와인의 최고봉을 이루며 큰 명성을 얻어온 와인이다.
마에스트로 테제로Maestro Tejero,마에스트로 테제로(Maestro Tejero)는 스페인 내추럴 와인 개척자 중 한 명으로 꼽히는 생산자인 Alfredo Maestro에 의해 설립되었다. 그는 경제를 전공했지만 와인에 대한 열정 하나로 책을 통하여 포도 재배와 와인 양조를 독학하여 와인 생산을 시작하였다.
코이버펑크Koyberpunk,코이버펑크(Koyberpunk)는 새롭게 떠오르는 신생 한국 와인 생산자로 이름은 영어 단어 Korean Cyberpunk의 합성어이다. 현대 경장사회 속에 갖춘 뛰어난 기술적 테크닉과 근면성실하지만 주도락을 좋아하는 한국인 특유의 감수성을 5000년 동안 함께 했던 우리 땅에도 접목시키고자 친환경 고품질 와인으로 표현해냈다. 와인 품질의 우수성을 입증하기 위해 엄격한 기준에서 와인을 만든다.
로코 와이너리Roco Winery,"로코 와이너리(Roco Winery)는 미국 Oregon 주의 Willamette Valley에 위치해 있으며 2009년 Rollin Soles에 의해 설립되었다. Rollin은 텍사스에서 태어나 자라며 Texas A&m(Agricultural and Mechanical College)에서 미생물학 학사학위를, UC Davis에선 포도야조학과 포도재배학 석사학위를 받았다."
트레베리 셀러Treveri Cellars,트레베리 셀러(Treveri Cellars)는 최고의 스파클링 와인을 생산하는 가족 소유의 와이너리로 그림 같은 워싱턴의 야키마 밸리에 위치하고 있다. Treveri Cellars 와이너리의 설립자이자 와인메이커인 위르겐 그리브(Jurgen Grieb)의 비전을 따라 구대륙 와인 메이킹의 기술과 신대륙 떼루아의 조화를 와인에 담아내고 있다.
코피네Copinet,"샴페인 코피네(Champagne Copinet)는 여성 오너가 이끌고 있는 프랑스의 몇 안되는 와이너리이자, 그로어 샴페인 와이너리(Recoltant Manipulant, RM)이다."
로스트 엔젤Lost Angel,로스트 엔젤(Lost Angel)은 미국 캘리포니아 주에서 탄생한 Easy-Drink 와인으로 현재를 즐기며 본인의 삶에 있어 다양성을 추구하는 밀레니얼 세대(1980년~2000년에 출생한 집단)를 겨낭하여 출시하였다.
트럼프 와이너리Trump Winery,트럼프 와이너리(Trump Winery)는 'Create wines that compete with the best wines in the world'라는 당찬 포부를 갖고 있다. 현 미국 대통령인 도널드 트럼프의 가문이 실제 소유하고 있는 버지니아주 최대 와이너리이다.
부즈레Vougeraie,
장 노엘 가냐르Jean Noel Gagnard,장 노엘(Jean Noel)은 1989년 파리의 비즈니스 스쿨에서 돌아온 그의 딸 Caroline L'Estime에게 와인 양조 및 포도밭을 인계했다. 그녀는 최고의 크뤼 중 하나인 바타르몽 트라에 작은 떼루아를 가지고 있다.
토마스 모레이Thomas Morey,토마스 모레이(Thomas Morey)는 샤샤뉴 몽라셰에서 10세대 동안 지내 온 가문이다. 2005년 버나드의 은퇴 후 그의 아버지의 재산을 형제들과 나눠 갖고 2007년 아내와 지하실을 만들고 첫 빈티지를 병에 넣었다.
미션 에스테이트 와이너리Mission Estate Winery,미션 에스테이트 와이너리(Mission Estate Winery)는뉴질랜드에서 가장 오래된 역사를 가진 와이너리(1838년 프랑스에서 건너온 선교사가 뉴질랜드 북섬의 혹스 베이 지역에 처음 포도나무를 심으면서 포도 재배 및 와인 양조가 시작되었다)이자 뉴질랜드의 상업용 와인의 탄생지이다.
트라웃 밸리 와이너리Trout Valley Winery,"트라웃 밸리 와이너리(Trout Valley Winery)는 뉴질랜드 남섬의 북서쪽, 대표적인 서늘한 기후대이자 해양성 기후 지역인 넬슨(Nelson)의 카후랑기 에스테이트(Kahurangi Estate)에서 소유한 브랜드이다."
마지토Magito,"마지토(Magito)는 미도우크로프트(Meadowcroft), 토마스 헨리(Thomas Henry)를 생산하고 있는 공식적인 회사명으로 미국 캘리포니아 소노마 카운티와 나파 밸리 지역에 위치한 소규모 가족 경영 와이너리이다."
조셉 스완 와이너리Joseph Swan Winery,"조셉 스완 와이너리(Joseph Swan Winery)는 창립자인 조 스완(Joe Swan)에 의해 설립되었다. 조 스완은 '캘리포니아 피노누아의 대부'로 불리웠던 와인메이커로서, 미국 캘리포니아 지역에서 가장 먼저 피노 누아 품종을 식재했으며, 고품질의 피노 누아 와인을 생산하기에 적합한 지역임을 증명해낸 인물이다."
포지오 알 기우죠Poggio al Chiuso,"포지오 알 기우죠(Poggio al Chiuso)는 키안티 중심부인 플로렌스와 시에나 중간에 위치한 타바르넬레 발 디 페사(Tavarnelle Val di Pesa) 마을에 위치해 있으며, 와이너리 주변에는 아름다운 포도밭과 올리브 나무가 심어져 있다. 코티 가족이 경영하고 있는 포지오 알 기우죠는 1989년도에 시작하여 4대째 이어져오는 가족 경영 와이너리이다."
보데가 히스파니카스 레우니다스Bodegas Hispanicas Reunidas,"보데가 히스파니까스 레우니다스(Bodegas Hispanicas Reunida)는 스페인 주요 와인 생산 지역 리오하, 토로, 라만차, 리베라 델 두에로, 4곳에 포도밭과 보틀링 센터를 갖추고 있다. 보데가스 히스파니까스 레우니다스 와이너리는 국제 시장에서 광범위하고 경험이 풍부한 와인 전문 기업이다."
보데가스 라 푸리시마Bodegas La Purisima,"보데가스 라 푸리시마(Bodegas La Purisima)는 1946년 스페인 중동부, 예끌라(Yecla) 지역의 여러 포도 농부들이, 최고 품질의 와인을 생산하고자 하는 뜻을 모아 설립되어 현재까지 발전을 거듭하고 있는 와이너리이다. 1975년 Yecla 지역이 스페인 D.O. 등급을 취득한 후, 현재까지 지속적인 성장을 이루며 스페인에서, 또 국제적으로 작지만, 고품질의 와인 생산 지역으로 이름을 알리고 있다."
보데가스 호안 라벤토스 로셀Bodegas Joan Raventos Rosell,"보데가스 호안 라벤토스 로셀(Bodegas Joan Raventos Rosell)은 1985년 소유주인 호안 라벤토스 로셀과 마리아의 결혼으로 시작되었다. 그는 자신의 어린 시절 이미 가족이 운영하던 와이너리의 운영을 도우며 자신의 와인 커리어를 시작했으며, 유년 시절부터 유능한 와인메이커였던 그의 할아버지와 친구분들의 경험과 가르침을 받으며 자랐다."
파펫 델 마스Papet del Mas,"파펫 델 마스(Papet del Ma)는 스페인 바르셀로나가 위치한 카탈루냐(Cataluna)에서 고품질 스파클링 와니, 까바와 스틸 와인을 전문적으로 생산하는 와인 브랜드이다. 약 40헥타르의 와이너리는 스페인 카탈루냐의 페네데스 지역에 위치하고 있으며, 주로 해발 고도 300~400미터의 깊은 흙 토양에 자리잡고 있다."
도멘 갸데Domaine Gadias,"도멘 갸데(Domaine Gadias Pere et Fils)는 1952년 루이 갸데(Louis Gadias)에 의해 시작된 와이너리로, 현재까지 4대째 가족 경영을 이어오고 있다. 프랑스 루아르 지역에서 믈롱 드 부르고뉴(Melon de Bourgogne) 품종으로 최고급 품질의 무스까데(Muscadet) 와인을 생산해오고 있으며, 루아르 지역 중에서도 세브레 에 메인(Sevre and Maine)과 상세르(Sancerre)에서 와인을 유기농법으로 생산한다."
도멘 프리 바론Domaine Pre Baron,"도멘 프리 바론(Domaine Pre Baron)은 프랑스 루아르 밸리의 투렌(Touraine) 지역에 위치하고 있으며, 지난 5세대 동안 와인 품질을 향상시키기 위해 최선을 다하고 있으며 지금은 장 뤽 마돈(Jean-Luc Mardon)이 20여년간 운영하고 있는 가족 경영 와이너리이다."
바롱 드 몽포트Baron de Montfort,바롱 드 몽포트(Baron de Montfort)는 보르도의 우안 지역의 총 66 헥타르의 AOC 등급의 프리미엄 유기농 레드 와인을 생산하는 와이너리 3곳으 운영하는 회사이다.
샤를 오르방Charles Orban,"샤를 오르방(Charles Orban)은 가족 경영 샴페인 회사로써는 가장 규모가 큰 G. H. Martel Group이 소유하고 있는 샴페인 브랜드이다. G. H. Martel Group은 1869년에 설립, 샴페인 세계 판매량 6위의 대형 샴페인 그룹이다."
그리녹 크릭Greenock Creek,"그리녹 크릭 와이너리(Greenock Creek Vineyard & Cellar)는 호주인 마이클과 그의 아내 애나벨(Michael and Annabelle Waugh)이 소유중인 바로사 밸리의 대표적인 부띠끄 와이너리이다. 연간 총 생샨량은 약 3,000~3,500케이스 생산한다."
레드맨Redman,"레드맨(Redman Winery)는 2008년, 100주년 기념 와인을 생산한, 남호주에 위치한 쿠나와라에서 가장 긴 역사를 가진 와이너리 중 하나로, 현재 4대째 최고의 프리미엄 레드 와인을 생산 중인 와이너리이다."
킬리빙빙Killibinbin,킬리빙빙은 호주 원주민인 아보리진(Aborigin)의 말로서 ‘빛이 난다’를 의미합니다. 이는 그들의 와인이 와인 잔에서 반짝반짝 빛이 나기를 기원하는 의미이기도 합니다.
브라더스 인 암즈Brothers in Arms,"브라더스 인 암즈(Brothers in Arms)는 1882년 윌리엄 폼비(William Formby)가 남호주의 랑혼 크릭(Langhorn Creek)에 메탈라 빈야드 지역을 소유하면서 시작되었다. 1891년, 그의 아들인 아서 폼비는 이 메탈라 빈야드에 처음으로 포도를 심고 와인을 만들기 시작하였고, 이 때 포도나무로 지금의 브라더스 인 암즈의 플래그 쉽 와인을 만드는데 전량 사용되고 있다."
칼링톤 그레이스Callington Grace,"칼링톤 그레이스(Callington Grace)는 호주에서 가장 오래된 와이너리인, 남호주의 터줏대감 와이너리인 얄룸바(Yalumba)의 서브 브랜드로 가격 대비 훌륭한 밸류의 와인들을 생산하기 위해 만들어졌다."
티스웰Tidswell,"티스웰(Tidswell)은 1953년, 호주에 정착한 이후 부터 남호주의 주류 및 음료 산업에서 경력을 쌓아 왔다. 1853년 이래, 5세대에 걸쳐 여러 주류 업체를 운영하며 와인 생산자로서도 명성을 얻어 가고 있다. 현재는 5세대인 Ben과 Andrea Tidswell이 와인메이커로서 그 전통을 이어가고 있다."
팍스톤Paxton,"팍스톤 와인(Paxton Wines)은 남호주 맥라렌 베일 지역의 유기농 및 바이오 다이나믹 공법을 이용한 와인 생산의 선두에 있으며, 유기농 및 바이오 다이나믹 인증을 받은 와이너리이다."
하셀그로브 와이너리Haselgrove Winery,"하셀그로브 와이너리(Haselgrove Winery)는 호주의 와인 생산자 중에서 최고의 쉬라즈 와인 생산지로 잘 알려진 맥라렌 베일에 위치하고 있다. 하셀그로브 와이너리는 소량의 생산량이지만 집중도있는 뛰어난 품질의 와인을 생산하고 있으며, 각각 특유의 떼루아와 빈티지를 잘 보여줄 수 있는 와인을 만들기 위해 최선의 노력을 다하고 있다."
르그라 에 하스Legras & Haas,"르그라 에 하스(Legras & Haas)는 수 많은 하우스들이 그들이 가진 긴 역사와 명성을 내세우고 있는 샴페인 시장에서, 25년이라는 비교적 짧은 역사에도 불구하고 전 세계 샴페인 애호가를 사로잡고 있는 샴페인 하우스이다. 미국, 홍콩, 스웨덴, 벨기에 등 전 세계 유명 미슐랭 스타 레스토랑 와인 리스트에 단골로 오른다."
히더앤용Hither&Yon,"히더앤용(Hither & Yon) 와이너리를 운영하는 Leask Family는 40년 넘게 맥라렌 베일(McLaren Vale), 바로사 밸리(Barossa Valley), 헌터 밸리(Hunter Valley) 등의 와인 산지에서 직접 포도를 키우고 품질 좋은 와인을 만들어 왔다."
리버비 에스테이트Riverby Estate,리버비 에스테이트(Riverby Estate)는 100년이상 매튜스(Mattews) 가문의 후손들이 생산하는 가족 소유의 부티크 와이너리이다. 이 매튜스 농장은 오타와강과 그 지류에서 리버비라고 유래되었으며 레이블 또한 그곳에서 자라는 무지개송어 물고기의 심볼이다.
코코모Kokomo,코코모 와이너리(Kokomo Winery)는 코코모 마을에서 이주해 온 에릭 밀러(Erik Miller)에 의해 설립되었으며2004년 소노마 카운티의 중심 드라이 크릭 밸리(Dry Creek Valley)에 자리를 잡았다.
보데가스 이시드로 밀라그로Bodegas Isidro Milagro,"보데가스 이시드로 밀라그로(Bodegas Isidro Milagro)는 2002년에 설립됐다. 스페인에서 Top 10 Winery중 하나다. 그룹의 역사는 3대에 걸친 안달루시아 지역의 올리브오일, 리오하 지역의 포도재배를 경험으로 시작되었다."
르 꼰떼쎄Le Contesse,"르 꼰떼쎄(Le Contesse)는 1970년대 초 설립되었다. 베네토 지역의 가장 중요한 꼬넬리아노와 발도비아데네 지역에 설립함으로서 그 역사가 시작 되었다. 최신의 Technology, 풍부한 경험의 양조학자, 최신의 현대 장치는 성공을 가능게하는 모든 조건이 되었다."
칸티나 콜리 에우가네이Cantina Colli Euganei,깐티나 꼴리 에우가네이 (Cantina Colli Euganei) 와이너리는 1949년 베네토 꼴리 에우가네이 지역의 포도 재배 생산자 조합에 의해 설립 되었다. 이는 그들이 재배한 포도를 Cantina Colli Euganei라는 하나의 트레이드 마크로 함께 관리하고 판매를 함으로서더 나은 품질의 와인과 엄격한 관리로 고품격의 와인을 생산해 내는데 목적이 있다.
프라텔리 세리오 & 바티스타 보르고뇨Fratelli Serio & Battista Borgogno,프라텔리 세리오 & 바티스타 보르고뇨(Fratelli Serio & Battista Borgogno)는 19세기부터 Cavalier Francesco Borgogno가 아내의 작은 술집에 팔 Barolo를 만들기 시작하며 가업이 시작되었다. 그의 아들 Lodovico Borgogno에게 물려주고 다시 그의 아들인 Serio와 Battista에게 포도주 양조와 그의 땅에 대한 깊은 사랑과 예술을 전수해주었다. Lodovico가 죽은 후 Cannubi 토지를 Serio와 Battista에게 물려주게 된다.
비냐 마퀴스Viña Maquis,"비냐 마퀴스(Viña Maquis)는 Hurtado Family에 의해 1916년에 설립되었다. Colchaqua Valley에서 가장 오래된 와이너리로서 현재 4세대에 걸쳐 운영 중에 있다. 1927년 프랑스 기술 및 기계를 도입, 독창적인 방법으로 발효와 온도제어 시스템을 건설하고 깨끗한 포도의 개성과 표현을 살리기 위해 2002년 품질관리를 위한 새로운 와이너리를 구축하기에 이른다."
샤또 르 코인Chateau Le Coin,"샤또 르 코인(Chateau Le Coin)은 석회, 모래, 규암과 진흙으로 이루어진 떼루아의 ""앙트르 두 메르"" 지역에 위치한다. ""Pomerol"" 메를로 품종의 전형적인 부드러움을 선사한다."
앙리 아벨레Henri Abele,앙리 아벨레(Henri Abele)는 랭스에서 3번째이자 샹파뉴 지역에서 5번째로 오래된 샴페인 하우스로서 테오도르 반데르베켄(Thodore VanderVeken)에 의해 1757년 설립되어 250여년의 오랜 역사와함께 샹파뉴 역사에서는 빼놓을 수 없는 중요한 생산자이다.
빈디빈Vindivin,"빈디빈(Vindivin)은 2007년 설립되었다. 화려한 재능을 가진 와인메이커 Harve Sabardeil은 뛰어난 와인을 만드는 천재로 묘사되어 왔다. Harve의 와인은 디켄터, 와인스펙테이터 및 로버트 파커로부터 항상 최고의 품질의 와인을 만드는 와인메이커 중에 한 사람으로 불려왔고 또한 Robert Parker, Jancis Robinson 등을 포함한 유명한 팬들을 가지고도 있다."
레드헤즈 와인Redheads wine,레드헤즈 스튜디오(Redheads Studio)는 2002년 Tony Laithwaite와 그의 wife에 의해서 McLaren Vale에서 설립했다. 와인메이커 Dan Graham을 영입하면서 그 역사가 시작된다.
몬탈토Montalto,"몬탈토(Montalto)는 영국 출신의 Mitchell Family(John & Wendy Mitchell)가 80년대, 프랑스 남부에서 여름휴가를 보내며 지중해까지 포도원이 뻗어 내리는 것을 보고 호주 모닝톤 페닌슐라에 자리를 잡으며 시작되었다."
헤드Head,"헤드(Head)는 와인메이커이자 오너인 Alex Head가 1997년 설립하였다. Alex Head는 시드니 대학의 생화학 석사를 취득하였고 예전부터 'Old World' 와인과 그들의 모든 음식에 관심을 가져왔고, 특히 Cote Rotie라고 불리우는 프랑스 북부 밸리의 Syrah 품종을 좋아했다."
람블린 에 피스Lamblin & Fils,"람블린 에 피스(Lamblin & Fils) 가문은 1690년 부터 12세대를 이어오고 있는 샤블리지역을 대표하는 가정 전통적이고 전문적인 도맨이다. 람블린 가문은 전세계적으로 50여년간 우수한 샤블리를 수출해오고 있다. 람블린 와이너리는 The Best Tables에 와인을 공급해왔고, 현재 최상 품질의 와인들을 생산해 내고 있으며, 각종 국제 와인품평회에서 최고의 수상실적으로 그 품질을 인정받고 있다."
젬스톤 빈야드Gemstone Vineyard,젬스톤 빈야드(Gemstone Vineyard)는 1997년 로스앤젤레스의 유명한 보석상이던 Paul Frank에 의해 만들어졌다. 나파 밸리 중남부 Yountville의 서쪽으로 향하는 경사진언덕에 16acre 소규모로 자리잡은 가족 소유의 와이너리이다.
레이다Leyda,레이다 (Leyda) 는 1997 년 칠레 Leyda Valley에 설립되었다. 오늘날 Layda Valley는 칠레 포도재배에 신기원을 이룬 지역으로 인정되고 있으며 2002 년 5월 이 지역이 새로운 와인 생산 지역으로 명명 될 당시 선구자 적 역할을 하였다.
지에스디 와인즈GSD Wines,"GSD 와인즈(GSD Wines)는 젊은 부부 Santos와 그의 와이프 Loana에 의해 2011년 설립되었다. 스페인의 남동쪽에 위치한 후미야 지역에서 토착 품종인 모나스트렐을 베이스로 와인을 생산하며, 경쟁력 있는 가격으로 고품질 와인을 제공하는 것을 목표로 한다."
비냐 아퀴타니아Vina Aquitania,
부켈라 에스테이트Buccella Estate,부켈라(Buccella Estate)의 역사는 오너인 빌과 알리시아의 첫 데이트에서 시작됐다. 첫 만남에 오래된 이태리 와인을 함께 마시며 뛰어난 와인을 만들어보고 싶다는 꿈을 나누었다. 가볍게 마시는 주류로서의 와인이 아니라 함께 마시는 사람과의 관계를 돈독히 하고 인생에서 가장 기억하고 싶은 순간에 함께 할 수 있는 그런 위대한 와인을 꿈꾸었다.
프레스 하우스Press House,
샤를 조게Charles Joguet,"샤를 조게(Charles Joguet)는 루아르 지역의 '살아있는 전설', '쉬농 최고의 와인 생산자'로 불리우며, 1957년 이 도멘을 설립한 후 수십년 동안 쉬농 지역에서 훌륭한 와인을 생산해왔다."
페라통 뻬레 에 피스Ferraton Pere & Fils,"페라통 뻬레 에 피스(Ferraton Pere & Fils) 는 프랑스내 보르도 다음으로 가장 큰 포도 재배면적을 자랑하는 론(RHONE) 지역에 위치하는 와이너리다, 풍부한 일조량과 돌이 많아 밤이 되어도 기온이 쉽게 내려가지 않고,포도의 당분이 높아 일명 "" 태양의 와인""이라 불리는 이 지역의 특징을 잘 살려낸 와인을 양조한다."
제이피 슈네J.P Chenet,"제이피 슈네(J.P Chenet) 는 1979년 Joseph Helfrich에 의해 설립된 GCF사는 프랑스에서 수출량 1위현재 연매출 6,750억원을 기록하고 있으며 이 중 JP쉐네는 전체 매출의 약32%를 차지하고 있다. JP슈네는 독특한 병모양(특허획득), 합리적인 가격, 고객이 원하는 맛으로 큰 성공을 거둔 와인생산자이다."
마그놀리아 힐Magnolia Hill,
테누테 루넬리Tenute Lunelli,테누테 누레리(Tenute Lunelli)는 부르노 루넬리에 의해 설립되었다. 페라리의 전설은 지울리오 페라리라는 한 남자와 프랑스 최고급 샴페인에 영감을 얻어 이탈리아에서 와인을 제조하겠다는 그의 꿈으로부터 시작되었다.
큐베이즌 에스테이트 와인즈Cuvaison Estate Wines,"큐베이즌 에스테이트 와인즈(Cuvaison Estate Wines)는 1969년 설립되었으며, 1979년에 스위스의 Schmidheiny Family가 인수하면서 투자 및 개별 포도 블록에대한 개선을 거쳐 1998년 마운트비어 AVA의 최초 포도원을 매입하고 현재의 2개 AVA 라인을 보유하게 된다. 평론가들에게 90점이상의 좋은 품질을 인정받고 있는 와이너리이다."
보데가 일라나Bodegas Illana,"보데가 일라나(Bodegas Illana)는 1626년을 시작으로 오랜 기간동안 세대를 걸쳐 프로스퍼 가문에 의해 운영되고 있으며, 다양한 와인을 다수 생산하는 스페인 유명산지 Castilla-La-Mancha(라만차) 소재의 숨은 보석과 같은 리베라 델 후카로(Ribera del Jucar)의 DO 등급 분류 와인 생산자로 등급 생산 7개 와이너리 중 하나이다. 대ㅏ수가 내수 판매에 치중하고 있으며 가격대비 높은 품질을 자랑한다."
샤또 르꽁뜨 마르끼Chateau Leconte Marquey,"샤또 르꽁뜨 마르끼(Chateau Leconte Marquey)는 생이뽈리뜨(Saint Hippolyte) 마을에 위치한 14.5 헥타르 면적의 장 폴 보더리 가문의 가족 경영 포도원으로 대를 이어 와인 품질에 최선을 다하고 있다. 점포질 석회토양에서 충분한 양분을 기반으로 전체 면적 중 7헥타르에서만 선별되어 콘크리트, 스테인리스 양조탱크를 혼합하는 기법으로 보다 신선한 과실 향을 살리면서 본연의 풍미를 재현하고 있다."
에구렌 우가르떼Eguren Ugarte,"에구렌 우가르떼(Eguren Ugarte)는 1870년에 시작되어 정식으로 1989년에 오픈하여 6대에 걸쳐 총 130헥타르 면적 리오하 지역등의 와인을 생산, 공급하여 고전과 현대의 조화를 통한 최고의 품질을 탄생시켰다. 2010년 6월 다수의 와인들이 로버트파커로부터 점수를 획득하였고 그 진가를 세상에 알리게 되었다."
프란지아Franzia,
제라르 베르트랑Gerard Bertrand,제라르 베르트랑 (Gerard Bertrand)은 남프랑스 지역에서 최고 품질의 와인을 생산하면서 남프랑스 와인 혁명을 일으킨 와이너리로 평가받는 생산자이다.
샤또 드 까마르삭Chateau de Carmarsac,
"샤또 브랑 깡뜨냑Chateau Brane Cantenac - Grand Cru Classe,2nd Cru","샤또 브랑 깡뜨냑 (Chateau Brane-Cantenac) 은 샤또 마고, 샤또 빨메에 이어 명실상부한 마고 지역의 3인자로 꼽힌다. 샤또 브랑 깡뜨낙의 역사는 1725년으로 거슬러 올라간다. 당시에는 기앙 오스땅(Guihem Hostein) 소유였다가 고르스(Gorse)가문에 의해 인수된 이후에 명성을 높이려는 노력이 있었고 19세기 초에는 메독의 유명한 샤또의 하나로 자리잡게 되었다."
시쉘Sichel,
베이레 라뚜르Veyret Latour,베이레 라뚜르(Veyret Latour)는 스위스 그룹 센크(Schenk)의 계열사로써 보르도 와인을 생산 판매하는 회사이다. 루이 데 몽줴락은 베이레 라 뚜르의 보르도 프리미엄 레인지 와인 브랜드 이다.
포바인Four Vines,포 바인은(Four Vines)은 미국 캘리포니아 와인 산지의 모습 그대로를 간직한 와인을 선보인다. 도시가 많지 않고 자연 그대로임과 동시에 무질서함이 용서되는 야생미를 갖춘 캘리포니아의 와인 산지처럼 그들의 와인 또한 하나같이 개성 넘치는 와인이다. 정형화된 틀에 갇혀있기 보다는 무한함을 지향하며 그로 인해 모든 예술이 탄생되고 와인 또한 그러하다고 믿는다.
비나 라 리저바 드 깔리브로Vina La Reserva de Caliboro,비나 라 리저바 드 깔리브로(Vina La Reserva de Caliboro)는 이탈리아 명문 와이너리 콜도르시아(Col dorocia) 의 소유자인 이태리 귀족 가문의 프란체스코 마로네 진짜노 백작이(Fancesco Marone Cinzano)이 칠레에서 생산한 부띠끄 와인이다.
체스테 아그라리아Cheste Agraria,"체스테 아그라리아(Cheste Agraria)는 스페인 알렉산드리아 생산자 중 가장 큰 모스카토 생산자다. 1700 헥타르의 산지를 가지고 있으며 80% 화이트 품종, 20% 레드 품종을 재배하고 있다."
보르사오Borsao,
칼로 로씨 빈야즈Carlo Rossi Vineyards,
아포틱Apothic Wines,"아포틱(Apothic Wines)은 유럽의 블랜딩 전통을 따르면서도 품종은 캘리포니아의 것들을 사용해 완전히 새로운 스타일의 서사시 같은 (epic한) 와인을 창조했다. 이것이 바로 캘리포니아 메리티지 (블랜딩) 와인의 신성, 아포틱(Apothic)이다."
비나 밀라Vina Milla,
까사 실바Casa Silva,
쉬르 안디노Sur Andino S.A,
도나 파울라Dona Paula,"도나 파울라(Dona Paula) 와이너리는 1997년 설립 이래 모든 와인을 100% 와이너리 소유의 빈야드에서 재배한 포도로 양조한다. 멘도자에 총 703 헥타르에 달하는 빈야드를 소유하며 품종에 적합한 토양, 기후를 고려하여 각 빈야드의 고유한 떼루아를 반영한 와인을 생산한다. 또한 모든 와인은 글루텐 프리, 비건 와인이므로 현대 소비자들의 니즈를 명확히 충족시킨다."
미스팅게Mistinguett,"미스팅게(Mistinguett)는 발포르모사(Vallformosa) 그룹의 브랜드 중 하나로, 19세기 프랑스 파리 캬바레를 사로잡았던 여가수 ‘미스팅게’에서 영감을 얻어 탄생했다. 당시 프랑스 사교계의 화려한 분위기를 표현한 도발적인 컬러의 라벨 디자인, 현란한 춤과 의상으로 관객들을 열광시켰던 미스팅게의 우아하고 관능적인 매력을 담아낸 스파클링 와인으로 스페인 안팎으로 큰 호응을 얻고 있다."
폴리지아노Poliziano,"폴리지아노(Poliziano)는 1961년 22헥타르 규모로 토스카나의 몬테풀치아노 마을에서 시작한 가족경영 와이너리이다. 설립 초창기에는 지역의 전통적인 와인을 생산하는데 주력했으나, 1980년대 말을 지나며 보다 모던한 스타일의 와인까지 양조의 폭을 넓혔다. 현재는 163헥타르 면적의 밭에서 포도를 재배해 세계 50여개국에 와인을 수출하고 있다."
레 비뉴홍 디제Les Vignerons d'Ige,
셀러 드 캡케니스Celler de Capcanes,
브루어 클리프턴Brewer-Clifton,"브루어 클리프턴(Brewer-Clifton)은 두 명의 와인메이커 그렉 브루어(Greg Brewer)와 스티브 클리프턴(Steve Clifton)의 만남으로 설립된 와이너리이다. 1996년 설립된 이후로 캘리포니아 Sta. Rita Hills의 가장 유명한 와이너리 중 하나로 성장한 이 곳은 오직 Sta. Rita Hills에서 나온 포도만으로 피노누아, 샤도네이를 생산한다."
이든Idun,
샤를르 드 까자노브Charles de Cazanove,"샤를르 드 까자노브(Charles de Cazanove)는 1811년 꼬뜨 데 블랑 지역에서 샤를르 가브리엘 드 까자노브(Charles Gabriel De Cazanove)라는 사람이 설립한 유서 깊은 샴페인 와이너리이다. 까자노브는 '새로운 집'을 뜻하는 이탈리아어 '까사 누오바'에서 그 어원을 찾을 수 있으며, 16세기부터 존재했던 프랑스의 오래된 가문이다."
펠FEL,펠(FEL)은 나파밸리 Stags Leap District에 위치한 Cliff Lede Vineyard에서 2009년 런칭한 브랜드이다. Fel은 Cliff Lede Vineyard 설립자인 Cliff Lede의 어머니 이름 Florence Elsie Lede를 나타낸다. 캐나다에서 자란 Cliff는 튤립이 겨울의 끝을 상징함을 기억하고 다가올 따뜻한 날에 대한 설렘을 FEL 와인에 표현하고자 라벨을 튤립으로 장식하였다.
비파바 1894Vipava 1894,
산 그레고리오 SCLSan Gregorio SCL,
샹파뉴 드보Champagne Devaux,샹파뉴 드보(Champagne Devaux)는 Jules와 Auguste Devaux 형제에 의해 1846년 설립되었다. Devaux가 세계적인 명성을 얻는데 세 명의 여인이 일등공신 역할을 했다. 첫 번째 여인은 39살에 남편을 잃은 Claude-Joseph Devaux이다. 두 번째 여인은 Claude-Joseph Devaux의 며느리인 Augusta-Maria Herbin이다. 그녀는 1879년 남편과 사별한 이후 1895년까지 와이너리를 책임졌다.
샤를 클레망Charles Clement,
샤또 티울리Chateau Thieuley,"1950년에 André Courselle 이 프랑스 보르도 지역에 위치한 샤또 티울리 (Château Thieuley) 를 인수하여 멋진 포도원을 세우면서 샤또의 이야기는 시작된다. 이후 30 년만에 면적은 4ha 에서 80ha, 3개의 포도원 (Château Thieuley , Clos Sainte Anne, Château Saint Genes) 으로 확장되었다."
